symbol,ts,open,high,low,close,volume
EFX,2018-05-01 13:00:00+00:00,111.91,112.29,111.77,112.24,6830.0
EFX,2018-05-01 14:00:00+00:00,112.23,112.49,111.79,111.82,11716.0
EFX,2018-05-01 15:00:00+00:00,111.81,112.44,111.44,112.27,12707.0
EFX,2018-05-01 16:00:00+00:00,112.25,112.38,112.06,112.14,8465.0
EFX,2018-05-01 17:00:00+00:00,112.11,112.79,111.83,112.79,11065.0
EFX,2018-05-01 18:00:00+00:00,112.785,113.14,112.71,113.0,14554.0
EFX,2018-05-01 19:00:00+00:00,112.98,113.15,112.73,113.03,36676.0
EFX,2018-05-02 13:00:00+00:00,112.15,112.58,112.1,112.58,19620.0
EFX,2018-05-02 14:00:00+00:00,112.45,113.03,112.45,113.0,29878.0
EFX,2018-05-02 15:00:00+00:00,113.09,113.59,113.07,113.09,15687.0
EFX,2018-05-02 16:00:00+00:00,113.08,113.34,112.98,113.23,13317.0
EFX,2018-05-02 17:00:00+00:00,113.24,113.56,113.21,113.36,11216.0
EFX,2018-05-02 18:00:00+00:00,113.38,113.93,113.36,113.65,20319.0
EFX,2018-05-02 19:00:00+00:00,113.69,113.79,112.65,112.71,40697.0
EFX,2018-05-03 13:00:00+00:00,111.96,112.71,111.96,112.63,4101.0
EFX,2018-05-03 14:00:00+00:00,112.69,112.69,110.96,111.15,13091.0
EFX,2018-05-03 15:00:00+00:00,111.2,111.81,111.12,111.74,7737.0
EFX,2018-05-03 16:00:00+00:00,111.75,112.45,111.69,112.38,11642.0
EFX,2018-05-03 17:00:00+00:00,112.41,112.62,112.02,112.41,11340.0
EFX,2018-05-03 18:00:00+00:00,112.41,112.58,112.19,112.23,9639.0
EFX,2018-05-03 19:00:00+00:00,112.24,112.56,112.18,112.5,28466.0
EFX,2018-05-04 13:00:00+00:00,111.43,112.37,111.43,112.36,1887.0
EFX,2018-05-04 14:00:00+00:00,112.23,112.88,112.08,112.63,19705.0
EFX,2018-05-04 15:00:00+00:00,112.64,112.84,112.295,112.54,15528.0
EFX,2018-05-04 16:00:00+00:00,112.51,112.6,112.37,112.48,15615.0
EFX,2018-05-04 17:00:00+00:00,112.56,112.8,112.55,112.74,16374.0
EFX,2018-05-04 18:00:00+00:00,112.74,112.75,112.31,112.35,29330.0
EFX,2018-05-04 19:00:00+00:00,112.38,112.57,112.28,112.47,48495.0
EFX,2018-05-07 13:00:00+00:00,112.88,113.78,112.81,113.76,11975.0
EFX,2018-05-07 14:00:00+00:00,113.82,113.94,112.91,113.32,13949.0
EFX,2018-05-07 15:00:00+00:00,113.32,113.43,113.07,113.21,7852.0
EFX,2018-05-07 16:00:00+00:00,113.23,113.62,113.18,113.53,7339.0
EFX,2018-05-07 17:00:00+00:00,113.56,113.58,113.03,113.12,10327.0
EFX,2018-05-07 18:00:00+00:00,113.09,113.43,112.98,113.015,9798.0
EFX,2018-05-07 19:00:00+00:00,113.04,113.1,112.76,112.98,32834.0
EFX,2018-05-08 13:00:00+00:00,112.8,112.81,112.36,112.75,5002.0
EFX,2018-05-08 14:00:00+00:00,112.72,112.75,112.05,112.19,16201.0
EFX,2018-05-08 15:00:00+00:00,112.15,112.27,111.71,111.92,17114.0
EFX,2018-05-08 16:00:00+00:00,111.93,111.95,111.35,111.41,12512.0
EFX,2018-05-08 17:00:00+00:00,111.43,111.83,111.37,111.5,11469.0
EFX,2018-05-08 18:00:00+00:00,111.48,111.5,110.93,110.93,15687.0
EFX,2018-05-08 19:00:00+00:00,110.98,111.34,110.86,111.22,28902.0
EFX,2018-05-09 13:00:00+00:00,111.91,113.0,111.91,112.95,11933.0
EFX,2018-05-09 14:00:00+00:00,113.03,113.49,112.72,112.75,17540.0
EFX,2018-05-09 15:00:00+00:00,112.78,113.12,112.63,112.74,4747.0
EFX,2018-05-09 16:00:00+00:00,112.75,113.62,112.64,113.58,7932.0
EFX,2018-05-09 17:00:00+00:00,113.63,114.21,113.59,114.17,6767.0
EFX,2018-05-09 18:00:00+00:00,114.17,114.36,113.99,114.03,14952.0
