symbol,ts,open,high,low,close,volume
EG,2023-07-10 13:00:00+00:00,349.48,353.31,347.515,353.31,98.0
EG,2023-07-10 14:00:00+00:00,353.1,353.1,347.11,347.63,688.0
EG,2023-07-10 15:00:00+00:00,347.24,348.02,346.0,346.88,691.0
EG,2023-07-10 16:00:00+00:00,347.08,348.05,346.88,347.54,725.0
EG,2023-07-10 17:00:00+00:00,347.485,347.98,345.83,346.0,589.0
EG,2023-07-10 18:00:00+00:00,345.91,345.91,344.6,345.22,921.0
EG,2023-07-10 19:00:00+00:00,345.3,347.3,345.3,346.61,3582.0
EG,2023-07-10 20:00:00+00:00,346.5,346.7,346.5,346.7,98.0
EG,2023-07-11 13:00:00+00:00,347.75,351.21,347.06,348.77,327.0
EG,2023-07-11 14:00:00+00:00,348.09,350.49,348.09,348.92,4356.0
EG,2023-07-11 15:00:00+00:00,349.28,349.67,347.89,349.26,3676.0
EG,2023-07-11 16:00:00+00:00,349.28,351.35,348.57,349.83,2477.0
EG,2023-07-11 17:00:00+00:00,349.97,350.53,349.81,350.09,1236.0
EG,2023-07-11 18:00:00+00:00,350.32,351.54,350.17,351.5,3111.0
EG,2023-07-11 19:00:00+00:00,351.5,352.4,351.37,351.72,6997.0
EG,2023-07-12 12:00:00+00:00,352.0,352.0,352.0,352.0,2.0
EG,2023-07-12 13:00:00+00:00,354.0,355.43,352.1,353.51,680.0
EG,2023-07-12 14:00:00+00:00,353.47,353.48,349.0,353.15,3520.0
EG,2023-07-12 15:00:00+00:00,353.37,354.03,352.25,352.3,2272.0
EG,2023-07-12 16:00:00+00:00,352.32,352.98,351.33,352.64,1996.0
EG,2023-07-12 17:00:00+00:00,352.87,353.08,351.86,351.86,2157.0
EG,2023-07-12 18:00:00+00:00,352.06,353.99,351.92,353.23,2320.0
EG,2023-07-12 19:00:00+00:00,353.22,353.36,352.21,352.4,5536.0
EG,2023-07-13 12:00:00+00:00,351.41,351.41,351.4,351.4,19.0
EG,2023-07-13 13:00:00+00:00,353.28,354.39,351.03,353.75,1766.0
EG,2023-07-13 14:00:00+00:00,353.47,354.62,352.69,353.47,2573.0
EG,2023-07-13 15:00:00+00:00,353.47,353.87,352.03,352.235,2650.0
EG,2023-07-13 16:00:00+00:00,352.4,353.57,352.32,353.28,2619.0
EG,2023-07-13 17:00:00+00:00,352.99,353.31,351.78,352.94,1953.0
EG,2023-07-13 18:00:00+00:00,352.86,353.43,352.82,353.31,2370.0
EG,2023-07-13 19:00:00+00:00,353.29,353.75,352.78,353.75,11100.0
EG,2023-07-13 20:00:00+00:00,353.75,353.75,348.63,348.63,14.0
EG,2023-07-14 13:00:00+00:00,353.81,354.08,348.61,350.3,2309.0
EG,2023-07-14 14:00:00+00:00,349.74,351.77,349.64,351.77,1481.0
EG,2023-07-14 15:00:00+00:00,351.5,352.62,350.99,352.22,3224.0
EG,2023-07-14 16:00:00+00:00,352.22,352.64,351.22,352.37,2029.0
EG,2023-07-14 17:00:00+00:00,352.23,353.34,351.88,353.07,1912.0
EG,2023-07-14 18:00:00+00:00,352.91,353.2,352.1,352.63,2023.0
