symbol,ts,open,high,low,close,volume
EIX,2018-05-01 13:00:00+00:00,65.66,65.68,65.36,65.44,5042.0
EIX,2018-05-01 14:00:00+00:00,65.47,65.81,65.32,65.58,30918.0
EIX,2018-05-01 15:00:00+00:00,65.58,65.75,65.53,65.7,12816.0
EIX,2018-05-01 16:00:00+00:00,65.705,65.71,65.53,65.6,22614.0
EIX,2018-05-01 17:00:00+00:00,65.58,65.7,65.52,65.65,13387.0
EIX,2018-05-01 18:00:00+00:00,65.65,65.75,65.5,65.51,16332.0
EIX,2018-05-01 19:00:00+00:00,65.51,65.55,65.22,65.44,50436.0
EIX,2018-05-01 20:00:00+00:00,65.25,65.25,65.25,65.25,39.0
EIX,2018-05-02 13:00:00+00:00,64.05,65.07,63.5,64.51,27460.0
EIX,2018-05-02 14:00:00+00:00,64.45,64.59,64.0,64.54,50503.0
EIX,2018-05-02 15:00:00+00:00,64.49,64.88,63.97,63.98,36049.0
EIX,2018-05-02 16:00:00+00:00,63.96,63.98,63.84,63.89,23644.0
EIX,2018-05-02 17:00:00+00:00,63.88,64.3,63.81,64.17,28922.0
EIX,2018-05-02 18:00:00+00:00,64.17,64.33,63.98,64.02,37169.0
EIX,2018-05-02 19:00:00+00:00,64.02,64.03,63.44,63.65,91804.0
EIX,2018-05-03 13:00:00+00:00,63.46,63.46,62.81,62.91,11266.0
EIX,2018-05-03 14:00:00+00:00,62.99,62.99,62.54,62.93,33768.0
EIX,2018-05-03 15:00:00+00:00,62.97,63.28,62.78,63.11,46316.0
EIX,2018-05-03 16:00:00+00:00,63.12,63.26,62.95,63.26,39619.0
EIX,2018-05-03 17:00:00+00:00,63.25,63.45,63.02,63.41,38944.0
EIX,2018-05-03 18:00:00+00:00,63.39,63.41,63.01,63.09,60184.0
EIX,2018-05-03 19:00:00+00:00,63.09,63.235,63.01,63.21,95196.0
EIX,2018-05-04 13:00:00+00:00,63.27,63.79,63.27,63.68,9104.0
EIX,2018-05-04 14:00:00+00:00,63.73,63.9,63.53,63.6,13502.0
EIX,2018-05-04 15:00:00+00:00,63.56,63.74,63.39,63.58,13474.0
EIX,2018-05-04 16:00:00+00:00,63.59,63.85,63.565,63.82,7079.0
EIX,2018-05-04 17:00:00+00:00,63.83,63.89,63.7,63.7,8804.0
EIX,2018-05-04 18:00:00+00:00,63.69,64.06,63.59,63.83,17333.0
EIX,2018-05-04 19:00:00+00:00,63.84,63.95,63.63,63.69,41940.0
EIX,2018-05-07 13:00:00+00:00,63.54,63.66,63.45,63.61,7664.0
EIX,2018-05-07 14:00:00+00:00,63.69,63.74,63.17,63.19,9584.0
EIX,2018-05-07 15:00:00+00:00,63.16,63.27,63.1,63.21,8821.0
EIX,2018-05-07 16:00:00+00:00,63.21,63.35,63.13,63.21,12231.0
EIX,2018-05-07 17:00:00+00:00,63.21,63.28,63.1,63.28,13275.0
EIX,2018-05-07 18:00:00+00:00,63.26,63.4,63.26,63.32,14366.0
EIX,2018-05-07 19:00:00+00:00,63.31,63.31,62.99,63.09,54245.0
EIX,2018-05-08 13:00:00+00:00,62.83,62.85,62.19,62.19,26258.0
EIX,2018-05-08 14:00:00+00:00,62.19,62.31,61.95,61.97,25276.0
EIX,2018-05-08 15:00:00+00:00,61.94,62.22,61.85,61.94,17392.0
EIX,2018-05-08 16:00:00+00:00,61.95,61.99,61.6,61.6,27177.0
EIX,2018-05-08 17:00:00+00:00,61.61,61.615,61.3,61.38,29506.0
EIX,2018-05-08 18:00:00+00:00,61.37,61.37,60.9,60.98,30845.0
EIX,2018-05-08 19:00:00+00:00,60.97,61.29,60.94,61.12,67519.0
EIX,2018-05-09 13:00:00+00:00,60.95,61.17,60.73,61.02,10966.0
EIX,2018-05-09 14:00:00+00:00,60.99,61.05,60.39,60.69,14949.0
EIX,2018-05-09 15:00:00+00:00,60.67,60.71,60.49,60.52,17234.0
EIX,2018-05-09 16:00:00+00:00,60.51,60.57,60.3,60.37,15664.0
EIX,2018-05-09 17:00:00+00:00,60.39,60.49,60.29,60.34,16673.0
EIX,2018-05-09 18:00:00+00:00,60.31,60.45,60.31,60.44,29958.0
EIX,2018-05-09 19:00:00+00:00,60.43,60.485,60.23,60.4,76119.0
EIX,2018-05-10 13:00:00+00:00,60.78,61.39,60.77,61.27,13515.0
EIX,2018-05-10 14:00:00+00:00,61.34,61.45,61.05,61.1,38669.0
EIX,2018-05-10 15:00:00+00:00,61.06,61.29,61.03,61.28,22202.0
EIX,2018-05-10 16:00:00+00:00,61.28,61.45,61.28,61.34,18489.0
EIX,2018-05-10 17:00:00+00:00,61.35,61.55,61.35,61.51,22107.0
EIX,2018-05-10 18:00:00+00:00,61.52,61.55,61.42,61.55,47058.0
EIX,2018-05-10 19:00:00+00:00,61.55,61.725,61.42,61.72,66043.0
EIX,2018-05-11 13:00:00+00:00,61.93,62.05,61.76,61.85,9109.0
EIX,2018-05-11 14:00:00+00:00,61.92,61.97,61.72,61.94,15479.0
EIX,2018-05-11 15:00:00+00:00,61.95,61.99,61.73,61.95,26639.0
EIX,2018-05-11 16:00:00+00:00,61.99,62.08,61.85,62.07,12222.0
EIX,2018-05-11 17:00:00+00:00,62.06,62.36,62.06,62.36,31659.0
EIX,2018-05-11 18:00:00+00:00,62.37,62.48,62.37,62.46,25568.0
EIX,2018-05-11 19:00:00+00:00,62.46,62.49,62.26,62.29,47884.0
EIX,2018-05-14 13:00:00+00:00,62.24,62.47,62.24,62.43,5271.0
EIX,2018-05-14 14:00:00+00:00,62.44,62.49,62.29,62.36,6916.0
EIX,2018-05-14 15:00:00+00:00,62.34,62.42,62.27,62.3,13078.0
EIX,2018-05-14 16:00:00+00:00,62.29,62.31,61.98,62.31,22365.0
EIX,2018-05-14 17:00:00+00:00,62.31,62.33,62.03,62.11,22034.0
EIX,2018-05-14 18:00:00+00:00,62.11,62.23,62.08,62.23,29647.0
EIX,2018-05-14 19:00:00+00:00,62.23,62.34,62.16,62.33,59672.0
EIX,2018-05-15 13:00:00+00:00,61.96,62.17,61.32,61.43,18984.0
EIX,2018-05-15 14:00:00+00:00,61.43,61.65,61.43,61.58,29902.0
EIX,2018-05-15 15:00:00+00:00,61.58,61.58,61.37,61.38,18769.0
EIX,2018-05-15 16:00:00+00:00,61.36,61.46,61.355,61.43,16091.0
EIX,2018-05-15 17:00:00+00:00,61.43,61.535,61.4,61.48,14323.0
EIX,2018-05-15 18:00:00+00:00,61.46,61.58,61.385,61.43,19064.0
EIX,2018-05-15 19:00:00+00:00,61.43,61.55,61.39,61.545,80234.0
EIX,2018-05-16 13:00:00+00:00,61.67,61.83,61.66,61.76,14700.0
EIX,2018-05-16 14:00:00+00:00,61.75,61.82,61.3,61.39,49820.0
EIX,2018-05-16 15:00:00+00:00,61.39,61.48,61.3,61.37,19640.0
EIX,2018-05-16 16:00:00+00:00,61.35,61.44,61.32,61.38,12111.0
EIX,2018-05-16 17:00:00+00:00,61.37,61.47,61.37,61.45,8990.0
EIX,2018-05-16 18:00:00+00:00,61.41,61.48,61.39,61.44,20768.0
EIX,2018-05-16 19:00:00+00:00,61.43,61.46,61.38,61.43,54557.0
EIX,2018-05-17 13:00:00+00:00,61.49,61.63,61.46,61.47,12042.0
EIX,2018-05-17 14:00:00+00:00,61.46,61.76,61.35,61.73,33760.0
EIX,2018-05-17 15:00:00+00:00,61.75,61.82,61.48,61.49,23231.0
EIX,2018-05-17 16:00:00+00:00,61.48,61.56,61.42,61.45,17490.0
EIX,2018-05-17 17:00:00+00:00,61.46,61.47,61.32,61.39,11321.0
EIX,2018-05-17 18:00:00+00:00,61.38,61.5,61.18,61.26,21393.0
EIX,2018-05-17 19:00:00+00:00,61.26,61.27,61.08,61.22,69242.0
EIX,2018-05-18 13:00:00+00:00,61.34,61.36,60.96,61.09,12142.0
EIX,2018-05-18 14:00:00+00:00,61.11,61.54,61.11,61.36,34848.0
EIX,2018-05-18 15:00:00+00:00,61.35,61.35,60.52,61.03,70810.0
EIX,2018-05-18 16:00:00+00:00,61.03,61.13,60.9,60.9,27457.0
EIX,2018-05-18 17:00:00+00:00,60.89,60.95,60.8,60.93,17661.0
EIX,2018-05-18 18:00:00+00:00,60.93,61.11,60.93,61.08,14147.0
EIX,2018-05-18 19:00:00+00:00,61.08,61.28,60.97,61.25,42115.0
EIX,2018-05-21 13:00:00+00:00,61.38,61.38,60.87,60.94,17067.0
EIX,2018-05-21 14:00:00+00:00,60.94,61.36,60.92,61.24,25768.0
EIX,2018-05-21 15:00:00+00:00,61.24,61.32,61.13,61.18,18596.0
EIX,2018-05-21 16:00:00+00:00,61.19,61.49,61.19,61.47,15895.0
EIX,2018-05-21 17:00:00+00:00,61.48,61.59,61.48,61.59,15163.0
EIX,2018-05-21 18:00:00+00:00,61.58,61.65,61.47,61.58,22658.0
EIX,2018-05-21 19:00:00+00:00,61.6,61.6,61.44,61.56,35618.0
EIX,2018-05-22 13:00:00+00:00,61.59,61.91,61.515,61.91,14707.0
EIX,2018-05-22 14:00:00+00:00,61.88,62.21,61.79,61.91,23190.0
EIX,2018-05-22 15:00:00+00:00,61.91,62.0,61.86,61.86,14864.0
EIX,2018-05-22 16:00:00+00:00,61.85,62.04,61.72,61.73,16802.0
EIX,2018-05-22 17:00:00+00:00,61.74,61.75,61.59,61.74,25101.0
EIX,2018-05-22 18:00:00+00:00,61.74,61.93,61.74,61.91,10040.0
EIX,2018-05-22 19:00:00+00:00,61.92,61.97,61.8,61.89,39585.0
EIX,2018-05-23 13:00:00+00:00,62.05,62.2,61.81,62.12,10166.0
EIX,2018-05-23 14:00:00+00:00,62.19,62.51,62.11,62.39,21941.0
EIX,2018-05-23 15:00:00+00:00,62.38,62.39,62.1,62.1,12158.0
EIX,2018-05-23 16:00:00+00:00,62.1,62.23,62.09,62.22,14249.0
EIX,2018-05-23 17:00:00+00:00,62.22,62.3,62.09,62.15,20747.0
EIX,2018-05-23 18:00:00+00:00,62.15,62.36,62.13,62.33,20576.0
EIX,2018-05-23 19:00:00+00:00,62.34,62.415,62.255,62.36,47640.0
EIX,2018-05-24 13:00:00+00:00,61.4,62.35,61.14,62.13,9094.0
EIX,2018-05-24 14:00:00+00:00,62.1,62.79,62.07,62.75,15088.0
EIX,2018-05-24 15:00:00+00:00,62.73,62.75,62.32,62.32,12928.0
EIX,2018-05-24 16:00:00+00:00,62.32,62.49,62.26,62.4,14136.0
EIX,2018-05-24 17:00:00+00:00,62.39,62.54,62.34,62.48,11864.0
EIX,2018-05-24 18:00:00+00:00,62.47,62.47,62.38,62.42,21024.0
EIX,2018-05-24 19:00:00+00:00,62.42,62.66,62.4,62.62,33697.0
EIX,2018-05-25 13:00:00+00:00,62.73,62.815,62.5,62.815,14478.0
