symbol,ts,open,high,low,close,volume
ELV,2022-06-28 13:00:00+00:00,494.9,494.9,481.78,487.35,4448.0
ELV,2022-06-28 14:00:00+00:00,485.98,487.55,484.15,484.95,20287.0
ELV,2022-06-28 15:00:00+00:00,484.96,485.87,480.8,480.8,9877.0
ELV,2022-06-28 16:00:00+00:00,481.13,481.18,476.54,476.96,7575.0
ELV,2022-06-28 17:00:00+00:00,476.84,477.04,473.68,474.66,6849.0
ELV,2022-06-28 18:00:00+00:00,474.58,475.43,471.36,471.89,6177.0
ELV,2022-06-28 19:00:00+00:00,472.12,474.23,472.11,473.65,13435.0
ELV,2022-06-28 20:00:00+00:00,474.04,474.04,472.49,472.5,824.0
ELV,2022-06-28 21:00:00+00:00,473.09,473.09,473.09,473.09,7.0
ELV,2022-06-29 13:00:00+00:00,473.14,481.26,473.14,481.26,6536.0
ELV,2022-06-29 14:00:00+00:00,481.53,486.67,481.005,485.39,13229.0
ELV,2022-06-29 15:00:00+00:00,485.2,485.34,480.61,480.99,12552.0
ELV,2022-06-29 16:00:00+00:00,480.99,482.92,480.42,481.99,7665.0
ELV,2022-06-29 17:00:00+00:00,481.99,485.14,481.705,484.91,9092.0
ELV,2022-06-29 18:00:00+00:00,485.035,487.8,484.93,485.31,12736.0
ELV,2022-06-29 19:00:00+00:00,485.3,486.76,483.25,485.99,26939.0
ELV,2022-06-30 12:00:00+00:00,483.99,483.99,483.99,483.99,2.0
ELV,2022-06-30 13:00:00+00:00,483.35,488.85,481.04,486.19,9616.0
ELV,2022-06-30 14:00:00+00:00,486.195,486.33,480.46,485.13,25110.0
ELV,2022-06-30 15:00:00+00:00,485.05,485.25,481.6,483.84,15945.0
ELV,2022-06-30 16:00:00+00:00,483.79,485.06,482.79,484.2,12808.0
ELV,2022-06-30 17:00:00+00:00,484.29,484.56,481.77,484.46,10153.0
ELV,2022-06-30 18:00:00+00:00,484.54,484.62,480.47,481.05,13905.0
ELV,2022-06-30 19:00:00+00:00,481.34,483.05,479.875,482.63,41096.0
ELV,2022-07-01 13:00:00+00:00,479.02,481.35,474.43,475.18,16906.0
ELV,2022-07-01 14:00:00+00:00,475.61,476.19,469.95,472.17,28035.0
ELV,2022-07-01 15:00:00+00:00,472.03,477.26,471.64,474.13,26934.0
ELV,2022-07-01 16:00:00+00:00,474.33,477.73,473.44,476.71,22788.0
ELV,2022-07-01 17:00:00+00:00,476.84,480.91,475.86,480.91,21488.0
ELV,2022-07-01 18:00:00+00:00,480.91,483.66,480.4,483.38,23513.0
ELV,2022-07-01 19:00:00+00:00,483.55,486.85,482.73,485.81,51044.0
ELV,2022-07-05 13:00:00+00:00,480.01,480.56,473.33,473.6,5713.0
ELV,2022-07-05 14:00:00+00:00,473.19,473.46,461.9,463.11,19639.0
ELV,2022-07-05 15:00:00+00:00,462.78,470.29,462.38,467.97,11593.0
ELV,2022-07-05 16:00:00+00:00,467.71,469.42,467.14,467.63,6015.0
ELV,2022-07-05 17:00:00+00:00,467.91,469.3,467.23,468.8,7742.0
ELV,2022-07-05 18:00:00+00:00,468.72,474.37,468.46,474.37,8054.0
ELV,2022-07-05 19:00:00+00:00,474.06,478.02,473.93,476.68,32529.0
ELV,2022-07-06 13:00:00+00:00,476.43,480.26,474.86,479.87,4155.0
ELV,2022-07-06 14:00:00+00:00,479.0,483.14,479.0,480.71,13052.0
ELV,2022-07-06 15:00:00+00:00,480.69,483.68,480.22,482.06,9259.0
ELV,2022-07-06 16:00:00+00:00,482.06,482.14,478.29,479.37,6889.0
ELV,2022-07-06 17:00:00+00:00,479.83,480.97,478.99,480.09,6014.0
