symbol,ts,open,high,low,close,volume
EMR,2018-05-01 12:00:00+00:00,66.8,66.8,66.8,66.8,57.0
EMR,2018-05-01 13:00:00+00:00,66.75,67.93,66.14,67.77,64318.0
EMR,2018-05-01 14:00:00+00:00,67.75,67.78,66.23,66.31,123926.0
EMR,2018-05-01 15:00:00+00:00,66.33,66.99,65.86,66.42,73964.0
EMR,2018-05-01 16:00:00+00:00,66.43,66.73,66.19,66.66,60241.0
EMR,2018-05-01 17:00:00+00:00,66.68,67.25,66.15,67.19,53463.0
EMR,2018-05-01 18:00:00+00:00,67.16,68.35,67.05,68.17,153035.0
EMR,2018-05-01 19:00:00+00:00,68.155,69.06,67.84,68.95,281040.0
EMR,2018-05-02 12:00:00+00:00,68.64,68.64,68.19,68.19,50.0
EMR,2018-05-02 13:00:00+00:00,68.74,68.78,67.91,68.44,60172.0
EMR,2018-05-02 14:00:00+00:00,68.41,68.47,67.99,68.24,111470.0
EMR,2018-05-02 15:00:00+00:00,68.24,68.57,68.08,68.49,107814.0
EMR,2018-05-02 16:00:00+00:00,68.49,68.67,68.36,68.67,66933.0
EMR,2018-05-02 17:00:00+00:00,68.66,68.67,68.27,68.34,61889.0
EMR,2018-05-02 18:00:00+00:00,68.335,68.6,68.27,68.35,106861.0
EMR,2018-05-02 19:00:00+00:00,68.35,68.37,67.51,67.59,196945.0
EMR,2018-05-03 13:00:00+00:00,67.51,67.75,67.28,67.64,19503.0
EMR,2018-05-03 14:00:00+00:00,67.66,67.66,66.54,66.72,39861.0
EMR,2018-05-03 15:00:00+00:00,66.72,67.35,66.67,67.17,45408.0
EMR,2018-05-03 16:00:00+00:00,67.19,67.72,66.99,67.68,73278.0
EMR,2018-05-03 17:00:00+00:00,67.7,67.82,67.43,67.51,71209.0
EMR,2018-05-03 18:00:00+00:00,67.5,67.82,67.34,67.48,97435.0
EMR,2018-05-03 19:00:00+00:00,67.49,67.57,67.31,67.42,225129.0
EMR,2018-05-04 13:00:00+00:00,66.79,67.18,66.79,66.9,58259.0
EMR,2018-05-04 14:00:00+00:00,66.89,67.98,66.81,67.89,92911.0
EMR,2018-05-04 15:00:00+00:00,67.87,68.0,67.74,67.81,41212.0
EMR,2018-05-04 16:00:00+00:00,67.82,68.12,67.69,68.11,53062.0
EMR,2018-05-04 17:00:00+00:00,68.12,68.4,68.06,68.39,28889.0
EMR,2018-05-04 18:00:00+00:00,68.39,68.7,68.34,68.59,42108.0
EMR,2018-05-04 19:00:00+00:00,68.59,68.75,68.3,68.43,103326.0
EMR,2018-05-07 12:00:00+00:00,68.4,68.4,68.4,68.4,50.0
EMR,2018-05-07 13:00:00+00:00,68.73,69.16,68.66,69.09,47330.0
EMR,2018-05-07 14:00:00+00:00,69.09,69.71,68.8,69.68,100802.0
EMR,2018-05-07 15:00:00+00:00,69.68,69.9,69.42,69.71,80094.0
EMR,2018-05-07 16:00:00+00:00,69.71,69.74,69.52,69.54,48133.0
EMR,2018-05-07 17:00:00+00:00,69.55,69.68,69.44,69.62,50486.0
EMR,2018-05-07 18:00:00+00:00,69.62,69.66,69.31,69.35,69033.0
EMR,2018-05-07 19:00:00+00:00,69.34,69.44,69.1,69.31,178114.0
EMR,2018-05-08 13:00:00+00:00,69.25,69.82,69.02,69.74,24492.0
EMR,2018-05-08 14:00:00+00:00,69.76,69.84,69.56,69.65,63728.0
EMR,2018-05-08 15:00:00+00:00,69.6,69.71,69.42,69.42,89536.0
EMR,2018-05-08 16:00:00+00:00,69.39,69.49,69.26,69.43,57836.0
EMR,2018-05-08 17:00:00+00:00,69.435,69.66,69.42,69.45,42819.0
EMR,2018-05-08 18:00:00+00:00,69.46,69.6,69.1,69.27,110472.0
EMR,2018-05-08 19:00:00+00:00,69.27,69.77,69.2,69.75,92521.0
EMR,2018-05-09 13:00:00+00:00,70.07,70.28,69.79,70.11,11569.0
EMR,2018-05-09 14:00:00+00:00,69.98,70.33,69.94,70.29,59120.0
EMR,2018-05-09 15:00:00+00:00,70.28,70.73,70.17,70.6,72374.0
EMR,2018-05-09 16:00:00+00:00,70.63,71.32,70.585,71.21,55797.0
EMR,2018-05-09 17:00:00+00:00,71.22,71.79,71.22,71.73,73862.0
EMR,2018-05-09 18:00:00+00:00,71.74,71.89,71.67,71.89,96663.0
EMR,2018-05-09 19:00:00+00:00,71.885,71.94,71.875,71.92,152672.0
EMR,2018-05-09 20:00:00+00:00,71.78,71.99,71.78,71.99,251.0
EMR,2018-05-10 13:00:00+00:00,71.87,71.96,71.61,71.685,19921.0
EMR,2018-05-10 14:00:00+00:00,71.69,71.89,71.44,71.46,80415.0
EMR,2018-05-10 15:00:00+00:00,71.46,71.66,71.45,71.58,43629.0
EMR,2018-05-10 16:00:00+00:00,71.57,71.8,71.57,71.73,36381.0
