symbol,ts,open,high,low,close,volume
EQR,2018-05-01 13:00:00+00:00,61.78,61.92,61.65,61.92,18866.0
EQR,2018-05-01 14:00:00+00:00,61.91,62.04,61.59,61.62,28990.0
EQR,2018-05-01 15:00:00+00:00,61.6,61.79,61.54,61.65,19719.0
EQR,2018-05-01 16:00:00+00:00,61.68,61.69,61.57,61.61,17235.0
EQR,2018-05-01 17:00:00+00:00,61.61,62.01,61.59,62.0,16053.0
EQR,2018-05-01 18:00:00+00:00,62.01,62.17,61.945,62.17,26732.0
EQR,2018-05-01 19:00:00+00:00,62.19,62.39,62.12,62.23,69459.0
EQR,2018-05-02 13:00:00+00:00,62.04,62.22,61.65,61.65,14041.0
EQR,2018-05-02 14:00:00+00:00,61.59,61.96,61.53,61.75,22041.0
EQR,2018-05-02 15:00:00+00:00,61.745,61.87,61.48,61.5,36014.0
EQR,2018-05-02 16:00:00+00:00,61.49,61.49,61.32,61.45,16614.0
EQR,2018-05-02 17:00:00+00:00,61.47,61.62,61.4,61.59,31680.0
EQR,2018-05-02 18:00:00+00:00,61.58,61.77,61.52,61.56,42345.0
EQR,2018-05-02 19:00:00+00:00,61.56,61.57,61.41,61.53,75495.0
EQR,2018-05-03 13:00:00+00:00,61.36,61.59,61.24,61.59,14617.0
EQR,2018-05-03 14:00:00+00:00,61.72,62.07,61.54,61.78,26093.0
EQR,2018-05-03 15:00:00+00:00,61.85,62.13,61.85,62.05,23992.0
EQR,2018-05-03 16:00:00+00:00,62.04,62.04,61.68,61.74,19218.0
EQR,2018-05-03 17:00:00+00:00,61.76,61.81,61.54,61.71,14225.0
EQR,2018-05-03 18:00:00+00:00,61.69,61.81,61.52,61.56,21893.0
EQR,2018-05-03 19:00:00+00:00,61.57,61.65,61.41,61.53,41390.0
EQR,2018-05-04 13:00:00+00:00,61.67,61.7,61.37,61.49,8381.0
EQR,2018-05-04 14:00:00+00:00,61.5,61.705,61.36,61.58,19702.0
EQR,2018-05-04 15:00:00+00:00,61.57,61.72,61.49,61.575,33547.0
EQR,2018-05-04 16:00:00+00:00,61.56,61.875,61.53,61.84,12216.0
EQR,2018-05-04 17:00:00+00:00,61.84,62.07,61.8,61.84,17369.0
EQR,2018-05-04 18:00:00+00:00,61.83,62.185,61.83,62.13,17598.0
EQR,2018-05-04 19:00:00+00:00,62.14,62.33,62.06,62.11,61571.0
EQR,2018-05-07 13:00:00+00:00,62.16,62.54,62.06,62.19,9931.0
EQR,2018-05-07 14:00:00+00:00,62.25,62.28,61.98,62.18,20618.0
EQR,2018-05-07 15:00:00+00:00,62.15,62.35,62.11,62.32,16952.0
EQR,2018-05-07 16:00:00+00:00,62.34,62.41,62.27,62.36,12825.0
EQR,2018-05-07 17:00:00+00:00,62.35,62.35,62.24,62.32,14152.0
EQR,2018-05-07 18:00:00+00:00,62.33,62.44,62.27,62.37,17443.0
EQR,2018-05-07 19:00:00+00:00,62.38,62.58,62.26,62.5,58190.0
EQR,2018-05-08 13:00:00+00:00,61.88,62.47,61.88,61.97,17921.0
EQR,2018-05-08 14:00:00+00:00,61.965,62.005,61.79,61.84,25842.0
EQR,2018-05-08 15:00:00+00:00,61.83,62.14,61.8,62.0,25377.0
EQR,2018-05-08 16:00:00+00:00,61.99,62.06,61.9,61.93,18959.0
