symbol,ts,open,high,low,close,volume
ERIE,2018-05-01 13:00:00+00:00,116.21,116.96,116.03,116.03,782.0
ERIE,2018-05-01 14:00:00+00:00,116.97,116.97,116.92,116.92,379.0
ERIE,2018-05-01 15:00:00+00:00,117.2,117.2,116.52,116.7,653.0
ERIE,2018-05-01 16:00:00+00:00,116.44,116.7,116.3,116.7,843.0
ERIE,2018-05-01 17:00:00+00:00,116.35,116.6,116.34,116.6,348.0
ERIE,2018-05-01 18:00:00+00:00,116.56,117.22,116.31,117.2,722.0
ERIE,2018-05-01 19:00:00+00:00,116.78,117.48,116.465,116.71,4512.0
ERIE,2018-05-01 20:00:00+00:00,117.1,117.1,117.1,117.1,1796.0
ERIE,2018-05-02 13:00:00+00:00,116.81,117.64,116.81,117.64,421.0
ERIE,2018-05-02 14:00:00+00:00,116.52,117.4,115.55,115.55,1602.0
ERIE,2018-05-02 15:00:00+00:00,115.5,115.58,114.13,115.23,856.0
ERIE,2018-05-02 16:00:00+00:00,114.65,114.97,113.42,113.62,796.0
ERIE,2018-05-02 17:00:00+00:00,113.355,114.85,113.355,114.36,1355.0
ERIE,2018-05-02 18:00:00+00:00,114.33,114.67,113.42,113.44,1630.0
ERIE,2018-05-02 19:00:00+00:00,113.45,113.8,112.3,113.2,4709.0
ERIE,2018-05-02 20:00:00+00:00,112.91,112.91,112.91,112.91,2933.0
ERIE,2018-05-03 13:00:00+00:00,112.5,113.7,112.03,112.8,1458.0
ERIE,2018-05-03 14:00:00+00:00,112.16,112.16,110.6,111.12,978.0
ERIE,2018-05-03 15:00:00+00:00,111.04,111.6,110.65,111.6,2516.0
ERIE,2018-05-03 16:00:00+00:00,111.34,111.69,110.9,111.68,732.0
ERIE,2018-05-03 17:00:00+00:00,111.68,113.4,111.68,113.0,1104.0
ERIE,2018-05-03 18:00:00+00:00,113.26,113.67,112.45,113.67,133.0
ERIE,2018-05-03 19:00:00+00:00,113.66,114.7,113.5,113.74,3432.0
ERIE,2018-05-03 20:00:00+00:00,113.72,113.72,113.72,113.72,1202.0
ERIE,2018-05-04 13:00:00+00:00,113.47,113.47,113.01,113.01,397.0
ERIE,2018-05-04 14:00:00+00:00,113.98,114.2,113.04,113.31,610.0
ERIE,2018-05-04 15:00:00+00:00,113.4,114.1,113.18,113.57,1805.0
ERIE,2018-05-04 16:00:00+00:00,113.28,114.0,113.2,113.46,2456.0
ERIE,2018-05-04 17:00:00+00:00,113.92,114.59,113.33,114.06,367.0
ERIE,2018-05-04 18:00:00+00:00,114.07,114.66,114.02,114.02,589.0
ERIE,2018-05-04 19:00:00+00:00,113.82,114.14,113.06,113.46,2315.0
ERIE,2018-05-04 20:00:00+00:00,113.48,113.51,113.48,113.51,1961.0
ERIE,2018-05-07 13:00:00+00:00,113.26,114.08,113.26,114.08,899.0
ERIE,2018-05-07 14:00:00+00:00,114.29,115.4,114.29,115.4,517.0
ERIE,2018-05-07 15:00:00+00:00,114.85,116.0,114.85,116.0,453.0
ERIE,2018-05-07 16:00:00+00:00,116.0,116.0,114.92,114.92,111.0
ERIE,2018-05-07 17:00:00+00:00,114.705,115.51,114.7,115.51,1557.0
ERIE,2018-05-07 18:00:00+00:00,115.52,115.74,115.1,115.34,449.0
ERIE,2018-05-07 19:00:00+00:00,115.68,115.68,114.7,115.0,2443.0
ERIE,2018-05-07 20:00:00+00:00,115.0,115.0,115.0,115.0,2238.0
ERIE,2018-05-08 13:00:00+00:00,114.87,115.5,113.4,113.4,622.0
ERIE,2018-05-08 14:00:00+00:00,115.37,115.37,115.37,115.37,63.0
ERIE,2018-05-08 15:00:00+00:00,114.74,114.74,114.74,114.74,13.0
ERIE,2018-05-08 18:00:00+00:00,115.0,115.0,113.6,114.47,1757.0
ERIE,2018-05-08 19:00:00+00:00,115.38,115.4,114.14,114.41,3631.0
ERIE,2018-05-08 20:00:00+00:00,114.39,114.39,114.39,114.39,6393.0
ERIE,2018-05-09 13:00:00+00:00,114.38,114.38,114.38,114.38,189.0
ERIE,2018-05-09 14:00:00+00:00,114.38,114.7,114.35,114.47,1016.0
ERIE,2018-05-09 15:00:00+00:00,114.69,114.69,114.27,114.53,662.0
ERIE,2018-05-09 16:00:00+00:00,114.32,114.7,114.03,114.03,550.0
ERIE,2018-05-09 17:00:00+00:00,114.09,114.66,113.84,114.38,3312.0
ERIE,2018-05-09 18:00:00+00:00,114.32,114.45,113.82,113.82,738.0
ERIE,2018-05-09 19:00:00+00:00,113.85,114.17,113.55,113.88,3176.0
ERIE,2018-05-09 20:00:00+00:00,113.84,113.84,113.84,113.84,2867.0
ERIE,2018-05-10 13:00:00+00:00,113.88,113.99,113.35,113.65,1175.0
ERIE,2018-05-10 14:00:00+00:00,113.56,114.54,113.56,114.54,383.0
ERIE,2018-05-10 15:00:00+00:00,114.5,114.51,114.05,114.37,56.0
