symbol,ts,open,high,low,close,volume
ES,2018-05-01 13:00:00+00:00,60.07,60.44,60.06,60.08,19889.0
ES,2018-05-01 14:00:00+00:00,60.1,60.2,60.0,60.11,47719.0
ES,2018-05-01 15:00:00+00:00,60.1,60.24,59.975,60.1,28009.0
ES,2018-05-01 16:00:00+00:00,60.08,60.08,59.83,59.835,16112.0
ES,2018-05-01 17:00:00+00:00,59.83,59.92,59.72,59.89,21238.0
ES,2018-05-01 18:00:00+00:00,59.91,59.93,59.76,59.77,26823.0
ES,2018-05-01 19:00:00+00:00,59.77,59.78,59.58,59.74,69028.0
ES,2018-05-02 13:00:00+00:00,59.86,59.86,59.54,59.54,17402.0
ES,2018-05-02 14:00:00+00:00,59.57,59.97,59.35,59.95,25229.0
ES,2018-05-02 15:00:00+00:00,59.94,59.98,59.4,59.43,17441.0
ES,2018-05-02 16:00:00+00:00,59.43,59.57,59.42,59.55,22136.0
ES,2018-05-02 17:00:00+00:00,59.545,59.68,59.49,59.66,15950.0
ES,2018-05-02 18:00:00+00:00,59.64,59.82,59.62,59.64,37751.0
ES,2018-05-02 19:00:00+00:00,59.64,59.69,59.4,59.69,65177.0
ES,2018-05-03 13:00:00+00:00,59.19,59.19,58.58,58.93,15728.0
ES,2018-05-03 14:00:00+00:00,58.89,58.89,58.52,58.775,36841.0
ES,2018-05-03 15:00:00+00:00,58.76,59.17,58.74,59.02,27087.0
ES,2018-05-03 16:00:00+00:00,59.1,59.18,58.97,59.16,15586.0
ES,2018-05-03 17:00:00+00:00,59.14,59.44,58.96,59.37,18944.0
ES,2018-05-03 18:00:00+00:00,59.36,59.42,58.81,58.89,38547.0
ES,2018-05-03 19:00:00+00:00,58.9,59.06,58.82,58.86,73132.0
ES,2018-05-04 13:00:00+00:00,59.13,59.21,58.9,58.94,12319.0
ES,2018-05-04 14:00:00+00:00,58.96,59.035,58.765,58.8,36787.0
ES,2018-05-04 15:00:00+00:00,58.77,58.94,58.67,58.94,32478.0
ES,2018-05-04 16:00:00+00:00,58.94,59.065,58.91,59.02,30904.0
ES,2018-05-04 17:00:00+00:00,59.01,59.13,59.0,59.06,31069.0
ES,2018-05-04 18:00:00+00:00,59.05,59.25,58.9,59.09,23404.0
ES,2018-05-04 19:00:00+00:00,59.09,59.14,58.95,59.03,56067.0
ES,2018-05-07 13:00:00+00:00,58.97,59.18,58.97,59.06,18019.0
ES,2018-05-07 14:00:00+00:00,59.08,59.09,58.77,58.79,25952.0
ES,2018-05-07 15:00:00+00:00,58.79,58.9,58.72,58.88,18928.0
ES,2018-05-07 16:00:00+00:00,58.895,59.05,58.89,58.99,12246.0
ES,2018-05-07 17:00:00+00:00,58.98,59.0,58.91,58.95,16279.0
ES,2018-05-07 18:00:00+00:00,58.96,59.055,58.92,58.96,18433.0
ES,2018-05-07 19:00:00+00:00,58.96,58.96,58.61,58.705,68300.0
ES,2018-05-08 13:00:00+00:00,58.53,58.63,57.57,57.67,26649.0
ES,2018-05-08 14:00:00+00:00,57.6,57.81,57.28,57.6,40612.0
ES,2018-05-08 15:00:00+00:00,57.59,57.9,57.51,57.77,26010.0
ES,2018-05-08 16:00:00+00:00,57.78,57.85,57.65,57.71,19232.0
ES,2018-05-08 17:00:00+00:00,57.7,57.71,57.565,57.64,24099.0
ES,2018-05-08 18:00:00+00:00,57.635,57.64,57.3,57.37,25498.0
ES,2018-05-08 19:00:00+00:00,57.36,57.495,57.23,57.32,94378.0
ES,2018-05-09 13:00:00+00:00,57.43,57.45,57.15,57.18,11711.0
ES,2018-05-09 14:00:00+00:00,57.22,57.31,56.53,56.68,33511.0
ES,2018-05-09 15:00:00+00:00,56.7,56.75,56.465,56.51,15403.0
ES,2018-05-09 16:00:00+00:00,56.51,56.6,56.43,56.46,14483.0
ES,2018-05-09 17:00:00+00:00,56.455,56.59,56.38,56.53,15218.0
ES,2018-05-09 18:00:00+00:00,56.525,56.86,56.52,56.86,26097.0
ES,2018-05-09 19:00:00+00:00,56.86,57.02,56.66,57.0,75360.0
ES,2018-05-10 13:00:00+00:00,57.37,57.53,57.16,57.34,9601.0
ES,2018-05-10 14:00:00+00:00,57.34,57.48,57.21,57.34,25870.0
ES,2018-05-10 15:00:00+00:00,57.34,57.59,57.29,57.59,21993.0
ES,2018-05-10 16:00:00+00:00,57.57,57.68,57.54,57.63,17215.0
ES,2018-05-10 17:00:00+00:00,57.64,57.85,57.64,57.81,22435.0
ES,2018-05-10 18:00:00+00:00,57.81,57.88,57.69,57.81,28423.0
ES,2018-05-10 19:00:00+00:00,57.82,57.97,57.71,57.95,65654.0
ES,2018-05-11 13:00:00+00:00,58.05,58.1,57.83,57.87,4637.0
ES,2018-05-11 14:00:00+00:00,57.94,57.94,57.73,57.88,9841.0
ES,2018-05-11 15:00:00+00:00,57.9,57.93,57.73,57.88,15568.0
ES,2018-05-11 16:00:00+00:00,57.87,57.995,57.805,57.99,16932.0
ES,2018-05-11 17:00:00+00:00,58.0,58.05,57.96,58.01,17711.0
ES,2018-05-11 18:00:00+00:00,57.99,58.0,57.88,57.92,17019.0
