symbol,ts,open,high,low,close,volume
ETN,2018-05-01 13:00:00+00:00,75.75,75.75,72.43,73.78,105278.0
ETN,2018-05-01 14:00:00+00:00,73.76,73.82,72.6,72.72,100715.0
ETN,2018-05-01 15:00:00+00:00,72.72,73.59,72.36,73.03,99642.0
ETN,2018-05-01 16:00:00+00:00,73.03,73.9,72.99,73.65,65437.0
ETN,2018-05-01 17:00:00+00:00,73.66,73.99,73.29,73.73,85115.0
ETN,2018-05-01 18:00:00+00:00,73.71,74.02,73.65,73.84,109639.0
ETN,2018-05-01 19:00:00+00:00,73.83,73.995,73.42,73.83,195998.0
ETN,2018-05-02 13:00:00+00:00,73.54,73.73,73.03,73.52,45393.0
ETN,2018-05-02 14:00:00+00:00,73.51,73.74,73.44,73.73,58086.0
ETN,2018-05-02 15:00:00+00:00,73.73,73.91,73.36,73.61,49603.0
ETN,2018-05-02 16:00:00+00:00,73.615,73.99,73.56,73.95,61864.0
ETN,2018-05-02 17:00:00+00:00,73.95,74.26,73.95,74.03,64744.0
ETN,2018-05-02 18:00:00+00:00,74.03,74.24,74.01,74.16,89055.0
ETN,2018-05-02 19:00:00+00:00,74.17,74.175,72.63,72.79,236995.0
ETN,2018-05-03 13:00:00+00:00,72.15,72.66,71.81,72.62,31081.0
ETN,2018-05-03 14:00:00+00:00,72.61,72.65,71.64,71.76,61178.0
ETN,2018-05-03 15:00:00+00:00,71.775,72.73,71.685,72.73,64952.0
ETN,2018-05-03 16:00:00+00:00,72.72,73.26,72.59,73.26,77289.0
ETN,2018-05-03 17:00:00+00:00,73.21,73.56,72.985,73.18,54993.0
ETN,2018-05-03 18:00:00+00:00,73.17,73.46,72.87,73.14,64754.0
ETN,2018-05-03 19:00:00+00:00,73.14,73.34,72.87,73.06,139136.0
ETN,2018-05-04 13:00:00+00:00,72.5,73.18,72.36,73.1,18033.0
ETN,2018-05-04 14:00:00+00:00,73.06,74.06,72.87,74.0,73434.0
ETN,2018-05-04 15:00:00+00:00,74.01,74.26,73.95,74.2,73102.0
ETN,2018-05-04 16:00:00+00:00,74.21,74.58,74.12,74.52,64172.0
ETN,2018-05-04 17:00:00+00:00,74.53,74.94,74.52,74.87,51360.0
ETN,2018-05-04 18:00:00+00:00,74.86,75.15,74.7,75.04,60177.0
ETN,2018-05-04 19:00:00+00:00,75.04,75.29,74.8,74.865,108580.0
ETN,2018-05-07 13:00:00+00:00,75.02,75.07,74.53,74.58,36425.0
ETN,2018-05-07 14:00:00+00:00,74.57,74.6,74.08,74.5,88045.0
ETN,2018-05-07 15:00:00+00:00,74.49,74.68,74.38,74.55,56325.0
ETN,2018-05-07 16:00:00+00:00,74.55,74.7,74.38,74.65,47316.0
ETN,2018-05-07 17:00:00+00:00,74.67,74.97,74.63,74.8,54049.0
ETN,2018-05-07 18:00:00+00:00,74.8,74.83,74.44,74.55,77100.0
ETN,2018-05-07 19:00:00+00:00,74.53,74.76,74.35,74.67,153401.0
ETN,2018-05-08 13:00:00+00:00,74.71,74.96,74.33,74.72,24517.0
ETN,2018-05-08 14:00:00+00:00,74.72,74.9,74.57,74.7,44851.0
ETN,2018-05-08 15:00:00+00:00,74.7,74.86,74.49,74.495,46141.0
ETN,2018-05-08 16:00:00+00:00,74.48,74.49,74.29,74.38,32773.0
ETN,2018-05-08 17:00:00+00:00,74.39,74.61,74.39,74.43,28569.0
ETN,2018-05-08 18:00:00+00:00,74.43,74.71,74.32,74.5,45895.0
ETN,2018-05-08 19:00:00+00:00,74.46,74.82,74.36,74.82,77644.0
ETN,2018-05-09 13:00:00+00:00,75.03,75.19,74.91,74.96,8900.0
ETN,2018-05-09 14:00:00+00:00,74.94,75.11,74.73,74.86,32499.0
ETN,2018-05-09 15:00:00+00:00,74.89,75.11,74.83,74.96,45811.0
ETN,2018-05-09 16:00:00+00:00,74.96,75.47,74.87,75.36,41345.0
ETN,2018-05-09 17:00:00+00:00,75.37,75.61,75.25,75.59,39392.0
ETN,2018-05-09 18:00:00+00:00,75.6,75.7,75.5,75.56,41116.0
ETN,2018-05-09 19:00:00+00:00,75.55,75.705,75.45,75.66,105099.0
ETN,2018-05-10 13:00:00+00:00,75.8,75.98,75.57,75.82,9768.0
ETN,2018-05-10 14:00:00+00:00,75.8,75.88,75.48,75.62,22016.0
ETN,2018-05-10 15:00:00+00:00,75.615,75.84,75.49,75.72,57603.0
ETN,2018-05-10 16:00:00+00:00,75.71,75.91,75.69,75.8,31688.0
ETN,2018-05-10 17:00:00+00:00,75.8,75.97,75.79,75.92,32571.0
ETN,2018-05-10 18:00:00+00:00,75.93,76.36,75.91,76.3,41072.0
ETN,2018-05-10 19:00:00+00:00,76.32,76.56,76.21,76.5,113689.0
ETN,2018-05-11 13:00:00+00:00,76.34,76.77,76.11,76.77,14145.0
ETN,2018-05-11 14:00:00+00:00,76.8,77.32,76.8,77.18,56351.0
ETN,2018-05-11 15:00:00+00:00,77.2,77.2,76.44,76.59,56212.0
ETN,2018-05-11 16:00:00+00:00,76.59,76.78,76.42,76.63,48448.0
ETN,2018-05-11 17:00:00+00:00,76.64,76.67,76.37,76.54,44733.0
ETN,2018-05-11 18:00:00+00:00,76.53,76.555,76.36,76.49,39266.0
ETN,2018-05-11 19:00:00+00:00,76.48,76.53,76.39,76.47,73194.0
ETN,2018-05-14 13:00:00+00:00,76.75,76.93,76.59,76.6,6837.0
ETN,2018-05-14 14:00:00+00:00,76.56,76.95,76.29,76.81,30259.0
ETN,2018-05-14 15:00:00+00:00,76.81,76.87,76.52,76.62,19304.0
ETN,2018-05-14 16:00:00+00:00,76.61,76.68,76.47,76.47,20061.0
ETN,2018-05-14 17:00:00+00:00,76.47,76.63,76.3,76.48,26906.0
ETN,2018-05-14 18:00:00+00:00,76.46,76.65,76.365,76.63,30263.0
ETN,2018-05-14 19:00:00+00:00,76.63,76.74,76.5,76.6,62577.0
ETN,2018-05-15 13:00:00+00:00,76.43,76.43,76.07,76.15,13717.0
ETN,2018-05-15 14:00:00+00:00,76.11,76.3,76.04,76.22,25423.0
ETN,2018-05-15 15:00:00+00:00,76.24,76.47,76.21,76.31,27603.0
ETN,2018-05-15 16:00:00+00:00,76.32,76.52,76.12,76.43,38548.0
ETN,2018-05-15 17:00:00+00:00,76.43,76.44,76.19,76.19,31617.0
ETN,2018-05-15 18:00:00+00:00,76.18,76.66,76.16,76.5,37700.0
ETN,2018-05-15 19:00:00+00:00,76.51,76.8,76.4,76.74,103094.0
ETN,2018-05-16 13:00:00+00:00,76.75,77.15,76.75,77.08,7611.0
ETN,2018-05-16 14:00:00+00:00,77.07,77.1,76.93,76.96,21102.0
ETN,2018-05-16 15:00:00+00:00,76.91,77.05,76.83,77.03,21342.0
ETN,2018-05-16 16:00:00+00:00,77.04,77.53,77.03,77.45,31624.0
ETN,2018-05-16 17:00:00+00:00,77.45,77.89,77.27,77.48,44228.0
ETN,2018-05-16 18:00:00+00:00,77.48,77.62,77.42,77.6,44893.0
ETN,2018-05-16 19:00:00+00:00,77.59,77.59,77.2,77.34,79279.0
ETN,2018-05-17 13:00:00+00:00,77.1,77.52,77.1,77.3,12131.0
ETN,2018-05-17 14:00:00+00:00,77.28,77.98,77.26,77.97,29123.0
ETN,2018-05-17 15:00:00+00:00,77.99,78.05,77.73,77.87,29334.0
ETN,2018-05-17 16:00:00+00:00,77.82,78.04,77.79,77.88,25124.0
ETN,2018-05-17 17:00:00+00:00,77.88,77.93,77.32,77.41,30805.0
ETN,2018-05-17 18:00:00+00:00,77.41,77.58,77.27,77.58,43776.0
ETN,2018-05-17 19:00:00+00:00,77.58,77.76,77.55,77.68,81634.0
ETN,2018-05-18 13:00:00+00:00,78.52,78.92,78.44,78.79,20272.0
ETN,2018-05-18 14:00:00+00:00,78.8,79.04,78.52,78.7,62692.0
ETN,2018-05-18 15:00:00+00:00,78.71,78.85,78.56,78.76,39808.0
ETN,2018-05-18 16:00:00+00:00,78.75,78.75,78.44,78.63,33303.0
ETN,2018-05-18 17:00:00+00:00,78.61,78.77,78.5,78.58,24689.0
ETN,2018-05-18 18:00:00+00:00,78.56,78.58,78.48,78.55,23148.0
ETN,2018-05-18 19:00:00+00:00,78.55,78.65,78.51,78.59,63139.0
ETN,2018-05-21 13:00:00+00:00,79.14,79.45,79.11,79.145,16452.0
ETN,2018-05-21 14:00:00+00:00,79.145,79.87,79.06,79.79,39847.0
