symbol,ts,open,high,low,close,volume
EXC,2018-05-01 12:00:00+00:00,39.95,39.98,39.95,39.98,400.0
EXC,2018-05-01 13:00:00+00:00,40.0,40.205,39.66,40.13,118903.0
EXC,2018-05-01 14:00:00+00:00,40.14,40.38,40.045,40.22,227219.0
EXC,2018-05-01 15:00:00+00:00,40.22,40.43,40.14,40.36,149289.0
EXC,2018-05-01 16:00:00+00:00,40.355,40.355,40.115,40.21,84222.0
EXC,2018-05-01 17:00:00+00:00,40.2,40.28,40.11,40.28,64780.0
EXC,2018-05-01 18:00:00+00:00,40.28,40.39,40.165,40.17,70108.0
EXC,2018-05-01 19:00:00+00:00,40.175,40.235,40.075,40.2,197161.0
EXC,2018-05-02 13:00:00+00:00,40.38,40.44,39.97,40.0,106193.0
EXC,2018-05-02 14:00:00+00:00,40.015,40.35,39.925,40.2,98083.0
EXC,2018-05-02 15:00:00+00:00,40.2,40.35,40.12,40.16,96277.0
EXC,2018-05-02 16:00:00+00:00,40.155,40.35,40.15,40.33,74374.0
EXC,2018-05-02 17:00:00+00:00,40.325,40.585,40.3,40.41,85151.0
EXC,2018-05-02 18:00:00+00:00,40.41,40.51,40.32,40.36,110450.0
EXC,2018-05-02 19:00:00+00:00,40.36,40.45,40.16,40.39,225389.0
EXC,2018-05-03 13:00:00+00:00,40.39,40.39,40.04,40.32,51986.0
EXC,2018-05-03 14:00:00+00:00,40.32,40.4,40.19,40.4,161846.0
EXC,2018-05-03 15:00:00+00:00,40.41,40.62,40.295,40.61,112586.0
EXC,2018-05-03 16:00:00+00:00,40.62,40.97,40.53,40.96,128599.0
EXC,2018-05-03 17:00:00+00:00,40.96,41.18,40.77,41.1,116931.0
EXC,2018-05-03 18:00:00+00:00,41.09,41.095,40.76,40.83,136590.0
EXC,2018-05-03 19:00:00+00:00,40.84,40.905,40.78,40.85,199800.0
EXC,2018-05-04 12:00:00+00:00,41.01,41.01,41.01,41.01,2.0
EXC,2018-05-04 13:00:00+00:00,40.92,41.19,40.89,41.07,52655.0
EXC,2018-05-04 14:00:00+00:00,41.09,41.16,40.965,41.055,90172.0
EXC,2018-05-04 15:00:00+00:00,41.04,41.14,40.96,41.125,56789.0
EXC,2018-05-04 16:00:00+00:00,41.13,41.18,41.05,41.1,43211.0
EXC,2018-05-04 17:00:00+00:00,41.09,41.15,41.05,41.05,24315.0
EXC,2018-05-04 18:00:00+00:00,41.05,41.2,41.0,41.11,61772.0
EXC,2018-05-04 19:00:00+00:00,41.115,41.18,41.04,41.09,125425.0
EXC,2018-05-07 13:00:00+00:00,41.14,41.53,41.1,41.53,78656.0
EXC,2018-05-07 14:00:00+00:00,41.53,41.56,41.33,41.39,126507.0
EXC,2018-05-07 15:00:00+00:00,41.38,41.51,41.35,41.46,58589.0
EXC,2018-05-07 16:00:00+00:00,41.46,41.52,41.41,41.455,44436.0
EXC,2018-05-07 17:00:00+00:00,41.455,41.5,41.4,41.495,25589.0
EXC,2018-05-07 18:00:00+00:00,41.495,41.545,41.435,41.44,49840.0
EXC,2018-05-07 19:00:00+00:00,41.45,41.455,41.24,41.31,145445.0
EXC,2018-05-08 13:00:00+00:00,41.18,41.18,40.78,40.79,49480.0
EXC,2018-05-08 14:00:00+00:00,40.8,40.86,40.63,40.71,111757.0
EXC,2018-05-08 15:00:00+00:00,40.705,40.95,40.575,40.94,125677.0
