symbol,ts,open,high,low,close,volume
EXPE,2018-05-01 13:00:00+00:00,114.33,115.11,114.09,114.79,41073.0
EXPE,2018-05-01 14:00:00+00:00,114.8,114.85,113.56,113.95,101753.0
EXPE,2018-05-01 15:00:00+00:00,114.0,114.21,113.47,113.56,83696.0
EXPE,2018-05-01 16:00:00+00:00,113.55,113.77,113.15,113.42,50646.0
EXPE,2018-05-01 17:00:00+00:00,113.415,113.44,112.86,113.28,57480.0
EXPE,2018-05-01 18:00:00+00:00,113.27,113.3,112.79,112.99,76856.0
EXPE,2018-05-01 19:00:00+00:00,113.01,113.57,112.8,113.5,200392.0
EXPE,2018-05-01 20:00:00+00:00,113.5,113.7,113.5,113.7,91513.0
EXPE,2018-05-02 13:00:00+00:00,112.45,114.04,112.45,113.52,53195.0
EXPE,2018-05-02 14:00:00+00:00,113.5,114.58,113.41,114.25,62248.0
EXPE,2018-05-02 15:00:00+00:00,114.26,114.73,114.01,114.19,48010.0
EXPE,2018-05-02 16:00:00+00:00,114.19,114.67,114.03,114.62,41408.0
EXPE,2018-05-02 17:00:00+00:00,114.67,114.98,114.67,114.78,46457.0
EXPE,2018-05-02 18:00:00+00:00,114.78,115.42,114.74,115.31,87556.0
EXPE,2018-05-02 19:00:00+00:00,115.32,115.33,114.35,114.43,144447.0
EXPE,2018-05-02 20:00:00+00:00,114.43,114.43,114.43,114.43,78336.0
EXPE,2018-05-02 22:00:00+00:00,114.0,114.0,114.0,114.0,67.0
EXPE,2018-05-03 13:00:00+00:00,113.93,114.0,112.2,112.91,44043.0
EXPE,2018-05-03 14:00:00+00:00,112.86,112.89,111.12,111.21,68640.0
EXPE,2018-05-03 15:00:00+00:00,111.15,111.38,110.62,110.96,80949.0
EXPE,2018-05-03 16:00:00+00:00,110.98,111.57,110.71,111.57,60858.0
EXPE,2018-05-03 17:00:00+00:00,111.51,111.51,110.73,110.8,58839.0
EXPE,2018-05-03 18:00:00+00:00,110.83,111.21,110.4,110.82,69152.0
EXPE,2018-05-03 19:00:00+00:00,110.85,111.35,110.69,111.28,188244.0
EXPE,2018-05-03 20:00:00+00:00,111.28,111.29,111.28,111.29,94317.0
