symbol,ts,open,high,low,close,volume
F,2018-05-01 13:00:00+00:00,11.27,11.35,11.22,11.29,1431747.0
F,2018-05-01 14:00:00+00:00,11.29,11.29,11.195,11.2,527463.0
F,2018-05-01 15:00:00+00:00,11.21,11.24,11.165,11.2,472020.0
F,2018-05-01 16:00:00+00:00,11.195,11.245,11.17,11.175,188075.0
F,2018-05-01 17:00:00+00:00,11.17,11.17,11.1,11.15,222510.0
F,2018-05-01 18:00:00+00:00,11.15,11.285,11.145,11.255,666721.0
F,2018-05-01 19:00:00+00:00,11.255,11.29,11.21,11.26,407979.0
F,2018-05-01 20:00:00+00:00,11.26,11.27,11.26,11.27,22.0
F,2018-05-01 22:00:00+00:00,11.23,11.23,11.23,11.23,620.0
F,2018-05-02 11:00:00+00:00,11.27,11.27,11.26,11.26,1874.0
F,2018-05-02 12:00:00+00:00,11.28,11.29,11.27,11.27,3200.0
F,2018-05-02 13:00:00+00:00,11.26,11.26,11.155,11.16,337680.0
F,2018-05-02 14:00:00+00:00,11.16,11.235,11.16,11.19,813664.0
F,2018-05-02 15:00:00+00:00,11.19,11.22,11.145,11.145,521322.0
F,2018-05-02 16:00:00+00:00,11.145,11.22,11.125,11.22,521333.0
F,2018-05-02 17:00:00+00:00,11.215,11.225,11.205,11.215,165393.0
F,2018-05-02 18:00:00+00:00,11.215,11.25,11.205,11.21,270692.0
F,2018-05-02 19:00:00+00:00,11.205,11.24,11.18,11.2,351030.0
F,2018-05-03 12:00:00+00:00,11.2,11.2,11.2,11.2,100.0
F,2018-05-03 13:00:00+00:00,11.19,11.19,11.07,11.09,359804.0
F,2018-05-03 14:00:00+00:00,11.09,11.09,10.97,10.98,583934.0
F,2018-05-03 15:00:00+00:00,10.985,11.065,10.975,11.065,275207.0
F,2018-05-03 16:00:00+00:00,11.07,11.19,11.06,11.19,420280.0
F,2018-05-03 17:00:00+00:00,11.185,11.205,11.115,11.16,392916.0
F,2018-05-03 18:00:00+00:00,11.15,11.175,11.13,11.13,227160.0
F,2018-05-03 19:00:00+00:00,11.14,11.2,11.12,11.2,470479.0
F,2018-05-03 23:00:00+00:00,11.22,11.22,11.22,11.22,200.0
F,2018-05-04 10:00:00+00:00,10.99,10.99,10.99,10.99,5.0
F,2018-05-04 13:00:00+00:00,11.14,11.225,11.1,11.225,248607.0
F,2018-05-04 14:00:00+00:00,11.22,11.31,11.19,11.295,319844.0
F,2018-05-04 15:00:00+00:00,11.295,11.305,11.25,11.275,238631.0
F,2018-05-04 16:00:00+00:00,11.28,11.3,11.265,11.29,232350.0
F,2018-05-04 17:00:00+00:00,11.295,11.325,11.29,11.295,200354.0
F,2018-05-04 18:00:00+00:00,11.295,11.34,11.295,11.315,265020.0
F,2018-05-04 19:00:00+00:00,11.315,11.405,11.31,11.36,719358.0
F,2018-05-04 20:00:00+00:00,11.35,11.4,11.35,11.36,1685.0
F,2018-05-07 08:00:00+00:00,11.14,11.14,11.14,11.14,1.0
F,2018-05-07 13:00:00+00:00,11.34,11.44,11.34,11.385,261899.0
F,2018-05-07 14:00:00+00:00,11.39,11.395,11.315,11.365,421216.0
F,2018-05-07 15:00:00+00:00,11.365,11.385,11.34,11.36,239591.0
F,2018-05-07 16:00:00+00:00,11.35,11.375,11.34,11.375,161820.0
F,2018-05-07 17:00:00+00:00,11.375,11.39,11.355,11.39,241663.0
F,2018-05-07 18:00:00+00:00,11.385,11.405,11.35,11.365,186968.0
F,2018-05-07 19:00:00+00:00,11.36,11.375,11.325,11.345,383452.0
F,2018-05-07 20:00:00+00:00,11.34,11.38,11.34,11.38,51.0
F,2018-05-07 21:00:00+00:00,11.35,11.35,11.35,11.35,100.0
F,2018-05-08 11:00:00+00:00,11.4,11.4,11.4,11.4,49.0
F,2018-05-08 12:00:00+00:00,11.38,11.38,11.38,11.38,77.0
F,2018-05-08 13:00:00+00:00,11.32,11.36,11.255,11.32,189828.0
F,2018-05-08 14:00:00+00:00,11.31,11.32,11.265,11.31,235522.0
F,2018-05-08 15:00:00+00:00,11.305,11.33,11.29,11.29,223779.0
F,2018-05-08 16:00:00+00:00,11.285,11.29,11.255,11.265,181265.0
F,2018-05-08 17:00:00+00:00,11.265,11.3,11.26,11.285,137176.0
F,2018-05-08 18:00:00+00:00,11.29,11.305,11.245,11.265,240825.0
F,2018-05-08 19:00:00+00:00,11.26,11.285,11.235,11.275,420085.0
F,2018-05-08 20:00:00+00:00,11.28,11.28,11.28,11.28,26.0
F,2018-05-08 22:00:00+00:00,11.27,11.27,11.27,11.27,40.0
F,2018-05-09 10:00:00+00:00,11.21,11.21,11.2,11.2,3000.0
F,2018-05-09 12:00:00+00:00,11.25,11.25,11.16,11.21,2114.0
F,2018-05-09 13:00:00+00:00,11.22,11.27,11.065,11.065,796766.0
F,2018-05-09 14:00:00+00:00,11.065,11.11,11.025,11.05,580051.0
F,2018-05-09 15:00:00+00:00,11.05,11.065,11.02,11.055,422232.0
F,2018-05-09 16:00:00+00:00,11.06,11.095,11.05,11.08,202381.0
F,2018-05-09 17:00:00+00:00,11.085,11.085,11.04,11.05,148916.0
F,2018-05-09 18:00:00+00:00,11.05,11.055,11.03,11.055,124965.0
F,2018-05-09 19:00:00+00:00,11.055,11.065,11.04,11.055,250975.0
F,2018-05-09 20:00:00+00:00,11.05,11.05,11.05,11.05,20.0
F,2018-05-09 21:00:00+00:00,11.05,11.06,11.02,11.04,31860.0
F,2018-05-09 22:00:00+00:00,11.03,11.04,11.03,11.04,2050.0
F,2018-05-09 23:00:00+00:00,11.03,11.06,11.03,11.06,1100.0
F,2018-05-10 10:00:00+00:00,11.05,11.1,11.05,11.1,201.0
F,2018-05-10 12:00:00+00:00,11.04,11.05,11.03,11.05,3616.0
F,2018-05-10 13:00:00+00:00,11.04,11.175,11.03,11.155,397733.0
F,2018-05-10 14:00:00+00:00,11.155,11.155,11.095,11.13,345439.0
F,2018-05-10 15:00:00+00:00,11.125,11.22,11.115,11.22,238213.0
F,2018-05-10 16:00:00+00:00,11.22,11.24,11.215,11.235,185179.0
F,2018-05-10 17:00:00+00:00,11.235,11.245,11.185,11.215,212114.0
F,2018-05-10 18:00:00+00:00,11.215,11.235,11.195,11.235,120677.0
F,2018-05-10 19:00:00+00:00,11.24,11.24,11.19,11.205,266056.0
F,2018-05-10 20:00:00+00:00,11.21,11.21,11.19,11.2,354.0
F,2018-05-10 22:00:00+00:00,11.2,11.22,11.2,11.22,270.0
F,2018-05-11 11:00:00+00:00,11.21,11.25,11.21,11.25,1500.0
F,2018-05-11 12:00:00+00:00,11.22,11.22,11.22,11.22,200.0
F,2018-05-11 13:00:00+00:00,11.22,11.235,11.18,11.23,147349.0
F,2018-05-11 14:00:00+00:00,11.235,11.24,11.18,11.185,139892.0
F,2018-05-11 15:00:00+00:00,11.185,11.185,11.16,11.17,135635.0
F,2018-05-11 16:00:00+00:00,11.165,11.195,11.165,11.19,108775.0
F,2018-05-11 17:00:00+00:00,11.19,11.19,11.165,11.185,56863.0
F,2018-05-11 18:00:00+00:00,11.185,11.2,11.165,11.17,94479.0
F,2018-05-11 19:00:00+00:00,11.17,11.19,11.16,11.185,236184.0
F,2018-05-11 21:00:00+00:00,11.17,11.17,11.17,11.17,20.0
F,2018-05-14 11:00:00+00:00,11.25,11.25,11.23,11.23,405.0
F,2018-05-14 13:00:00+00:00,11.22,11.24,11.17,11.235,136416.0
F,2018-05-14 14:00:00+00:00,11.235,11.29,11.23,11.245,546026.0
F,2018-05-14 15:00:00+00:00,11.24,11.245,11.2,11.215,106143.0
F,2018-05-14 16:00:00+00:00,11.215,11.225,11.205,11.205,84923.0
F,2018-05-14 17:00:00+00:00,11.205,11.22,11.195,11.215,50250.0
F,2018-05-14 18:00:00+00:00,11.215,11.23,11.2,11.22,123821.0
F,2018-05-14 19:00:00+00:00,11.215,11.22,11.18,11.19,183171.0
F,2018-05-14 20:00:00+00:00,11.19,11.19,11.19,11.19,20.0
F,2018-05-14 21:00:00+00:00,11.19,11.19,11.19,11.19,1007.0
F,2018-05-15 08:00:00+00:00,11.09,11.09,11.05,11.05,523.0
F,2018-05-15 11:00:00+00:00,11.15,11.16,11.14,11.16,5250.0
F,2018-05-15 12:00:00+00:00,11.13,11.13,11.12,11.12,150.0
F,2018-05-15 13:00:00+00:00,11.1,11.15,11.065,11.13,397559.0
F,2018-05-15 14:00:00+00:00,11.125,11.24,11.12,11.23,625401.0
F,2018-05-15 15:00:00+00:00,11.22,11.24,11.205,11.23,375275.0
F,2018-05-15 16:00:00+00:00,11.22,11.245,11.19,11.22,138688.0
F,2018-05-15 17:00:00+00:00,11.22,11.22,11.155,11.165,137961.0
F,2018-05-15 18:00:00+00:00,11.165,11.195,11.14,11.15,126159.0
F,2018-05-15 19:00:00+00:00,11.16,11.22,11.15,11.215,327067.0
F,2018-05-15 20:00:00+00:00,11.215,11.215,11.19,11.19,160.0
F,2018-05-15 22:00:00+00:00,11.2,11.2,11.2,11.2,100.0
F,2018-05-16 11:00:00+00:00,11.15,11.15,11.15,11.15,6.0
F,2018-05-16 13:00:00+00:00,11.2,11.32,11.2,11.3,242242.0
F,2018-05-16 14:00:00+00:00,11.305,11.305,11.245,11.255,248115.0
F,2018-05-16 15:00:00+00:00,11.255,11.3,11.245,11.295,290177.0
F,2018-05-16 16:00:00+00:00,11.295,11.345,11.295,11.335,265824.0
F,2018-05-16 17:00:00+00:00,11.335,11.35,11.33,11.35,116080.0
F,2018-05-16 18:00:00+00:00,11.345,11.395,11.345,11.395,340867.0
F,2018-05-16 19:00:00+00:00,11.39,11.4,11.37,11.4,400647.0
F,2018-05-16 20:00:00+00:00,11.39,11.44,11.38,11.44,3940.0
F,2018-05-16 21:00:00+00:00,11.44,11.44,11.44,11.44,15.0
F,2018-05-17 11:00:00+00:00,11.41,11.41,11.41,11.41,100.0
F,2018-05-17 12:00:00+00:00,11.41,11.41,11.41,11.41,400.0
F,2018-05-17 13:00:00+00:00,11.39,11.445,11.39,11.43,223271.0
F,2018-05-17 14:00:00+00:00,11.435,11.46,11.415,11.44,220098.0
F,2018-05-17 15:00:00+00:00,11.445,11.47,11.425,11.465,177817.0
F,2018-05-17 16:00:00+00:00,11.465,11.475,11.435,11.465,136424.0
F,2018-05-17 17:00:00+00:00,11.465,11.465,11.415,11.415,173228.0
F,2018-05-17 18:00:00+00:00,11.42,11.455,11.41,11.455,108342.0
F,2018-05-17 19:00:00+00:00,11.46,11.46,11.415,11.45,302923.0
F,2018-05-17 20:00:00+00:00,11.44,11.46,11.42,11.42,265.0
F,2018-05-17 22:00:00+00:00,11.43,11.43,11.43,11.43,100.0
F,2018-05-17 23:00:00+00:00,11.44,11.46,11.44,11.46,1000.0
F,2018-05-18 13:00:00+00:00,11.44,11.46,11.39,11.41,261863.0
F,2018-05-18 14:00:00+00:00,11.405,11.41,11.305,11.32,325022.0
F,2018-05-18 15:00:00+00:00,11.315,11.335,11.3,11.315,123225.0
F,2018-05-18 16:00:00+00:00,11.315,11.335,11.305,11.335,105145.0
F,2018-05-18 17:00:00+00:00,11.33,11.36,11.325,11.325,78704.0
F,2018-05-18 18:00:00+00:00,11.325,11.335,11.32,11.325,58362.0
F,2018-05-18 19:00:00+00:00,11.325,11.33,11.31,11.32,443959.0
F,2018-05-18 20:00:00+00:00,11.34,11.35,11.33,11.33,310.0
F,2018-05-21 12:00:00+00:00,11.39,11.4,11.39,11.4,107.0
F,2018-05-21 13:00:00+00:00,11.41,11.475,11.39,11.43,295454.0
F,2018-05-21 14:00:00+00:00,11.43,11.54,11.43,11.53,644586.0
F,2018-05-21 15:00:00+00:00,11.53,11.535,11.49,11.515,218540.0
F,2018-05-21 16:00:00+00:00,11.515,11.525,11.49,11.505,195638.0
F,2018-05-21 17:00:00+00:00,11.51,11.545,11.51,11.54,139678.0
F,2018-05-21 18:00:00+00:00,11.545,11.545,11.52,11.535,188630.0
F,2018-05-21 19:00:00+00:00,11.535,11.54,11.495,11.515,548237.0
F,2018-05-21 20:00:00+00:00,11.51,11.51,11.51,11.51,180.0
F,2018-05-21 21:00:00+00:00,11.52,11.52,11.52,11.52,20.0
F,2018-05-21 22:00:00+00:00,11.51,11.51,11.51,11.51,720.0
F,2018-05-21 23:00:00+00:00,11.5,11.5,11.5,11.5,20.0
F,2018-05-22 08:00:00+00:00,11.6,11.7,11.6,11.7,300.0
F,2018-05-22 09:00:00+00:00,11.69,11.69,11.68,11.69,2000.0
F,2018-05-22 10:00:00+00:00,11.67,11.67,11.67,11.67,30.0
F,2018-05-22 11:00:00+00:00,11.59,11.62,11.52,11.6,5563.0
F,2018-05-22 12:00:00+00:00,11.6,11.63,11.56,11.56,28820.0
F,2018-05-22 13:00:00+00:00,11.58,11.63,11.57,11.615,293866.0
F,2018-05-22 14:00:00+00:00,11.615,11.625,11.555,11.57,491285.0
F,2018-05-22 15:00:00+00:00,11.575,11.605,11.57,11.585,163848.0
F,2018-05-22 16:00:00+00:00,11.58,11.585,11.565,11.57,193259.0
F,2018-05-22 17:00:00+00:00,11.575,11.575,11.56,11.575,75886.0
F,2018-05-22 18:00:00+00:00,11.575,11.595,11.56,11.56,209307.0
F,2018-05-22 19:00:00+00:00,11.56,11.575,11.51,11.52,419196.0
F,2018-05-22 20:00:00+00:00,11.51,11.51,11.51,11.51,940.0
F,2018-05-23 11:00:00+00:00,11.48,11.54,11.48,11.54,850.0
F,2018-05-23 12:00:00+00:00,11.53,11.53,11.53,11.53,2573.0
F,2018-05-23 13:00:00+00:00,11.5,11.57,11.435,11.44,380161.0
F,2018-05-23 14:00:00+00:00,11.44,11.445,11.385,11.4,249900.0
F,2018-05-23 15:00:00+00:00,11.395,11.41,11.39,11.395,148684.0
F,2018-05-23 16:00:00+00:00,11.395,11.405,11.355,11.375,267615.0
F,2018-05-23 17:00:00+00:00,11.37,11.38,11.34,11.37,143839.0
F,2018-05-23 18:00:00+00:00,11.37,11.405,11.365,11.395,119137.0
F,2018-05-23 19:00:00+00:00,11.4,11.445,11.395,11.435,289773.0
F,2018-05-23 20:00:00+00:00,11.43,11.55,11.4,11.5,18115.0
F,2018-05-23 21:00:00+00:00,11.51,11.51,11.45,11.45,9798.0
F,2018-05-23 23:00:00+00:00,11.45,11.45,11.45,11.45,1300.0
F,2018-05-24 10:00:00+00:00,11.58,11.58,11.58,11.58,300.0
F,2018-05-24 11:00:00+00:00,11.5,11.5,11.49,11.49,1700.0
F,2018-05-24 12:00:00+00:00,11.48,11.49,11.45,11.46,450.0
F,2018-05-24 13:00:00+00:00,11.46,11.6,11.45,11.58,443535.0
F,2018-05-24 14:00:00+00:00,11.58,11.59,11.525,11.55,210705.0
F,2018-05-24 15:00:00+00:00,11.55,11.65,11.55,11.635,471341.0
F,2018-05-24 16:00:00+00:00,11.635,11.64,11.59,11.615,176047.0
F,2018-05-24 17:00:00+00:00,11.615,11.64,11.615,11.635,115544.0
F,2018-05-24 18:00:00+00:00,11.635,11.635,11.59,11.605,156309.0
