symbol,ts,open,high,low,close,volume
FAST,2018-05-01 13:00:00+00:00,49.99,50.16,49.76,50.03,50920.0
FAST,2018-05-01 14:00:00+00:00,50.0,50.0,49.18,49.18,111336.0
FAST,2018-05-01 15:00:00+00:00,49.17,49.24,48.9,48.92,80545.0
FAST,2018-05-01 16:00:00+00:00,48.9,48.97,48.6,48.67,109152.0
FAST,2018-05-01 17:00:00+00:00,48.66,48.88,48.36,48.8,104551.0
FAST,2018-05-01 18:00:00+00:00,48.8,49.26,48.795,49.14,129624.0
FAST,2018-05-01 19:00:00+00:00,49.15,49.39,48.97,49.36,242831.0
FAST,2018-05-01 20:00:00+00:00,49.36,49.45,49.36,49.45,96551.0
FAST,2018-05-02 13:00:00+00:00,49.32,49.66,49.16,49.42,58463.0
FAST,2018-05-02 14:00:00+00:00,49.45,49.88,49.44,49.78,78683.0
FAST,2018-05-02 15:00:00+00:00,49.77,50.12,49.73,49.93,98056.0
FAST,2018-05-02 16:00:00+00:00,49.95,50.14,49.87,49.98,72898.0
FAST,2018-05-02 17:00:00+00:00,49.98,50.06,49.8,49.81,68725.0
FAST,2018-05-02 18:00:00+00:00,49.8,50.16,49.8,50.01,76291.0
FAST,2018-05-02 19:00:00+00:00,50.01,50.03,49.13,49.17,352126.0
FAST,2018-05-02 20:00:00+00:00,49.16,49.16,49.15,49.15,173275.0
FAST,2018-05-02 22:00:00+00:00,48.9,48.9,48.9,48.9,39.0
FAST,2018-05-03 13:00:00+00:00,48.99,49.09,48.71,48.96,126905.0
FAST,2018-05-03 14:00:00+00:00,48.97,48.97,48.19,48.31,203026.0
FAST,2018-05-03 15:00:00+00:00,48.34,48.71,48.23,48.64,132166.0
FAST,2018-05-03 16:00:00+00:00,48.65,49.26,48.65,49.26,121065.0
FAST,2018-05-03 17:00:00+00:00,49.26,49.58,49.11,49.36,123349.0
FAST,2018-05-03 18:00:00+00:00,49.365,49.74,49.3,49.54,106408.0
FAST,2018-05-03 19:00:00+00:00,49.55,49.69,49.39,49.49,251046.0
FAST,2018-05-03 20:00:00+00:00,49.49,49.52,49.49,49.52,96437.0
FAST,2018-05-04 13:00:00+00:00,49.14,50.09,48.98,50.09,89457.0
FAST,2018-05-04 14:00:00+00:00,50.06,50.63,49.89,50.55,103770.0
FAST,2018-05-04 15:00:00+00:00,50.48,50.68,50.28,50.37,66586.0
FAST,2018-05-04 16:00:00+00:00,50.38,50.49,50.27,50.44,44390.0
FAST,2018-05-04 17:00:00+00:00,50.44,50.77,50.42,50.68,66503.0
FAST,2018-05-04 18:00:00+00:00,50.685,51.0,50.665,50.92,62687.0
FAST,2018-05-04 19:00:00+00:00,50.92,50.96,50.51,50.65,162390.0
FAST,2018-05-04 20:00:00+00:00,50.65,50.65,50.65,50.65,84334.0
FAST,2018-05-07 13:00:00+00:00,50.77,50.99,50.52,50.72,69500.0
FAST,2018-05-07 14:00:00+00:00,50.73,51.29,50.66,51.26,109757.0
FAST,2018-05-07 15:00:00+00:00,51.25,51.32,50.94,50.97,89174.0
FAST,2018-05-07 16:00:00+00:00,50.98,51.1,50.92,51.1,73502.0
FAST,2018-05-07 17:00:00+00:00,51.11,51.24,51.08,51.17,59287.0
FAST,2018-05-07 18:00:00+00:00,51.17,51.52,51.14,51.35,75460.0
FAST,2018-05-07 19:00:00+00:00,51.35,51.43,51.17,51.41,256308.0
FAST,2018-05-07 20:00:00+00:00,51.4,51.4,51.4,51.4,227666.0
