symbol,ts,open,high,low,close,volume
FE,2018-05-01 13:00:00+00:00,34.34,34.35,34.16,34.23,39032.0
FE,2018-05-01 14:00:00+00:00,34.22,34.29,34.03,34.13,58900.0
FE,2018-05-01 15:00:00+00:00,34.13,34.21,34.06,34.18,43325.0
FE,2018-05-01 16:00:00+00:00,34.165,34.17,33.995,34.0,38601.0
FE,2018-05-01 17:00:00+00:00,34.0,34.09,33.94,34.07,32891.0
FE,2018-05-01 18:00:00+00:00,34.08,34.08,33.9,33.9,57398.0
FE,2018-05-01 19:00:00+00:00,33.9,33.91,33.77,33.85,123799.0
FE,2018-05-02 13:00:00+00:00,33.92,34.03,33.8,33.835,29902.0
FE,2018-05-02 14:00:00+00:00,33.825,34.16,33.79,34.14,67007.0
FE,2018-05-02 15:00:00+00:00,34.13,34.14,33.83,33.85,41179.0
FE,2018-05-02 16:00:00+00:00,33.84,33.885,33.81,33.87,27697.0
FE,2018-05-02 17:00:00+00:00,33.865,34.06,33.865,34.04,36664.0
FE,2018-05-02 18:00:00+00:00,34.04,34.18,34.04,34.09,50539.0
FE,2018-05-02 19:00:00+00:00,34.08,34.09,33.9,34.01,121753.0
FE,2018-05-03 13:00:00+00:00,33.92,33.94,33.4,33.63,53107.0
FE,2018-05-03 14:00:00+00:00,33.64,33.7,33.44,33.7,61022.0
FE,2018-05-03 15:00:00+00:00,33.7,33.84,33.65,33.78,85067.0
FE,2018-05-03 16:00:00+00:00,33.79,33.89,33.7,33.88,78627.0
FE,2018-05-03 17:00:00+00:00,33.87,34.02,33.69,34.01,72333.0
FE,2018-05-03 18:00:00+00:00,34.01,34.05,33.78,33.84,39945.0
FE,2018-05-03 19:00:00+00:00,33.84,33.93,33.82,33.89,95744.0
FE,2018-05-04 13:00:00+00:00,33.63,33.84,33.59,33.74,61955.0
FE,2018-05-04 14:00:00+00:00,33.75,33.94,33.725,33.87,108402.0
FE,2018-05-04 15:00:00+00:00,33.87,34.07,33.8,34.04,113936.0
FE,2018-05-04 16:00:00+00:00,34.035,34.19,34.035,34.16,63309.0
FE,2018-05-04 17:00:00+00:00,34.165,34.21,34.09,34.1,46842.0
FE,2018-05-04 18:00:00+00:00,34.1,34.22,34.04,34.135,48384.0
FE,2018-05-04 19:00:00+00:00,34.14,34.2,34.05,34.1,127850.0
FE,2018-05-07 13:00:00+00:00,34.45,34.64,34.42,34.5,47817.0
FE,2018-05-07 14:00:00+00:00,34.51,34.54,34.38,34.38,57722.0
FE,2018-05-07 15:00:00+00:00,34.38,34.415,34.34,34.385,46787.0
FE,2018-05-07 16:00:00+00:00,34.38,34.485,34.31,34.405,49684.0
FE,2018-05-07 17:00:00+00:00,34.4,34.405,34.295,34.36,46783.0
FE,2018-05-07 18:00:00+00:00,34.36,34.37,34.245,34.255,48804.0
FE,2018-05-07 19:00:00+00:00,34.26,34.27,34.06,34.14,143005.0
FE,2018-05-08 13:00:00+00:00,34.04,34.04,33.41,33.42,30927.0
FE,2018-05-08 14:00:00+00:00,33.42,33.66,33.415,33.49,54665.0
FE,2018-05-08 15:00:00+00:00,33.48,33.61,33.4,33.57,69172.0
FE,2018-05-08 16:00:00+00:00,33.58,33.58,33.43,33.43,50661.0
FE,2018-05-08 17:00:00+00:00,33.43,33.455,33.32,33.32,62638.0
FE,2018-05-08 18:00:00+00:00,33.32,33.32,33.09,33.12,75787.0
FE,2018-05-08 19:00:00+00:00,33.11,33.305,33.11,33.24,111225.0
FE,2018-05-09 12:00:00+00:00,33.0,33.0,33.0,33.0,1.0
