symbol,ts,open,high,low,close,volume
FFIV,2018-05-01 13:00:00+00:00,160.91,162.25,160.31,162.2,79365.0
FFIV,2018-05-01 14:00:00+00:00,162.17,162.17,161.17,161.91,43147.0
FFIV,2018-05-01 15:00:00+00:00,161.87,162.53,161.48,161.99,36147.0
FFIV,2018-05-01 16:00:00+00:00,161.98,162.78,161.93,162.6,25723.0
FFIV,2018-05-01 17:00:00+00:00,162.59,163.12,162.25,163.06,33874.0
FFIV,2018-05-01 18:00:00+00:00,163.03,164.74,163.03,164.59,52008.0
FFIV,2018-05-01 19:00:00+00:00,164.6,164.87,163.93,164.67,85790.0
FFIV,2018-05-01 20:00:00+00:00,164.67,164.67,164.67,164.67,30750.0
FFIV,2018-05-02 11:00:00+00:00,165.03,165.03,164.6,164.6,525.0
FFIV,2018-05-02 13:00:00+00:00,163.85,164.32,162.43,164.27,150013.0
FFIV,2018-05-02 14:00:00+00:00,164.27,165.71,164.09,164.27,43474.0
FFIV,2018-05-02 15:00:00+00:00,164.26,164.75,163.9,164.42,24450.0
FFIV,2018-05-02 16:00:00+00:00,164.43,165.5,164.25,165.5,21117.0
FFIV,2018-05-02 17:00:00+00:00,165.53,166.39,165.5,166.37,27456.0
FFIV,2018-05-02 18:00:00+00:00,166.31,166.76,166.01,166.33,43573.0
FFIV,2018-05-02 19:00:00+00:00,166.365,166.86,165.4,165.74,86696.0
FFIV,2018-05-02 20:00:00+00:00,165.72,165.72,165.72,165.72,50373.0
FFIV,2018-05-03 13:00:00+00:00,164.54,166.88,163.58,166.82,59945.0
FFIV,2018-05-03 14:00:00+00:00,166.82,166.88,164.43,164.49,49422.0
FFIV,2018-05-03 15:00:00+00:00,164.49,165.33,164.17,165.14,36410.0
FFIV,2018-05-03 16:00:00+00:00,165.22,167.13,165.18,167.13,29932.0
FFIV,2018-05-03 17:00:00+00:00,167.0,167.94,166.68,167.49,39036.0
FFIV,2018-05-03 18:00:00+00:00,167.48,168.44,167.26,168.27,50632.0
FFIV,2018-05-03 19:00:00+00:00,168.3,168.61,167.81,168.33,109869.0
FFIV,2018-05-03 20:00:00+00:00,168.32,168.34,168.32,168.34,60407.0
FFIV,2018-05-04 13:00:00+00:00,167.35,168.0,166.58,167.26,49946.0
FFIV,2018-05-04 14:00:00+00:00,167.27,168.15,166.96,167.48,46935.0
FFIV,2018-05-04 15:00:00+00:00,167.51,167.87,167.24,167.59,47456.0
FFIV,2018-05-04 16:00:00+00:00,167.53,167.77,166.92,167.01,45575.0
FFIV,2018-05-04 17:00:00+00:00,167.2,167.55,166.76,167.49,24406.0
FFIV,2018-05-04 18:00:00+00:00,167.49,168.64,167.48,168.63,33554.0
FFIV,2018-05-04 19:00:00+00:00,168.57,168.69,167.95,168.12,79737.0
FFIV,2018-05-04 20:00:00+00:00,168.13,168.13,168.13,168.13,123698.0
FFIV,2018-05-07 13:00:00+00:00,168.96,169.45,168.04,169.165,29449.0
FFIV,2018-05-07 14:00:00+00:00,169.1,169.26,168.37,168.52,60474.0
FFIV,2018-05-07 15:00:00+00:00,168.51,168.88,168.27,168.88,38109.0
FFIV,2018-05-07 16:00:00+00:00,168.92,169.69,168.91,169.31,33754.0
FFIV,2018-05-07 17:00:00+00:00,169.32,170.22,169.29,169.99,24436.0
FFIV,2018-05-07 18:00:00+00:00,170.06,170.09,169.47,169.69,36264.0
