symbol,ts,open,high,low,close,volume
FICO,2018-05-01 13:00:00+00:00,173.27,173.27,171.33,171.81,1633.0
FICO,2018-05-01 14:00:00+00:00,172.18,172.18,171.14,171.87,2995.0
FICO,2018-05-01 15:00:00+00:00,171.9,173.42,171.84,173.42,4941.0
FICO,2018-05-01 16:00:00+00:00,172.97,173.42,172.95,173.32,2215.0
FICO,2018-05-01 17:00:00+00:00,173.25,173.94,172.95,173.94,1293.0
FICO,2018-05-01 18:00:00+00:00,174.01,174.14,173.57,174.09,1642.0
FICO,2018-05-01 19:00:00+00:00,174.22,174.78,174.0,174.3,11337.0
FICO,2018-05-02 13:00:00+00:00,173.19,174.03,172.44,174.03,1499.0
FICO,2018-05-02 14:00:00+00:00,174.23,174.36,173.03,174.22,2725.0
FICO,2018-05-02 15:00:00+00:00,174.09,174.09,171.72,172.45,3893.0
FICO,2018-05-02 16:00:00+00:00,172.45,172.87,172.1,172.5,1379.0
FICO,2018-05-02 17:00:00+00:00,172.69,172.74,172.33,172.65,5053.0
FICO,2018-05-02 18:00:00+00:00,172.665,172.85,172.0,172.0,7445.0
FICO,2018-05-02 19:00:00+00:00,172.26,172.65,170.69,171.25,11506.0
FICO,2018-05-02 20:00:00+00:00,170.5,170.5,170.5,170.5,5.0
FICO,2018-05-03 13:00:00+00:00,171.72,171.75,171.19,171.75,1543.0
FICO,2018-05-03 14:00:00+00:00,172.325,172.46,169.72,169.72,2833.0
FICO,2018-05-03 15:00:00+00:00,170.21,172.63,170.21,172.63,2091.0
FICO,2018-05-03 16:00:00+00:00,172.53,172.96,171.78,172.96,4423.0
FICO,2018-05-03 17:00:00+00:00,172.91,173.23,172.54,173.15,3433.0
FICO,2018-05-03 18:00:00+00:00,172.93,174.17,172.79,173.25,2074.0
FICO,2018-05-03 19:00:00+00:00,173.52,173.87,173.15,173.6,7433.0
FICO,2018-05-04 13:00:00+00:00,172.59,172.59,171.97,171.97,1274.0
FICO,2018-05-04 14:00:00+00:00,172.25,174.2,172.25,174.08,2487.0
FICO,2018-05-04 15:00:00+00:00,174.23,175.45,174.23,175.43,2411.0
FICO,2018-05-04 16:00:00+00:00,175.51,176.0,175.51,176.0,2350.0
FICO,2018-05-04 17:00:00+00:00,176.13,176.31,175.85,176.11,1515.0
FICO,2018-05-04 18:00:00+00:00,176.06,176.86,176.06,176.74,1944.0
FICO,2018-05-04 19:00:00+00:00,176.66,176.66,175.81,176.14,6593.0
FICO,2018-05-07 13:00:00+00:00,176.84,177.3,176.41,176.41,1058.0
FICO,2018-05-07 14:00:00+00:00,176.8,177.36,176.59,177.06,1683.0
FICO,2018-05-07 15:00:00+00:00,177.13,177.41,176.97,177.29,1008.0
FICO,2018-05-07 16:00:00+00:00,177.39,177.505,177.12,177.12,634.0
FICO,2018-05-07 17:00:00+00:00,177.25,177.54,177.18,177.32,853.0
FICO,2018-05-07 18:00:00+00:00,177.49,177.49,176.52,176.52,949.0
FICO,2018-05-07 19:00:00+00:00,176.59,176.84,175.84,176.31,4937.0
FICO,2018-05-08 13:00:00+00:00,175.69,175.86,174.86,175.04,423.0
FICO,2018-05-08 14:00:00+00:00,175.1,176.57,175.1,176.08,2258.0
FICO,2018-05-08 15:00:00+00:00,175.95,176.19,175.42,175.68,2154.0
FICO,2018-05-08 16:00:00+00:00,175.64,175.64,174.81,174.83,2380.0
FICO,2018-05-08 17:00:00+00:00,174.975,176.13,174.9,175.8,3673.0
FICO,2018-05-08 18:00:00+00:00,175.8,176.37,175.59,176.23,1670.0
FICO,2018-05-08 19:00:00+00:00,176.12,176.4,175.62,175.79,3488.0
FICO,2018-05-09 13:00:00+00:00,175.79,176.46,175.76,175.85,332.0
FICO,2018-05-09 14:00:00+00:00,175.92,176.35,174.79,175.13,1495.0
FICO,2018-05-09 15:00:00+00:00,175.22,176.04,175.22,175.74,2045.0
FICO,2018-05-09 16:00:00+00:00,175.79,176.46,175.65,176.19,1214.0
FICO,2018-05-09 17:00:00+00:00,176.37,177.36,176.32,177.23,2412.0
FICO,2018-05-09 18:00:00+00:00,177.24,177.28,176.85,176.85,1145.0
FICO,2018-05-09 19:00:00+00:00,176.91,176.92,176.35,176.42,6532.0
FICO,2018-05-10 13:00:00+00:00,177.34,178.57,177.34,178.57,1097.0
FICO,2018-05-10 14:00:00+00:00,178.54,179.2,178.44,178.95,3828.0
FICO,2018-05-10 15:00:00+00:00,178.95,179.36,178.86,179.18,3310.0
FICO,2018-05-10 16:00:00+00:00,179.18,179.53,179.06,179.28,5851.0
FICO,2018-05-10 17:00:00+00:00,179.32,179.77,179.25,179.25,1755.0
FICO,2018-05-10 18:00:00+00:00,179.29,179.71,179.0,179.58,3277.0
FICO,2018-05-10 19:00:00+00:00,179.42,179.55,178.9,179.12,5098.0
FICO,2018-05-11 13:00:00+00:00,178.9,179.45,178.79,179.44,1412.0
