symbol,ts,open,high,low,close,volume
FIX,2018-05-01 13:00:00+00:00,41.65,41.75,41.65,41.75,392.0
FIX,2018-05-01 14:00:00+00:00,41.55,41.55,41.35,41.35,757.0
FIX,2018-05-01 15:00:00+00:00,41.325,41.65,41.3,41.5,2033.0
FIX,2018-05-01 16:00:00+00:00,41.5,41.65,41.5,41.6,502.0
FIX,2018-05-01 17:00:00+00:00,41.6,41.75,41.5,41.7,1110.0
FIX,2018-05-01 18:00:00+00:00,41.75,41.95,41.65,41.85,2154.0
FIX,2018-05-01 19:00:00+00:00,41.85,42.0,41.825,41.95,4653.0
FIX,2018-05-02 13:00:00+00:00,42.0,42.05,41.7,41.7,400.0
FIX,2018-05-02 14:00:00+00:00,41.5,42.0,41.5,42.0,727.0
FIX,2018-05-02 15:00:00+00:00,42.0,42.1,41.8,42.1,785.0
FIX,2018-05-02 16:00:00+00:00,42.1,42.1,42.1,42.1,229.0
FIX,2018-05-02 17:00:00+00:00,42.15,42.15,42.1,42.15,490.0
FIX,2018-05-02 18:00:00+00:00,42.15,42.2,42.05,42.1,1668.0
FIX,2018-05-02 19:00:00+00:00,42.1,42.2,41.95,42.0,3281.0
FIX,2018-05-03 13:00:00+00:00,42.05,42.05,41.95,42.0,385.0
FIX,2018-05-03 14:00:00+00:00,41.75,41.8,41.45,41.65,1917.0
FIX,2018-05-03 15:00:00+00:00,41.55,42.0,41.5,42.0,1299.0
FIX,2018-05-03 16:00:00+00:00,42.0,42.3,42.0,42.3,671.0
FIX,2018-05-03 17:00:00+00:00,42.2,42.45,42.2,42.4,435.0
FIX,2018-05-03 18:00:00+00:00,42.35,42.55,42.35,42.55,641.0
FIX,2018-05-03 19:00:00+00:00,42.45,42.55,42.4,42.45,3819.0
FIX,2018-05-04 13:00:00+00:00,42.25,42.25,41.8,42.0,1185.0
FIX,2018-05-04 14:00:00+00:00,41.9,42.45,41.75,42.45,934.0
FIX,2018-05-04 15:00:00+00:00,42.45,42.75,42.45,42.6,1850.0
FIX,2018-05-04 16:00:00+00:00,42.6,42.7,42.6,42.7,1603.0
FIX,2018-05-04 17:00:00+00:00,42.75,42.9,42.75,42.9,1459.0
FIX,2018-05-04 18:00:00+00:00,42.9,42.9,42.85,42.85,1466.0
FIX,2018-05-04 19:00:00+00:00,42.9,42.9,42.75,42.75,2765.0
FIX,2018-05-07 13:00:00+00:00,42.75,42.75,42.75,42.75,400.0
FIX,2018-05-07 14:00:00+00:00,42.7,42.75,42.65,42.7,1001.0
FIX,2018-05-07 15:00:00+00:00,42.7,42.75,42.7,42.725,990.0
FIX,2018-05-07 16:00:00+00:00,42.725,42.75,42.5,42.75,2558.0
FIX,2018-05-07 17:00:00+00:00,42.75,42.9,42.75,42.9,819.0
FIX,2018-05-07 18:00:00+00:00,42.95,43.1,42.9,43.0,1795.0
FIX,2018-05-07 19:00:00+00:00,43.05,43.05,42.9,43.0,3397.0
FIX,2018-05-08 13:00:00+00:00,43.0,43.5,43.0,43.5,653.0
FIX,2018-05-08 14:00:00+00:00,43.6,43.85,43.6,43.8,782.0
FIX,2018-05-08 15:00:00+00:00,43.85,43.9,43.8,43.85,1329.0
FIX,2018-05-08 16:00:00+00:00,43.85,43.85,43.65,43.7,632.0
FIX,2018-05-08 17:00:00+00:00,43.85,43.95,43.85,43.9,302.0
