symbol,ts,open,high,low,close,volume
FRT,2018-05-01 13:00:00+00:00,115.88,116.39,115.81,115.85,1260.0
FRT,2018-05-01 14:00:00+00:00,115.98,116.49,115.77,115.98,4626.0
FRT,2018-05-01 15:00:00+00:00,115.65,116.48,115.65,116.31,3958.0
FRT,2018-05-01 16:00:00+00:00,116.24,116.37,116.03,116.3,3112.0
FRT,2018-05-01 17:00:00+00:00,116.34,117.13,116.34,117.12,9373.0
FRT,2018-05-01 18:00:00+00:00,117.12,117.72,116.97,117.72,13845.0
FRT,2018-05-01 19:00:00+00:00,117.8,117.89,117.43,117.43,20535.0
FRT,2018-05-02 11:00:00+00:00,117.5,117.5,117.5,117.5,500.0
FRT,2018-05-02 13:00:00+00:00,117.47,123.4,115.0,115.02,6330.0
FRT,2018-05-02 14:00:00+00:00,114.915,116.52,114.72,116.4,13249.0
FRT,2018-05-02 15:00:00+00:00,116.37,116.87,116.16,116.18,9703.0
FRT,2018-05-02 16:00:00+00:00,116.1,116.2,115.85,115.98,14236.0
FRT,2018-05-02 17:00:00+00:00,115.92,116.58,115.76,116.56,9068.0
FRT,2018-05-02 18:00:00+00:00,116.49,116.94,116.21,116.38,10455.0
FRT,2018-05-02 19:00:00+00:00,116.38,116.58,115.28,115.6,43887.0
FRT,2018-05-03 13:00:00+00:00,116.13,117.17,115.77,116.15,9111.0
FRT,2018-05-03 14:00:00+00:00,116.22,117.41,115.93,116.99,26487.0
FRT,2018-05-03 15:00:00+00:00,117.01,118.58,117.0,117.86,13825.0
FRT,2018-05-03 16:00:00+00:00,117.76,117.92,117.25,117.65,8871.0
FRT,2018-05-03 17:00:00+00:00,117.57,117.8,117.15,117.68,8495.0
FRT,2018-05-03 18:00:00+00:00,117.6,117.73,117.19,117.36,14348.0
FRT,2018-05-03 19:00:00+00:00,117.355,117.52,117.18,117.31,33746.0
FRT,2018-05-04 13:00:00+00:00,117.6,118.14,117.4,117.68,3884.0
FRT,2018-05-04 14:00:00+00:00,117.67,118.03,117.38,117.68,7751.0
FRT,2018-05-04 15:00:00+00:00,117.65,118.38,117.52,118.14,9719.0
FRT,2018-05-04 16:00:00+00:00,118.08,118.63,118.06,118.42,6901.0
FRT,2018-05-04 17:00:00+00:00,118.4,118.54,118.14,118.28,3856.0
FRT,2018-05-04 18:00:00+00:00,118.28,118.85,118.28,118.67,9285.0
FRT,2018-05-04 19:00:00+00:00,118.7,119.01,118.64,118.73,36901.0
FRT,2018-05-07 13:00:00+00:00,119.25,119.5,118.47,118.52,3052.0
FRT,2018-05-07 14:00:00+00:00,118.6,118.69,118.03,118.15,7025.0
FRT,2018-05-07 15:00:00+00:00,118.07,118.99,118.07,118.93,5484.0
FRT,2018-05-07 16:00:00+00:00,118.92,119.1,118.58,118.92,5397.0
FRT,2018-05-07 17:00:00+00:00,118.86,119.01,118.61,118.7,2685.0
FRT,2018-05-07 18:00:00+00:00,118.65,118.72,118.52,118.55,6435.0
FRT,2018-05-07 19:00:00+00:00,118.63,118.91,118.23,118.8,25966.0
FRT,2018-05-08 13:00:00+00:00,118.46,118.71,117.55,117.81,4785.0
FRT,2018-05-08 14:00:00+00:00,117.82,118.03,117.54,117.66,8303.0
FRT,2018-05-08 15:00:00+00:00,117.53,117.8,117.45,117.45,6833.0
FRT,2018-05-08 16:00:00+00:00,117.47,117.59,116.92,116.92,5395.0
FRT,2018-05-08 17:00:00+00:00,116.98,117.37,116.92,117.36,6522.0
FRT,2018-05-08 18:00:00+00:00,117.36,117.51,117.17,117.505,13440.0
FRT,2018-05-08 19:00:00+00:00,117.49,117.94,117.47,117.82,22540.0
FRT,2018-05-09 13:00:00+00:00,117.79,118.12,117.44,118.04,3651.0
