symbol,ts,open,high,low,close,volume
GE,2018-05-01 11:00:00+00:00,14.14,14.14,14.14,14.14,20.0
GE,2018-05-01 12:00:00+00:00,14.09,14.09,14.08,14.08,1083.0
GE,2018-05-01 13:00:00+00:00,14.07,14.1,13.895,13.93,585777.0
GE,2018-05-01 14:00:00+00:00,13.92,13.925,13.85,13.86,525068.0
GE,2018-05-01 15:00:00+00:00,13.855,13.94,13.835,13.895,341385.0
GE,2018-05-01 16:00:00+00:00,13.895,13.935,13.855,13.865,294842.0
GE,2018-05-01 17:00:00+00:00,13.865,13.965,13.83,13.965,345678.0
GE,2018-05-01 18:00:00+00:00,13.97,14.04,13.965,14.015,384142.0
GE,2018-05-01 19:00:00+00:00,14.015,14.045,13.955,14.04,595567.0
GE,2018-05-01 20:00:00+00:00,14.03,14.07,14.01,14.05,1664.0
GE,2018-05-01 21:00:00+00:00,14.06,14.06,14.05,14.05,1810.0
GE,2018-05-01 22:00:00+00:00,14.06,14.1,14.06,14.09,6814.0
GE,2018-05-01 23:00:00+00:00,14.09,14.09,14.09,14.09,181.0
GE,2018-05-02 08:00:00+00:00,14.21,14.21,14.2,14.2,183.0
GE,2018-05-02 09:00:00+00:00,14.2,14.21,14.16,14.21,1981.0
GE,2018-05-02 10:00:00+00:00,14.2,14.2,14.2,14.2,200.0
GE,2018-05-02 11:00:00+00:00,14.17,14.17,14.15,14.16,1462.0
GE,2018-05-02 12:00:00+00:00,14.11,14.15,14.11,14.12,6613.0
GE,2018-05-02 13:00:00+00:00,14.11,14.22,14.08,14.11,471358.0
GE,2018-05-02 14:00:00+00:00,14.11,14.235,14.095,14.23,511113.0
GE,2018-05-02 15:00:00+00:00,14.225,14.315,14.215,14.245,754651.0
GE,2018-05-02 16:00:00+00:00,14.245,14.37,14.245,14.34,380818.0
GE,2018-05-02 17:00:00+00:00,14.345,14.345,14.27,14.28,242770.0
GE,2018-05-02 18:00:00+00:00,14.285,14.32,14.255,14.255,360686.0
GE,2018-05-02 19:00:00+00:00,14.255,14.26,14.155,14.175,1004891.0
GE,2018-05-02 20:00:00+00:00,14.18,14.18,14.16,14.17,5707.0
GE,2018-05-02 21:00:00+00:00,14.15,14.15,14.15,14.15,903.0
GE,2018-05-02 22:00:00+00:00,14.15,14.15,14.15,14.15,895.0
GE,2018-05-03 08:00:00+00:00,14.38,14.38,14.29,14.29,36.0
GE,2018-05-03 09:00:00+00:00,14.36,14.36,14.36,14.36,3.0
GE,2018-05-03 10:00:00+00:00,14.32,14.32,14.32,14.32,173.0
GE,2018-05-03 11:00:00+00:00,14.25,14.27,14.2,14.21,2846.0
GE,2018-05-03 12:00:00+00:00,14.21,14.23,14.2,14.22,7292.0
GE,2018-05-03 13:00:00+00:00,14.21,14.23,14.02,14.12,457659.0
GE,2018-05-03 14:00:00+00:00,14.11,14.11,13.915,13.94,883684.0
GE,2018-05-03 15:00:00+00:00,13.945,14.005,13.925,13.975,364301.0
GE,2018-05-03 16:00:00+00:00,13.975,14.045,13.855,14.035,649302.0
GE,2018-05-03 17:00:00+00:00,14.03,14.07,13.975,14.0,438838.0
GE,2018-05-03 18:00:00+00:00,14.0,14.015,13.965,13.98,365263.0
GE,2018-05-03 19:00:00+00:00,13.98,13.99,13.89,13.925,1020343.0
GE,2018-05-03 20:00:00+00:00,13.96,13.96,13.91,13.91,300.0
GE,2018-05-03 21:00:00+00:00,13.95,13.95,13.94,13.95,2100.0
GE,2018-05-03 23:00:00+00:00,13.95,13.95,13.94,13.94,381.0
GE,2018-05-04 08:00:00+00:00,13.96,13.96,13.96,13.96,10.0
GE,2018-05-04 11:00:00+00:00,13.96,14.03,13.95,13.98,2764.0
GE,2018-05-04 12:00:00+00:00,14.0,14.0,13.93,13.95,33225.0
GE,2018-05-04 13:00:00+00:00,13.95,14.045,13.77,14.01,580987.0
GE,2018-05-04 14:00:00+00:00,14.0,14.035,13.885,14.02,475117.0
GE,2018-05-04 15:00:00+00:00,14.02,14.025,13.98,14.015,287571.0
GE,2018-05-04 16:00:00+00:00,14.015,14.05,13.995,14.035,303354.0
GE,2018-05-04 17:00:00+00:00,14.035,14.05,14.025,14.035,118915.0
GE,2018-05-04 18:00:00+00:00,14.035,14.125,14.035,14.11,317080.0
GE,2018-05-04 19:00:00+00:00,14.105,14.12,14.055,14.09,441601.0
GE,2018-05-04 20:00:00+00:00,14.1,14.12,14.09,14.09,4347.0
GE,2018-05-04 21:00:00+00:00,14.1,14.1,14.09,14.09,342.0
GE,2018-05-07 09:00:00+00:00,14.28,14.28,14.2,14.2,185.0
GE,2018-05-07 10:00:00+00:00,14.23,14.24,14.2,14.2,1400.0
GE,2018-05-07 11:00:00+00:00,14.2,14.21,14.17,14.17,7511.0
GE,2018-05-07 12:00:00+00:00,14.17,14.19,14.15,14.16,4199.0
GE,2018-05-07 13:00:00+00:00,14.15,14.16,14.0,14.09,322592.0
GE,2018-05-07 14:00:00+00:00,14.095,14.135,14.015,14.065,408794.0
GE,2018-05-07 15:00:00+00:00,14.07,14.165,14.045,14.16,274304.0
GE,2018-05-07 16:00:00+00:00,14.17,14.175,14.08,14.085,205222.0
GE,2018-05-07 17:00:00+00:00,14.085,14.1,14.06,14.095,117318.0
GE,2018-05-07 18:00:00+00:00,14.095,14.13,14.075,14.075,410691.0
GE,2018-05-07 19:00:00+00:00,14.075,14.075,14.045,14.07,490118.0
GE,2018-05-07 20:00:00+00:00,14.06,14.09,14.05,14.06,1533.0
GE,2018-05-07 21:00:00+00:00,14.07,14.09,14.07,14.08,538.0
GE,2018-05-08 08:00:00+00:00,14.11,14.11,14.07,14.07,524.0
GE,2018-05-08 09:00:00+00:00,14.11,14.11,14.11,14.11,150.0
GE,2018-05-08 10:00:00+00:00,14.07,14.07,14.07,14.07,476.0
GE,2018-05-08 11:00:00+00:00,14.07,14.08,14.03,14.05,1494.0
GE,2018-05-08 12:00:00+00:00,14.07,14.07,14.04,14.06,550.0
GE,2018-05-08 13:00:00+00:00,14.07,14.275,14.07,14.27,598106.0
GE,2018-05-08 14:00:00+00:00,14.27,14.49,14.27,14.375,1187899.0
GE,2018-05-08 15:00:00+00:00,14.38,14.385,14.265,14.275,616380.0
GE,2018-05-08 16:00:00+00:00,14.27,14.33,14.265,14.315,422458.0
GE,2018-05-08 17:00:00+00:00,14.31,14.37,14.29,14.345,462662.0
GE,2018-05-08 18:00:00+00:00,14.345,14.37,14.22,14.22,442534.0
GE,2018-05-08 19:00:00+00:00,14.22,14.28,14.205,14.27,884224.0
GE,2018-05-08 20:00:00+00:00,14.27,14.27,14.25,14.25,1887.0
GE,2018-05-08 21:00:00+00:00,14.25,14.25,14.25,14.25,500.0
GE,2018-05-08 22:00:00+00:00,14.28,14.3,14.28,14.29,3508.0
GE,2018-05-08 23:00:00+00:00,14.29,14.3,14.28,14.3,4227.0
GE,2018-05-09 09:00:00+00:00,14.32,14.32,14.32,14.32,200.0
GE,2018-05-09 10:00:00+00:00,14.41,14.41,14.38,14.4,339.0
GE,2018-05-09 11:00:00+00:00,14.34,14.39,14.34,14.36,8678.0
GE,2018-05-09 12:00:00+00:00,14.36,14.42,14.36,14.4,9457.0
GE,2018-05-09 13:00:00+00:00,14.39,14.415,14.31,14.375,309971.0
GE,2018-05-09 14:00:00+00:00,14.37,14.61,14.34,14.49,698767.0
GE,2018-05-09 15:00:00+00:00,14.495,14.595,14.495,14.555,317157.0
GE,2018-05-09 16:00:00+00:00,14.56,14.62,14.56,14.595,334112.0
GE,2018-05-09 17:00:00+00:00,14.6,14.615,14.56,14.615,226105.0
GE,2018-05-09 18:00:00+00:00,14.62,14.68,14.615,14.675,427700.0
GE,2018-05-09 19:00:00+00:00,14.67,14.675,14.595,14.62,728942.0
GE,2018-05-09 20:00:00+00:00,14.62,14.65,14.62,14.65,3747.0
GE,2018-05-09 21:00:00+00:00,14.65,14.68,14.63,14.63,2624.0
GE,2018-05-09 22:00:00+00:00,14.63,14.65,14.63,14.65,830.0
GE,2018-05-09 23:00:00+00:00,14.63,14.63,14.63,14.63,100.0
GE,2018-05-10 08:00:00+00:00,14.62,14.7,14.62,14.7,3372.0
GE,2018-05-10 09:00:00+00:00,14.69,14.69,14.69,14.69,800.0
GE,2018-05-10 10:00:00+00:00,14.72,14.72,14.69,14.69,1014.0
GE,2018-05-10 11:00:00+00:00,14.69,14.71,14.66,14.7,4969.0
GE,2018-05-10 12:00:00+00:00,14.68,14.72,14.68,14.71,6022.0
GE,2018-05-10 13:00:00+00:00,14.72,14.76,14.615,14.685,297684.0
GE,2018-05-10 14:00:00+00:00,14.685,14.685,14.5,14.505,458325.0
GE,2018-05-10 15:00:00+00:00,14.505,14.66,14.505,14.66,236122.0
GE,2018-05-10 16:00:00+00:00,14.66,14.695,14.655,14.675,188858.0
GE,2018-05-10 17:00:00+00:00,14.67,14.67,14.61,14.645,253346.0
GE,2018-05-10 18:00:00+00:00,14.645,14.68,14.61,14.67,391268.0
GE,2018-05-10 19:00:00+00:00,14.675,14.695,14.64,14.68,704521.0
GE,2018-05-10 20:00:00+00:00,14.69,14.7,14.67,14.69,1375.0
