symbol,ts,open,high,low,close,volume
GEN,2018-05-01 13:00:00+00:00,1.53,1.53,1.53,1.53,900.0
GEN,2018-05-01 14:00:00+00:00,1.53,1.53,1.53,1.53,150.0
GEN,2018-05-01 15:00:00+00:00,1.53,1.57,1.53,1.56,13510.0
GEN,2018-05-01 16:00:00+00:00,1.57,1.57,1.57,1.57,939.0
GEN,2018-05-01 17:00:00+00:00,1.57,1.57,1.57,1.57,100.0
GEN,2018-05-01 18:00:00+00:00,1.565,1.62,1.565,1.62,5444.0
GEN,2018-05-01 19:00:00+00:00,1.62,1.64,1.62,1.635,4011.0
GEN,2018-05-02 13:00:00+00:00,1.62,1.71,1.6,1.71,16445.0
GEN,2018-05-02 14:00:00+00:00,1.69,1.75,1.67,1.71,14267.0
GEN,2018-05-02 15:00:00+00:00,1.7,1.7,1.64,1.64,4670.0
GEN,2018-05-02 16:00:00+00:00,1.64,1.64,1.63,1.63,2675.0
GEN,2018-05-02 17:00:00+00:00,1.62,1.62,1.62,1.62,130.0
GEN,2018-05-02 18:00:00+00:00,1.63,1.63,1.55,1.55,4367.0
GEN,2018-05-02 19:00:00+00:00,1.55,1.56,1.53,1.54,4969.0
GEN,2018-05-03 13:00:00+00:00,1.53,1.56,1.52,1.56,2289.0
GEN,2018-05-03 14:00:00+00:00,1.55,1.55,1.51,1.51,4580.0
GEN,2018-05-03 15:00:00+00:00,1.51,1.52,1.51,1.52,2100.0
GEN,2018-05-03 16:00:00+00:00,1.53,1.535,1.52,1.52,1200.0
GEN,2018-05-03 18:00:00+00:00,1.515,1.515,1.51,1.51,3500.0
GEN,2018-05-03 19:00:00+00:00,1.51,1.52,1.51,1.515,3750.0
GEN,2018-05-04 13:00:00+00:00,1.49,1.55,1.49,1.55,1461.0
GEN,2018-05-04 14:00:00+00:00,1.53,1.56,1.53,1.56,2701.0
GEN,2018-05-04 15:00:00+00:00,1.555,1.58,1.555,1.58,1014.0
GEN,2018-05-04 16:00:00+00:00,1.59,1.62,1.59,1.62,4775.0
GEN,2018-05-04 17:00:00+00:00,1.63,1.65,1.63,1.63,5020.0
GEN,2018-05-04 19:00:00+00:00,1.62,1.62,1.595,1.595,2612.0
GEN,2018-05-07 13:00:00+00:00,1.61,1.61,1.6,1.6,300.0
GEN,2018-05-07 14:00:00+00:00,1.61,1.66,1.61,1.65,1220.0
GEN,2018-05-07 15:00:00+00:00,1.65,1.66,1.64,1.64,10262.0
GEN,2018-05-07 16:00:00+00:00,1.64,1.65,1.64,1.64,1200.0
GEN,2018-05-07 17:00:00+00:00,1.64,1.64,1.64,1.64,232.0
GEN,2018-05-07 18:00:00+00:00,1.64,1.66,1.64,1.66,2712.0
GEN,2018-05-07 19:00:00+00:00,1.65,1.66,1.64,1.64,3750.0
GEN,2018-05-08 13:00:00+00:00,1.63,1.63,1.58,1.62,4100.0
GEN,2018-05-08 14:00:00+00:00,1.64,1.64,1.62,1.62,900.0
GEN,2018-05-08 15:00:00+00:00,1.6,1.6,1.59,1.59,112.0
GEN,2018-05-08 16:00:00+00:00,1.59,1.59,1.58,1.58,1101.0
GEN,2018-05-08 17:00:00+00:00,1.57,1.63,1.57,1.63,1399.0
GEN,2018-05-08 18:00:00+00:00,1.61,1.61,1.58,1.58,2397.0
GEN,2018-05-08 19:00:00+00:00,1.58,1.58,1.57,1.58,1143.0
GEN,2018-05-09 13:00:00+00:00,1.58,1.58,1.57,1.57,600.0
GEN,2018-05-09 14:00:00+00:00,1.55,1.55,1.53,1.54,5370.0
GEN,2018-05-09 15:00:00+00:00,1.53,1.53,1.53,1.53,1.0
GEN,2018-05-09 16:00:00+00:00,1.53,1.55,1.53,1.55,2800.0
GEN,2018-05-09 17:00:00+00:00,1.56,1.6,1.56,1.59,10781.0
GEN,2018-05-09 18:00:00+00:00,1.6,1.64,1.6,1.63,357.0
GEN,2018-05-09 19:00:00+00:00,1.63,1.63,1.61,1.61,5872.0
GEN,2018-05-10 13:00:00+00:00,1.54,1.59,1.54,1.59,2302.0
GEN,2018-05-10 14:00:00+00:00,1.61,1.63,1.49,1.59,28501.0
GEN,2018-05-10 15:00:00+00:00,1.59,1.59,1.53,1.53,3500.0
GEN,2018-05-10 16:00:00+00:00,1.54,1.59,1.54,1.59,2000.0
GEN,2018-05-10 17:00:00+00:00,1.59,1.59,1.57,1.58,1700.0
GEN,2018-05-10 18:00:00+00:00,1.57,1.58,1.54,1.56,1623.0
GEN,2018-05-10 19:00:00+00:00,1.56,1.59,1.55,1.575,4790.0
GEN,2018-05-11 13:00:00+00:00,1.55,1.56,1.54,1.56,1018.0
GEN,2018-05-11 14:00:00+00:00,1.58,1.58,1.58,1.58,200.0
GEN,2018-05-11 15:00:00+00:00,1.565,1.565,1.55,1.555,1200.0
GEN,2018-05-11 16:00:00+00:00,1.56,1.56,1.555,1.56,1800.0
GEN,2018-05-11 17:00:00+00:00,1.57,1.57,1.55,1.56,1100.0
GEN,2018-05-11 18:00:00+00:00,1.56,1.62,1.56,1.61,5937.0
GEN,2018-05-11 19:00:00+00:00,1.63,1.64,1.6,1.635,2937.0
GEN,2018-05-14 13:00:00+00:00,1.67,1.76,1.67,1.74,14254.0
GEN,2018-05-14 14:00:00+00:00,1.74,1.74,1.74,1.74,9632.0
GEN,2018-05-14 15:00:00+00:00,1.72,1.72,1.68,1.69,5800.0
GEN,2018-05-14 16:00:00+00:00,1.695,1.7,1.695,1.7,200.0
GEN,2018-05-14 17:00:00+00:00,1.7,1.7,1.69,1.7,2253.0
GEN,2018-05-14 18:00:00+00:00,1.7,1.71,1.7,1.71,1000.0
GEN,2018-05-14 19:00:00+00:00,1.7,1.71,1.695,1.695,3768.0
GEN,2018-05-14 20:00:00+00:00,1.71,1.71,1.71,1.71,100.0
GEN,2018-05-15 13:00:00+00:00,1.68,1.69,1.665,1.68,456.0
GEN,2018-05-15 14:00:00+00:00,1.66,1.66,1.61,1.615,8154.0
GEN,2018-05-15 15:00:00+00:00,1.615,1.62,1.615,1.62,700.0
GEN,2018-05-15 16:00:00+00:00,1.62,1.625,1.56,1.57,8632.0
GEN,2018-05-15 17:00:00+00:00,1.57,1.595,1.57,1.595,1701.0
GEN,2018-05-15 18:00:00+00:00,1.6,1.65,1.6,1.63,4281.0
GEN,2018-05-15 19:00:00+00:00,1.63,1.66,1.63,1.63,9956.0
GEN,2018-05-16 13:00:00+00:00,1.62,1.68,1.62,1.68,1582.0
GEN,2018-05-16 14:00:00+00:00,1.68,1.68,1.66,1.67,6445.0
GEN,2018-05-16 15:00:00+00:00,1.68,1.7,1.68,1.7,9700.0
GEN,2018-05-16 16:00:00+00:00,1.7,1.7,1.7,1.7,4253.0
GEN,2018-05-16 17:00:00+00:00,1.7,1.71,1.7,1.71,7800.0
GEN,2018-05-16 18:00:00+00:00,1.71,1.71,1.695,1.695,3736.0
GEN,2018-05-16 19:00:00+00:00,1.69,1.695,1.655,1.66,7762.0
GEN,2018-05-17 13:00:00+00:00,1.69,1.705,1.69,1.69,1558.0
GEN,2018-05-17 14:00:00+00:00,1.68,1.695,1.67,1.695,1513.0
GEN,2018-05-17 15:00:00+00:00,1.695,1.75,1.695,1.73,29098.0
GEN,2018-05-17 16:00:00+00:00,1.73,1.735,1.71,1.71,3621.0
GEN,2018-05-17 17:00:00+00:00,1.7,1.735,1.7,1.73,6996.0
GEN,2018-05-17 18:00:00+00:00,1.74,1.74,1.73,1.73,2910.0
GEN,2018-05-17 19:00:00+00:00,1.725,1.735,1.72,1.72,8533.0
GEN,2018-05-18 13:00:00+00:00,1.76,1.86,1.75,1.83,26288.0
GEN,2018-05-18 14:00:00+00:00,1.83,1.915,1.83,1.85,20475.0
GEN,2018-05-18 15:00:00+00:00,1.84,1.84,1.79,1.795,12455.0
GEN,2018-05-18 16:00:00+00:00,1.8,1.8,1.79,1.79,3605.0
GEN,2018-05-18 17:00:00+00:00,1.785,1.88,1.78,1.84,19611.0
GEN,2018-05-18 18:00:00+00:00,1.84,1.87,1.82,1.865,23160.0
GEN,2018-05-18 19:00:00+00:00,1.865,1.865,1.8,1.82,23142.0
GEN,2018-05-21 13:00:00+00:00,1.86,1.9,1.86,1.88,1773.0
GEN,2018-05-21 14:00:00+00:00,1.87,1.99,1.87,1.955,8789.0
GEN,2018-05-21 15:00:00+00:00,1.96,2.05,1.955,1.98,21050.0
GEN,2018-05-21 16:00:00+00:00,1.99,2.0,1.99,1.99,2211.0
GEN,2018-05-21 17:00:00+00:00,1.985,2.01,1.985,1.995,1500.0
