symbol,ts,open,high,low,close,volume
GEV,2024-04-02 10:00:00+00:00,143.0,143.0,143.0,143.0,285.0
GEV,2024-04-02 11:00:00+00:00,143.03,143.03,138.26,139.4,4367.0
GEV,2024-04-02 12:00:00+00:00,139.35,141.79,138.28,141.2,3002.0
GEV,2024-04-02 13:00:00+00:00,141.75,143.41,138.86,141.94,172890.0
GEV,2024-04-02 14:00:00+00:00,141.935,147.47,141.63,146.9,153970.0
GEV,2024-04-02 15:00:00+00:00,146.91,147.22,142.4,146.14,130260.0
GEV,2024-04-02 16:00:00+00:00,145.78,149.5,145.07,148.99,241523.0
GEV,2024-04-02 17:00:00+00:00,148.99,152.33,148.53,151.1,173674.0
GEV,2024-04-02 18:00:00+00:00,151.23,151.49,145.0,148.28,187871.0
GEV,2024-04-02 19:00:00+00:00,148.27,148.49,138.65,139.97,416793.0
GEV,2024-04-02 20:00:00+00:00,140.11,140.14,138.85,139.55,1277.0
GEV,2024-04-02 21:00:00+00:00,139.6,139.69,139.47,139.59,99.0
GEV,2024-04-02 22:00:00+00:00,139.6,140.45,139.6,140.16,1209.0
GEV,2024-04-02 23:00:00+00:00,140.46,141.0,140.46,140.99,2011.0
GEV,2024-04-03 08:00:00+00:00,140.0,140.0,140.0,140.0,3.0
GEV,2024-04-03 11:00:00+00:00,141.99,141.99,141.15,141.19,606.0
GEV,2024-04-03 12:00:00+00:00,141.45,141.49,140.99,141.0,319.0
GEV,2024-04-03 13:00:00+00:00,142.3,143.3,138.56,140.05,75277.0
GEV,2024-04-03 14:00:00+00:00,140.12,144.0,139.01,139.66,85898.0
GEV,2024-04-03 15:00:00+00:00,139.7,140.64,139.435,140.18,69607.0
GEV,2024-04-03 16:00:00+00:00,140.15,141.26,139.03,139.03,80004.0
GEV,2024-04-03 17:00:00+00:00,139.16,140.8,138.33,139.14,44320.0
GEV,2024-04-03 18:00:00+00:00,139.12,139.99,136.23,136.95,95356.0
GEV,2024-04-03 19:00:00+00:00,136.89,139.99,135.89,137.71,160363.0
GEV,2024-04-03 20:00:00+00:00,137.52,137.52,137.52,137.52,43.0
GEV,2024-04-03 21:00:00+00:00,137.88,137.89,137.88,137.89,25.0
GEV,2024-04-03 22:00:00+00:00,137.6,137.72,137.6,137.71,398.0
GEV,2024-04-03 23:00:00+00:00,137.71,137.88,137.6,137.6,943.0
GEV,2024-04-04 08:00:00+00:00,138.03,138.5,138.03,138.07,9.0
GEV,2024-04-04 10:00:00+00:00,139.24,139.48,139.2,139.47,447.0
GEV,2024-04-04 11:00:00+00:00,139.44,139.49,138.06,138.06,270.0
GEV,2024-04-04 12:00:00+00:00,138.49,138.49,136.66,136.66,691.0
GEV,2024-04-04 13:00:00+00:00,137.0,137.28,133.5,136.05,64320.0
GEV,2024-04-04 14:00:00+00:00,136.0,139.35,135.1,138.93,82665.0
GEV,2024-04-04 15:00:00+00:00,138.89,139.0,136.3,136.85,32201.0
GEV,2024-04-04 16:00:00+00:00,136.9,137.02,132.23,133.0,95127.0
GEV,2024-04-04 17:00:00+00:00,132.88,133.41,129.61,131.28,133851.0
GEV,2024-04-04 18:00:00+00:00,131.29,131.29,126.28,126.33,190716.0
GEV,2024-04-04 19:00:00+00:00,126.335,126.69,125.26,126.0,265468.0
GEV,2024-04-04 20:00:00+00:00,126.21,126.25,125.9,126.25,1232.0
GEV,2024-04-04 21:00:00+00:00,126.25,126.5,126.25,126.3,911.0
GEV,2024-04-04 22:00:00+00:00,126.8,127.49,126.75,126.75,26.0
GEV,2024-04-04 23:00:00+00:00,126.72,126.72,126.7,126.7,10.0
GEV,2024-04-05 08:00:00+00:00,126.06,126.06,126.06,126.06,31.0
GEV,2024-04-05 10:00:00+00:00,125.9,125.9,125.5,125.5,9.0
GEV,2024-04-05 11:00:00+00:00,126.52,128.21,126.52,128.0,2239.0
GEV,2024-04-05 12:00:00+00:00,128.0,128.06,126.0,126.0,1753.0
GEV,2024-04-05 13:00:00+00:00,125.65,126.39,119.03,123.0,363252.0
GEV,2024-04-05 14:00:00+00:00,123.04,125.88,121.42,123.84,253013.0
GEV,2024-04-05 15:00:00+00:00,123.86,125.48,123.6,125.04,288908.0
GEV,2024-04-05 16:00:00+00:00,125.04,128.13,124.86,126.0,289221.0
GEV,2024-04-05 17:00:00+00:00,126.0,126.38,124.02,124.4,130221.0
GEV,2024-04-05 18:00:00+00:00,124.34,124.785,123.895,123.95,120361.0
GEV,2024-04-05 19:00:00+00:00,123.95,124.0,122.54,122.665,377865.0
GEV,2024-04-05 20:00:00+00:00,122.16,122.51,122.16,122.51,91.0
GEV,2024-04-05 21:00:00+00:00,122.51,122.89,122.5,122.89,318.0
GEV,2024-04-08 08:00:00+00:00,123.0,124.0,123.0,124.0,236.0
GEV,2024-04-08 10:00:00+00:00,124.7,124.7,124.51,124.51,637.0
GEV,2024-04-08 11:00:00+00:00,124.57,125.95,124.05,125.89,10980.0
GEV,2024-04-08 12:00:00+00:00,125.15,125.7,124.55,125.7,3136.0
GEV,2024-04-08 13:00:00+00:00,125.68,131.88,125.5,130.06,224596.0
GEV,2024-04-08 14:00:00+00:00,130.09,131.08,129.54,130.0,299516.0
GEV,2024-04-08 15:00:00+00:00,129.99,130.455,128.81,129.45,110979.0
GEV,2024-04-08 16:00:00+00:00,129.45,130.1,129.15,129.95,103672.0
GEV,2024-04-08 17:00:00+00:00,130.0,130.02,129.11,129.15,88112.0
GEV,2024-04-08 18:00:00+00:00,129.165,130.99,128.6,130.07,125997.0
GEV,2024-04-08 19:00:00+00:00,130.07,130.61,129.51,129.95,286026.0
GEV,2024-04-08 20:00:00+00:00,130.19,130.32,129.96,129.96,301.0
GEV,2024-04-08 22:00:00+00:00,130.25,130.25,130.16,130.16,310.0
GEV,2024-04-08 23:00:00+00:00,130.01,130.01,130.01,130.01,10.0
GEV,2024-04-09 08:00:00+00:00,130.23,130.49,130.23,130.49,62.0
GEV,2024-04-09 10:00:00+00:00,131.1,131.1,131.1,131.1,6.0
GEV,2024-04-09 11:00:00+00:00,131.1,131.26,131.1,131.26,40.0
GEV,2024-04-09 12:00:00+00:00,131.24,131.25,130.6,131.25,649.0
GEV,2024-04-09 13:00:00+00:00,131.25,131.8,128.72,130.96,55709.0
GEV,2024-04-09 14:00:00+00:00,130.93,131.21,128.28,129.99,93957.0
GEV,2024-04-09 15:00:00+00:00,129.97,132.92,129.28,131.68,112218.0
GEV,2024-04-09 16:00:00+00:00,131.71,133.0,131.56,131.98,183582.0
GEV,2024-04-09 17:00:00+00:00,131.93,132.36,131.19,132.09,63674.0
GEV,2024-04-09 18:00:00+00:00,132.1,132.82,131.63,132.33,84685.0
GEV,2024-04-09 19:00:00+00:00,132.3,133.57,131.65,132.26,190500.0
GEV,2024-04-09 20:00:00+00:00,132.02,132.02,132.01,132.01,456.0
GEV,2024-04-09 21:00:00+00:00,132.01,132.01,132.0,132.0,251.0
GEV,2024-04-10 11:00:00+00:00,132.79,132.79,132.17,132.17,111.0
GEV,2024-04-10 12:00:00+00:00,132.96,132.96,130.74,130.81,294.0
GEV,2024-04-10 13:00:00+00:00,130.74,131.57,128.95,130.71,145096.0
GEV,2024-04-10 14:00:00+00:00,130.71,133.53,129.6,133.18,133896.0
GEV,2024-04-10 15:00:00+00:00,133.17,134.89,132.65,134.78,89620.0
GEV,2024-04-10 16:00:00+00:00,134.88,136.36,134.22,136.15,89947.0
GEV,2024-04-10 17:00:00+00:00,136.13,137.61,135.25,137.35,141514.0
GEV,2024-04-10 18:00:00+00:00,137.28,138.2,135.86,137.48,119474.0
GEV,2024-04-10 19:00:00+00:00,137.49,139.93,136.87,138.245,169646.0
GEV,2024-04-10 20:00:00+00:00,138.38,138.79,137.75,138.76,230.0
GEV,2024-04-10 21:00:00+00:00,138.76,138.76,138.49,138.75,70.0
GEV,2024-04-10 22:00:00+00:00,138.83,138.83,138.83,138.83,1.0
GEV,2024-04-10 23:00:00+00:00,138.98,138.99,138.87,138.87,253.0
GEV,2024-04-11 08:00:00+00:00,138.01,138.35,138.01,138.35,23.0
GEV,2024-04-11 09:00:00+00:00,138.35,138.35,138.35,138.35,1.0
GEV,2024-04-11 10:00:00+00:00,138.35,138.35,138.35,138.35,3.0
GEV,2024-04-11 11:00:00+00:00,138.35,138.35,138.0,138.18,121.0
GEV,2024-04-11 12:00:00+00:00,137.66,139.0,137.66,139.0,10.0
GEV,2024-04-11 13:00:00+00:00,139.2,140.0,137.56,138.565,44960.0
GEV,2024-04-11 14:00:00+00:00,138.6,138.92,136.78,137.8,58014.0
GEV,2024-04-11 15:00:00+00:00,137.7,138.29,136.89,137.52,49215.0
GEV,2024-04-11 16:00:00+00:00,137.57,138.5,137.35,137.72,50243.0
GEV,2024-04-11 17:00:00+00:00,137.72,138.95,137.69,138.79,33820.0
GEV,2024-04-11 18:00:00+00:00,138.79,139.09,137.13,137.83,50493.0
GEV,2024-04-11 19:00:00+00:00,137.83,138.0,136.45,136.49,79184.0
GEV,2024-04-11 20:00:00+00:00,136.41,136.5,136.41,136.5,57.0
GEV,2024-04-11 21:00:00+00:00,136.55,136.55,136.45,136.45,17.0
GEV,2024-04-11 22:00:00+00:00,136.54,136.54,136.54,136.54,2.0
GEV,2024-04-12 08:00:00+00:00,136.36,136.36,136.36,136.36,1.0
GEV,2024-04-12 09:00:00+00:00,135.12,135.12,135.08,135.08,5.0
GEV,2024-04-12 10:00:00+00:00,135.08,137.24,135.08,137.24,17.0
GEV,2024-04-12 11:00:00+00:00,136.56,136.56,136.5,136.5,14.0
GEV,2024-04-12 12:00:00+00:00,136.91,136.91,136.0,136.36,332.0
GEV,2024-04-12 13:00:00+00:00,136.36,138.03,134.62,137.91,26253.0
GEV,2024-04-12 14:00:00+00:00,137.77,138.0,134.55,134.8,38795.0
GEV,2024-04-12 15:00:00+00:00,134.95,135.33,134.49,134.88,21959.0
GEV,2024-04-12 16:00:00+00:00,134.91,135.16,133.83,133.96,29034.0
GEV,2024-04-12 17:00:00+00:00,133.96,134.52,133.6,134.36,19871.0
GEV,2024-04-12 18:00:00+00:00,134.36,135.19,133.97,133.98,30204.0
GEV,2024-04-12 19:00:00+00:00,133.95,134.74,133.63,133.99,79916.0
GEV,2024-04-12 22:00:00+00:00,133.61,133.61,133.61,133.61,1.0
GEV,2024-04-12 23:00:00+00:00,133.6,133.6,133.6,133.6,1.0
GEV,2024-04-15 08:00:00+00:00,134.27,135.0,134.27,135.0,10.0
GEV,2024-04-15 09:00:00+00:00,135.0,135.0,135.0,135.0,26.0
GEV,2024-04-15 10:00:00+00:00,134.28,134.28,134.27,134.27,2.0
GEV,2024-04-15 11:00:00+00:00,135.0,135.0,135.0,135.0,200.0
GEV,2024-04-15 12:00:00+00:00,134.98,134.98,134.28,134.95,799.0
GEV,2024-04-15 13:00:00+00:00,135.39,135.87,132.69,134.385,16352.0
GEV,2024-04-15 14:00:00+00:00,134.34,134.87,131.86,131.92,38999.0
GEV,2024-04-15 15:00:00+00:00,131.94,132.59,131.42,131.64,33907.0
GEV,2024-04-15 16:00:00+00:00,131.6,131.7,130.09,131.26,31570.0
GEV,2024-04-15 17:00:00+00:00,131.21,131.58,129.85,130.99,34745.0
GEV,2024-04-15 18:00:00+00:00,130.99,131.62,130.59,130.78,21604.0
GEV,2024-04-15 19:00:00+00:00,130.72,131.93,130.0,131.76,59483.0
GEV,2024-04-15 21:00:00+00:00,131.72,131.72,131.5,131.6,18.0
GEV,2024-04-15 23:00:00+00:00,130.77,131.01,130.77,131.01,195.0
GEV,2024-04-16 08:00:00+00:00,131.75,131.75,131.75,131.75,48.0
GEV,2024-04-16 10:00:00+00:00,130.14,130.22,130.14,130.22,5.0
GEV,2024-04-16 11:00:00+00:00,131.62,131.74,131.45,131.74,139.0
GEV,2024-04-16 12:00:00+00:00,131.7,131.75,131.25,131.49,1372.0
GEV,2024-04-16 13:00:00+00:00,131.74,132.9,130.23,130.75,44252.0
GEV,2024-04-16 14:00:00+00:00,130.75,130.8,129.19,129.67,67196.0
GEV,2024-04-16 15:00:00+00:00,129.57,130.37,129.38,129.945,50694.0
GEV,2024-04-16 16:00:00+00:00,129.98,130.48,129.8,130.03,31316.0
GEV,2024-04-16 17:00:00+00:00,130.01,130.03,129.6,129.76,43103.0
GEV,2024-04-16 18:00:00+00:00,129.77,130.3,128.25,130.18,61707.0
GEV,2024-04-16 19:00:00+00:00,130.15,130.53,129.88,130.04,118265.0
GEV,2024-04-16 20:00:00+00:00,130.08,130.08,130.07,130.07,14.0
GEV,2024-04-16 22:00:00+00:00,130.07,130.07,130.06,130.06,41.0
GEV,2024-04-16 23:00:00+00:00,130.1,130.1,130.1,130.1,15.0
GEV,2024-04-17 09:00:00+00:00,131.0,131.0,131.0,131.0,16.0
GEV,2024-04-17 10:00:00+00:00,130.99,130.99,130.99,130.99,100.0
GEV,2024-04-17 11:00:00+00:00,130.99,131.0,130.99,131.0,92.0
GEV,2024-04-17 12:00:00+00:00,131.0,131.0,130.64,130.74,135.0
GEV,2024-04-17 13:00:00+00:00,131.0,132.84,130.71,132.13,64158.0
GEV,2024-04-17 14:00:00+00:00,132.175,134.51,131.96,134.31,83095.0
GEV,2024-04-17 15:00:00+00:00,134.365,137.22,134.365,136.26,84747.0
GEV,2024-04-17 16:00:00+00:00,136.4,137.5,135.92,136.53,38183.0
GEV,2024-04-17 17:00:00+00:00,136.52,138.14,136.27,137.77,42364.0
GEV,2024-04-17 18:00:00+00:00,137.71,137.77,134.77,134.77,44673.0
GEV,2024-04-17 19:00:00+00:00,134.81,135.62,134.31,134.7,80440.0
GEV,2024-04-17 20:00:00+00:00,134.75,136.08,134.75,136.0,1038.0
GEV,2024-04-17 21:00:00+00:00,136.0,136.53,136.0,136.02,1005.0
GEV,2024-04-17 22:00:00+00:00,136.0,136.0,136.0,136.0,304.0
GEV,2024-04-17 23:00:00+00:00,135.98,135.98,135.98,135.98,1.0
GEV,2024-04-18 09:00:00+00:00,135.63,135.63,134.91,135.0,288.0
GEV,2024-04-18 10:00:00+00:00,135.98,136.94,135.98,136.94,534.0
GEV,2024-04-18 11:00:00+00:00,136.51,136.74,136.22,136.74,58.0
GEV,2024-04-18 12:00:00+00:00,136.4,136.4,135.89,136.0,102.0
GEV,2024-04-18 13:00:00+00:00,136.09,138.23,135.75,137.21,43781.0
GEV,2024-04-18 14:00:00+00:00,137.37,137.69,135.43,137.28,106013.0
GEV,2024-04-18 15:00:00+00:00,137.3,137.99,136.87,137.48,64386.0
GEV,2024-04-18 16:00:00+00:00,137.46,138.3,137.02,137.89,41916.0
GEV,2024-04-18 17:00:00+00:00,137.96,138.07,137.15,137.31,32049.0
GEV,2024-04-18 18:00:00+00:00,137.36,137.44,136.55,137.155,30207.0
GEV,2024-04-18 19:00:00+00:00,137.2,137.76,136.92,137.05,83814.0
GEV,2024-04-18 20:00:00+00:00,137.98,137.98,137.98,137.98,6.0
GEV,2024-04-18 21:00:00+00:00,137.8,137.8,136.88,136.88,6.0
