symbol,ts,open,high,low,close,volume
GLW,2018-05-01 13:00:00+00:00,26.89,26.91,26.79,26.835,72117.0
GLW,2018-05-01 14:00:00+00:00,26.83,26.84,26.675,26.7,51746.0
GLW,2018-05-01 15:00:00+00:00,26.7,26.8,26.6,26.76,51732.0
GLW,2018-05-01 16:00:00+00:00,26.77,26.77,26.67,26.7,52027.0
GLW,2018-05-01 17:00:00+00:00,26.7,26.835,26.62,26.83,48427.0
GLW,2018-05-01 18:00:00+00:00,26.84,26.88,26.77,26.86,75864.0
GLW,2018-05-01 19:00:00+00:00,26.86,26.88,26.77,26.82,136752.0
GLW,2018-05-01 21:00:00+00:00,26.85,27.13,26.85,27.13,85.0
GLW,2018-05-02 13:00:00+00:00,26.9,27.07,26.89,26.95,45184.0
GLW,2018-05-02 14:00:00+00:00,26.95,27.03,26.93,26.94,40430.0
GLW,2018-05-02 15:00:00+00:00,26.94,26.94,26.74,26.755,52850.0
GLW,2018-05-02 16:00:00+00:00,26.755,26.885,26.745,26.83,39163.0
GLW,2018-05-02 17:00:00+00:00,26.84,26.87,26.8,26.87,29858.0
GLW,2018-05-02 18:00:00+00:00,26.87,26.96,26.86,26.88,63843.0
GLW,2018-05-02 19:00:00+00:00,26.88,26.89,26.65,26.68,143668.0
GLW,2018-05-03 13:00:00+00:00,26.61,26.63,26.51,26.52,21111.0
GLW,2018-05-03 14:00:00+00:00,26.52,26.52,26.11,26.25,110283.0
GLW,2018-05-03 15:00:00+00:00,26.26,26.42,26.23,26.36,51305.0
GLW,2018-05-03 16:00:00+00:00,26.37,26.615,26.3,26.61,49886.0
GLW,2018-05-03 17:00:00+00:00,26.61,26.65,26.53,26.61,44998.0
GLW,2018-05-03 18:00:00+00:00,26.6,26.62,26.5,26.5,44005.0
GLW,2018-05-03 19:00:00+00:00,26.5,26.575,26.495,26.56,154181.0
GLW,2018-05-04 13:00:00+00:00,26.49,26.74,26.49,26.72,29321.0
GLW,2018-05-04 14:00:00+00:00,26.71,26.95,26.66,26.92,52347.0
GLW,2018-05-04 15:00:00+00:00,26.93,27.11,26.93,27.06,43656.0
GLW,2018-05-04 16:00:00+00:00,27.07,27.12,27.025,27.1,32155.0
GLW,2018-05-04 17:00:00+00:00,27.1,27.13,27.085,27.13,31691.0
GLW,2018-05-04 18:00:00+00:00,27.13,27.2,27.12,27.12,30116.0
GLW,2018-05-04 19:00:00+00:00,27.13,27.155,27.03,27.09,107102.0
GLW,2018-05-07 13:00:00+00:00,27.11,27.15,27.055,27.075,26836.0
GLW,2018-05-07 14:00:00+00:00,27.09,27.1,26.98,27.08,36239.0
GLW,2018-05-07 15:00:00+00:00,27.08,27.105,27.05,27.09,34656.0
GLW,2018-05-07 16:00:00+00:00,27.09,27.115,27.075,27.095,26192.0
GLW,2018-05-07 17:00:00+00:00,27.1,27.11,27.07,27.1,16562.0
GLW,2018-05-07 18:00:00+00:00,27.1,27.135,27.04,27.04,44980.0
GLW,2018-05-07 19:00:00+00:00,27.035,27.035,26.94,26.96,126828.0
GLW,2018-05-07 20:00:00+00:00,27.01,27.01,27.01,27.01,10.0
GLW,2018-05-08 13:00:00+00:00,26.88,26.98,26.775,26.8,33901.0
GLW,2018-05-08 14:00:00+00:00,26.81,26.89,26.76,26.82,36149.0
GLW,2018-05-08 15:00:00+00:00,26.81,26.98,26.76,26.92,85126.0
GLW,2018-05-08 16:00:00+00:00,26.91,26.955,26.88,26.9,45285.0
GLW,2018-05-08 17:00:00+00:00,26.9,26.93,26.89,26.9,38561.0
GLW,2018-05-08 18:00:00+00:00,26.905,26.92,26.74,26.77,66946.0
GLW,2018-05-08 19:00:00+00:00,26.76,26.825,26.745,26.81,133901.0
GLW,2018-05-08 20:00:00+00:00,26.83,26.83,26.83,26.83,14.0
GLW,2018-05-09 13:00:00+00:00,26.93,27.06,26.91,26.92,39692.0
GLW,2018-05-09 14:00:00+00:00,26.92,26.97,26.84,26.86,43151.0
GLW,2018-05-09 15:00:00+00:00,26.87,26.93,26.85,26.89,31083.0
GLW,2018-05-09 16:00:00+00:00,26.9,27.12,26.885,27.11,53643.0
GLW,2018-05-09 17:00:00+00:00,27.11,27.185,27.09,27.185,34224.0
GLW,2018-05-09 18:00:00+00:00,27.185,27.185,27.13,27.145,34285.0
GLW,2018-05-09 19:00:00+00:00,27.14,27.14,27.055,27.09,64415.0
GLW,2018-05-10 13:00:00+00:00,27.19,27.35,27.18,27.21,37695.0
GLW,2018-05-10 14:00:00+00:00,27.21,27.235,27.145,27.16,25352.0
GLW,2018-05-10 15:00:00+00:00,27.16,27.22,27.135,27.22,37209.0
GLW,2018-05-10 16:00:00+00:00,27.225,27.32,27.22,27.3,26303.0
GLW,2018-05-10 17:00:00+00:00,27.31,27.35,27.295,27.31,26416.0
GLW,2018-05-10 18:00:00+00:00,27.32,27.4,27.3,27.38,32862.0
GLW,2018-05-10 19:00:00+00:00,27.38,27.41,27.345,27.37,85849.0
GLW,2018-05-10 22:00:00+00:00,27.44,27.44,27.44,27.44,6.0
GLW,2018-05-11 13:00:00+00:00,27.44,27.71,27.38,27.69,103471.0
GLW,2018-05-11 14:00:00+00:00,27.68,27.74,27.64,27.74,174038.0
GLW,2018-05-11 15:00:00+00:00,27.74,27.88,27.725,27.86,120380.0
GLW,2018-05-11 16:00:00+00:00,27.86,27.86,27.765,27.78,84395.0
GLW,2018-05-11 17:00:00+00:00,27.785,27.88,27.74,27.88,133390.0
GLW,2018-05-11 18:00:00+00:00,27.875,27.955,27.835,27.92,157177.0
GLW,2018-05-11 19:00:00+00:00,27.92,28.04,27.92,28.01,380663.0
GLW,2018-05-11 21:00:00+00:00,28.17,28.17,28.17,28.17,60.0
GLW,2018-05-14 13:00:00+00:00,28.17,28.275,28.11,28.21,99419.0
GLW,2018-05-14 14:00:00+00:00,28.2,28.21,28.04,28.04,138182.0
GLW,2018-05-14 15:00:00+00:00,28.03,28.11,28.03,28.11,86783.0
GLW,2018-05-14 16:00:00+00:00,28.11,28.155,28.04,28.055,91138.0
GLW,2018-05-14 17:00:00+00:00,28.055,28.06,27.97,28.02,95932.0
GLW,2018-05-14 18:00:00+00:00,28.02,28.065,27.985,28.05,135654.0
GLW,2018-05-14 19:00:00+00:00,28.05,28.095,28.025,28.075,235740.0
GLW,2018-05-15 13:00:00+00:00,28.01,28.03,27.81,27.81,68527.0
GLW,2018-05-15 14:00:00+00:00,27.81,27.895,27.77,27.79,60293.0
GLW,2018-05-15 15:00:00+00:00,27.79,27.81,27.64,27.64,62610.0
GLW,2018-05-15 16:00:00+00:00,27.63,27.685,27.555,27.645,52496.0
GLW,2018-05-15 17:00:00+00:00,27.64,27.655,27.55,27.555,44472.0
GLW,2018-05-15 18:00:00+00:00,27.56,27.685,27.555,27.64,47196.0
GLW,2018-05-15 19:00:00+00:00,27.64,27.73,27.6,27.71,95825.0
GLW,2018-05-15 22:00:00+00:00,27.81,27.81,27.81,27.81,50.0
GLW,2018-05-16 13:00:00+00:00,27.75,27.995,27.725,27.99,46477.0
GLW,2018-05-16 14:00:00+00:00,28.0,28.0,27.895,27.9,50569.0
