symbol,ts,open,high,low,close,volume
GM,2018-05-01 13:00:00+00:00,36.62,36.95,36.62,36.84,71168.0
GM,2018-05-01 14:00:00+00:00,36.83,36.85,36.27,36.33,104303.0
GM,2018-05-01 15:00:00+00:00,36.34,36.4,36.12,36.22,146251.0
GM,2018-05-01 16:00:00+00:00,36.22,36.36,36.18,36.22,65834.0
GM,2018-05-01 17:00:00+00:00,36.22,36.225,35.89,36.225,167376.0
GM,2018-05-01 18:00:00+00:00,36.22,36.35,36.18,36.29,100604.0
GM,2018-05-01 19:00:00+00:00,36.3,36.43,36.145,36.42,312811.0
GM,2018-05-02 11:00:00+00:00,36.58,36.58,36.58,36.58,500.0
GM,2018-05-02 12:00:00+00:00,36.58,36.58,36.57,36.57,3057.0
GM,2018-05-02 13:00:00+00:00,36.6,36.625,36.38,36.465,74481.0
GM,2018-05-02 14:00:00+00:00,36.465,36.61,36.45,36.54,118647.0
GM,2018-05-02 15:00:00+00:00,36.54,36.695,36.46,36.52,85425.0
GM,2018-05-02 16:00:00+00:00,36.515,36.61,36.43,36.585,103591.0
GM,2018-05-02 17:00:00+00:00,36.59,36.64,36.465,36.47,67538.0
GM,2018-05-02 18:00:00+00:00,36.47,36.56,36.405,36.42,118645.0
GM,2018-05-02 19:00:00+00:00,36.415,36.49,36.155,36.2,223320.0
GM,2018-05-02 20:00:00+00:00,36.15,36.15,36.14,36.14,428.0
GM,2018-05-02 21:00:00+00:00,36.13,36.13,36.12,36.12,2206.0
GM,2018-05-02 22:00:00+00:00,36.12,36.12,36.12,36.12,188.0
GM,2018-05-03 13:00:00+00:00,36.08,36.08,35.68,35.68,74097.0
GM,2018-05-03 14:00:00+00:00,35.68,35.7,35.28,35.38,178134.0
GM,2018-05-03 15:00:00+00:00,35.37,35.62,35.33,35.61,124960.0
GM,2018-05-03 16:00:00+00:00,35.62,35.88,35.49,35.87,77273.0
GM,2018-05-03 17:00:00+00:00,35.87,36.07,35.67,35.99,150411.0
GM,2018-05-03 18:00:00+00:00,35.99,35.995,35.745,35.99,167458.0
GM,2018-05-03 19:00:00+00:00,36.0,36.17,35.995,36.15,182514.0
GM,2018-05-03 20:00:00+00:00,36.29,36.3,36.29,36.3,121.0
GM,2018-05-04 13:00:00+00:00,36.05,36.3,35.87,36.25,72340.0
GM,2018-05-04 14:00:00+00:00,36.24,36.7,36.17,36.6,131826.0
GM,2018-05-04 15:00:00+00:00,36.6,36.7,36.46,36.555,89532.0
GM,2018-05-04 16:00:00+00:00,36.55,36.71,36.51,36.71,56904.0
GM,2018-05-04 17:00:00+00:00,36.71,36.74,36.63,36.65,69014.0
GM,2018-05-04 18:00:00+00:00,36.64,36.765,36.635,36.71,72941.0
GM,2018-05-04 19:00:00+00:00,36.705,36.775,36.64,36.705,194145.0
GM,2018-05-04 20:00:00+00:00,36.75,36.75,36.72,36.74,441.0
GM,2018-05-04 21:00:00+00:00,36.74,36.74,36.7,36.7,600.0
GM,2018-05-07 13:00:00+00:00,36.65,36.77,36.54,36.68,65800.0
GM,2018-05-07 14:00:00+00:00,36.68,36.68,36.41,36.525,122391.0
GM,2018-05-07 15:00:00+00:00,36.525,36.62,36.47,36.51,70414.0
GM,2018-05-07 16:00:00+00:00,36.51,36.65,36.485,36.545,54599.0
GM,2018-05-07 17:00:00+00:00,36.55,36.56,36.435,36.435,57190.0
GM,2018-05-07 18:00:00+00:00,36.435,36.55,36.4,36.405,72668.0
GM,2018-05-07 19:00:00+00:00,36.405,36.44,36.29,36.34,155869.0
GM,2018-05-07 20:00:00+00:00,36.35,36.35,36.35,36.35,100.0
GM,2018-05-08 12:00:00+00:00,36.4,36.4,36.4,36.4,27.0
GM,2018-05-08 13:00:00+00:00,36.42,36.53,36.23,36.5,77849.0
GM,2018-05-08 14:00:00+00:00,36.51,36.575,36.41,36.54,118043.0
GM,2018-05-08 15:00:00+00:00,36.545,36.61,36.36,36.36,83588.0
GM,2018-05-08 16:00:00+00:00,36.35,36.37,36.12,36.16,79397.0
GM,2018-05-08 17:00:00+00:00,36.15,36.33,36.15,36.25,57534.0
GM,2018-05-08 18:00:00+00:00,36.26,36.35,36.19,36.225,71392.0
GM,2018-05-08 19:00:00+00:00,36.225,36.385,36.19,36.37,153056.0
GM,2018-05-09 09:00:00+00:00,36.74,36.74,36.74,36.74,58.0
GM,2018-05-09 13:00:00+00:00,36.36,36.73,36.36,36.53,75261.0
GM,2018-05-09 14:00:00+00:00,36.52,36.52,36.165,36.17,125732.0
GM,2018-05-09 15:00:00+00:00,36.165,36.2,35.97,36.09,115949.0
GM,2018-05-09 16:00:00+00:00,36.09,36.32,36.08,36.31,76524.0
GM,2018-05-09 17:00:00+00:00,36.31,36.355,36.19,36.28,73424.0
GM,2018-05-09 18:00:00+00:00,36.28,36.28,36.16,36.26,65969.0
GM,2018-05-09 19:00:00+00:00,36.265,36.27,36.16,36.27,138412.0
GM,2018-05-10 13:00:00+00:00,36.46,36.96,36.45,36.905,66925.0
GM,2018-05-10 14:00:00+00:00,36.905,36.905,36.7,36.86,98716.0
GM,2018-05-10 15:00:00+00:00,36.87,37.07,36.855,37.07,81628.0
GM,2018-05-10 16:00:00+00:00,37.055,37.155,37.04,37.14,57123.0
GM,2018-05-10 17:00:00+00:00,37.15,37.22,37.06,37.13,67811.0
GM,2018-05-10 18:00:00+00:00,37.13,37.18,37.03,37.17,65597.0
