symbol,ts,open,high,low,close,volume
GPN,2018-05-01 13:00:00+00:00,112.8,112.8,112.06,112.38,3448.0
GPN,2018-05-01 14:00:00+00:00,112.32,113.13,111.9,112.96,26403.0
GPN,2018-05-01 15:00:00+00:00,112.92,113.1,112.7,112.88,22723.0
GPN,2018-05-01 16:00:00+00:00,112.89,112.97,112.58,112.6,15766.0
GPN,2018-05-01 17:00:00+00:00,112.54,112.89,112.15,112.87,14941.0
GPN,2018-05-01 18:00:00+00:00,112.86,113.36,112.82,113.3,16691.0
GPN,2018-05-01 19:00:00+00:00,113.33,113.44,113.04,113.33,52827.0
GPN,2018-05-02 13:00:00+00:00,113.16,113.415,113.12,113.15,7923.0
GPN,2018-05-02 14:00:00+00:00,112.94,113.03,111.68,112.31,31929.0
GPN,2018-05-02 15:00:00+00:00,112.29,112.64,111.81,112.37,20664.0
GPN,2018-05-02 16:00:00+00:00,112.32,112.8,112.27,112.59,25344.0
GPN,2018-05-02 17:00:00+00:00,112.58,113.28,112.58,113.14,29351.0
GPN,2018-05-02 18:00:00+00:00,113.07,113.85,112.03,112.53,51378.0
GPN,2018-05-02 19:00:00+00:00,112.53,113.01,112.09,112.59,125928.0
GPN,2018-05-03 13:00:00+00:00,111.11,112.43,110.41,110.87,25020.0
GPN,2018-05-03 14:00:00+00:00,110.81,112.13,109.54,109.81,34436.0
GPN,2018-05-03 15:00:00+00:00,109.75,110.47,109.02,109.99,28592.0
GPN,2018-05-03 16:00:00+00:00,109.99,111.79,109.81,111.79,39752.0
GPN,2018-05-03 17:00:00+00:00,111.61,112.33,111.22,112.33,29460.0
GPN,2018-05-03 18:00:00+00:00,112.32,112.83,111.82,111.89,41183.0
GPN,2018-05-03 19:00:00+00:00,111.87,113.395,111.86,113.34,122170.0
GPN,2018-05-04 13:00:00+00:00,113.04,113.365,112.32,112.98,6471.0
GPN,2018-05-04 14:00:00+00:00,113.08,114.17,112.96,113.96,20896.0
GPN,2018-05-04 15:00:00+00:00,114.01,114.51,113.82,113.97,13584.0
GPN,2018-05-04 16:00:00+00:00,114.0,114.0,113.12,113.17,19065.0
GPN,2018-05-04 17:00:00+00:00,113.2,113.54,113.16,113.51,9444.0
GPN,2018-05-04 18:00:00+00:00,113.51,113.95,113.45,113.45,13268.0
GPN,2018-05-04 19:00:00+00:00,113.445,113.65,112.52,112.86,82186.0
GPN,2018-05-07 13:00:00+00:00,113.42,114.38,113.23,114.37,9396.0
GPN,2018-05-07 14:00:00+00:00,114.38,114.59,113.95,114.46,17575.0
GPN,2018-05-07 15:00:00+00:00,114.445,114.54,113.9,114.18,17918.0
GPN,2018-05-07 16:00:00+00:00,114.24,114.28,113.71,113.91,20847.0
GPN,2018-05-07 17:00:00+00:00,113.92,114.185,113.77,113.83,19718.0
GPN,2018-05-07 18:00:00+00:00,113.83,113.96,113.65,113.8,37339.0
GPN,2018-05-07 19:00:00+00:00,113.8,113.88,113.3,113.64,90972.0
GPN,2018-05-08 13:00:00+00:00,113.69,113.73,113.39,113.71,4679.0
GPN,2018-05-08 14:00:00+00:00,113.75,114.38,113.51,114.17,20352.0
GPN,2018-05-08 15:00:00+00:00,114.07,114.62,114.06,114.24,14585.0
GPN,2018-05-08 16:00:00+00:00,114.21,114.27,113.6,113.67,14512.0
GPN,2018-05-08 17:00:00+00:00,113.73,113.94,113.55,113.55,9801.0
GPN,2018-05-08 18:00:00+00:00,113.655,114.05,113.41,113.5,20602.0
GPN,2018-05-08 19:00:00+00:00,113.47,113.93,113.35,113.92,39405.0
GPN,2018-05-09 13:00:00+00:00,114.49,114.65,113.72,113.93,24759.0
GPN,2018-05-09 14:00:00+00:00,113.995,114.11,113.46,113.47,21012.0
GPN,2018-05-09 15:00:00+00:00,113.535,113.86,113.38,113.86,13887.0
GPN,2018-05-09 16:00:00+00:00,113.96,114.48,113.71,114.31,12452.0
GPN,2018-05-09 17:00:00+00:00,114.37,114.86,114.36,114.85,12023.0
GPN,2018-05-09 18:00:00+00:00,114.86,115.04,114.75,114.87,12118.0
GPN,2018-05-09 19:00:00+00:00,114.76,114.86,114.36,114.59,44362.0
GPN,2018-05-10 13:00:00+00:00,114.95,114.95,114.48,114.81,4716.0
GPN,2018-05-10 14:00:00+00:00,114.78,114.95,114.65,114.71,15919.0
GPN,2018-05-10 15:00:00+00:00,114.81,115.2,114.69,115.2,9482.0
GPN,2018-05-10 16:00:00+00:00,115.18,115.29,114.98,115.21,13891.0
GPN,2018-05-10 17:00:00+00:00,115.19,115.67,115.16,115.37,13196.0
GPN,2018-05-10 18:00:00+00:00,115.39,116.06,115.28,116.0,13013.0
GPN,2018-05-10 19:00:00+00:00,115.96,116.16,115.65,115.98,35423.0
GPN,2018-05-11 13:00:00+00:00,116.24,116.33,115.83,116.33,4771.0
GPN,2018-05-11 14:00:00+00:00,116.33,116.69,116.07,116.58,22384.0
GPN,2018-05-11 15:00:00+00:00,116.54,116.58,115.91,116.52,19652.0
GPN,2018-05-11 16:00:00+00:00,116.47,116.5,116.18,116.37,18871.0
GPN,2018-05-11 17:00:00+00:00,116.41,116.58,115.97,116.09,16392.0
GPN,2018-05-11 18:00:00+00:00,116.11,116.11,115.78,116.01,19073.0
GPN,2018-05-11 19:00:00+00:00,116.02,116.23,115.87,116.1,48616.0
GPN,2018-05-14 13:00:00+00:00,116.13,116.44,115.9,116.08,1414.0
GPN,2018-05-14 14:00:00+00:00,116.09,116.33,115.84,115.97,6037.0
GPN,2018-05-14 15:00:00+00:00,115.7,115.94,115.42,115.58,7955.0
GPN,2018-05-14 16:00:00+00:00,115.56,115.87,115.4,115.52,9389.0
GPN,2018-05-14 17:00:00+00:00,115.52,115.52,114.98,115.34,12349.0
GPN,2018-05-14 18:00:00+00:00,115.28,115.39,114.94,115.25,15529.0
GPN,2018-05-14 19:00:00+00:00,115.27,115.27,114.8,114.92,31516.0
GPN,2018-05-15 13:00:00+00:00,114.01,114.01,113.25,113.43,7100.0
GPN,2018-05-15 14:00:00+00:00,113.43,113.99,113.36,113.73,9418.0
GPN,2018-05-15 15:00:00+00:00,113.74,114.25,113.74,113.99,13758.0
GPN,2018-05-15 16:00:00+00:00,114.0,114.5,113.85,114.33,8182.0
GPN,2018-05-15 17:00:00+00:00,114.3,114.41,113.97,113.97,12865.0
GPN,2018-05-15 18:00:00+00:00,113.99,114.45,113.92,114.32,15071.0
GPN,2018-05-15 19:00:00+00:00,114.32,114.67,114.09,114.5,40105.0
GPN,2018-05-16 13:00:00+00:00,114.84,115.38,114.84,115.31,8134.0
GPN,2018-05-16 14:00:00+00:00,115.36,115.54,114.96,115.22,15530.0
GPN,2018-05-16 15:00:00+00:00,115.16,115.36,115.03,115.11,11635.0
GPN,2018-05-16 16:00:00+00:00,115.15,115.7,115.13,115.61,9587.0
GPN,2018-05-16 17:00:00+00:00,115.61,115.78,115.39,115.39,12901.0
GPN,2018-05-16 18:00:00+00:00,115.39,115.5,114.92,115.07,28502.0
GPN,2018-05-16 19:00:00+00:00,115.04,115.33,115.03,115.18,64442.0
GPN,2018-05-17 13:00:00+00:00,115.4,115.4,114.765,114.99,4879.0
GPN,2018-05-17 14:00:00+00:00,115.16,116.08,115.16,115.52,14207.0
GPN,2018-05-17 15:00:00+00:00,115.49,115.51,114.87,114.9,20761.0
GPN,2018-05-17 16:00:00+00:00,114.9,115.0,114.28,114.43,15310.0
GPN,2018-05-17 17:00:00+00:00,114.42,114.42,113.92,114.0,23534.0
GPN,2018-05-17 18:00:00+00:00,114.02,114.27,113.69,114.17,23841.0
GPN,2018-05-17 19:00:00+00:00,114.195,114.22,113.7,113.84,58887.0
GPN,2018-05-18 13:00:00+00:00,113.89,114.27,113.63,113.97,32576.0
GPN,2018-05-18 14:00:00+00:00,113.96,114.09,113.4,113.73,55308.0
GPN,2018-05-18 15:00:00+00:00,113.73,114.16,113.69,113.87,28106.0
GPN,2018-05-18 16:00:00+00:00,113.9,113.94,113.19,113.32,17689.0
GPN,2018-05-18 17:00:00+00:00,113.28,113.34,112.99,113.31,33045.0
GPN,2018-05-18 18:00:00+00:00,113.29,113.53,113.18,113.5,48418.0
GPN,2018-05-18 19:00:00+00:00,113.47,113.82,113.39,113.75,65593.0
GPN,2018-05-21 13:00:00+00:00,114.73,114.73,114.02,114.02,11725.0
GPN,2018-05-21 14:00:00+00:00,114.04,114.32,113.47,114.29,31811.0
GPN,2018-05-21 15:00:00+00:00,114.3,114.31,113.45,113.71,19570.0
GPN,2018-05-21 16:00:00+00:00,113.64,114.16,113.64,113.97,21534.0
GPN,2018-05-21 17:00:00+00:00,114.0,114.08,113.69,113.74,5494.0
GPN,2018-05-21 18:00:00+00:00,113.72,113.72,113.11,113.58,16035.0
GPN,2018-05-21 19:00:00+00:00,113.58,113.77,113.47,113.68,34404.0
GPN,2018-05-21 20:00:00+00:00,113.67,113.67,113.67,113.67,100.0
GPN,2018-05-22 13:00:00+00:00,113.96,114.25,113.65,113.69,5651.0
GPN,2018-05-22 14:00:00+00:00,113.7,113.7,112.53,112.93,13631.0
GPN,2018-05-22 15:00:00+00:00,112.97,112.97,112.63,112.69,9503.0
GPN,2018-05-22 16:00:00+00:00,112.73,112.86,112.26,112.26,9075.0
GPN,2018-05-22 17:00:00+00:00,112.25,112.47,111.82,111.9,15440.0
GPN,2018-05-22 18:00:00+00:00,111.92,112.22,111.69,112.0,38317.0
GPN,2018-05-22 19:00:00+00:00,112.06,112.3,111.7,111.92,42476.0
GPN,2018-05-23 13:00:00+00:00,111.4,111.6,111.27,111.27,11679.0
GPN,2018-05-23 14:00:00+00:00,111.38,111.89,111.21,111.37,18890.0
GPN,2018-05-23 15:00:00+00:00,111.36,111.42,110.74,110.83,30802.0
GPN,2018-05-23 16:00:00+00:00,110.84,111.03,110.46,110.85,45547.0
