symbol,ts,open,high,low,close,volume
GWW,2018-05-01 13:00:00+00:00,278.98,282.2,278.92,282.02,8521.0
GWW,2018-05-01 14:00:00+00:00,281.9,281.9,277.49,277.55,18925.0
GWW,2018-05-01 15:00:00+00:00,277.48,279.37,277.01,277.9,18492.0
GWW,2018-05-01 16:00:00+00:00,277.76,278.71,277.19,277.84,11363.0
GWW,2018-05-01 17:00:00+00:00,277.67,278.29,276.7,277.34,15137.0
GWW,2018-05-01 18:00:00+00:00,277.48,280.75,277.48,280.52,21886.0
GWW,2018-05-01 19:00:00+00:00,280.59,282.18,279.68,281.94,36383.0
GWW,2018-05-02 13:00:00+00:00,280.68,282.28,279.9,281.87,4925.0
GWW,2018-05-02 14:00:00+00:00,281.88,283.08,280.97,282.41,18095.0
GWW,2018-05-02 15:00:00+00:00,282.58,283.94,282.55,283.94,11021.0
GWW,2018-05-02 16:00:00+00:00,283.815,286.01,283.73,285.69,8494.0
GWW,2018-05-02 17:00:00+00:00,285.97,286.67,285.0,285.36,11448.0
GWW,2018-05-02 18:00:00+00:00,285.49,286.92,285.4,285.69,26294.0
GWW,2018-05-02 19:00:00+00:00,285.53,285.57,280.88,280.88,45923.0
GWW,2018-05-03 13:00:00+00:00,281.03,281.03,278.32,279.6,8871.0
GWW,2018-05-03 14:00:00+00:00,280.04,280.04,272.32,273.18,32290.0
GWW,2018-05-03 15:00:00+00:00,273.37,274.33,272.52,273.88,17180.0
GWW,2018-05-03 16:00:00+00:00,274.01,277.45,273.76,277.25,16550.0
GWW,2018-05-03 17:00:00+00:00,277.425,279.42,276.5,277.74,15676.0
GWW,2018-05-03 18:00:00+00:00,277.73,280.33,277.19,279.35,20345.0
GWW,2018-05-03 19:00:00+00:00,279.55,280.11,278.31,279.81,57807.0
GWW,2018-05-04 13:00:00+00:00,278.57,280.64,277.63,280.375,5858.0
GWW,2018-05-04 14:00:00+00:00,280.19,284.5,279.8,284.37,24958.0
GWW,2018-05-04 15:00:00+00:00,284.0,284.89,282.35,282.88,15563.0
GWW,2018-05-04 16:00:00+00:00,283.05,283.7,282.49,283.07,11954.0
GWW,2018-05-04 17:00:00+00:00,283.01,286.71,282.9,286.67,14984.0
GWW,2018-05-04 18:00:00+00:00,286.6,287.7,286.475,286.85,13782.0
GWW,2018-05-04 19:00:00+00:00,286.95,288.16,286.45,286.83,31249.0
GWW,2018-05-07 13:00:00+00:00,287.01,288.3,285.17,285.56,2700.0
GWW,2018-05-07 14:00:00+00:00,285.87,288.99,285.87,288.99,9260.0
GWW,2018-05-07 15:00:00+00:00,288.85,288.89,286.39,287.65,8511.0
GWW,2018-05-07 16:00:00+00:00,287.78,288.54,287.05,288.32,11064.0
GWW,2018-05-07 17:00:00+00:00,288.58,289.97,288.52,289.48,10956.0
GWW,2018-05-07 18:00:00+00:00,289.4,291.43,289.38,290.03,11330.0
GWW,2018-05-07 19:00:00+00:00,290.16,290.52,288.76,289.4,28883.0
GWW,2018-05-08 13:00:00+00:00,289.42,291.41,289.42,291.1,2955.0
GWW,2018-05-08 14:00:00+00:00,291.4,292.97,290.93,292.52,12438.0
GWW,2018-05-08 15:00:00+00:00,292.34,292.58,289.68,289.99,12820.0
GWW,2018-05-08 16:00:00+00:00,290.04,290.09,288.04,288.85,6249.0
GWW,2018-05-08 17:00:00+00:00,288.9,289.67,288.07,289.03,9331.0
GWW,2018-05-08 18:00:00+00:00,289.07,290.0,288.74,289.47,12605.0
GWW,2018-05-08 19:00:00+00:00,289.37,290.17,289.16,290.06,19986.0
GWW,2018-05-09 13:00:00+00:00,290.37,292.67,290.37,292.67,3286.0
GWW,2018-05-09 14:00:00+00:00,292.37,292.68,290.22,291.5,10059.0
GWW,2018-05-09 15:00:00+00:00,291.92,292.86,291.24,292.66,8233.0
GWW,2018-05-09 16:00:00+00:00,292.67,295.8,292.67,295.31,8382.0
GWW,2018-05-09 17:00:00+00:00,295.32,297.91,295.32,297.91,12219.0
GWW,2018-05-09 18:00:00+00:00,297.92,298.01,296.35,296.35,13653.0
GWW,2018-05-09 19:00:00+00:00,296.34,296.45,294.08,295.77,31770.0
GWW,2018-05-10 13:00:00+00:00,298.27,298.87,295.98,295.98,3110.0
GWW,2018-05-10 14:00:00+00:00,296.26,297.0,295.31,296.63,13046.0
GWW,2018-05-10 15:00:00+00:00,296.76,297.42,296.2,296.76,11758.0
GWW,2018-05-10 16:00:00+00:00,297.02,298.93,296.98,298.93,7055.0
GWW,2018-05-10 17:00:00+00:00,298.94,299.24,298.37,298.93,7230.0
GWW,2018-05-10 18:00:00+00:00,298.78,299.54,298.16,299.09,8446.0
GWW,2018-05-10 19:00:00+00:00,299.19,300.38,298.44,300.02,22862.0
GWW,2018-05-10 20:00:00+00:00,300.07,300.07,300.07,300.07,1.0
GWW,2018-05-11 13:00:00+00:00,298.66,302.11,298.2,302.0,4900.0
GWW,2018-05-11 14:00:00+00:00,302.42,302.485,300.04,301.17,14473.0
GWW,2018-05-11 15:00:00+00:00,301.02,301.02,299.55,300.43,13334.0
GWW,2018-05-11 16:00:00+00:00,300.39,300.39,298.19,298.44,14469.0
GWW,2018-05-11 17:00:00+00:00,298.45,298.78,296.46,297.575,10194.0
GWW,2018-05-11 18:00:00+00:00,297.68,298.28,296.99,297.3,13777.0
GWW,2018-05-11 19:00:00+00:00,297.17,297.6,295.71,296.01,34100.0
GWW,2018-05-14 13:00:00+00:00,297.63,297.63,295.755,296.64,2461.0
GWW,2018-05-14 14:00:00+00:00,296.92,296.92,294.18,294.18,7532.0
GWW,2018-05-14 15:00:00+00:00,294.44,294.84,293.88,293.92,6925.0
GWW,2018-05-14 16:00:00+00:00,294.22,294.66,292.64,292.64,8543.0
GWW,2018-05-14 17:00:00+00:00,292.67,293.35,292.28,293.35,5353.0
GWW,2018-05-14 18:00:00+00:00,293.29,294.26,292.71,294.26,8341.0
GWW,2018-05-14 19:00:00+00:00,294.4,296.04,294.38,295.83,14399.0
GWW,2018-05-15 13:00:00+00:00,295.03,295.62,292.79,293.05,5661.0
GWW,2018-05-15 14:00:00+00:00,293.35,295.44,293.2,294.97,21496.0
GWW,2018-05-15 15:00:00+00:00,295.0,297.06,294.8,296.18,19357.0
GWW,2018-05-15 16:00:00+00:00,296.17,296.69,295.23,296.22,15683.0
GWW,2018-05-15 17:00:00+00:00,296.35,298.31,295.69,297.12,12761.0
GWW,2018-05-15 18:00:00+00:00,297.18,299.45,297.18,299.45,26808.0
GWW,2018-05-15 19:00:00+00:00,299.47,301.05,298.85,300.755,48250.0
GWW,2018-05-16 13:00:00+00:00,300.89,301.64,300.49,301.5,3351.0
GWW,2018-05-16 14:00:00+00:00,301.58,304.08,301.58,304.01,10318.0
GWW,2018-05-16 15:00:00+00:00,304.01,304.96,303.47,304.96,8606.0
GWW,2018-05-16 16:00:00+00:00,305.39,307.61,305.39,306.78,7071.0
GWW,2018-05-16 17:00:00+00:00,306.61,306.61,305.34,306.5,8929.0
GWW,2018-05-16 18:00:00+00:00,306.48,307.44,306.38,306.91,19542.0
GWW,2018-05-16 19:00:00+00:00,306.915,307.01,304.94,306.355,39693.0
GWW,2018-05-17 13:00:00+00:00,305.87,305.87,304.79,304.91,4061.0
GWW,2018-05-17 14:00:00+00:00,304.85,307.74,304.85,307.05,7688.0
GWW,2018-05-17 15:00:00+00:00,307.11,308.61,306.0,308.07,8688.0
GWW,2018-05-17 16:00:00+00:00,308.09,308.6,307.67,308.04,8246.0
GWW,2018-05-17 17:00:00+00:00,308.14,309.11,307.75,307.89,6642.0
GWW,2018-05-17 18:00:00+00:00,308.04,308.06,306.42,306.62,11568.0
GWW,2018-05-17 19:00:00+00:00,306.52,307.04,306.05,306.855,13929.0
GWW,2018-05-18 13:00:00+00:00,307.06,307.75,305.46,306.92,5432.0
GWW,2018-05-18 14:00:00+00:00,307.33,308.06,305.64,307.34,18559.0
GWW,2018-05-18 15:00:00+00:00,307.55,307.8,305.99,306.48,20977.0
GWW,2018-05-18 16:00:00+00:00,306.6,307.45,305.99,307.25,14430.0
GWW,2018-05-18 17:00:00+00:00,307.06,308.11,306.88,307.82,8111.0
GWW,2018-05-18 18:00:00+00:00,307.6,307.82,306.86,307.21,8622.0
GWW,2018-05-18 19:00:00+00:00,307.05,307.88,306.61,307.77,23736.0
GWW,2018-05-21 13:00:00+00:00,309.08,313.94,308.79,313.7,7294.0
GWW,2018-05-21 14:00:00+00:00,313.78,317.26,313.53,315.53,37277.0
GWW,2018-05-21 15:00:00+00:00,315.09,315.64,312.9,314.45,18279.0
GWW,2018-05-21 16:00:00+00:00,314.56,315.78,314.36,315.47,13467.0
GWW,2018-05-21 17:00:00+00:00,315.65,316.98,315.65,316.81,19746.0
GWW,2018-05-21 18:00:00+00:00,316.72,316.83,315.4,316.28,14948.0
GWW,2018-05-21 19:00:00+00:00,316.25,316.32,313.63,313.85,29808.0
GWW,2018-05-22 12:00:00+00:00,312.85,312.85,312.85,312.85,1.0
GWW,2018-05-22 13:00:00+00:00,314.23,314.45,309.44,310.37,9411.0
GWW,2018-05-22 14:00:00+00:00,310.75,311.83,309.5,310.01,24627.0
GWW,2018-05-22 15:00:00+00:00,310.01,310.3,308.82,309.605,13097.0
GWW,2018-05-22 16:00:00+00:00,309.66,310.37,309.4,309.69,12331.0
GWW,2018-05-22 17:00:00+00:00,309.59,309.7,306.64,307.22,13786.0
GWW,2018-05-22 18:00:00+00:00,307.205,308.98,306.84,307.86,15552.0
GWW,2018-05-22 19:00:00+00:00,308.02,308.26,305.37,305.89,40895.0
GWW,2018-05-23 13:00:00+00:00,304.85,304.85,302.28,303.81,6177.0
GWW,2018-05-23 14:00:00+00:00,304.22,307.53,304.08,304.41,20580.0
GWW,2018-05-23 15:00:00+00:00,304.41,305.26,303.21,303.5,20257.0
GWW,2018-05-23 16:00:00+00:00,303.35,304.05,302.03,303.89,15992.0
GWW,2018-05-23 17:00:00+00:00,303.66,303.92,303.05,303.445,12125.0
GWW,2018-05-23 18:00:00+00:00,303.54,304.19,303.15,303.93,16958.0
GWW,2018-05-23 19:00:00+00:00,304.09,305.34,302.77,305.29,38698.0
GWW,2018-05-24 13:00:00+00:00,306.28,309.69,305.08,305.08,5891.0
GWW,2018-05-24 14:00:00+00:00,305.5,306.91,305.43,306.28,12300.0
GWW,2018-05-24 15:00:00+00:00,305.98,309.8,305.96,309.67,10539.0
GWW,2018-05-24 16:00:00+00:00,309.48,311.36,309.25,310.95,10521.0
GWW,2018-05-24 17:00:00+00:00,311.02,311.7,310.7,311.01,12007.0
GWW,2018-05-24 18:00:00+00:00,311.0,311.53,310.26,310.26,13261.0
GWW,2018-05-24 19:00:00+00:00,310.21,311.03,309.88,310.8,22558.0
GWW,2018-05-24 20:00:00+00:00,310.87,310.87,310.87,310.87,1.0
GWW,2018-05-25 12:00:00+00:00,310.93,310.93,310.93,310.93,30.0
GWW,2018-05-25 13:00:00+00:00,311.74,311.99,309.41,309.87,4686.0
GWW,2018-05-25 14:00:00+00:00,310.33,311.01,309.73,310.44,9924.0
GWW,2018-05-25 15:00:00+00:00,310.31,311.68,310.2,310.46,5706.0
GWW,2018-05-25 16:00:00+00:00,310.46,310.52,308.73,308.82,8610.0
GWW,2018-05-25 17:00:00+00:00,309.01,309.68,308.83,309.4,8066.0
GWW,2018-05-25 18:00:00+00:00,309.39,309.51,308.48,309.51,10546.0
GWW,2018-05-25 19:00:00+00:00,309.33,309.85,309.02,309.85,29093.0
GWW,2018-05-29 13:00:00+00:00,308.75,309.0,302.54,304.71,5533.0
GWW,2018-05-29 14:00:00+00:00,305.39,305.66,302.85,303.5,13909.0
GWW,2018-05-29 15:00:00+00:00,303.48,305.51,302.9,303.66,8384.0
GWW,2018-05-29 16:00:00+00:00,303.52,303.52,299.25,301.5,18932.0
GWW,2018-05-29 17:00:00+00:00,301.52,302.2,300.71,301.46,11140.0
GWW,2018-05-29 18:00:00+00:00,301.45,302.65,300.64,301.39,11844.0
GWW,2018-05-29 19:00:00+00:00,301.64,303.24,300.95,302.9,31491.0
GWW,2018-05-30 13:00:00+00:00,304.19,304.33,302.19,304.33,6566.0
GWW,2018-05-30 14:00:00+00:00,304.5,307.0,304.31,306.97,12543.0
GWW,2018-05-30 15:00:00+00:00,306.97,308.77,305.96,308.28,11948.0
GWW,2018-05-30 16:00:00+00:00,308.41,308.57,307.31,308.45,5088.0
GWW,2018-05-30 17:00:00+00:00,308.29,308.83,307.73,308.38,7783.0
GWW,2018-05-30 18:00:00+00:00,308.43,308.91,307.93,308.66,4926.0
GWW,2018-05-30 19:00:00+00:00,308.73,309.16,307.22,307.51,11814.0
GWW,2018-05-31 13:00:00+00:00,307.67,307.67,303.6,304.07,6866.0
GWW,2018-05-31 14:00:00+00:00,304.38,305.7,303.04,305.66,23969.0
GWW,2018-05-31 15:00:00+00:00,305.68,307.2,305.32,305.96,17248.0
GWW,2018-05-31 16:00:00+00:00,305.77,305.85,304.69,305.79,11827.0
GWW,2018-05-31 17:00:00+00:00,305.86,306.42,305.11,305.14,9783.0
GWW,2018-05-31 18:00:00+00:00,305.24,307.32,304.6,307.32,12453.0
GWW,2018-05-31 19:00:00+00:00,307.35,309.99,307.27,308.91,34068.0
GWW,2018-06-01 13:00:00+00:00,311.09,315.32,307.98,315.32,14323.0
GWW,2018-06-01 14:00:00+00:00,316.14,316.14,312.61,312.61,13325.0
GWW,2018-06-01 15:00:00+00:00,312.52,313.57,310.77,311.33,13696.0
GWW,2018-06-01 16:00:00+00:00,311.51,313.26,310.89,313.21,10995.0
GWW,2018-06-01 17:00:00+00:00,313.4,313.51,311.95,312.36,9141.0
GWW,2018-06-01 18:00:00+00:00,312.35,312.35,310.28,310.97,8197.0
