symbol,ts,open,high,low,close,volume
HAL,2018-05-01 12:00:00+00:00,53.09,53.09,53.09,53.09,10.0
HAL,2018-05-01 13:00:00+00:00,52.66,52.83,52.34,52.36,47058.0
HAL,2018-05-01 14:00:00+00:00,52.39,52.46,51.78,51.83,131875.0
HAL,2018-05-01 15:00:00+00:00,51.84,52.18,51.74,51.93,114998.0
HAL,2018-05-01 16:00:00+00:00,51.925,52.26,51.92,52.21,81415.0
HAL,2018-05-01 17:00:00+00:00,52.22,52.22,51.87,51.96,77574.0
HAL,2018-05-01 18:00:00+00:00,51.97,52.15,51.88,52.11,110435.0
HAL,2018-05-01 19:00:00+00:00,52.12,52.455,51.98,52.44,231707.0
HAL,2018-05-02 13:00:00+00:00,52.39,53.0,52.39,52.72,64983.0
HAL,2018-05-02 14:00:00+00:00,52.72,52.86,52.43,52.81,123212.0
HAL,2018-05-02 15:00:00+00:00,52.81,52.92,52.73,52.84,82012.0
HAL,2018-05-02 16:00:00+00:00,52.84,52.99,52.82,52.91,80529.0
HAL,2018-05-02 17:00:00+00:00,52.93,53.02,52.875,52.91,58471.0
HAL,2018-05-02 18:00:00+00:00,52.89,53.23,52.875,53.05,116389.0
HAL,2018-05-02 19:00:00+00:00,53.06,53.14,52.49,52.65,210294.0
HAL,2018-05-02 23:00:00+00:00,52.61,52.61,52.61,52.61,400.0
HAL,2018-05-03 13:00:00+00:00,52.37,52.62,52.29,52.42,47515.0
HAL,2018-05-03 14:00:00+00:00,52.45,52.45,51.75,51.85,116169.0
HAL,2018-05-03 15:00:00+00:00,51.86,51.98,51.66,51.92,116687.0
HAL,2018-05-03 16:00:00+00:00,51.9,52.18,51.64,52.16,94303.0
HAL,2018-05-03 17:00:00+00:00,52.18,52.42,52.01,52.31,94303.0
HAL,2018-05-03 18:00:00+00:00,52.31,52.44,52.12,52.17,88444.0
HAL,2018-05-03 19:00:00+00:00,52.17,52.31,52.08,52.31,149891.0
HAL,2018-05-03 20:00:00+00:00,52.22,52.22,52.22,52.22,668.0
HAL,2018-05-03 21:00:00+00:00,52.01,52.01,52.0,52.0,500.0
HAL,2018-05-04 13:00:00+00:00,52.0,52.16,51.88,52.0,40582.0
HAL,2018-05-04 14:00:00+00:00,51.99,52.09,51.68,51.76,135313.0
HAL,2018-05-04 15:00:00+00:00,51.74,52.09,51.525,52.09,134254.0
HAL,2018-05-04 16:00:00+00:00,52.1,52.43,52.02,52.33,127635.0
HAL,2018-05-04 17:00:00+00:00,52.32,52.405,52.175,52.33,68795.0
HAL,2018-05-04 18:00:00+00:00,52.33,52.42,52.245,52.31,92932.0
HAL,2018-05-04 19:00:00+00:00,52.31,52.31,52.055,52.18,164792.0
HAL,2018-05-07 11:00:00+00:00,52.48,52.48,52.48,52.48,200.0
HAL,2018-05-07 13:00:00+00:00,52.44,53.49,52.25,53.35,91327.0
HAL,2018-05-07 14:00:00+00:00,53.35,53.5,53.1,53.23,146385.0
HAL,2018-05-07 15:00:00+00:00,53.22,53.28,53.1,53.2,93020.0
HAL,2018-05-07 16:00:00+00:00,53.19,53.27,53.03,53.1,73857.0
HAL,2018-05-07 17:00:00+00:00,53.12,53.135,53.02,53.08,68476.0
HAL,2018-05-07 18:00:00+00:00,53.09,53.1,52.47,52.49,133122.0
HAL,2018-05-07 19:00:00+00:00,52.48,52.48,51.98,52.04,203378.0
HAL,2018-05-08 13:00:00+00:00,52.13,52.13,51.47,51.57,36841.0
HAL,2018-05-08 14:00:00+00:00,51.58,51.7,51.28,51.28,137459.0
HAL,2018-05-08 15:00:00+00:00,51.27,51.64,50.76,51.5,217834.0
HAL,2018-05-08 16:00:00+00:00,51.47,51.61,51.2,51.21,144856.0
HAL,2018-05-08 17:00:00+00:00,51.2,51.35,51.08,51.14,122930.0
HAL,2018-05-08 18:00:00+00:00,51.13,52.0,51.05,51.55,271949.0
HAL,2018-05-08 19:00:00+00:00,51.59,51.87,51.54,51.86,250954.0
HAL,2018-05-09 13:00:00+00:00,52.61,53.2,52.61,53.18,155007.0
HAL,2018-05-09 14:00:00+00:00,53.18,53.68,53.06,53.09,203501.0
HAL,2018-05-09 15:00:00+00:00,53.085,53.24,52.93,53.04,166732.0
HAL,2018-05-09 16:00:00+00:00,53.045,53.23,52.995,53.16,264848.0
HAL,2018-05-09 17:00:00+00:00,53.17,53.2,53.04,53.1,92988.0
HAL,2018-05-09 18:00:00+00:00,53.14,53.15,52.88,53.01,131477.0
HAL,2018-05-09 19:00:00+00:00,53.01,53.05,52.64,52.7,279251.0
HAL,2018-05-09 20:00:00+00:00,52.81,52.81,52.81,52.81,519.0
HAL,2018-05-10 12:00:00+00:00,53.57,53.57,53.57,53.57,1.0
HAL,2018-05-10 13:00:00+00:00,53.53,53.53,52.74,52.88,148002.0
HAL,2018-05-10 14:00:00+00:00,52.91,52.97,52.45,52.46,164512.0
HAL,2018-05-10 15:00:00+00:00,52.47,52.9,52.45,52.9,151366.0
HAL,2018-05-10 16:00:00+00:00,52.9,52.905,52.71,52.76,80904.0
HAL,2018-05-10 17:00:00+00:00,52.77,52.82,52.42,52.5,110968.0
HAL,2018-05-10 18:00:00+00:00,52.5,52.98,52.45,52.85,129699.0
HAL,2018-05-10 19:00:00+00:00,52.865,52.91,52.59,52.7,199032.0
HAL,2018-05-10 20:00:00+00:00,52.58,52.58,52.58,52.58,391.0
HAL,2018-05-11 09:00:00+00:00,53.4,53.4,53.4,53.4,3.0
HAL,2018-05-11 11:00:00+00:00,53.2,53.2,53.2,53.2,4.0
HAL,2018-05-11 12:00:00+00:00,52.75,52.75,52.75,52.75,88.0
HAL,2018-05-11 13:00:00+00:00,52.77,52.81,52.36,52.78,74456.0
HAL,2018-05-11 14:00:00+00:00,52.78,52.85,52.41,52.68,131116.0
HAL,2018-05-11 15:00:00+00:00,52.685,52.7,52.49,52.62,103038.0
HAL,2018-05-11 16:00:00+00:00,52.62,52.68,52.42,52.53,93935.0
HAL,2018-05-11 17:00:00+00:00,52.52,52.64,52.45,52.51,82247.0
HAL,2018-05-11 18:00:00+00:00,52.505,52.52,52.13,52.15,147748.0
HAL,2018-05-11 19:00:00+00:00,52.15,52.34,52.115,52.27,323806.0
HAL,2018-05-14 13:00:00+00:00,52.46,52.8,52.4,52.65,93179.0
HAL,2018-05-14 14:00:00+00:00,52.65,52.73,52.475,52.62,131490.0
HAL,2018-05-14 15:00:00+00:00,52.61,52.77,52.56,52.72,98341.0
HAL,2018-05-14 16:00:00+00:00,52.71,52.76,52.57,52.66,69530.0
HAL,2018-05-14 17:00:00+00:00,52.64,52.71,52.53,52.53,79893.0
HAL,2018-05-14 18:00:00+00:00,52.53,52.67,52.47,52.65,81519.0
HAL,2018-05-14 19:00:00+00:00,52.64,52.65,52.42,52.52,181895.0
HAL,2018-05-15 13:00:00+00:00,52.54,52.62,51.98,52.1,72207.0
HAL,2018-05-15 14:00:00+00:00,52.09,52.62,52.03,52.55,115856.0
HAL,2018-05-15 15:00:00+00:00,52.55,52.74,52.54,52.65,67645.0
HAL,2018-05-15 16:00:00+00:00,52.66,52.75,52.595,52.65,60378.0
HAL,2018-05-15 17:00:00+00:00,52.645,52.7,52.565,52.6,45112.0
HAL,2018-05-15 18:00:00+00:00,52.605,52.75,52.55,52.62,83141.0
