symbol,ts,open,high,low,close,volume
HBAN,2018-05-01 13:00:00+00:00,14.88,14.89,14.74,14.77,221366.0
HBAN,2018-05-01 14:00:00+00:00,14.765,14.795,14.71,14.71,141773.0
HBAN,2018-05-01 15:00:00+00:00,14.72,14.745,14.69,14.69,282242.0
HBAN,2018-05-01 16:00:00+00:00,14.695,14.77,14.68,14.77,111332.0
HBAN,2018-05-01 17:00:00+00:00,14.77,14.795,14.71,14.79,326772.0
HBAN,2018-05-01 18:00:00+00:00,14.8,14.86,14.78,14.83,113320.0
HBAN,2018-05-01 19:00:00+00:00,14.835,14.845,14.77,14.8,351853.0
HBAN,2018-05-01 20:00:00+00:00,14.81,14.81,14.81,14.81,316812.0
HBAN,2018-05-02 13:00:00+00:00,14.76,14.82,14.68,14.69,245924.0
HBAN,2018-05-02 14:00:00+00:00,14.685,14.72,14.635,14.66,305277.0
HBAN,2018-05-02 15:00:00+00:00,14.67,14.775,14.67,14.77,256671.0
HBAN,2018-05-02 16:00:00+00:00,14.77,14.81,14.76,14.79,142026.0
HBAN,2018-05-02 17:00:00+00:00,14.785,14.835,14.785,14.82,111994.0
HBAN,2018-05-02 18:00:00+00:00,14.83,14.85,14.755,14.765,193816.0
HBAN,2018-05-02 19:00:00+00:00,14.77,14.77,14.64,14.66,371234.0
HBAN,2018-05-02 20:00:00+00:00,14.66,14.67,14.66,14.66,828483.0
HBAN,2018-05-03 13:00:00+00:00,14.59,14.61,14.47,14.55,173815.0
HBAN,2018-05-03 14:00:00+00:00,14.55,14.55,14.28,14.3,216751.0
HBAN,2018-05-03 15:00:00+00:00,14.3,14.37,14.27,14.36,212273.0
HBAN,2018-05-03 16:00:00+00:00,14.36,14.49,14.33,14.48,170198.0
HBAN,2018-05-03 17:00:00+00:00,14.48,14.525,14.395,14.5,153705.0
HBAN,2018-05-03 18:00:00+00:00,14.495,14.545,14.435,14.44,238076.0
HBAN,2018-05-03 19:00:00+00:00,14.45,14.48,14.415,14.45,299901.0
HBAN,2018-05-03 20:00:00+00:00,14.46,14.47,14.46,14.47,381797.0
HBAN,2018-05-04 13:00:00+00:00,14.31,14.4,14.265,14.4,146560.0
HBAN,2018-05-04 14:00:00+00:00,14.4,14.56,14.395,14.54,161815.0
HBAN,2018-05-04 15:00:00+00:00,14.54,14.645,14.54,14.625,177429.0
HBAN,2018-05-04 16:00:00+00:00,14.63,14.695,14.615,14.695,101172.0
HBAN,2018-05-04 17:00:00+00:00,14.7,14.75,14.69,14.75,97921.0
HBAN,2018-05-04 18:00:00+00:00,14.755,14.795,14.73,14.73,107343.0
HBAN,2018-05-04 19:00:00+00:00,14.725,14.74,14.68,14.71,259249.0
HBAN,2018-05-04 20:00:00+00:00,14.7,14.7,14.7,14.7,478554.0
HBAN,2018-05-07 13:00:00+00:00,14.75,14.77,14.635,14.68,175824.0
HBAN,2018-05-07 14:00:00+00:00,14.69,14.71,14.6,14.71,107741.0
HBAN,2018-05-07 15:00:00+00:00,14.715,14.745,14.69,14.73,141927.0
HBAN,2018-05-07 16:00:00+00:00,14.74,14.79,14.74,14.76,195826.0
HBAN,2018-05-07 17:00:00+00:00,14.765,14.795,14.74,14.78,113273.0
HBAN,2018-05-07 18:00:00+00:00,14.785,14.835,14.755,14.755,93858.0
HBAN,2018-05-07 19:00:00+00:00,14.755,14.785,14.715,14.73,232527.0
HBAN,2018-05-07 20:00:00+00:00,14.73,14.73,14.73,14.73,195492.0
HBAN,2018-05-08 13:00:00+00:00,14.72,14.88,14.69,14.88,279889.0
HBAN,2018-05-08 14:00:00+00:00,14.885,14.985,14.87,14.96,201791.0
HBAN,2018-05-08 15:00:00+00:00,14.96,15.015,14.88,14.88,136895.0
HBAN,2018-05-08 16:00:00+00:00,14.875,14.89,14.79,14.825,65707.0
HBAN,2018-05-08 17:00:00+00:00,14.82,14.885,14.82,14.85,81748.0
HBAN,2018-05-08 18:00:00+00:00,14.86,14.86,14.755,14.795,71109.0
HBAN,2018-05-08 19:00:00+00:00,14.79,14.87,14.775,14.86,180927.0
HBAN,2018-05-08 20:00:00+00:00,14.86,14.89,14.86,14.89,790053.0
