symbol,ts,open,high,low,close,volume
HCA,2018-05-01 13:00:00+00:00,99.6,99.6,94.85,94.95,48593.0
HCA,2018-05-01 14:00:00+00:00,94.93,95.1,93.14,93.7,107270.0
HCA,2018-05-01 15:00:00+00:00,93.69,94.89,93.51,94.84,88652.0
HCA,2018-05-01 16:00:00+00:00,94.86,95.57,94.82,94.93,47773.0
HCA,2018-05-01 17:00:00+00:00,94.91,95.49,94.55,95.395,35994.0
HCA,2018-05-01 18:00:00+00:00,95.38,95.92,95.25,95.61,56843.0
HCA,2018-05-01 19:00:00+00:00,95.6,96.21,95.42,96.11,115894.0
HCA,2018-05-02 13:00:00+00:00,94.63,98.23,94.63,98.19,27965.0
HCA,2018-05-02 14:00:00+00:00,98.2,99.18,98.16,98.55,46947.0
HCA,2018-05-02 15:00:00+00:00,98.63,99.3,98.24,98.28,38269.0
HCA,2018-05-02 16:00:00+00:00,98.26,98.75,98.25,98.68,38352.0
HCA,2018-05-02 17:00:00+00:00,98.71,98.81,98.49,98.53,26011.0
HCA,2018-05-02 18:00:00+00:00,98.53,98.75,98.3,98.4,50477.0
HCA,2018-05-02 19:00:00+00:00,98.42,98.42,97.37,97.74,116368.0
HCA,2018-05-03 13:00:00+00:00,97.85,97.85,96.49,96.6,24365.0
HCA,2018-05-03 14:00:00+00:00,96.6,96.65,94.24,94.95,92434.0
HCA,2018-05-03 15:00:00+00:00,94.945,95.67,94.86,95.59,43774.0
HCA,2018-05-03 16:00:00+00:00,95.6,96.31,95.39,96.18,46041.0
HCA,2018-05-03 17:00:00+00:00,96.2,96.55,96.11,96.19,43504.0
HCA,2018-05-03 18:00:00+00:00,96.16,96.36,95.86,96.02,54666.0
HCA,2018-05-03 19:00:00+00:00,96.03,96.14,95.65,95.84,112404.0
HCA,2018-05-03 21:00:00+00:00,97.15,97.15,97.15,97.15,50.0
HCA,2018-05-03 22:00:00+00:00,96.7,96.7,96.7,96.7,60.0
HCA,2018-05-04 13:00:00+00:00,96.25,96.53,95.7,95.94,18627.0
HCA,2018-05-04 14:00:00+00:00,95.99,96.67,95.84,96.67,36782.0
HCA,2018-05-04 15:00:00+00:00,96.63,97.1,96.5,97.07,27398.0
HCA,2018-05-04 16:00:00+00:00,97.08,97.38,96.92,97.3,23356.0
HCA,2018-05-04 17:00:00+00:00,97.3,97.33,97.13,97.2,28865.0
HCA,2018-05-04 18:00:00+00:00,97.2,97.67,97.18,97.51,30730.0
HCA,2018-05-04 19:00:00+00:00,97.54,97.72,97.43,97.54,59171.0
HCA,2018-05-07 13:00:00+00:00,97.66,98.16,97.29,98.16,10217.0
HCA,2018-05-07 14:00:00+00:00,98.13,98.13,97.27,97.74,15760.0
HCA,2018-05-07 15:00:00+00:00,97.74,97.79,97.43,97.56,17753.0
HCA,2018-05-07 16:00:00+00:00,97.57,98.05,97.57,97.98,16755.0
HCA,2018-05-07 17:00:00+00:00,97.99,98.05,97.71,97.88,17248.0
HCA,2018-05-07 18:00:00+00:00,97.9,98.03,97.84,97.92,18875.0
HCA,2018-05-07 19:00:00+00:00,97.92,97.92,97.34,97.62,60316.0
HCA,2018-05-08 13:00:00+00:00,97.93,97.93,97.5,97.66,17097.0
HCA,2018-05-08 14:00:00+00:00,97.61,97.64,97.2,97.53,29264.0
HCA,2018-05-08 15:00:00+00:00,97.53,97.71,97.22,97.23,42101.0
HCA,2018-05-08 16:00:00+00:00,97.23,97.48,96.93,97.38,29917.0
HCA,2018-05-08 17:00:00+00:00,97.35,97.53,97.24,97.44,24930.0
HCA,2018-05-08 18:00:00+00:00,97.43,97.7,97.33,97.39,40193.0
HCA,2018-05-08 19:00:00+00:00,97.37,97.58,97.23,97.39,62170.0
HCA,2018-05-09 13:00:00+00:00,97.305,97.59,97.11,97.36,10520.0
HCA,2018-05-09 14:00:00+00:00,97.215,97.86,97.15,97.73,41295.0
HCA,2018-05-09 15:00:00+00:00,97.74,98.62,97.62,98.38,48136.0
HCA,2018-05-09 16:00:00+00:00,98.41,99.45,98.39,99.34,44335.0
HCA,2018-05-09 17:00:00+00:00,99.37,100.0,99.34,99.86,40487.0
HCA,2018-05-09 18:00:00+00:00,99.85,100.29,99.82,99.95,36383.0
HCA,2018-05-09 19:00:00+00:00,99.96,100.17,99.9,100.11,68498.0
HCA,2018-05-10 13:00:00+00:00,100.43,100.96,100.31,100.81,13847.0
HCA,2018-05-10 14:00:00+00:00,100.79,100.89,100.33,100.67,44421.0
HCA,2018-05-10 15:00:00+00:00,100.7,101.52,100.7,101.52,36721.0
HCA,2018-05-10 16:00:00+00:00,101.49,101.84,101.49,101.565,22622.0
HCA,2018-05-10 17:00:00+00:00,101.57,101.67,101.27,101.4,19662.0
HCA,2018-05-10 18:00:00+00:00,101.41,101.42,101.07,101.32,24988.0
HCA,2018-05-10 19:00:00+00:00,101.33,101.55,101.22,101.45,85408.0
HCA,2018-05-11 13:00:00+00:00,101.21,102.22,101.21,101.79,11799.0
HCA,2018-05-11 14:00:00+00:00,101.79,102.06,101.52,101.55,37855.0
HCA,2018-05-11 15:00:00+00:00,101.55,101.78,101.12,101.63,25504.0
HCA,2018-05-11 16:00:00+00:00,101.64,101.77,101.48,101.64,19457.0
HCA,2018-05-11 17:00:00+00:00,101.64,101.72,101.58,101.68,17460.0
HCA,2018-05-11 18:00:00+00:00,101.69,101.99,101.01,101.96,33714.0
HCA,2018-05-11 19:00:00+00:00,101.97,102.06,101.68,101.79,55083.0
HCA,2018-05-14 13:00:00+00:00,101.93,102.3,101.93,102.13,6185.0
HCA,2018-05-14 14:00:00+00:00,102.16,102.28,101.93,102.2,20637.0
HCA,2018-05-14 15:00:00+00:00,102.2,102.34,102.06,102.31,21227.0
HCA,2018-05-14 16:00:00+00:00,102.33,102.51,101.92,101.94,25446.0
HCA,2018-05-14 17:00:00+00:00,101.92,102.06,101.73,101.73,15442.0
HCA,2018-05-14 18:00:00+00:00,101.73,101.92,101.57,101.91,25275.0
HCA,2018-05-14 19:00:00+00:00,101.9,101.93,101.69,101.8,64120.0
HCA,2018-05-15 13:00:00+00:00,101.35,101.64,101.16,101.35,10659.0
HCA,2018-05-15 14:00:00+00:00,101.39,101.46,100.8,100.85,29739.0
HCA,2018-05-15 15:00:00+00:00,100.86,101.25,100.84,101.0,18242.0
HCA,2018-05-15 16:00:00+00:00,101.01,101.18,100.935,101.1,15398.0
HCA,2018-05-15 17:00:00+00:00,101.07,101.09,100.7,100.7,13432.0
HCA,2018-05-15 18:00:00+00:00,100.69,100.99,100.64,100.87,24747.0
HCA,2018-05-15 19:00:00+00:00,100.88,101.1,100.77,101.05,52515.0
HCA,2018-05-16 13:00:00+00:00,101.26,101.89,101.23,101.75,4520.0
HCA,2018-05-16 14:00:00+00:00,101.72,102.18,101.58,102.18,18688.0
HCA,2018-05-16 15:00:00+00:00,102.17,102.64,102.05,102.53,18952.0
HCA,2018-05-16 16:00:00+00:00,102.53,102.99,102.5,102.93,27750.0
