symbol,ts,open,high,low,close,volume
HII,2018-05-01 13:00:00+00:00,242.78,242.79,241.0,242.08,6979.0
HII,2018-05-01 14:00:00+00:00,241.94,241.94,237.13,237.5,12123.0
HII,2018-05-01 15:00:00+00:00,237.455,237.455,235.33,235.44,7822.0
HII,2018-05-01 16:00:00+00:00,235.35,235.35,232.33,232.6,19720.0
HII,2018-05-01 17:00:00+00:00,232.61,232.63,229.39,232.21,8470.0
HII,2018-05-01 18:00:00+00:00,232.15,234.16,231.76,233.81,11029.0
HII,2018-05-01 19:00:00+00:00,233.82,234.98,232.72,234.67,22369.0
HII,2018-05-02 13:00:00+00:00,234.35,235.35,233.33,234.34,4482.0
HII,2018-05-02 14:00:00+00:00,234.49,237.56,234.49,237.31,9006.0
HII,2018-05-02 15:00:00+00:00,237.47,237.65,234.81,235.0,7074.0
HII,2018-05-02 16:00:00+00:00,235.18,236.07,235.05,235.67,3123.0
HII,2018-05-02 17:00:00+00:00,235.77,235.85,233.86,234.05,5223.0
HII,2018-05-02 18:00:00+00:00,234.21,235.26,233.88,233.88,7492.0
HII,2018-05-02 19:00:00+00:00,233.87,233.89,230.37,231.775,40651.0
HII,2018-05-02 21:00:00+00:00,233.4,233.4,233.4,233.4,2.0
HII,2018-05-03 13:00:00+00:00,221.8,228.39,216.02,217.19,10390.0
HII,2018-05-03 14:00:00+00:00,217.09,217.21,211.99,213.15,25547.0
HII,2018-05-03 15:00:00+00:00,213.48,215.22,213.13,214.18,22004.0
HII,2018-05-03 16:00:00+00:00,214.27,216.1,212.85,215.87,26267.0
HII,2018-05-03 17:00:00+00:00,215.79,215.79,213.39,214.55,30248.0
HII,2018-05-03 18:00:00+00:00,214.59,215.04,213.81,213.95,22294.0
HII,2018-05-03 19:00:00+00:00,213.86,213.97,206.28,207.22,69002.0
HII,2018-05-03 20:00:00+00:00,207.11,208.86,207.11,208.86,10.0
HII,2018-05-03 21:00:00+00:00,217.1,217.1,217.1,217.1,1.0
HII,2018-05-04 13:00:00+00:00,205.71,206.07,202.36,205.77,11671.0
HII,2018-05-04 14:00:00+00:00,205.48,208.78,204.475,207.01,30538.0
HII,2018-05-04 15:00:00+00:00,206.97,207.46,204.64,205.59,15273.0
HII,2018-05-04 16:00:00+00:00,205.6,208.11,205.6,208.11,10028.0
HII,2018-05-04 17:00:00+00:00,208.12,209.81,208.12,209.725,10650.0
HII,2018-05-04 18:00:00+00:00,209.73,209.95,209.35,209.59,9887.0
HII,2018-05-04 19:00:00+00:00,209.65,210.97,209.65,210.655,27621.0
HII,2018-05-07 13:00:00+00:00,210.37,215.68,210.33,213.92,17291.0
HII,2018-05-07 14:00:00+00:00,214.01,216.57,213.94,215.59,22384.0
HII,2018-05-07 15:00:00+00:00,215.54,216.14,214.4,215.22,24364.0
HII,2018-05-07 16:00:00+00:00,215.22,216.05,214.59,215.96,19064.0
HII,2018-05-07 17:00:00+00:00,216.0,216.42,215.41,216.42,19960.0
HII,2018-05-07 18:00:00+00:00,216.32,217.27,215.91,216.26,20980.0
HII,2018-05-07 19:00:00+00:00,216.25,217.17,215.18,215.86,44397.0
HII,2018-05-08 13:00:00+00:00,216.09,218.28,215.52,216.94,10660.0
HII,2018-05-08 14:00:00+00:00,216.99,217.18,215.28,217.0,14082.0
HII,2018-05-08 15:00:00+00:00,216.76,217.0,215.58,216.32,11654.0
HII,2018-05-08 16:00:00+00:00,216.24,218.37,215.94,217.94,16201.0
HII,2018-05-08 17:00:00+00:00,217.87,218.3,217.69,218.01,12263.0
HII,2018-05-08 18:00:00+00:00,218.03,221.21,218.03,220.99,22791.0
HII,2018-05-08 19:00:00+00:00,220.77,221.91,219.88,221.83,35880.0
HII,2018-05-09 10:00:00+00:00,224.79,224.79,224.79,224.79,100.0
HII,2018-05-09 11:00:00+00:00,223.99,223.99,223.99,223.99,100.0
HII,2018-05-09 13:00:00+00:00,223.9,223.9,221.31,222.26,7572.0
HII,2018-05-09 14:00:00+00:00,222.015,222.29,221.12,221.79,9686.0
HII,2018-05-09 15:00:00+00:00,221.71,223.44,220.95,223.44,9240.0
HII,2018-05-09 16:00:00+00:00,223.34,224.24,222.62,223.98,3330.0
HII,2018-05-09 17:00:00+00:00,223.975,224.69,222.98,223.19,4488.0
HII,2018-05-09 18:00:00+00:00,223.11,223.36,222.81,223.05,4583.0
HII,2018-05-09 19:00:00+00:00,223.12,223.17,220.99,221.54,9957.0
HII,2018-05-09 20:00:00+00:00,222.21,222.21,222.21,222.21,1.0
HII,2018-05-10 13:00:00+00:00,221.54,223.75,221.54,222.94,6224.0
HII,2018-05-10 14:00:00+00:00,223.015,224.37,223.015,223.84,5379.0
HII,2018-05-10 15:00:00+00:00,224.01,224.09,222.99,223.91,7327.0
HII,2018-05-10 16:00:00+00:00,224.01,224.87,223.84,224.47,7311.0
HII,2018-05-10 17:00:00+00:00,224.5,224.6,223.115,223.17,4433.0
HII,2018-05-10 18:00:00+00:00,223.16,223.46,221.9,222.08,7669.0
HII,2018-05-10 19:00:00+00:00,221.99,222.59,221.63,222.5,12501.0
HII,2018-05-11 13:00:00+00:00,222.04,223.5,221.715,223.26,3781.0
HII,2018-05-11 14:00:00+00:00,223.0,223.32,222.0,222.62,8801.0
HII,2018-05-11 15:00:00+00:00,222.62,223.16,222.23,222.43,4362.0
HII,2018-05-11 16:00:00+00:00,222.47,222.67,220.79,221.08,8322.0
HII,2018-05-11 17:00:00+00:00,221.0,221.18,219.26,219.57,12211.0
HII,2018-05-11 18:00:00+00:00,219.81,220.34,219.58,220.34,7907.0
HII,2018-05-11 19:00:00+00:00,220.41,220.65,220.1,220.2,15364.0
HII,2018-05-11 23:00:00+00:00,220.5,220.75,220.5,220.75,25.0
HII,2018-05-14 13:00:00+00:00,220.17,220.6,219.0,219.0,2020.0
HII,2018-05-14 14:00:00+00:00,219.06,219.28,216.83,216.88,10124.0
HII,2018-05-14 15:00:00+00:00,216.78,217.32,213.49,215.5,14860.0
HII,2018-05-14 16:00:00+00:00,215.38,217.91,215.26,216.54,8054.0
HII,2018-05-14 17:00:00+00:00,216.54,217.49,216.28,217.0,2939.0
HII,2018-05-14 18:00:00+00:00,216.96,218.8,216.26,218.4,4650.0
HII,2018-05-14 19:00:00+00:00,218.81,218.83,217.99,218.44,10391.0
HII,2018-05-14 20:00:00+00:00,218.0,218.0,218.0,218.0,5.0
HII,2018-05-15 13:00:00+00:00,217.74,218.675,217.48,217.845,4505.0
HII,2018-05-15 14:00:00+00:00,217.51,218.8,217.21,218.555,12043.0
HII,2018-05-15 15:00:00+00:00,218.72,218.84,218.0,218.0,8361.0
HII,2018-05-15 16:00:00+00:00,218.0,218.67,217.39,218.38,7322.0
HII,2018-05-15 17:00:00+00:00,218.33,218.36,217.61,217.78,5147.0
HII,2018-05-15 18:00:00+00:00,217.82,219.16,217.82,218.46,5813.0
HII,2018-05-15 19:00:00+00:00,218.5,218.57,217.99,218.38,11265.0
HII,2018-05-16 13:00:00+00:00,218.58,221.2,218.58,220.63,4625.0
HII,2018-05-16 14:00:00+00:00,220.44,221.47,219.5,220.77,15705.0
HII,2018-05-16 15:00:00+00:00,220.76,221.29,220.32,220.44,18351.0
HII,2018-05-16 16:00:00+00:00,220.53,222.04,220.53,221.2,10872.0
HII,2018-05-16 17:00:00+00:00,221.22,221.4,220.47,221.21,9893.0
HII,2018-05-16 18:00:00+00:00,221.25,221.62,220.96,221.07,12155.0
HII,2018-05-16 19:00:00+00:00,221.03,221.3,220.36,220.52,26279.0
HII,2018-05-17 13:00:00+00:00,219.67,221.29,219.67,221.18,659.0
