symbol,ts,open,high,low,close,volume
HLT,2018-05-01 13:00:00+00:00,78.66,79.56,78.64,79.49,27930.0
HLT,2018-05-01 14:00:00+00:00,79.52,79.65,79.0,79.04,96650.0
HLT,2018-05-01 15:00:00+00:00,79.01,79.45,78.74,79.14,83748.0
HLT,2018-05-01 16:00:00+00:00,79.17,79.58,79.15,79.47,74279.0
HLT,2018-05-01 17:00:00+00:00,79.475,79.695,79.145,79.69,79913.0
HLT,2018-05-01 18:00:00+00:00,79.67,80.21,79.67,80.15,81849.0
HLT,2018-05-01 19:00:00+00:00,80.15,80.31,80.06,80.15,149881.0
HLT,2018-05-02 13:00:00+00:00,79.7,80.35,79.7,80.29,25681.0
HLT,2018-05-02 14:00:00+00:00,80.28,80.63,80.15,80.36,46245.0
HLT,2018-05-02 15:00:00+00:00,80.34,80.39,79.53,79.7,43843.0
HLT,2018-05-02 16:00:00+00:00,79.7,79.97,79.7,79.91,36180.0
HLT,2018-05-02 17:00:00+00:00,79.91,80.04,79.65,79.66,32805.0
HLT,2018-05-02 18:00:00+00:00,79.64,79.86,79.54,79.69,53926.0
HLT,2018-05-02 19:00:00+00:00,79.69,79.855,79.26,79.45,150612.0
HLT,2018-05-03 13:00:00+00:00,79.14,79.61,78.94,79.54,25458.0
HLT,2018-05-03 14:00:00+00:00,79.5,79.55,78.55,78.64,119136.0
HLT,2018-05-03 15:00:00+00:00,78.66,79.16,78.44,79.14,133052.0
HLT,2018-05-03 16:00:00+00:00,79.14,79.91,79.13,79.89,107216.0
HLT,2018-05-03 17:00:00+00:00,79.87,80.08,79.62,79.96,93429.0
HLT,2018-05-03 18:00:00+00:00,79.95,80.18,79.605,79.64,85350.0
HLT,2018-05-03 19:00:00+00:00,79.64,80.03,79.64,79.84,119377.0
HLT,2018-05-04 13:00:00+00:00,79.49,80.05,79.15,79.78,39187.0
HLT,2018-05-04 14:00:00+00:00,79.72,80.47,79.595,80.4,71020.0
HLT,2018-05-04 15:00:00+00:00,80.41,80.91,80.38,80.81,78879.0
HLT,2018-05-04 16:00:00+00:00,80.8,81.22,80.71,81.08,62681.0
HLT,2018-05-04 17:00:00+00:00,81.09,81.45,81.08,81.35,72799.0
HLT,2018-05-04 18:00:00+00:00,81.35,81.52,81.24,81.31,53378.0
HLT,2018-05-04 19:00:00+00:00,81.32,81.37,81.07,81.15,146169.0
HLT,2018-05-07 13:00:00+00:00,81.37,81.45,80.85,81.04,10871.0
HLT,2018-05-07 14:00:00+00:00,81.04,81.29,81.01,81.27,37229.0
HLT,2018-05-07 15:00:00+00:00,81.27,81.27,81.03,81.06,40316.0
HLT,2018-05-07 16:00:00+00:00,81.06,81.17,81.02,81.04,33698.0
HLT,2018-05-07 17:00:00+00:00,81.05,81.22,80.98,81.18,28454.0
HLT,2018-05-07 18:00:00+00:00,81.17,81.32,81.12,81.155,46949.0
