symbol,ts,open,high,low,close,volume
HPE,2018-05-01 13:00:00+00:00,16.96,17.195,16.96,17.19,70075.0
HPE,2018-05-01 14:00:00+00:00,17.19,17.19,17.02,17.07,168570.0
HPE,2018-05-01 15:00:00+00:00,17.07,17.125,16.99,17.115,113394.0
HPE,2018-05-01 16:00:00+00:00,17.12,17.13,17.08,17.09,60059.0
HPE,2018-05-01 17:00:00+00:00,17.09,17.125,17.02,17.115,94568.0
HPE,2018-05-01 18:00:00+00:00,17.115,17.16,17.095,17.11,83556.0
HPE,2018-05-01 19:00:00+00:00,17.115,17.18,17.09,17.175,170946.0
HPE,2018-05-02 13:00:00+00:00,17.14,17.18,17.085,17.11,42001.0
HPE,2018-05-02 14:00:00+00:00,17.105,17.23,17.105,17.14,73712.0
HPE,2018-05-02 15:00:00+00:00,17.135,17.17,17.07,17.09,70707.0
HPE,2018-05-02 16:00:00+00:00,17.09,17.16,17.085,17.135,48296.0
HPE,2018-05-02 17:00:00+00:00,17.135,17.18,17.135,17.18,42462.0
HPE,2018-05-02 18:00:00+00:00,17.17,17.26,17.17,17.23,128377.0
HPE,2018-05-02 19:00:00+00:00,17.23,17.24,17.09,17.125,189743.0
HPE,2018-05-03 13:00:00+00:00,17.0,17.075,16.99,17.05,43847.0
HPE,2018-05-03 14:00:00+00:00,17.04,17.04,16.765,16.79,83178.0
HPE,2018-05-03 15:00:00+00:00,16.79,16.865,16.755,16.855,60600.0
HPE,2018-05-03 16:00:00+00:00,16.855,16.895,16.795,16.89,92441.0
HPE,2018-05-03 17:00:00+00:00,16.89,16.92,16.84,16.89,75963.0
HPE,2018-05-03 18:00:00+00:00,16.88,16.96,16.865,16.9,84794.0
HPE,2018-05-03 19:00:00+00:00,16.91,16.955,16.875,16.9,155486.0
HPE,2018-05-04 13:00:00+00:00,16.81,17.06,16.8,17.01,70258.0
HPE,2018-05-04 14:00:00+00:00,17.0,17.11,16.98,17.07,125223.0
HPE,2018-05-04 15:00:00+00:00,17.07,17.17,17.07,17.17,95240.0
HPE,2018-05-04 16:00:00+00:00,17.17,17.2,17.155,17.175,41286.0
HPE,2018-05-04 17:00:00+00:00,17.18,17.195,17.16,17.195,31935.0
HPE,2018-05-04 18:00:00+00:00,17.19,17.255,17.185,17.195,79832.0
HPE,2018-05-04 19:00:00+00:00,17.2,17.235,17.18,17.21,109934.0
HPE,2018-05-07 13:00:00+00:00,17.23,17.445,17.23,17.42,51283.0
HPE,2018-05-07 14:00:00+00:00,17.42,17.42,17.31,17.36,71240.0
HPE,2018-05-07 15:00:00+00:00,17.36,17.375,17.305,17.335,60239.0
HPE,2018-05-07 16:00:00+00:00,17.34,17.345,17.3,17.325,35301.0
HPE,2018-05-07 17:00:00+00:00,17.325,17.345,17.3,17.335,41743.0
HPE,2018-05-07 18:00:00+00:00,17.335,17.335,17.255,17.26,55327.0
HPE,2018-05-07 19:00:00+00:00,17.27,17.32,17.255,17.29,229993.0
HPE,2018-05-08 13:00:00+00:00,17.27,17.28,17.21,17.24,75956.0
HPE,2018-05-08 14:00:00+00:00,17.25,17.305,17.23,17.29,92999.0
HPE,2018-05-08 15:00:00+00:00,17.285,17.38,17.275,17.31,252312.0
HPE,2018-05-08 16:00:00+00:00,17.3,17.315,17.26,17.275,84792.0
HPE,2018-05-08 17:00:00+00:00,17.27,17.29,17.235,17.25,105795.0
HPE,2018-05-08 18:00:00+00:00,17.25,17.355,17.25,17.32,76503.0
HPE,2018-05-08 19:00:00+00:00,17.315,17.425,17.3,17.395,132077.0
HPE,2018-05-08 20:00:00+00:00,17.36,17.36,17.36,17.36,150.0
HPE,2018-05-09 13:00:00+00:00,17.41,17.44,17.395,17.4,90923.0
HPE,2018-05-09 14:00:00+00:00,17.4,17.43,17.345,17.37,160259.0
HPE,2018-05-09 15:00:00+00:00,17.365,17.435,17.365,17.425,92089.0
HPE,2018-05-09 16:00:00+00:00,17.425,17.595,17.425,17.57,224354.0
HPE,2018-05-09 17:00:00+00:00,17.57,17.63,17.57,17.61,66092.0
HPE,2018-05-09 18:00:00+00:00,17.605,17.67,17.58,17.61,89067.0
HPE,2018-05-09 19:00:00+00:00,17.615,17.635,17.57,17.595,107815.0
HPE,2018-05-09 21:00:00+00:00,17.64,17.64,17.64,17.64,2.0
HPE,2018-05-10 13:00:00+00:00,17.61,17.65,17.56,17.56,28179.0
HPE,2018-05-10 14:00:00+00:00,17.55,17.6,17.5,17.54,73567.0
HPE,2018-05-10 15:00:00+00:00,17.53,17.62,17.53,17.6,93707.0
HPE,2018-05-10 16:00:00+00:00,17.61,17.67,17.61,17.635,88619.0
HPE,2018-05-10 17:00:00+00:00,17.63,17.695,17.625,17.64,88232.0
HPE,2018-05-10 18:00:00+00:00,17.645,17.65,17.595,17.62,57024.0
HPE,2018-05-10 19:00:00+00:00,17.62,17.67,17.6,17.65,127420.0
HPE,2018-05-11 13:00:00+00:00,17.66,17.72,17.62,17.66,60527.0
HPE,2018-05-11 14:00:00+00:00,17.66,17.775,17.66,17.75,216849.0
HPE,2018-05-11 15:00:00+00:00,17.75,17.75,17.695,17.695,43275.0
HPE,2018-05-11 16:00:00+00:00,17.695,17.7,17.63,17.645,71990.0
HPE,2018-05-11 17:00:00+00:00,17.645,17.67,17.63,17.655,67588.0
HPE,2018-05-11 18:00:00+00:00,17.655,17.7,17.65,17.67,71149.0
HPE,2018-05-11 19:00:00+00:00,17.675,17.7,17.64,17.68,133346.0
HPE,2018-05-14 13:00:00+00:00,17.72,17.785,17.71,17.785,30929.0
HPE,2018-05-14 14:00:00+00:00,17.79,17.82,17.71,17.71,152135.0
HPE,2018-05-14 15:00:00+00:00,17.7,17.72,17.65,17.665,55688.0
HPE,2018-05-14 16:00:00+00:00,17.665,17.715,17.665,17.67,41490.0
HPE,2018-05-14 17:00:00+00:00,17.675,17.675,17.62,17.645,58804.0
HPE,2018-05-14 18:00:00+00:00,17.645,17.695,17.595,17.665,89095.0
HPE,2018-05-14 19:00:00+00:00,17.665,17.67,17.59,17.59,120545.0
HPE,2018-05-15 13:00:00+00:00,17.5,17.51,17.29,17.31,75112.0
HPE,2018-05-15 14:00:00+00:00,17.31,17.5,17.29,17.43,98508.0
HPE,2018-05-15 15:00:00+00:00,17.44,17.45,17.34,17.34,86606.0
HPE,2018-05-15 16:00:00+00:00,17.35,17.415,17.3,17.365,40626.0
HPE,2018-05-15 17:00:00+00:00,17.37,17.4,17.305,17.31,65147.0
HPE,2018-05-15 18:00:00+00:00,17.305,17.38,17.295,17.35,60951.0
HPE,2018-05-15 19:00:00+00:00,17.35,17.41,17.3,17.4,93723.0
HPE,2018-05-16 13:00:00+00:00,17.34,17.44,17.34,17.4,53120.0
HPE,2018-05-16 14:00:00+00:00,17.41,17.42,17.39,17.42,266585.0
HPE,2018-05-16 15:00:00+00:00,17.415,17.44,17.38,17.39,137338.0
HPE,2018-05-16 16:00:00+00:00,17.39,17.6,17.385,17.6,245150.0
HPE,2018-05-16 17:00:00+00:00,17.595,17.605,17.5,17.59,50716.0
HPE,2018-05-16 18:00:00+00:00,17.585,17.675,17.585,17.675,61691.0
HPE,2018-05-16 19:00:00+00:00,17.67,17.67,17.595,17.63,133031.0
HPE,2018-05-16 20:00:00+00:00,17.61,17.61,17.61,17.61,100.0
HPE,2018-05-16 23:00:00+00:00,17.74,17.74,17.74,17.74,20.0
HPE,2018-05-17 13:00:00+00:00,17.69,17.7,17.44,17.59,115125.0
HPE,2018-05-17 14:00:00+00:00,17.6,17.76,17.6,17.67,165503.0
HPE,2018-05-17 15:00:00+00:00,17.675,17.73,17.665,17.675,94731.0
HPE,2018-05-17 16:00:00+00:00,17.68,17.71,17.63,17.645,43609.0
HPE,2018-05-17 17:00:00+00:00,17.645,17.66,17.6,17.61,48157.0
HPE,2018-05-17 18:00:00+00:00,17.605,17.665,17.565,17.66,38968.0
HPE,2018-05-17 19:00:00+00:00,17.66,17.705,17.625,17.66,252285.0
HPE,2018-05-18 13:00:00+00:00,17.63,17.64,17.52,17.52,31805.0
HPE,2018-05-18 14:00:00+00:00,17.52,17.61,17.48,17.57,94502.0
HPE,2018-05-18 15:00:00+00:00,17.57,17.64,17.57,17.605,51716.0
HPE,2018-05-18 16:00:00+00:00,17.6,17.62,17.58,17.6,42963.0
HPE,2018-05-18 17:00:00+00:00,17.59,17.6,17.525,17.55,33714.0
HPE,2018-05-18 18:00:00+00:00,17.545,17.61,17.545,17.595,51358.0
HPE,2018-05-18 19:00:00+00:00,17.595,17.595,17.535,17.555,103409.0
HPE,2018-05-21 12:00:00+00:00,17.65,17.65,17.65,17.65,10.0
HPE,2018-05-21 13:00:00+00:00,17.68,17.74,17.63,17.63,25483.0
