symbol,ts,open,high,low,close,volume
HRL,2018-05-01 13:00:00+00:00,36.2,36.33,36.03,36.32,23697.0
HRL,2018-05-01 14:00:00+00:00,36.31,36.41,36.04,36.04,25880.0
HRL,2018-05-01 15:00:00+00:00,36.03,36.04,35.8,35.8,34389.0
HRL,2018-05-01 16:00:00+00:00,35.8,35.88,35.74,35.74,25644.0
HRL,2018-05-01 17:00:00+00:00,35.73,35.88,35.63,35.88,17612.0
HRL,2018-05-01 18:00:00+00:00,35.89,36.09,35.84,36.09,24727.0
HRL,2018-05-01 19:00:00+00:00,36.1,36.14,36.01,36.12,53018.0
HRL,2018-05-02 13:00:00+00:00,36.025,36.07,35.65,35.65,11241.0
HRL,2018-05-02 14:00:00+00:00,35.62,35.87,35.6,35.78,32664.0
HRL,2018-05-02 15:00:00+00:00,35.77,35.77,35.55,35.65,31419.0
HRL,2018-05-02 16:00:00+00:00,35.64,35.68,35.53,35.53,29340.0
HRL,2018-05-02 17:00:00+00:00,35.53,35.56,35.49,35.55,20822.0
HRL,2018-05-02 18:00:00+00:00,35.57,35.63,35.51,35.54,26757.0
HRL,2018-05-02 19:00:00+00:00,35.55,35.58,35.28,35.38,88936.0
HRL,2018-05-03 13:00:00+00:00,35.6,35.6,35.25,35.47,23160.0
HRL,2018-05-03 14:00:00+00:00,35.45,35.55,35.24,35.24,40727.0
HRL,2018-05-03 15:00:00+00:00,35.24,35.39,35.17,35.31,50381.0
HRL,2018-05-03 16:00:00+00:00,35.31,35.35,35.225,35.34,39533.0
HRL,2018-05-03 17:00:00+00:00,35.35,35.38,35.24,35.36,46238.0
HRL,2018-05-03 18:00:00+00:00,35.34,35.395,35.24,35.29,26960.0
HRL,2018-05-03 19:00:00+00:00,35.3,35.34,35.17,35.27,68991.0
HRL,2018-05-04 13:00:00+00:00,35.33,35.435,35.19,35.36,24898.0
HRL,2018-05-04 14:00:00+00:00,35.35,35.69,35.33,35.66,58544.0
HRL,2018-05-04 15:00:00+00:00,35.645,35.78,35.54,35.77,53061.0
HRL,2018-05-04 16:00:00+00:00,35.77,35.91,35.73,35.845,28712.0
HRL,2018-05-04 17:00:00+00:00,35.84,35.97,35.83,35.9,28090.0
HRL,2018-05-04 18:00:00+00:00,35.91,36.0,35.855,35.9,40377.0
HRL,2018-05-04 19:00:00+00:00,35.9,35.92,35.755,35.76,71532.0
HRL,2018-05-07 13:00:00+00:00,35.66,35.8,35.44,35.68,34903.0
HRL,2018-05-07 14:00:00+00:00,35.68,35.68,35.41,35.505,75603.0
HRL,2018-05-07 15:00:00+00:00,35.51,35.54,35.34,35.36,62144.0
HRL,2018-05-07 16:00:00+00:00,35.36,35.46,35.33,35.41,38988.0
HRL,2018-05-07 17:00:00+00:00,35.43,35.52,35.42,35.475,37601.0
HRL,2018-05-07 18:00:00+00:00,35.47,35.645,35.47,35.575,40087.0
HRL,2018-05-07 19:00:00+00:00,35.57,35.59,35.495,35.52,128936.0
HRL,2018-05-08 13:00:00+00:00,35.51,35.66,35.42,35.47,27192.0
HRL,2018-05-08 14:00:00+00:00,35.46,35.53,35.35,35.45,26875.0
HRL,2018-05-08 15:00:00+00:00,35.43,35.5,35.32,35.42,28904.0
HRL,2018-05-08 16:00:00+00:00,35.42,35.53,35.41,35.47,16784.0
HRL,2018-05-08 17:00:00+00:00,35.47,35.57,35.46,35.57,18101.0
HRL,2018-05-08 18:00:00+00:00,35.58,35.58,35.46,35.49,54056.0
HRL,2018-05-08 19:00:00+00:00,35.485,35.52,35.41,35.5,122820.0
HRL,2018-05-09 13:00:00+00:00,35.53,35.67,35.51,35.6,19168.0
HRL,2018-05-09 14:00:00+00:00,35.59,35.645,35.49,35.6,34276.0
HRL,2018-05-09 15:00:00+00:00,35.62,35.77,35.58,35.77,28436.0
HRL,2018-05-09 16:00:00+00:00,35.77,35.94,35.75,35.94,21986.0
HRL,2018-05-09 17:00:00+00:00,35.97,36.06,35.93,36.04,24490.0
HRL,2018-05-09 18:00:00+00:00,36.04,36.12,36.02,36.11,35721.0
HRL,2018-05-09 19:00:00+00:00,36.11,36.16,35.99,36.1,86523.0
HRL,2018-05-10 13:00:00+00:00,36.28,36.33,36.17,36.31,14704.0
HRL,2018-05-10 14:00:00+00:00,36.31,36.31,36.08,36.16,17941.0
HRL,2018-05-10 15:00:00+00:00,36.16,36.33,36.15,36.31,20325.0
HRL,2018-05-10 16:00:00+00:00,36.3,36.36,36.26,36.27,19373.0
HRL,2018-05-10 17:00:00+00:00,36.27,36.3,36.215,36.22,14813.0
HRL,2018-05-10 18:00:00+00:00,36.22,36.26,36.155,36.2,20059.0
HRL,2018-05-10 19:00:00+00:00,36.2,36.21,36.09,36.16,46274.0
HRL,2018-05-11 13:00:00+00:00,36.32,36.6,36.32,36.48,25172.0
HRL,2018-05-11 14:00:00+00:00,36.48,36.48,36.32,36.36,28105.0
HRL,2018-05-11 15:00:00+00:00,36.37,36.37,36.2,36.215,29332.0
