symbol,ts,open,high,low,close,volume
HWM,2020-04-01 13:00:00+00:00,14.0,14.68,12.72,13.7,4101.0
HWM,2020-04-01 14:00:00+00:00,14.0,14.73,13.7,13.87,42385.0
HWM,2020-04-01 15:00:00+00:00,13.86,13.87,13.4,13.64,22082.0
HWM,2020-04-01 16:00:00+00:00,13.64,13.64,13.03,13.39,24202.0
HWM,2020-04-01 17:00:00+00:00,13.37,13.57,13.32,13.52,35240.0
HWM,2020-04-01 18:00:00+00:00,13.515,13.565,13.085,13.15,44904.0
HWM,2020-04-01 19:00:00+00:00,13.15,13.4,12.78,13.17,115990.0
HWM,2020-04-01 20:00:00+00:00,13.18,13.18,13.18,13.18,200.0
HWM,2020-04-02 13:00:00+00:00,13.18,13.71,12.77,13.71,46887.0
HWM,2020-04-02 14:00:00+00:00,13.67,13.69,13.16,13.43,53118.0
HWM,2020-04-02 15:00:00+00:00,13.41,13.41,12.81,12.9,54234.0
HWM,2020-04-02 16:00:00+00:00,12.9,13.03,12.54,12.675,45916.0
HWM,2020-04-02 17:00:00+00:00,12.67,12.67,12.01,12.075,50920.0
HWM,2020-04-02 18:00:00+00:00,12.08,12.25,12.06,12.25,80103.0
HWM,2020-04-02 19:00:00+00:00,12.27,12.55,12.2,12.49,145372.0
HWM,2020-04-03 13:00:00+00:00,12.55,12.58,12.06,12.45,31780.0
HWM,2020-04-03 14:00:00+00:00,12.45,12.55,12.01,12.29,94662.0
HWM,2020-04-03 15:00:00+00:00,12.31,12.37,11.85,11.97,54435.0
HWM,2020-04-03 16:00:00+00:00,11.98,12.1,11.9,12.1,69949.0
HWM,2020-04-03 17:00:00+00:00,12.11,12.25,12.1,12.17,43870.0
HWM,2020-04-03 18:00:00+00:00,12.18,12.42,12.13,12.3,54866.0
HWM,2020-04-03 19:00:00+00:00,12.29,12.68,12.23,12.52,150454.0
HWM,2020-04-06 13:00:00+00:00,13.2,13.98,13.04,13.15,78419.0
HWM,2020-04-06 14:00:00+00:00,13.14,13.98,13.1,13.45,99888.0
HWM,2020-04-06 15:00:00+00:00,13.43,13.72,12.89,13.58,64120.0
HWM,2020-04-06 16:00:00+00:00,13.58,13.7,13.31,13.33,49582.0
HWM,2020-04-06 17:00:00+00:00,13.34,13.53,13.26,13.44,50782.0
HWM,2020-04-06 18:00:00+00:00,13.44,13.44,12.38,12.78,113247.0
HWM,2020-04-06 19:00:00+00:00,12.77,12.77,12.395,12.66,193974.0
HWM,2020-04-06 20:00:00+00:00,12.69,12.7,12.69,12.7,600.0
HWM,2020-04-07 13:00:00+00:00,13.5,13.92,13.07,13.39,32950.0
HWM,2020-04-07 14:00:00+00:00,13.4,13.73,13.18,13.26,81570.0
HWM,2020-04-07 15:00:00+00:00,13.28,13.51,13.19,13.25,61108.0
HWM,2020-04-07 16:00:00+00:00,13.24,13.37,13.13,13.18,69604.0
HWM,2020-04-07 17:00:00+00:00,13.18,13.26,12.8,12.94,57971.0
HWM,2020-04-07 18:00:00+00:00,12.94,12.94,12.13,12.15,103989.0
HWM,2020-04-07 19:00:00+00:00,12.15,12.4,12.01,12.1,155859.0
HWM,2020-04-08 13:00:00+00:00,13.2,13.2,12.31,12.62,39503.0
HWM,2020-04-08 14:00:00+00:00,12.64,12.9,12.38,12.88,152363.0
HWM,2020-04-08 15:00:00+00:00,12.88,13.19,12.82,13.18,109215.0
HWM,2020-04-08 16:00:00+00:00,13.18,13.18,12.79,12.99,118104.0
HWM,2020-04-08 17:00:00+00:00,12.99,13.39,12.91,12.98,125510.0
HWM,2020-04-08 18:00:00+00:00,12.99,13.13,12.99,13.11,98651.0
HWM,2020-04-08 19:00:00+00:00,13.11,13.18,12.91,13.07,245546.0
HWM,2020-04-09 13:00:00+00:00,13.48,14.12,13.48,13.96,36268.0
HWM,2020-04-09 14:00:00+00:00,13.93,14.16,13.77,14.0,73466.0
HWM,2020-04-09 15:00:00+00:00,13.96,13.99,13.7,13.87,54112.0
HWM,2020-04-09 16:00:00+00:00,13.84,14.01,13.76,13.86,46342.0
HWM,2020-04-09 17:00:00+00:00,13.86,13.86,13.5,13.74,62667.0
HWM,2020-04-09 18:00:00+00:00,13.73,13.73,13.34,13.44,77465.0
HWM,2020-04-09 19:00:00+00:00,13.45,13.5,13.22,13.27,196604.0
HWM,2020-04-09 20:00:00+00:00,13.08,13.08,12.5,12.55,111.0
HWM,2020-04-13 12:00:00+00:00,13.02,13.02,13.02,13.02,2.0
HWM,2020-04-13 13:00:00+00:00,13.04,13.3,12.53,12.86,40053.0
HWM,2020-04-13 14:00:00+00:00,12.92,12.99,12.51,12.54,44142.0
HWM,2020-04-13 15:00:00+00:00,12.5,12.54,12.21,12.45,71912.0
