symbol,ts,open,high,low,close,volume
IBM,2018-05-01 13:00:00+00:00,144.97,144.97,143.77,144.15,50795.0
IBM,2018-05-01 14:00:00+00:00,144.14,144.47,143.5,144.17,74576.0
IBM,2018-05-01 15:00:00+00:00,144.1,144.24,143.77,143.82,43854.0
IBM,2018-05-01 16:00:00+00:00,143.85,144.57,143.77,144.24,63219.0
IBM,2018-05-01 17:00:00+00:00,144.21,144.88,143.99,144.82,45848.0
IBM,2018-05-01 18:00:00+00:00,144.8,145.02,144.69,144.9,104253.0
IBM,2018-05-01 19:00:00+00:00,144.92,145.02,144.61,145.0,196286.0
IBM,2018-05-01 20:00:00+00:00,145.05,145.05,144.25,144.95,231.0
IBM,2018-05-01 22:00:00+00:00,145.25,145.25,145.0,145.0,200.0
IBM,2018-05-02 11:00:00+00:00,145.2,145.2,145.2,145.2,400.0
IBM,2018-05-02 12:00:00+00:00,145.29,145.29,144.6,144.6,44.0
IBM,2018-05-02 13:00:00+00:00,144.73,144.82,144.05,144.08,39442.0
IBM,2018-05-02 14:00:00+00:00,144.09,144.29,143.28,143.83,93076.0
IBM,2018-05-02 15:00:00+00:00,143.81,143.88,143.2,143.46,51538.0
IBM,2018-05-02 16:00:00+00:00,143.46,143.77,143.37,143.7,28711.0
IBM,2018-05-02 17:00:00+00:00,143.72,143.95,143.7,143.86,29847.0
IBM,2018-05-02 18:00:00+00:00,143.84,144.2,143.03,143.07,103759.0
IBM,2018-05-02 19:00:00+00:00,143.08,143.34,142.08,142.41,223691.0
IBM,2018-05-02 20:00:00+00:00,142.36,142.36,142.31,142.31,120.0
IBM,2018-05-03 09:00:00+00:00,142.77,142.77,142.76,142.77,200.0
IBM,2018-05-03 10:00:00+00:00,142.75,142.75,142.75,142.75,10.0
IBM,2018-05-03 11:00:00+00:00,142.76,142.76,142.2,142.33,1606.0
IBM,2018-05-03 12:00:00+00:00,142.06,142.06,141.81,142.03,2279.0
IBM,2018-05-03 13:00:00+00:00,142.03,142.31,141.12,141.42,62979.0
IBM,2018-05-03 14:00:00+00:00,141.41,141.45,139.9,140.11,100119.0
IBM,2018-05-03 15:00:00+00:00,140.11,141.36,140.07,141.09,139962.0
IBM,2018-05-03 16:00:00+00:00,141.08,142.05,140.67,142.03,70336.0
IBM,2018-05-03 17:00:00+00:00,142.03,142.14,141.53,141.79,55620.0
IBM,2018-05-03 18:00:00+00:00,141.8,142.23,141.67,141.81,50997.0
IBM,2018-05-03 19:00:00+00:00,141.81,142.14,141.71,141.95,107018.0
IBM,2018-05-03 20:00:00+00:00,141.6,141.6,141.6,141.6,1.0
IBM,2018-05-04 12:00:00+00:00,142.0,142.0,140.71,141.47,1414.0
IBM,2018-05-04 13:00:00+00:00,141.47,141.97,140.28,141.73,71071.0
IBM,2018-05-04 14:00:00+00:00,141.72,143.19,141.59,142.86,79880.0
IBM,2018-05-04 15:00:00+00:00,142.87,143.44,142.71,143.34,76771.0
IBM,2018-05-04 16:00:00+00:00,143.35,143.69,143.2,143.49,41939.0
IBM,2018-05-04 17:00:00+00:00,143.51,143.85,143.39,143.79,30884.0
IBM,2018-05-04 18:00:00+00:00,143.8,144.335,143.76,143.95,53247.0
IBM,2018-05-04 19:00:00+00:00,143.96,144.05,143.55,143.91,137082.0
IBM,2018-05-04 20:00:00+00:00,144.22,144.22,143.92,143.92,91.0
IBM,2018-05-04 21:00:00+00:00,143.99,143.99,143.99,143.99,7.0
IBM,2018-05-04 22:00:00+00:00,143.99,143.99,143.99,143.99,90.0
IBM,2018-05-04 23:00:00+00:00,143.99,143.99,143.99,143.99,3.0
IBM,2018-05-07 11:00:00+00:00,144.46,144.46,144.46,144.46,10.0
IBM,2018-05-07 13:00:00+00:00,144.25,144.33,143.55,144.09,42916.0
IBM,2018-05-07 14:00:00+00:00,144.1,144.15,143.29,143.74,60332.0
IBM,2018-05-07 15:00:00+00:00,143.72,144.01,143.49,143.6,58973.0
IBM,2018-05-07 16:00:00+00:00,143.57,143.83,143.35,143.65,35586.0
IBM,2018-05-07 17:00:00+00:00,143.65,143.75,143.47,143.67,46297.0
IBM,2018-05-07 18:00:00+00:00,143.67,143.84,143.1,143.16,75408.0
IBM,2018-05-07 19:00:00+00:00,143.15,143.29,142.65,143.24,157460.0
IBM,2018-05-07 20:00:00+00:00,143.24,143.24,143.1,143.1,66.0
IBM,2018-05-07 22:00:00+00:00,143.24,143.24,143.24,143.24,100.0
IBM,2018-05-08 13:00:00+00:00,143.14,143.21,142.4,142.52,45816.0
IBM,2018-05-08 14:00:00+00:00,142.53,143.25,142.48,143.11,78559.0
IBM,2018-05-08 15:00:00+00:00,143.1,143.49,142.82,142.85,101718.0
IBM,2018-05-08 16:00:00+00:00,142.82,142.92,142.5,142.6,83927.0
IBM,2018-05-08 17:00:00+00:00,142.55,143.01,142.41,142.74,67790.0
IBM,2018-05-08 18:00:00+00:00,142.74,142.93,142.09,142.29,110957.0
IBM,2018-05-08 19:00:00+00:00,142.27,143.05,142.15,142.99,144074.0
IBM,2018-05-08 20:00:00+00:00,142.99,142.99,142.99,142.99,10.0
IBM,2018-05-09 12:00:00+00:00,142.15,142.15,141.94,142.05,1191.0
IBM,2018-05-09 13:00:00+00:00,141.94,142.75,141.69,142.31,47027.0
IBM,2018-05-09 14:00:00+00:00,142.31,142.5,141.4,141.41,77477.0
IBM,2018-05-09 15:00:00+00:00,141.43,141.73,141.28,141.7,67390.0
IBM,2018-05-09 16:00:00+00:00,141.71,142.93,141.71,142.87,70183.0
IBM,2018-05-09 17:00:00+00:00,142.88,142.99,142.66,142.92,46715.0
IBM,2018-05-09 18:00:00+00:00,142.93,143.02,142.45,142.68,66313.0
IBM,2018-05-09 19:00:00+00:00,142.63,142.76,142.32,142.6,107033.0
IBM,2018-05-09 20:00:00+00:00,142.37,142.4,142.36,142.4,215.0
IBM,2018-05-09 21:00:00+00:00,142.61,142.61,142.61,142.61,93.0
IBM,2018-05-09 23:00:00+00:00,142.52,142.52,142.52,142.52,2.0
IBM,2018-05-10 12:00:00+00:00,142.61,142.61,142.61,142.61,10.0
IBM,2018-05-10 13:00:00+00:00,143.23,143.81,143.07,143.61,27086.0
IBM,2018-05-10 14:00:00+00:00,143.58,143.6,143.02,143.38,67260.0
IBM,2018-05-10 15:00:00+00:00,143.4,143.81,143.4,143.63,48858.0
IBM,2018-05-10 16:00:00+00:00,143.61,144.16,143.55,144.08,47672.0
IBM,2018-05-10 17:00:00+00:00,144.07,144.26,143.65,143.76,60340.0
IBM,2018-05-10 18:00:00+00:00,143.76,144.17,143.65,144.13,67395.0
IBM,2018-05-10 19:00:00+00:00,144.14,144.32,144.01,144.24,106899.0
IBM,2018-05-10 20:00:00+00:00,144.24,144.35,144.24,144.24,650.0
IBM,2018-05-10 22:00:00+00:00,144.0,144.0,144.0,144.0,33.0
IBM,2018-05-11 10:00:00+00:00,144.25,144.25,144.01,144.01,40.0
IBM,2018-05-11 11:00:00+00:00,144.2,144.2,144.2,144.2,10.0
IBM,2018-05-11 12:00:00+00:00,144.14,144.14,144.14,144.14,50.0
IBM,2018-05-11 13:00:00+00:00,144.15,144.85,144.15,144.58,28798.0
IBM,2018-05-11 14:00:00+00:00,144.59,144.6,144.2,144.57,60914.0
IBM,2018-05-11 15:00:00+00:00,144.58,144.6,143.94,144.125,58182.0
IBM,2018-05-11 16:00:00+00:00,144.14,144.27,143.69,143.81,66257.0
IBM,2018-05-11 17:00:00+00:00,143.79,143.94,143.72,143.92,37912.0
IBM,2018-05-11 18:00:00+00:00,143.91,144.03,143.58,144.01,39817.0
IBM,2018-05-11 19:00:00+00:00,144.0,144.19,143.9,144.15,87510.0
IBM,2018-05-14 12:00:00+00:00,144.3,144.3,144.3,144.3,28.0
IBM,2018-05-14 13:00:00+00:00,144.47,145.07,144.42,145.03,36196.0
