symbol,ts,open,high,low,close,volume
IEX,2018-05-01 13:00:00+00:00,133.69,133.93,132.87,133.76,2950.0
IEX,2018-05-01 14:00:00+00:00,133.6,133.6,132.82,133.23,5465.0
IEX,2018-05-01 15:00:00+00:00,133.0,133.32,132.73,132.73,9008.0
IEX,2018-05-01 16:00:00+00:00,132.86,133.11,132.56,132.74,5372.0
IEX,2018-05-01 17:00:00+00:00,132.67,133.22,132.34,133.04,6946.0
IEX,2018-05-01 18:00:00+00:00,133.065,133.6,132.97,133.56,15272.0
IEX,2018-05-01 19:00:00+00:00,133.58,133.58,133.01,133.36,19628.0
IEX,2018-05-02 13:00:00+00:00,133.64,134.04,133.27,133.3,3118.0
IEX,2018-05-02 14:00:00+00:00,133.32,133.56,132.99,133.13,5049.0
IEX,2018-05-02 15:00:00+00:00,133.3,133.38,132.92,133.15,1914.0
IEX,2018-05-02 16:00:00+00:00,133.19,133.22,132.97,133.07,5032.0
IEX,2018-05-02 17:00:00+00:00,133.15,133.21,132.96,133.04,6266.0
IEX,2018-05-02 18:00:00+00:00,133.27,133.285,132.99,133.11,7991.0
IEX,2018-05-02 19:00:00+00:00,133.15,133.245,132.63,132.88,26229.0
IEX,2018-05-03 13:00:00+00:00,132.82,133.83,132.57,133.83,3856.0
IEX,2018-05-03 14:00:00+00:00,133.565,133.565,130.44,130.79,10027.0
IEX,2018-05-03 15:00:00+00:00,130.8,132.04,130.5,132.04,8278.0
IEX,2018-05-03 16:00:00+00:00,132.25,133.2,131.99,133.02,4220.0
IEX,2018-05-03 17:00:00+00:00,133.1,133.16,132.63,132.66,16661.0
IEX,2018-05-03 18:00:00+00:00,132.67,133.14,132.25,132.64,14461.0
IEX,2018-05-03 19:00:00+00:00,132.7,133.01,132.24,132.56,29039.0
IEX,2018-05-04 13:00:00+00:00,131.71,132.67,131.27,132.67,2313.0
IEX,2018-05-04 14:00:00+00:00,132.7,134.12,132.5,134.1,5663.0
IEX,2018-05-04 15:00:00+00:00,134.12,135.08,134.12,135.08,4904.0
IEX,2018-05-04 16:00:00+00:00,134.98,135.67,134.91,135.61,9689.0
IEX,2018-05-04 17:00:00+00:00,135.67,136.69,135.67,136.69,15336.0
IEX,2018-05-04 18:00:00+00:00,136.61,137.51,136.42,136.46,17271.0
IEX,2018-05-04 19:00:00+00:00,136.43,137.06,136.32,136.445,40492.0
IEX,2018-05-07 13:00:00+00:00,136.86,136.86,136.32,136.53,1341.0
IEX,2018-05-07 14:00:00+00:00,136.58,136.65,136.02,136.38,3615.0
IEX,2018-05-07 15:00:00+00:00,136.52,136.68,136.1,136.38,9863.0
IEX,2018-05-07 16:00:00+00:00,136.62,136.62,136.03,136.07,6590.0
IEX,2018-05-07 17:00:00+00:00,136.08,136.67,135.96,136.45,13147.0
IEX,2018-05-07 18:00:00+00:00,136.55,136.88,136.1,136.39,2216.0
IEX,2018-05-07 19:00:00+00:00,136.325,136.56,135.92,136.24,8959.0
IEX,2018-05-08 13:00:00+00:00,135.03,136.96,135.03,136.74,2448.0
IEX,2018-05-08 14:00:00+00:00,136.77,137.12,136.44,136.44,9181.0
IEX,2018-05-08 15:00:00+00:00,136.25,136.66,136.22,136.46,6180.0
IEX,2018-05-08 16:00:00+00:00,136.35,136.45,136.09,136.31,1359.0
IEX,2018-05-08 17:00:00+00:00,136.59,136.59,136.12,136.12,1925.0
IEX,2018-05-08 18:00:00+00:00,136.35,136.57,136.06,136.12,6289.0
IEX,2018-05-08 19:00:00+00:00,136.04,136.4,136.02,136.37,13505.0
IEX,2018-05-09 13:00:00+00:00,137.04,137.04,136.01,136.38,934.0
