symbol,ts,open,high,low,close,volume
IFF,2018-05-01 13:00:00+00:00,140.24,140.79,139.56,140.79,4828.0
IFF,2018-05-01 14:00:00+00:00,140.56,140.82,139.78,139.83,5526.0
IFF,2018-05-01 15:00:00+00:00,139.78,139.9,139.5,139.79,5290.0
IFF,2018-05-01 16:00:00+00:00,139.7,140.35,139.7,140.29,6976.0
IFF,2018-05-01 17:00:00+00:00,140.33,140.94,139.89,140.91,7064.0
IFF,2018-05-01 18:00:00+00:00,140.89,141.63,140.86,141.58,6545.0
IFF,2018-05-01 19:00:00+00:00,141.6,142.04,141.34,141.99,20989.0
IFF,2018-05-02 13:00:00+00:00,142.32,142.32,141.01,141.01,4444.0
IFF,2018-05-02 14:00:00+00:00,140.99,141.61,140.9,141.57,10244.0
IFF,2018-05-02 15:00:00+00:00,141.54,141.73,140.69,140.81,8878.0
IFF,2018-05-02 16:00:00+00:00,140.79,141.03,140.76,140.98,5321.0
IFF,2018-05-02 17:00:00+00:00,141.005,141.12,140.8,140.8,4068.0
IFF,2018-05-02 18:00:00+00:00,140.8,141.29,140.76,140.89,9880.0
IFF,2018-05-02 19:00:00+00:00,140.9,140.95,139.6,140.08,28566.0
IFF,2018-05-03 13:00:00+00:00,140.1,140.88,139.84,140.72,2421.0
IFF,2018-05-03 14:00:00+00:00,140.68,140.7,139.36,139.52,9498.0
IFF,2018-05-03 15:00:00+00:00,139.45,140.29,139.44,140.01,10547.0
IFF,2018-05-03 16:00:00+00:00,140.14,140.61,139.63,140.5,8492.0
IFF,2018-05-03 17:00:00+00:00,140.62,140.77,140.11,140.65,6732.0
IFF,2018-05-03 18:00:00+00:00,140.52,140.88,140.4,140.44,7765.0
IFF,2018-05-03 19:00:00+00:00,140.48,140.61,139.91,140.08,17590.0
IFF,2018-05-04 13:00:00+00:00,139.57,140.65,139.57,140.34,4737.0
IFF,2018-05-04 14:00:00+00:00,140.19,141.81,140.01,141.81,12355.0
IFF,2018-05-04 15:00:00+00:00,141.63,142.78,141.62,142.28,8662.0
IFF,2018-05-04 16:00:00+00:00,142.39,142.68,142.33,142.67,7932.0
