symbol,ts,open,high,low,close,volume
INTC,2018-05-01 12:00:00+00:00,51.55,51.65,51.5,51.65,724.0
INTC,2018-05-01 13:00:00+00:00,51.57,52.45,51.44,52.24,766273.0
INTC,2018-05-01 14:00:00+00:00,52.23,52.56,51.87,52.35,804963.0
INTC,2018-05-01 15:00:00+00:00,52.34,52.78,52.18,52.43,685066.0
INTC,2018-05-01 16:00:00+00:00,52.45,52.72,52.18,52.34,681532.0
INTC,2018-05-01 17:00:00+00:00,52.335,52.72,52.15,52.7,556663.0
INTC,2018-05-01 18:00:00+00:00,52.7,53.04,52.63,52.985,790408.0
INTC,2018-05-01 19:00:00+00:00,52.99,53.42,52.93,53.32,1552560.0
INTC,2018-05-01 20:00:00+00:00,53.33,53.84,53.31,53.7,1164359.0
INTC,2018-05-01 21:00:00+00:00,53.7,53.7,53.41,53.41,2578.0
INTC,2018-05-01 22:00:00+00:00,53.5,53.57,53.5,53.57,264.0
INTC,2018-05-01 23:00:00+00:00,53.57,53.57,53.55,53.55,260.0
INTC,2018-05-02 08:00:00+00:00,53.51,53.53,53.51,53.53,122.0
INTC,2018-05-02 10:00:00+00:00,53.5,53.5,53.5,53.5,50.0
INTC,2018-05-02 11:00:00+00:00,53.36,53.36,53.25,53.25,2320.0
INTC,2018-05-02 12:00:00+00:00,53.3,53.3,53.06,53.2,3188.0
INTC,2018-05-02 13:00:00+00:00,53.18,53.18,52.15,52.69,1141451.0
INTC,2018-05-02 14:00:00+00:00,52.69,53.0,52.59,52.79,660104.0
INTC,2018-05-02 15:00:00+00:00,52.79,52.93,52.33,52.5,598474.0
INTC,2018-05-02 16:00:00+00:00,52.505,52.85,52.415,52.75,432040.0
INTC,2018-05-02 17:00:00+00:00,52.75,52.95,52.74,52.84,384175.0
INTC,2018-05-02 18:00:00+00:00,52.84,53.16,52.6,52.66,660283.0
INTC,2018-05-02 19:00:00+00:00,52.66,52.795,52.26,52.31,1295103.0
INTC,2018-05-02 20:00:00+00:00,52.31,52.33,52.22,52.25,2234461.0
INTC,2018-05-02 21:00:00+00:00,52.25,52.3,52.23,52.3,379.0
INTC,2018-05-02 22:00:00+00:00,52.35,52.35,52.3,52.34,583.0
INTC,2018-05-02 23:00:00+00:00,52.34,52.34,52.34,52.34,1150.0
INTC,2018-05-03 11:00:00+00:00,52.26,52.26,52.21,52.21,404.0
INTC,2018-05-03 12:00:00+00:00,52.21,52.21,52.04,52.1,1940.0
INTC,2018-05-03 13:00:00+00:00,52.04,52.12,51.46,52.01,1097347.0
INTC,2018-05-03 14:00:00+00:00,52.01,52.03,51.21,51.32,1051514.0
INTC,2018-05-03 15:00:00+00:00,51.32,51.65,51.25,51.59,752526.0
INTC,2018-05-03 16:00:00+00:00,51.59,52.355,51.36,52.27,658645.0
INTC,2018-05-03 17:00:00+00:00,52.27,52.45,52.05,52.27,575782.0
INTC,2018-05-03 18:00:00+00:00,52.28,52.55,52.07,52.23,773046.0
INTC,2018-05-03 19:00:00+00:00,52.24,52.55,52.21,52.28,1053253.0
INTC,2018-05-03 20:00:00+00:00,52.28,52.55,52.28,52.49,3475181.0
INTC,2018-05-03 21:00:00+00:00,52.35,52.45,52.35,52.43,662.0
INTC,2018-05-03 23:00:00+00:00,52.4,52.4,52.32,52.32,1005.0
INTC,2018-05-04 11:00:00+00:00,52.15,52.22,52.15,52.22,130.0
INTC,2018-05-04 12:00:00+00:00,52.04,52.2,51.92,51.92,5284.0
INTC,2018-05-04 13:00:00+00:00,52.05,52.11,51.0,51.77,1242968.0
INTC,2018-05-04 14:00:00+00:00,51.76,52.25,51.6,52.17,688716.0
INTC,2018-05-04 15:00:00+00:00,52.17,52.66,52.17,52.48,583799.0
INTC,2018-05-04 16:00:00+00:00,52.485,52.645,52.345,52.39,434831.0
INTC,2018-05-04 17:00:00+00:00,52.4,52.63,52.33,52.63,367905.0
INTC,2018-05-04 18:00:00+00:00,52.625,52.755,52.58,52.64,450664.0
INTC,2018-05-04 19:00:00+00:00,52.64,52.79,52.61,52.78,1165771.0
INTC,2018-05-04 20:00:00+00:00,52.78,52.8,52.7,52.7,3336556.0
INTC,2018-05-04 21:00:00+00:00,52.73,52.89,52.73,52.75,2547.0
