symbol,ts,open,high,low,close,volume
INVH,2018-05-01 13:00:00+00:00,23.21,23.31,23.14,23.19,9030.0
INVH,2018-05-01 14:00:00+00:00,23.21,23.27,23.2,23.2,9373.0
INVH,2018-05-01 15:00:00+00:00,23.195,23.29,23.18,23.27,10662.0
INVH,2018-05-01 16:00:00+00:00,23.26,23.305,23.22,23.245,8165.0
INVH,2018-05-01 17:00:00+00:00,23.24,23.36,23.23,23.34,27732.0
INVH,2018-05-01 18:00:00+00:00,23.33,23.34,23.25,23.33,18373.0
INVH,2018-05-01 19:00:00+00:00,23.34,23.375,23.25,23.325,39367.0
INVH,2018-05-02 13:00:00+00:00,23.13,23.39,23.13,23.24,18300.0
INVH,2018-05-02 14:00:00+00:00,23.225,23.31,23.1,23.16,33121.0
INVH,2018-05-02 15:00:00+00:00,23.155,23.34,23.155,23.28,11895.0
INVH,2018-05-02 16:00:00+00:00,23.275,23.28,23.19,23.21,13751.0
INVH,2018-05-02 17:00:00+00:00,23.21,23.28,23.21,23.24,19312.0
INVH,2018-05-02 18:00:00+00:00,23.23,23.34,23.23,23.28,16915.0
INVH,2018-05-02 19:00:00+00:00,23.28,23.29,23.225,23.26,31406.0
INVH,2018-05-03 13:00:00+00:00,23.17,23.18,23.08,23.17,19553.0
INVH,2018-05-03 14:00:00+00:00,23.2,23.27,23.16,23.24,30871.0
INVH,2018-05-03 15:00:00+00:00,23.24,23.35,23.24,23.28,15680.0
INVH,2018-05-03 16:00:00+00:00,23.3,23.32,23.27,23.31,9278.0
INVH,2018-05-03 17:00:00+00:00,23.31,23.33,23.25,23.3,14696.0
INVH,2018-05-03 18:00:00+00:00,23.3,23.31,23.21,23.21,23994.0
INVH,2018-05-03 19:00:00+00:00,23.22,23.22,23.15,23.17,48308.0
INVH,2018-05-04 13:00:00+00:00,23.21,23.33,23.07,23.31,10816.0
INVH,2018-05-04 14:00:00+00:00,23.31,23.495,23.3,23.375,43018.0
INVH,2018-05-04 15:00:00+00:00,23.375,23.46,23.35,23.43,41098.0
INVH,2018-05-04 16:00:00+00:00,23.42,23.49,23.37,23.475,26045.0
INVH,2018-05-04 17:00:00+00:00,23.48,23.535,23.41,23.425,24418.0
INVH,2018-05-04 18:00:00+00:00,23.43,23.57,23.38,23.53,38942.0
INVH,2018-05-04 19:00:00+00:00,23.53,23.61,23.495,23.53,58678.0
INVH,2018-05-07 13:00:00+00:00,23.61,23.635,23.51,23.55,3807.0
INVH,2018-05-07 14:00:00+00:00,23.56,23.57,23.5,23.505,21750.0
INVH,2018-05-07 15:00:00+00:00,23.5,23.5,23.47,23.49,15300.0
INVH,2018-05-07 16:00:00+00:00,23.495,23.5,23.475,23.49,8302.0
INVH,2018-05-07 17:00:00+00:00,23.49,23.535,23.47,23.52,10432.0
INVH,2018-05-07 18:00:00+00:00,23.51,23.57,23.49,23.55,12319.0
INVH,2018-05-07 19:00:00+00:00,23.55,23.56,23.47,23.51,51055.0
INVH,2018-05-08 13:00:00+00:00,23.5,23.61,23.43,23.61,11012.0
INVH,2018-05-08 14:00:00+00:00,23.62,23.69,23.62,23.64,25937.0
INVH,2018-05-08 15:00:00+00:00,23.63,23.69,23.6,23.62,20529.0
INVH,2018-05-08 16:00:00+00:00,23.63,23.65,23.575,23.6,17312.0
INVH,2018-05-08 17:00:00+00:00,23.61,23.65,23.48,23.525,33496.0
INVH,2018-05-08 18:00:00+00:00,23.525,23.61,23.515,23.6,25183.0
INVH,2018-05-08 19:00:00+00:00,23.6,23.65,23.48,23.52,46239.0
INVH,2018-05-09 13:00:00+00:00,23.49,23.65,23.49,23.59,10394.0
INVH,2018-05-09 14:00:00+00:00,23.58,23.74,23.57,23.73,24940.0
INVH,2018-05-09 15:00:00+00:00,23.73,23.79,23.7,23.75,20215.0
INVH,2018-05-09 16:00:00+00:00,23.74,23.76,23.69,23.7,16979.0
INVH,2018-05-09 17:00:00+00:00,23.7,23.73,23.68,23.7,13925.0
INVH,2018-05-09 18:00:00+00:00,23.69,23.72,23.67,23.71,17181.0
INVH,2018-05-09 19:00:00+00:00,23.7,23.725,23.66,23.72,45598.0
INVH,2018-05-10 13:00:00+00:00,23.73,23.96,23.73,23.87,10922.0
INVH,2018-05-10 14:00:00+00:00,23.87,23.87,23.77,23.79,22896.0
INVH,2018-05-10 15:00:00+00:00,23.79,23.88,23.79,23.87,14846.0
INVH,2018-05-10 16:00:00+00:00,23.87,23.87,23.76,23.76,22995.0
INVH,2018-05-10 17:00:00+00:00,23.76,23.77,23.72,23.74,15329.0
INVH,2018-05-10 18:00:00+00:00,23.74,23.74,23.685,23.69,18314.0
INVH,2018-05-10 19:00:00+00:00,23.695,23.7,23.65,23.67,48715.0
INVH,2018-05-11 13:00:00+00:00,23.73,23.79,23.69,23.7,8650.0
INVH,2018-05-11 14:00:00+00:00,23.71,23.89,23.71,23.89,14631.0
INVH,2018-05-11 15:00:00+00:00,23.885,23.92,23.88,23.9,10009.0
INVH,2018-05-11 16:00:00+00:00,23.89,23.89,23.83,23.87,10262.0
INVH,2018-05-11 17:00:00+00:00,23.86,23.875,23.75,23.76,7323.0
INVH,2018-05-11 18:00:00+00:00,23.76,23.79,23.7,23.71,18299.0
INVH,2018-05-11 19:00:00+00:00,23.71,23.73,23.65,23.68,35282.0
INVH,2018-05-14 13:00:00+00:00,23.53,23.55,23.45,23.46,5251.0
INVH,2018-05-14 14:00:00+00:00,23.45,23.51,23.42,23.42,13062.0
INVH,2018-05-14 15:00:00+00:00,23.42,23.45,23.27,23.3,14228.0
INVH,2018-05-14 16:00:00+00:00,23.29,23.29,23.155,23.155,17385.0
INVH,2018-05-14 17:00:00+00:00,23.16,23.2,23.14,23.2,10165.0
INVH,2018-05-14 18:00:00+00:00,23.205,23.34,23.18,23.33,14593.0
INVH,2018-05-14 19:00:00+00:00,23.33,23.39,23.245,23.27,48970.0
INVH,2018-05-14 20:00:00+00:00,22.95,22.95,22.95,22.95,200.0
