symbol,ts,open,high,low,close,volume
IRM,2018-05-01 13:00:00+00:00,34.06,34.06,33.97,34.0,6635.0
IRM,2018-05-01 14:00:00+00:00,34.0,34.06,33.79,33.79,20343.0
IRM,2018-05-01 15:00:00+00:00,33.79,34.01,33.78,33.95,11319.0
IRM,2018-05-01 16:00:00+00:00,33.965,34.02,33.94,33.94,12116.0
IRM,2018-05-01 17:00:00+00:00,33.935,34.07,33.87,34.07,14063.0
IRM,2018-05-01 18:00:00+00:00,34.07,34.13,34.05,34.13,14086.0
IRM,2018-05-01 19:00:00+00:00,34.13,34.19,34.08,34.12,44864.0
IRM,2018-05-01 20:00:00+00:00,34.68,34.68,34.68,34.68,4.0
IRM,2018-05-02 13:00:00+00:00,34.0,34.06,33.73,33.74,12186.0
IRM,2018-05-02 14:00:00+00:00,33.75,34.01,33.72,33.99,16237.0
IRM,2018-05-02 15:00:00+00:00,33.99,34.06,33.93,33.96,16853.0
IRM,2018-05-02 16:00:00+00:00,33.95,33.95,33.78,33.81,16929.0
IRM,2018-05-02 17:00:00+00:00,33.81,34.12,33.79,34.05,25563.0
IRM,2018-05-02 18:00:00+00:00,34.05,34.19,34.005,34.01,63556.0
IRM,2018-05-02 19:00:00+00:00,34.0,34.05,33.87,34.0,68770.0
IRM,2018-05-03 13:00:00+00:00,33.99,34.14,33.93,34.09,9084.0
IRM,2018-05-03 14:00:00+00:00,34.15,34.19,33.99,34.19,21182.0
IRM,2018-05-03 15:00:00+00:00,34.18,34.33,34.17,34.26,13853.0
IRM,2018-05-03 16:00:00+00:00,34.25,34.29,34.045,34.29,13686.0
IRM,2018-05-03 17:00:00+00:00,34.28,34.35,34.19,34.3,11811.0
IRM,2018-05-03 18:00:00+00:00,34.29,34.32,34.16,34.2,12814.0
IRM,2018-05-03 19:00:00+00:00,34.21,34.29,34.19,34.29,45739.0
IRM,2018-05-04 13:00:00+00:00,34.35,34.39,34.16,34.33,4359.0
IRM,2018-05-04 14:00:00+00:00,34.36,34.41,34.28,34.34,17241.0
IRM,2018-05-04 15:00:00+00:00,34.32,34.49,34.3,34.46,8666.0
IRM,2018-05-04 16:00:00+00:00,34.46,34.63,34.46,34.57,8259.0
IRM,2018-05-04 17:00:00+00:00,34.56,34.72,34.55,34.55,11254.0
