symbol,ts,open,high,low,close,volume
JBHT,2018-05-01 13:00:00+00:00,117.37,117.47,116.59,116.85,13953.0
JBHT,2018-05-01 14:00:00+00:00,116.72,116.72,115.13,115.46,38138.0
JBHT,2018-05-01 15:00:00+00:00,115.32,116.31,115.27,115.7,43683.0
JBHT,2018-05-01 16:00:00+00:00,115.76,116.24,115.7,115.75,21313.0
JBHT,2018-05-01 17:00:00+00:00,115.76,116.14,115.14,116.08,21322.0
JBHT,2018-05-01 18:00:00+00:00,116.15,116.66,116.0,116.14,33598.0
JBHT,2018-05-01 19:00:00+00:00,116.16,116.35,115.56,115.91,97887.0
JBHT,2018-05-01 20:00:00+00:00,115.92,115.94,115.92,115.94,96855.0
JBHT,2018-05-02 13:00:00+00:00,115.88,116.38,115.14,115.96,35823.0
JBHT,2018-05-02 14:00:00+00:00,115.87,116.83,115.74,116.48,85424.0
JBHT,2018-05-02 15:00:00+00:00,116.52,116.67,115.92,116.18,35380.0
JBHT,2018-05-02 16:00:00+00:00,116.14,116.77,115.97,116.68,40286.0
JBHT,2018-05-02 17:00:00+00:00,116.63,117.4,116.59,117.1,26752.0
JBHT,2018-05-02 18:00:00+00:00,117.02,117.68,116.92,117.57,43121.0
JBHT,2018-05-02 19:00:00+00:00,117.62,117.64,116.08,116.39,85688.0
JBHT,2018-05-02 20:00:00+00:00,116.4,116.4,116.34,116.34,74166.0
JBHT,2018-05-03 13:00:00+00:00,115.89,116.39,115.16,115.26,15322.0
JBHT,2018-05-03 14:00:00+00:00,115.24,115.42,114.1,114.21,35679.0
JBHT,2018-05-03 15:00:00+00:00,114.275,115.57,114.13,115.42,66715.0
JBHT,2018-05-03 16:00:00+00:00,115.51,116.79,115.51,116.67,50907.0
JBHT,2018-05-03 17:00:00+00:00,116.72,117.62,116.46,117.12,24655.0
JBHT,2018-05-03 18:00:00+00:00,117.045,117.79,116.96,117.26,21952.0
JBHT,2018-05-03 19:00:00+00:00,117.33,117.49,116.35,116.59,103549.0
JBHT,2018-05-03 20:00:00+00:00,116.59,117.0,116.59,117.0,45771.0
JBHT,2018-05-04 13:00:00+00:00,115.82,116.34,115.21,115.9,11193.0
JBHT,2018-05-04 14:00:00+00:00,115.9,117.55,115.83,117.42,23285.0
JBHT,2018-05-04 15:00:00+00:00,117.43,118.05,117.2,117.64,25421.0
JBHT,2018-05-04 16:00:00+00:00,117.49,117.72,117.41,117.66,13473.0
JBHT,2018-05-04 17:00:00+00:00,117.71,118.22,117.62,118.2,23819.0
JBHT,2018-05-04 18:00:00+00:00,118.17,118.69,118.16,118.46,20885.0
JBHT,2018-05-04 19:00:00+00:00,118.49,118.83,117.22,117.44,127332.0
JBHT,2018-05-04 20:00:00+00:00,117.42,117.42,117.41,117.41,134503.0
JBHT,2018-05-07 13:00:00+00:00,118.12,118.75,117.41,118.23,15276.0
JBHT,2018-05-07 14:00:00+00:00,118.08,118.34,117.5,118.03,14042.0
JBHT,2018-05-07 15:00:00+00:00,118.1,118.75,117.85,118.4,22427.0
JBHT,2018-05-07 16:00:00+00:00,118.31,119.09,118.31,118.88,23987.0
JBHT,2018-05-07 17:00:00+00:00,118.9,118.92,118.55,118.73,21080.0
JBHT,2018-05-07 18:00:00+00:00,118.67,118.91,118.3,118.34,18032.0
JBHT,2018-05-07 19:00:00+00:00,118.37,118.49,117.59,118.09,119309.0
JBHT,2018-05-07 20:00:00+00:00,118.1,118.1,118.1,118.1,58081.0
JBHT,2018-05-08 13:00:00+00:00,117.81,119.41,117.57,118.595,39418.0
JBHT,2018-05-08 14:00:00+00:00,118.6,119.52,118.34,119.17,66074.0
JBHT,2018-05-08 15:00:00+00:00,119.06,119.23,118.51,118.71,40416.0
JBHT,2018-05-08 16:00:00+00:00,118.78,118.88,118.51,118.7,23369.0
JBHT,2018-05-08 17:00:00+00:00,118.7,118.95,118.23,118.29,37493.0
JBHT,2018-05-08 18:00:00+00:00,118.34,118.61,118.09,118.56,40589.0
JBHT,2018-05-08 19:00:00+00:00,118.51,118.87,118.35,118.8,97098.0
JBHT,2018-05-08 20:00:00+00:00,118.8,118.82,118.8,118.82,84510.0
JBHT,2018-05-09 13:00:00+00:00,119.31,119.89,119.31,119.68,11103.0
JBHT,2018-05-09 14:00:00+00:00,119.58,120.14,119.48,120.0,19448.0
JBHT,2018-05-09 15:00:00+00:00,119.96,120.19,119.57,119.88,13657.0
JBHT,2018-05-09 16:00:00+00:00,119.95,120.8,119.9,120.62,22881.0
JBHT,2018-05-09 17:00:00+00:00,120.66,120.88,120.44,120.56,38607.0
JBHT,2018-05-09 18:00:00+00:00,120.58,120.84,120.38,120.41,31625.0
JBHT,2018-05-09 19:00:00+00:00,120.41,120.79,120.23,120.71,84668.0
JBHT,2018-05-09 20:00:00+00:00,120.71,120.73,120.71,120.73,36351.0
JBHT,2018-05-10 13:00:00+00:00,121.28,122.09,121.17,122.01,9480.0
JBHT,2018-05-10 14:00:00+00:00,121.87,122.1,121.38,121.73,15941.0
JBHT,2018-05-10 15:00:00+00:00,121.7,122.5,121.61,122.38,17506.0
JBHT,2018-05-10 16:00:00+00:00,122.37,123.04,122.27,122.9,26953.0
JBHT,2018-05-10 17:00:00+00:00,122.93,123.12,122.69,123.02,33888.0
JBHT,2018-05-10 18:00:00+00:00,122.97,123.1,122.54,123.04,37596.0
JBHT,2018-05-10 19:00:00+00:00,123.07,123.12,122.72,122.92,86136.0
JBHT,2018-05-10 20:00:00+00:00,122.9,122.9,122.9,122.9,24526.0
JBHT,2018-05-11 13:00:00+00:00,123.06,124.56,123.06,124.38,17938.0
JBHT,2018-05-11 14:00:00+00:00,124.4,125.38,124.37,125.08,42657.0
JBHT,2018-05-11 15:00:00+00:00,125.16,125.42,124.315,124.5,25888.0
JBHT,2018-05-11 16:00:00+00:00,124.49,124.53,123.85,124.34,24196.0
JBHT,2018-05-11 17:00:00+00:00,124.35,124.4,123.65,124.14,12258.0
JBHT,2018-05-11 18:00:00+00:00,124.15,124.63,124.1,124.41,15284.0
JBHT,2018-05-11 19:00:00+00:00,124.39,124.68,124.35,124.67,64477.0
JBHT,2018-05-11 20:00:00+00:00,124.66,124.66,124.66,124.66,90711.0
JBHT,2018-05-14 13:00:00+00:00,125.13,125.13,124.31,124.77,21493.0
JBHT,2018-05-14 14:00:00+00:00,124.77,124.95,123.94,124.82,22294.0
JBHT,2018-05-14 15:00:00+00:00,124.77,124.95,124.02,124.25,14015.0
JBHT,2018-05-14 16:00:00+00:00,124.41,124.69,124.13,124.13,21507.0
JBHT,2018-05-14 17:00:00+00:00,124.12,124.22,123.46,123.53,27648.0
JBHT,2018-05-14 18:00:00+00:00,123.58,123.93,123.28,123.75,27015.0
JBHT,2018-05-14 19:00:00+00:00,123.75,123.85,123.48,123.75,78074.0
JBHT,2018-05-14 20:00:00+00:00,123.76,123.76,123.71,123.71,70042.0
JBHT,2018-05-15 13:00:00+00:00,122.92,123.22,122.08,122.52,23375.0
JBHT,2018-05-15 14:00:00+00:00,122.51,122.61,121.9,122.18,30793.0
JBHT,2018-05-15 15:00:00+00:00,122.23,123.1,122.23,122.68,26227.0
JBHT,2018-05-15 16:00:00+00:00,122.68,123.47,122.62,123.24,27600.0
JBHT,2018-05-15 17:00:00+00:00,123.2,123.63,122.98,123.22,24841.0
JBHT,2018-05-15 18:00:00+00:00,123.22,123.81,123.19,123.37,35508.0
JBHT,2018-05-15 19:00:00+00:00,123.38,123.41,122.82,123.25,60890.0
JBHT,2018-05-15 20:00:00+00:00,123.25,123.25,123.25,123.25,69484.0
JBHT,2018-05-16 13:00:00+00:00,123.57,124.39,123.4,123.89,14361.0
JBHT,2018-05-16 14:00:00+00:00,123.89,124.66,123.58,124.61,28664.0
JBHT,2018-05-16 15:00:00+00:00,124.56,125.15,124.5,125.11,21621.0
JBHT,2018-05-16 16:00:00+00:00,125.15,125.5,125.1,125.235,28257.0
JBHT,2018-05-16 17:00:00+00:00,125.24,125.37,125.06,125.32,11089.0
JBHT,2018-05-16 18:00:00+00:00,125.32,125.61,125.26,125.61,29304.0
JBHT,2018-05-16 19:00:00+00:00,125.6,125.6,124.97,125.13,82609.0
JBHT,2018-05-16 20:00:00+00:00,125.12,125.12,125.12,125.12,69299.0
JBHT,2018-05-17 13:00:00+00:00,125.5,126.0,124.9,125.8,29668.0
JBHT,2018-05-17 14:00:00+00:00,125.88,127.0,125.81,126.4,42476.0
JBHT,2018-05-17 15:00:00+00:00,126.43,126.55,125.73,126.44,37502.0
JBHT,2018-05-17 16:00:00+00:00,126.36,126.91,126.33,126.69,22874.0
JBHT,2018-05-17 17:00:00+00:00,126.53,126.65,125.63,125.63,34757.0
JBHT,2018-05-17 18:00:00+00:00,125.68,126.13,125.43,126.13,30600.0
JBHT,2018-05-17 19:00:00+00:00,126.07,126.1,125.54,125.69,73423.0
JBHT,2018-05-17 20:00:00+00:00,125.69,125.69,125.69,125.69,93962.0
JBHT,2018-05-18 13:00:00+00:00,125.58,125.73,123.865,125.63,35101.0
JBHT,2018-05-18 14:00:00+00:00,125.53,126.26,125.26,125.54,22861.0
JBHT,2018-05-18 15:00:00+00:00,125.6,126.34,125.6,126.34,30653.0
JBHT,2018-05-18 16:00:00+00:00,126.35,126.53,125.94,126.32,30576.0
JBHT,2018-05-18 17:00:00+00:00,126.32,127.02,126.3,126.68,30538.0
JBHT,2018-05-18 18:00:00+00:00,126.64,126.89,126.32,126.89,28774.0
JBHT,2018-05-18 19:00:00+00:00,126.92,127.14,126.85,126.87,86474.0
JBHT,2018-05-18 20:00:00+00:00,126.86,126.86,126.86,126.86,70199.0
JBHT,2018-05-21 13:00:00+00:00,127.77,129.44,127.55,128.31,47876.0
JBHT,2018-05-21 14:00:00+00:00,128.27,129.74,128.11,129.07,67939.0
JBHT,2018-05-21 15:00:00+00:00,129.16,129.33,128.6,129.11,46433.0
JBHT,2018-05-21 16:00:00+00:00,129.1,129.41,128.57,128.59,46503.0
JBHT,2018-05-21 17:00:00+00:00,128.6,128.91,128.47,128.75,26263.0
JBHT,2018-05-21 18:00:00+00:00,128.75,128.77,128.16,128.63,45175.0
JBHT,2018-05-21 19:00:00+00:00,128.59,128.75,127.99,128.09,82139.0
JBHT,2018-05-21 20:00:00+00:00,128.1,128.1,128.1,128.1,47482.0
JBHT,2018-05-22 13:00:00+00:00,128.47,129.11,127.64,128.05,13625.0
JBHT,2018-05-22 14:00:00+00:00,128.04,128.14,127.03,127.03,17560.0
JBHT,2018-05-22 15:00:00+00:00,127.05,127.12,126.89,127.0,21124.0
JBHT,2018-05-22 16:00:00+00:00,127.0,127.02,125.95,125.99,37034.0
JBHT,2018-05-22 17:00:00+00:00,125.98,126.01,125.48,125.56,35480.0
JBHT,2018-05-22 18:00:00+00:00,125.57,125.85,125.49,125.64,38772.0
JBHT,2018-05-22 19:00:00+00:00,125.61,125.73,124.36,124.64,144842.0
JBHT,2018-05-22 20:00:00+00:00,124.65,124.65,124.65,124.65,52910.0
JBHT,2018-05-22 21:00:00+00:00,124.65,124.65,124.65,124.65,2.0
JBHT,2018-05-23 13:00:00+00:00,123.81,123.81,121.69,122.83,70195.0
JBHT,2018-05-23 14:00:00+00:00,122.85,123.85,122.81,122.84,29333.0
JBHT,2018-05-23 15:00:00+00:00,122.91,123.25,122.89,123.1,20248.0
