symbol,ts,open,high,low,close,volume
JBL,2018-05-01 13:00:00+00:00,26.6,26.65,26.36,26.62,16089.0
JBL,2018-05-01 14:00:00+00:00,26.64,26.73,26.36,26.38,26161.0
JBL,2018-05-01 15:00:00+00:00,26.35,26.39,26.28,26.34,28627.0
JBL,2018-05-01 16:00:00+00:00,26.35,26.57,26.35,26.5,17007.0
JBL,2018-05-01 17:00:00+00:00,26.5,26.6,26.44,26.595,29417.0
JBL,2018-05-01 18:00:00+00:00,26.595,26.75,26.58,26.74,37095.0
JBL,2018-05-01 19:00:00+00:00,26.75,26.75,26.64,26.67,60674.0
JBL,2018-05-02 13:00:00+00:00,26.88,27.01,26.78,26.95,16061.0
JBL,2018-05-02 14:00:00+00:00,26.98,27.1,26.97,27.06,21399.0
JBL,2018-05-02 15:00:00+00:00,27.07,27.075,26.93,26.995,21812.0
JBL,2018-05-02 16:00:00+00:00,26.995,27.4,26.985,27.31,55359.0
JBL,2018-05-02 17:00:00+00:00,27.32,27.32,27.11,27.19,13404.0
JBL,2018-05-02 18:00:00+00:00,27.21,27.315,27.18,27.21,22464.0
JBL,2018-05-02 19:00:00+00:00,27.205,27.22,27.01,27.02,38666.0
JBL,2018-05-03 13:00:00+00:00,27.01,27.14,26.92,27.14,11737.0
JBL,2018-05-03 14:00:00+00:00,27.14,27.14,26.7,26.75,22961.0
JBL,2018-05-03 15:00:00+00:00,26.75,26.97,26.695,26.97,22094.0
JBL,2018-05-03 16:00:00+00:00,26.98,27.16,26.94,27.125,26252.0
JBL,2018-05-03 17:00:00+00:00,27.12,27.12,27.02,27.07,21181.0
JBL,2018-05-03 18:00:00+00:00,27.06,27.1,27.01,27.05,21071.0
JBL,2018-05-03 19:00:00+00:00,27.06,27.13,27.055,27.13,42767.0
JBL,2018-05-04 13:00:00+00:00,26.99,27.15,26.96,27.09,6761.0
JBL,2018-05-04 14:00:00+00:00,27.08,27.31,27.02,27.26,13700.0
JBL,2018-05-04 15:00:00+00:00,27.25,27.455,27.25,27.45,20668.0
JBL,2018-05-04 16:00:00+00:00,27.455,27.54,27.41,27.45,26520.0
JBL,2018-05-04 17:00:00+00:00,27.46,27.555,27.42,27.54,11910.0
JBL,2018-05-04 18:00:00+00:00,27.55,27.57,27.5,27.51,9996.0
JBL,2018-05-04 19:00:00+00:00,27.51,27.55,27.42,27.45,20746.0
JBL,2018-05-07 13:00:00+00:00,27.49,27.53,27.38,27.44,11007.0
JBL,2018-05-07 14:00:00+00:00,27.43,27.5,27.33,27.39,13690.0
JBL,2018-05-07 15:00:00+00:00,27.4,27.45,27.38,27.43,8779.0
JBL,2018-05-07 16:00:00+00:00,27.43,27.47,27.41,27.43,7957.0
JBL,2018-05-07 17:00:00+00:00,27.435,27.52,27.435,27.495,8027.0
JBL,2018-05-07 18:00:00+00:00,27.495,27.51,27.395,27.42,17076.0
JBL,2018-05-07 19:00:00+00:00,27.42,27.46,27.36,27.42,39931.0
JBL,2018-05-08 13:00:00+00:00,27.49,27.58,27.45,27.58,6621.0
JBL,2018-05-08 14:00:00+00:00,27.57,27.695,27.57,27.64,9407.0
JBL,2018-05-08 15:00:00+00:00,27.615,27.66,27.56,27.59,12770.0
JBL,2018-05-08 16:00:00+00:00,27.58,27.58,27.41,27.44,16019.0
JBL,2018-05-08 17:00:00+00:00,27.45,27.54,27.44,27.44,11878.0
JBL,2018-05-08 18:00:00+00:00,27.44,27.51,27.35,27.39,30657.0
JBL,2018-05-08 19:00:00+00:00,27.39,27.46,27.37,27.41,43861.0
JBL,2018-05-09 13:00:00+00:00,27.48,27.48,27.35,27.44,8760.0
JBL,2018-05-09 14:00:00+00:00,27.43,27.48,27.35,27.38,9896.0
JBL,2018-05-09 15:00:00+00:00,27.39,27.46,27.36,27.44,12115.0
JBL,2018-05-09 16:00:00+00:00,27.44,27.505,27.425,27.47,9750.0
JBL,2018-05-09 17:00:00+00:00,27.48,27.49,27.45,27.48,11870.0
JBL,2018-05-09 18:00:00+00:00,27.48,27.49,27.46,27.48,9149.0
JBL,2018-05-09 19:00:00+00:00,27.47,27.49,27.43,27.44,25109.0
JBL,2018-05-10 13:00:00+00:00,27.59,27.61,27.48,27.57,6126.0
JBL,2018-05-10 14:00:00+00:00,27.57,27.6,27.49,27.54,21079.0
JBL,2018-05-10 15:00:00+00:00,27.54,27.59,27.53,27.57,11565.0
JBL,2018-05-10 16:00:00+00:00,27.56,27.63,27.55,27.63,10502.0
JBL,2018-05-10 17:00:00+00:00,27.64,27.65,27.55,27.55,11630.0
JBL,2018-05-10 18:00:00+00:00,27.54,27.62,27.5,27.58,12940.0
JBL,2018-05-10 19:00:00+00:00,27.58,27.615,27.56,27.61,38277.0
JBL,2018-05-11 13:00:00+00:00,27.63,27.65,27.43,27.56,9360.0
JBL,2018-05-11 14:00:00+00:00,27.56,27.78,27.51,27.74,17991.0
JBL,2018-05-11 15:00:00+00:00,27.73,27.77,27.57,27.57,22182.0
JBL,2018-05-11 16:00:00+00:00,27.56,27.61,27.5,27.52,20565.0
JBL,2018-05-11 17:00:00+00:00,27.52,27.57,27.51,27.55,14854.0
JBL,2018-05-11 18:00:00+00:00,27.545,27.61,27.49,27.61,11715.0
JBL,2018-05-11 19:00:00+00:00,27.61,27.65,27.57,27.605,32878.0
JBL,2018-05-14 13:00:00+00:00,27.75,27.89,27.74,27.77,6336.0
JBL,2018-05-14 14:00:00+00:00,27.76,27.84,27.75,27.75,9242.0
JBL,2018-05-14 15:00:00+00:00,27.74,27.85,27.7,27.81,42292.0
JBL,2018-05-14 16:00:00+00:00,27.81,27.91,27.81,27.82,14056.0
JBL,2018-05-14 17:00:00+00:00,27.82,27.84,27.76,27.83,20657.0
JBL,2018-05-14 18:00:00+00:00,27.83,27.85,27.73,27.81,41633.0
JBL,2018-05-14 19:00:00+00:00,27.81,27.855,27.78,27.82,36303.0
JBL,2018-05-15 13:00:00+00:00,27.7,27.93,27.54,27.54,12555.0
JBL,2018-05-15 14:00:00+00:00,27.54,27.79,27.53,27.73,20521.0
JBL,2018-05-15 15:00:00+00:00,27.75,27.9,27.72,27.88,18119.0
JBL,2018-05-15 16:00:00+00:00,27.87,27.94,27.85,27.91,27374.0
JBL,2018-05-15 17:00:00+00:00,27.91,27.91,27.66,27.66,19135.0
JBL,2018-05-15 18:00:00+00:00,27.66,27.76,27.65,27.7,14684.0
