symbol,ts,open,high,low,close,volume
JKHY,2018-05-01 13:00:00+00:00,119.4,120.52,119.35,120.38,6700.0
JKHY,2018-05-01 14:00:00+00:00,120.38,121.33,120.23,120.9,18263.0
JKHY,2018-05-01 15:00:00+00:00,120.91,121.42,120.6,121.135,15217.0
JKHY,2018-05-01 16:00:00+00:00,121.24,121.26,120.86,121.01,11676.0
JKHY,2018-05-01 17:00:00+00:00,120.92,121.67,120.76,121.61,12266.0
JKHY,2018-05-01 18:00:00+00:00,121.64,121.84,121.32,121.69,13854.0
JKHY,2018-05-01 19:00:00+00:00,121.75,121.9,121.37,121.37,43303.0
JKHY,2018-05-01 20:00:00+00:00,121.43,121.46,121.29,121.46,20904.0
JKHY,2018-05-02 13:00:00+00:00,121.73,122.0,119.58,119.96,8125.0
JKHY,2018-05-02 14:00:00+00:00,119.88,119.93,117.67,119.31,29570.0
JKHY,2018-05-02 15:00:00+00:00,119.28,119.35,116.94,117.27,23820.0
JKHY,2018-05-02 16:00:00+00:00,117.19,117.52,116.79,117.12,23646.0
JKHY,2018-05-02 17:00:00+00:00,117.14,118.65,117.02,118.53,22454.0
JKHY,2018-05-02 18:00:00+00:00,118.57,119.63,118.57,118.83,20218.0
JKHY,2018-05-02 19:00:00+00:00,118.83,119.09,117.77,117.92,51720.0
JKHY,2018-05-02 20:00:00+00:00,117.92,117.93,117.92,117.93,26163.0
JKHY,2018-05-03 13:00:00+00:00,118.32,119.37,118.26,119.34,11867.0
JKHY,2018-05-03 14:00:00+00:00,119.445,119.52,118.83,119.02,28223.0
JKHY,2018-05-03 15:00:00+00:00,119.02,119.78,118.96,119.71,39717.0
JKHY,2018-05-03 16:00:00+00:00,119.71,119.92,119.43,119.92,32937.0
JKHY,2018-05-03 17:00:00+00:00,119.97,120.53,119.91,120.4,20565.0
JKHY,2018-05-03 18:00:00+00:00,120.37,120.61,120.01,120.42,20840.0
JKHY,2018-05-03 19:00:00+00:00,120.45,121.12,120.45,120.86,58046.0
JKHY,2018-05-03 20:00:00+00:00,120.86,120.86,120.86,120.86,40052.0
JKHY,2018-05-04 13:00:00+00:00,120.92,121.68,120.55,120.8,6863.0
JKHY,2018-05-04 14:00:00+00:00,120.75,122.21,120.7,122.17,9989.0
JKHY,2018-05-04 15:00:00+00:00,122.2,123.29,122.2,123.29,13502.0
JKHY,2018-05-04 16:00:00+00:00,123.19,123.41,122.88,123.14,12387.0
JKHY,2018-05-04 17:00:00+00:00,123.09,123.81,123.06,123.81,7567.0
JKHY,2018-05-04 18:00:00+00:00,123.67,123.86,122.77,122.86,17862.0
JKHY,2018-05-04 19:00:00+00:00,122.89,123.28,122.74,122.92,31039.0
JKHY,2018-05-04 20:00:00+00:00,122.91,122.91,122.91,122.91,26151.0
JKHY,2018-05-07 13:00:00+00:00,122.72,122.99,121.99,122.49,35728.0
JKHY,2018-05-07 14:00:00+00:00,122.45,122.54,121.14,121.43,25730.0
JKHY,2018-05-07 15:00:00+00:00,121.55,121.97,121.47,121.84,15048.0
JKHY,2018-05-07 16:00:00+00:00,121.92,122.79,121.92,122.63,19324.0
JKHY,2018-05-07 17:00:00+00:00,122.66,122.73,122.31,122.61,16648.0
JKHY,2018-05-07 18:00:00+00:00,122.55,122.61,122.16,122.37,22564.0
JKHY,2018-05-07 19:00:00+00:00,122.39,122.65,121.58,121.78,52110.0
JKHY,2018-05-07 20:00:00+00:00,121.8,121.8,121.8,121.8,73068.0
JKHY,2018-05-08 13:00:00+00:00,120.4,122.11,120.4,121.99,21230.0
JKHY,2018-05-08 14:00:00+00:00,122.0,122.49,121.73,122.19,13794.0
JKHY,2018-05-08 15:00:00+00:00,122.0,122.39,121.96,121.98,14381.0
JKHY,2018-05-08 16:00:00+00:00,122.0,122.83,121.74,122.56,14838.0
JKHY,2018-05-08 17:00:00+00:00,122.66,122.74,122.43,122.57,9792.0
