symbol,ts,open,high,low,close,volume
KEY,2018-05-01 13:00:00+00:00,19.88,19.9,19.72,19.76,84126.0
KEY,2018-05-01 14:00:00+00:00,19.75,19.84,19.685,19.71,223591.0
KEY,2018-05-01 15:00:00+00:00,19.705,19.75,19.66,19.67,93226.0
KEY,2018-05-01 16:00:00+00:00,19.67,19.805,19.64,19.805,79631.0
KEY,2018-05-01 17:00:00+00:00,19.8,19.9,19.73,19.9,97251.0
KEY,2018-05-01 18:00:00+00:00,19.89,19.95,19.86,19.89,196352.0
KEY,2018-05-01 19:00:00+00:00,19.9,19.915,19.785,19.9,181303.0
KEY,2018-05-02 13:00:00+00:00,19.82,19.97,19.775,19.79,86198.0
KEY,2018-05-02 14:00:00+00:00,19.795,19.86,19.735,19.79,189620.0
KEY,2018-05-02 15:00:00+00:00,19.825,19.96,19.825,19.96,100660.0
KEY,2018-05-02 16:00:00+00:00,19.96,20.03,19.94,19.96,40749.0
KEY,2018-05-02 17:00:00+00:00,19.97,20.04,19.97,20.04,41014.0
KEY,2018-05-02 18:00:00+00:00,20.04,20.07,19.935,19.965,97124.0
KEY,2018-05-02 19:00:00+00:00,19.97,19.975,19.725,19.765,288765.0
KEY,2018-05-03 13:00:00+00:00,19.67,19.67,19.515,19.57,151199.0
KEY,2018-05-03 14:00:00+00:00,19.58,19.58,19.17,19.2,223700.0
KEY,2018-05-03 15:00:00+00:00,19.2,19.3,19.12,19.22,229191.0
KEY,2018-05-03 16:00:00+00:00,19.215,19.43,19.17,19.41,228269.0
KEY,2018-05-03 17:00:00+00:00,19.41,19.48,19.31,19.45,154994.0
KEY,2018-05-03 18:00:00+00:00,19.44,19.51,19.33,19.33,244970.0
KEY,2018-05-03 19:00:00+00:00,19.34,19.425,19.325,19.37,195371.0
KEY,2018-05-04 13:00:00+00:00,19.16,19.29,19.07,19.28,151614.0
KEY,2018-05-04 14:00:00+00:00,19.26,19.49,19.24,19.47,161163.0
KEY,2018-05-04 15:00:00+00:00,19.47,19.59,19.47,19.57,77429.0
KEY,2018-05-04 16:00:00+00:00,19.58,19.67,19.56,19.67,75363.0
KEY,2018-05-04 17:00:00+00:00,19.67,19.73,19.655,19.73,68299.0
KEY,2018-05-04 18:00:00+00:00,19.73,19.795,19.7,19.7,70329.0
KEY,2018-05-04 19:00:00+00:00,19.7,19.735,19.665,19.7,182874.0
KEY,2018-05-07 13:00:00+00:00,19.74,19.75,19.57,19.61,131580.0
KEY,2018-05-07 14:00:00+00:00,19.62,19.74,19.54,19.74,94263.0
KEY,2018-05-07 15:00:00+00:00,19.74,19.755,19.62,19.67,162961.0
KEY,2018-05-07 16:00:00+00:00,19.67,19.73,19.66,19.72,81246.0
KEY,2018-05-07 17:00:00+00:00,19.72,19.79,19.7,19.76,45303.0
KEY,2018-05-07 18:00:00+00:00,19.77,19.855,19.73,19.73,84990.0
KEY,2018-05-07 19:00:00+00:00,19.73,19.77,19.7,19.73,227523.0
KEY,2018-05-08 13:00:00+00:00,19.79,19.955,19.73,19.955,47745.0
KEY,2018-05-08 14:00:00+00:00,19.965,20.11,19.94,20.08,98562.0
KEY,2018-05-08 15:00:00+00:00,20.08,20.13,19.92,19.92,166790.0
KEY,2018-05-08 16:00:00+00:00,19.915,19.95,19.78,19.83,92535.0
KEY,2018-05-08 17:00:00+00:00,19.82,19.85,19.78,19.78,141845.0
KEY,2018-05-08 18:00:00+00:00,19.785,19.8,19.645,19.69,133478.0
KEY,2018-05-08 19:00:00+00:00,19.68,19.79,19.66,19.78,182875.0
KEY,2018-05-08 20:00:00+00:00,19.75,19.75,19.75,19.75,1500.0
KEY,2018-05-09 13:00:00+00:00,19.96,19.96,19.84,19.93,93220.0
KEY,2018-05-09 14:00:00+00:00,19.93,20.105,19.865,19.875,170815.0
KEY,2018-05-09 15:00:00+00:00,19.88,19.995,19.87,19.97,139614.0
KEY,2018-05-09 16:00:00+00:00,19.97,20.105,19.95,20.07,86663.0
KEY,2018-05-09 17:00:00+00:00,20.08,20.19,20.06,20.16,120365.0
KEY,2018-05-09 18:00:00+00:00,20.165,20.195,20.1,20.11,82354.0
KEY,2018-05-09 19:00:00+00:00,20.1,20.115,20.03,20.06,144499.0
