symbol,ts,open,high,low,close,volume
KEYS,2018-05-01 13:00:00+00:00,51.43,51.76,51.34,51.655,3531.0
KEYS,2018-05-01 14:00:00+00:00,51.69,51.69,50.88,51.24,26095.0
KEYS,2018-05-01 15:00:00+00:00,51.21,51.34,51.0,51.22,28600.0
KEYS,2018-05-01 16:00:00+00:00,51.24,51.38,50.96,50.98,33452.0
KEYS,2018-05-01 17:00:00+00:00,50.98,51.24,50.92,51.24,36097.0
KEYS,2018-05-01 18:00:00+00:00,51.23,51.39,51.14,51.29,43548.0
KEYS,2018-05-01 19:00:00+00:00,51.3,51.58,51.2,51.35,52454.0
KEYS,2018-05-02 13:00:00+00:00,51.46,51.55,51.25,51.44,18998.0
KEYS,2018-05-02 14:00:00+00:00,51.43,51.71,51.37,51.59,32062.0
KEYS,2018-05-02 15:00:00+00:00,51.6,51.6,51.33,51.42,18592.0
KEYS,2018-05-02 16:00:00+00:00,51.39,51.5,51.31,51.36,27872.0
KEYS,2018-05-02 17:00:00+00:00,51.36,51.38,51.17,51.31,22468.0
KEYS,2018-05-02 18:00:00+00:00,51.31,51.46,51.04,51.17,38995.0
KEYS,2018-05-02 19:00:00+00:00,51.19,51.37,51.13,51.21,63672.0
KEYS,2018-05-03 13:00:00+00:00,51.27,51.32,51.09,51.26,26520.0
KEYS,2018-05-03 14:00:00+00:00,51.27,51.33,50.6,50.695,34732.0
KEYS,2018-05-03 15:00:00+00:00,50.7,51.2,50.61,51.17,24383.0
KEYS,2018-05-03 16:00:00+00:00,51.155,51.58,51.15,51.57,28095.0
KEYS,2018-05-03 17:00:00+00:00,51.56,51.63,51.38,51.57,19360.0
KEYS,2018-05-03 18:00:00+00:00,51.58,51.66,51.42,51.56,23072.0
KEYS,2018-05-03 19:00:00+00:00,51.56,51.75,51.48,51.64,40069.0
KEYS,2018-05-04 13:00:00+00:00,51.38,51.46,51.3,51.36,5137.0
KEYS,2018-05-04 14:00:00+00:00,51.35,51.68,51.24,51.67,23658.0
KEYS,2018-05-04 15:00:00+00:00,51.67,52.01,51.66,52.0,21576.0
KEYS,2018-05-04 16:00:00+00:00,52.01,52.29,51.99,52.29,23533.0
KEYS,2018-05-04 17:00:00+00:00,52.29,52.47,52.19,52.47,13879.0
KEYS,2018-05-04 18:00:00+00:00,52.48,52.58,52.45,52.52,23199.0
KEYS,2018-05-04 19:00:00+00:00,52.52,52.58,52.35,52.42,49012.0
KEYS,2018-05-07 13:00:00+00:00,52.29,52.73,52.29,52.57,4685.0
