symbol,ts,open,high,low,close,volume
KHC,2018-05-01 11:00:00+00:00,56.32,56.32,56.3,56.3,577.0
KHC,2018-05-01 12:00:00+00:00,56.31,56.31,56.31,56.31,130.0
KHC,2018-05-01 13:00:00+00:00,56.39,56.42,55.95,55.99,210003.0
KHC,2018-05-01 14:00:00+00:00,55.99,56.12,55.42,55.44,236017.0
KHC,2018-05-01 15:00:00+00:00,55.44,55.82,55.3,55.515,176492.0
KHC,2018-05-01 16:00:00+00:00,55.52,55.65,55.505,55.55,88702.0
KHC,2018-05-01 17:00:00+00:00,55.55,55.85,55.38,55.83,90776.0
KHC,2018-05-01 18:00:00+00:00,55.83,55.96,55.67,55.93,118696.0
KHC,2018-05-01 19:00:00+00:00,55.93,56.0,55.69,55.7,522670.0
KHC,2018-05-01 20:00:00+00:00,55.7,55.89,55.66,55.87,337653.0
KHC,2018-05-01 21:00:00+00:00,55.87,55.95,55.7,55.95,1284.0
KHC,2018-05-02 08:00:00+00:00,56.0,56.67,56.0,56.27,697.0
KHC,2018-05-02 10:00:00+00:00,56.0,56.0,56.0,56.0,6.0
KHC,2018-05-02 11:00:00+00:00,56.24,56.24,56.24,56.24,22.0
KHC,2018-05-02 12:00:00+00:00,55.9,55.93,55.84,55.86,213.0
KHC,2018-05-02 13:00:00+00:00,55.82,55.95,55.06,55.09,287877.0
KHC,2018-05-02 14:00:00+00:00,55.09,55.17,54.78,54.83,330216.0
KHC,2018-05-02 15:00:00+00:00,54.83,54.99,54.515,54.61,246598.0
KHC,2018-05-02 16:00:00+00:00,54.6,54.78,54.55,54.72,110151.0
KHC,2018-05-02 17:00:00+00:00,54.72,54.72,54.475,54.66,101254.0
KHC,2018-05-02 18:00:00+00:00,54.66,54.83,54.26,54.27,183255.0
KHC,2018-05-02 19:00:00+00:00,54.265,54.5,54.115,54.2,625407.0
KHC,2018-05-02 20:00:00+00:00,54.2,57.53,54.2,55.95,834842.0
KHC,2018-05-02 21:00:00+00:00,55.88,56.6,55.75,56.6,6400.0
KHC,2018-05-02 22:00:00+00:00,56.3,56.3,56.3,56.3,700.0
KHC,2018-05-02 23:00:00+00:00,56.3,56.3,56.3,56.3,1800.0
KHC,2018-05-03 08:00:00+00:00,56.0,56.0,56.0,56.0,30.0
KHC,2018-05-03 10:00:00+00:00,56.65,56.65,56.55,56.55,73.0
KHC,2018-05-03 11:00:00+00:00,56.15,56.2,55.71,55.71,1651.0
KHC,2018-05-03 12:00:00+00:00,55.55,55.63,55.55,55.63,160.0
KHC,2018-05-03 13:00:00+00:00,55.54,56.4,55.28,56.14,450968.0
KHC,2018-05-03 14:00:00+00:00,56.13,56.35,55.61,55.66,314324.0
KHC,2018-05-03 15:00:00+00:00,55.68,55.77,55.37,55.55,300801.0
KHC,2018-05-03 16:00:00+00:00,55.55,55.6,55.01,55.51,218496.0
KHC,2018-05-03 17:00:00+00:00,55.52,55.56,55.31,55.42,218011.0
KHC,2018-05-03 18:00:00+00:00,55.41,55.43,55.05,55.18,262508.0
KHC,2018-05-03 19:00:00+00:00,55.17,55.26,54.94,54.95,609824.0
KHC,2018-05-03 20:00:00+00:00,54.95,55.15,54.95,55.15,339246.0
KHC,2018-05-03 22:00:00+00:00,55.25,55.39,55.2,55.2,557.0
KHC,2018-05-04 09:00:00+00:00,55.22,55.22,55.22,55.22,50.0
KHC,2018-05-04 10:00:00+00:00,55.42,55.42,55.42,55.42,20.0
