symbol,ts,open,high,low,close,volume
KKR,2018-05-01 13:00:00+00:00,20.95,21.07,20.91,20.925,16261.0
KKR,2018-05-01 14:00:00+00:00,20.93,20.96,20.83,20.91,26273.0
KKR,2018-05-01 15:00:00+00:00,20.91,21.06,20.86,21.05,40034.0
KKR,2018-05-01 16:00:00+00:00,21.04,21.08,20.96,21.04,34096.0
KKR,2018-05-01 17:00:00+00:00,21.04,21.05,20.93,21.05,44140.0
KKR,2018-05-01 18:00:00+00:00,21.07,21.13,21.04,21.09,23384.0
KKR,2018-05-01 19:00:00+00:00,21.1,21.57,21.1,21.415,101069.0
KKR,2018-05-02 13:00:00+00:00,21.4,21.69,21.4,21.52,22855.0
KKR,2018-05-02 14:00:00+00:00,21.51,21.51,21.24,21.3,64731.0
KKR,2018-05-02 15:00:00+00:00,21.3,21.44,21.29,21.44,37312.0
KKR,2018-05-02 16:00:00+00:00,21.44,21.52,21.43,21.49,38510.0
KKR,2018-05-02 17:00:00+00:00,21.5,21.54,21.46,21.51,38998.0
KKR,2018-05-02 18:00:00+00:00,21.5,21.62,21.46,21.57,39825.0
KKR,2018-05-02 19:00:00+00:00,21.58,21.7,21.36,21.5,130144.0
KKR,2018-05-03 10:00:00+00:00,23.98,23.98,23.98,23.98,60.0
KKR,2018-05-03 11:00:00+00:00,22.75,23.75,22.75,23.5,49536.0
KKR,2018-05-03 12:00:00+00:00,23.5,23.7,23.2,23.3,118030.0
KKR,2018-05-03 13:00:00+00:00,23.28,23.28,22.4,22.5,246758.0
KKR,2018-05-03 14:00:00+00:00,22.5,22.55,22.06,22.34,224439.0
KKR,2018-05-03 15:00:00+00:00,22.33,22.44,22.24,22.34,90775.0
KKR,2018-05-03 16:00:00+00:00,22.34,22.44,22.07,22.39,59869.0
KKR,2018-05-03 17:00:00+00:00,22.37,22.44,22.26,22.3,43657.0
KKR,2018-05-03 18:00:00+00:00,22.31,22.36,22.14,22.22,59049.0
KKR,2018-05-03 19:00:00+00:00,22.23,22.37,22.12,22.14,181244.0
KKR,2018-05-04 13:00:00+00:00,22.17,22.51,22.11,22.39,49401.0
KKR,2018-05-04 14:00:00+00:00,22.39,22.975,22.32,22.8,120829.0
KKR,2018-05-04 15:00:00+00:00,22.79,22.83,22.715,22.74,65288.0
KKR,2018-05-04 16:00:00+00:00,22.74,22.77,22.44,22.71,75268.0
KKR,2018-05-04 17:00:00+00:00,22.705,22.76,22.63,22.69,93467.0
KKR,2018-05-04 18:00:00+00:00,22.695,22.9,22.64,22.76,141683.0
KKR,2018-05-04 19:00:00+00:00,22.76,22.995,22.48,22.71,423291.0
KKR,2018-05-04 20:00:00+00:00,22.8,22.87,22.8,22.87,400.0
KKR,2018-05-07 13:00:00+00:00,23.0,23.0,22.39,22.64,114107.0
KKR,2018-05-07 14:00:00+00:00,22.64,22.82,22.4,22.515,119701.0
KKR,2018-05-07 15:00:00+00:00,22.51,22.78,22.485,22.78,164271.0
KKR,2018-05-07 16:00:00+00:00,22.79,22.91,22.63,22.63,120993.0
KKR,2018-05-07 17:00:00+00:00,22.63,22.685,22.48,22.48,113844.0
KKR,2018-05-07 18:00:00+00:00,22.48,22.75,22.48,22.52,146226.0
KKR,2018-05-07 19:00:00+00:00,22.51,22.63,22.35,22.59,500479.0
KKR,2018-05-08 13:00:00+00:00,22.76,22.76,22.41,22.74,56917.0
KKR,2018-05-08 14:00:00+00:00,22.74,22.8,22.65,22.77,83511.0
KKR,2018-05-08 15:00:00+00:00,22.75,22.75,22.62,22.65,73013.0
KKR,2018-05-08 16:00:00+00:00,22.65,22.72,22.57,22.66,59790.0
KKR,2018-05-08 17:00:00+00:00,22.66,22.75,22.53,22.54,47002.0
KKR,2018-05-08 18:00:00+00:00,22.55,22.74,22.52,22.52,63680.0
KKR,2018-05-08 19:00:00+00:00,22.525,22.74,22.49,22.67,101375.0
KKR,2018-05-09 13:00:00+00:00,22.74,22.87,22.68,22.78,35450.0
KKR,2018-05-09 14:00:00+00:00,22.78,22.89,22.68,22.75,106425.0
KKR,2018-05-09 15:00:00+00:00,22.73,22.82,22.69,22.8,29684.0
KKR,2018-05-09 16:00:00+00:00,22.8,22.9,22.78,22.86,25103.0
KKR,2018-05-09 17:00:00+00:00,22.87,22.97,22.81,22.92,48149.0
KKR,2018-05-09 18:00:00+00:00,22.92,22.95,22.845,22.88,28900.0
KKR,2018-05-09 19:00:00+00:00,22.88,22.91,22.81,22.87,98217.0
KKR,2018-05-10 13:00:00+00:00,22.23,22.65,22.08,22.6,109679.0
KKR,2018-05-10 14:00:00+00:00,22.6,22.81,22.59,22.74,52214.0
KKR,2018-05-10 15:00:00+00:00,22.74,22.77,22.61,22.71,73546.0
KKR,2018-05-10 16:00:00+00:00,22.73,22.73,22.6,22.715,40169.0
KKR,2018-05-10 17:00:00+00:00,22.72,22.8,22.71,22.72,37462.0
KKR,2018-05-10 18:00:00+00:00,22.71,22.795,22.65,22.65,41030.0
KKR,2018-05-10 19:00:00+00:00,22.64,22.64,22.435,22.5,84361.0
KKR,2018-05-11 13:00:00+00:00,22.25,22.6,22.24,22.32,18948.0
KKR,2018-05-11 14:00:00+00:00,22.31,22.48,22.2,22.29,54988.0
KKR,2018-05-11 15:00:00+00:00,22.3,22.33,22.15,22.15,40799.0
KKR,2018-05-11 16:00:00+00:00,22.14,22.14,22.02,22.09,24335.0
KKR,2018-05-11 17:00:00+00:00,22.1,22.105,22.0,22.0,12298.0
KKR,2018-05-11 18:00:00+00:00,22.0,22.02,21.81,21.94,51223.0
KKR,2018-05-11 19:00:00+00:00,21.97,22.045,21.905,22.03,102691.0
KKR,2018-05-14 13:00:00+00:00,22.13,22.17,22.07,22.1,6677.0
KKR,2018-05-14 14:00:00+00:00,22.08,22.08,21.9,21.93,10627.0
KKR,2018-05-14 15:00:00+00:00,21.91,21.915,21.61,21.68,56331.0
KKR,2018-05-14 16:00:00+00:00,21.68,21.76,21.52,21.53,20484.0
KKR,2018-05-14 17:00:00+00:00,21.51,21.63,21.47,21.55,45241.0
KKR,2018-05-14 18:00:00+00:00,21.55,21.69,21.495,21.685,34079.0
KKR,2018-05-14 19:00:00+00:00,21.685,21.93,21.685,21.755,112733.0
KKR,2018-05-14 20:00:00+00:00,21.76,21.76,21.76,21.76,100.0
KKR,2018-05-15 13:00:00+00:00,21.66,21.77,21.66,21.69,11501.0
KKR,2018-05-15 14:00:00+00:00,21.68,21.73,21.64,21.71,11254.0
KKR,2018-05-15 15:00:00+00:00,21.71,21.89,21.67,21.83,18979.0
KKR,2018-05-15 16:00:00+00:00,21.84,21.89,21.81,21.86,6752.0
KKR,2018-05-15 17:00:00+00:00,21.86,21.94,21.81,21.82,17967.0
KKR,2018-05-15 18:00:00+00:00,21.825,21.85,21.74,21.75,9851.0
KKR,2018-05-15 19:00:00+00:00,21.75,21.75,21.545,21.58,73621.0
KKR,2018-05-16 13:00:00+00:00,21.84,22.11,21.81,22.05,28213.0
KKR,2018-05-16 14:00:00+00:00,22.04,22.53,21.99,22.53,86776.0
KKR,2018-05-16 15:00:00+00:00,22.53,22.56,22.44,22.56,29171.0
KKR,2018-05-16 16:00:00+00:00,22.58,22.67,22.49,22.64,35236.0
KKR,2018-05-16 17:00:00+00:00,22.64,22.67,22.49,22.53,10739.0
KKR,2018-05-16 18:00:00+00:00,22.53,22.53,22.43,22.45,16773.0
KKR,2018-05-16 19:00:00+00:00,22.44,22.44,22.31,22.325,54337.0
KKR,2018-05-17 12:00:00+00:00,22.37,22.37,22.37,22.37,500.0
KKR,2018-05-17 13:00:00+00:00,22.31,22.71,22.25,22.64,27398.0
KKR,2018-05-17 14:00:00+00:00,22.63,22.76,22.595,22.7,29772.0
KKR,2018-05-17 15:00:00+00:00,22.71,22.77,22.68,22.72,70848.0
KKR,2018-05-17 16:00:00+00:00,22.73,22.79,22.66,22.67,22625.0
KKR,2018-05-17 17:00:00+00:00,22.67,22.72,22.61,22.65,32641.0
KKR,2018-05-17 18:00:00+00:00,22.655,22.7,22.59,22.67,18430.0
KKR,2018-05-17 19:00:00+00:00,22.68,22.75,22.665,22.72,55151.0
KKR,2018-05-18 13:00:00+00:00,22.67,22.68,22.59,22.67,7816.0
KKR,2018-05-18 14:00:00+00:00,22.62,22.64,22.56,22.56,17932.0
KKR,2018-05-18 15:00:00+00:00,22.57,22.64,22.57,22.62,20855.0
KKR,2018-05-18 16:00:00+00:00,22.61,22.61,22.57,22.57,9121.0
KKR,2018-05-18 17:00:00+00:00,22.56,22.61,22.47,22.51,19054.0
KKR,2018-05-18 18:00:00+00:00,22.5,22.51,22.465,22.48,7539.0
KKR,2018-05-18 19:00:00+00:00,22.47,22.48,22.31,22.4,64783.0
KKR,2018-05-21 13:00:00+00:00,22.5,22.63,22.495,22.59,15275.0
KKR,2018-05-21 14:00:00+00:00,22.59,22.785,22.59,22.71,20952.0
KKR,2018-05-21 15:00:00+00:00,22.7,22.75,22.62,22.74,18127.0
KKR,2018-05-21 16:00:00+00:00,22.73,22.87,22.72,22.83,27635.0
KKR,2018-05-21 17:00:00+00:00,22.85,22.9,22.78,22.79,26734.0
KKR,2018-05-21 18:00:00+00:00,22.78,22.81,22.65,22.73,22628.0
KKR,2018-05-21 19:00:00+00:00,22.74,22.76,22.635,22.65,42436.0
KKR,2018-05-22 13:00:00+00:00,22.58,22.84,22.38,22.54,82939.0
KKR,2018-05-22 14:00:00+00:00,22.55,22.63,22.44,22.59,43462.0
KKR,2018-05-22 15:00:00+00:00,22.6,22.71,22.6,22.64,29337.0
KKR,2018-05-22 16:00:00+00:00,22.65,22.67,22.57,22.57,31131.0
KKR,2018-05-22 17:00:00+00:00,22.58,22.63,22.455,22.5,29278.0
KKR,2018-05-22 18:00:00+00:00,22.5,22.59,22.47,22.57,33136.0
KKR,2018-05-22 19:00:00+00:00,22.58,22.645,22.57,22.57,86070.0
KKR,2018-05-23 13:00:00+00:00,22.49,22.56,22.44,22.48,22276.0
KKR,2018-05-23 14:00:00+00:00,22.49,22.51,22.26,22.29,55363.0
KKR,2018-05-23 15:00:00+00:00,22.32,22.35,22.25,22.27,15229.0
KKR,2018-05-23 16:00:00+00:00,22.25,22.33,22.22,22.28,13175.0
KKR,2018-05-23 17:00:00+00:00,22.26,22.26,22.11,22.22,14509.0
KKR,2018-05-23 18:00:00+00:00,22.22,22.26,22.19,22.24,13290.0
KKR,2018-05-23 19:00:00+00:00,22.26,22.305,22.26,22.29,51669.0
KKR,2018-05-24 13:00:00+00:00,22.25,22.34,22.19,22.19,10958.0
KKR,2018-05-24 14:00:00+00:00,22.17,22.21,22.08,22.09,16516.0
KKR,2018-05-24 15:00:00+00:00,22.085,22.27,22.06,22.27,27903.0
KKR,2018-05-24 16:00:00+00:00,22.29,22.44,22.25,22.43,16413.0
KKR,2018-05-24 17:00:00+00:00,22.44,22.46,22.395,22.43,11229.0
KKR,2018-05-24 18:00:00+00:00,22.43,22.51,22.41,22.51,17032.0
KKR,2018-05-24 19:00:00+00:00,22.52,22.57,22.5,22.51,45607.0
KKR,2018-05-25 13:00:00+00:00,22.45,22.45,22.335,22.38,7344.0
KKR,2018-05-25 14:00:00+00:00,22.375,22.53,22.375,22.45,12903.0
KKR,2018-05-25 15:00:00+00:00,22.44,22.64,22.44,22.575,19820.0
KKR,2018-05-25 16:00:00+00:00,22.57,22.57,22.45,22.46,14504.0
KKR,2018-05-25 17:00:00+00:00,22.455,22.47,22.385,22.4,15607.0
KKR,2018-05-25 18:00:00+00:00,22.4,22.5,22.395,22.495,30650.0
KKR,2018-05-25 19:00:00+00:00,22.49,22.5,22.45,22.48,29498.0
KKR,2018-05-29 11:00:00+00:00,22.0,22.0,22.0,22.0,500.0
KKR,2018-05-29 13:00:00+00:00,22.18,22.22,21.91,22.08,20060.0
KKR,2018-05-29 14:00:00+00:00,22.08,22.12,21.94,21.94,42532.0
KKR,2018-05-29 15:00:00+00:00,21.93,21.94,21.815,21.85,46964.0
KKR,2018-05-29 16:00:00+00:00,21.83,21.925,21.765,21.9,36196.0
KKR,2018-05-29 17:00:00+00:00,21.9,21.9,21.78,21.81,34342.0
KKR,2018-05-29 18:00:00+00:00,21.805,21.87,21.745,21.75,40089.0
KKR,2018-05-29 19:00:00+00:00,21.74,21.92,21.65,21.91,98047.0
KKR,2018-05-30 13:00:00+00:00,22.11,22.17,21.95,22.01,15680.0
KKR,2018-05-30 14:00:00+00:00,22.01,22.1,21.98,22.04,16221.0
