symbol,ts,open,high,low,close,volume
KLAC,2018-05-01 13:00:00+00:00,101.65,102.01,100.67,101.72,42317.0
KLAC,2018-05-01 14:00:00+00:00,101.58,101.7,100.84,100.85,52566.0
KLAC,2018-05-01 15:00:00+00:00,100.81,101.62,100.4,101.15,43341.0
KLAC,2018-05-01 16:00:00+00:00,101.21,101.48,100.8,101.37,31649.0
KLAC,2018-05-01 17:00:00+00:00,101.38,102.18,101.21,102.07,37516.0
KLAC,2018-05-01 18:00:00+00:00,102.01,102.11,101.79,101.88,47671.0
KLAC,2018-05-01 19:00:00+00:00,101.93,102.62,101.69,102.33,140150.0
KLAC,2018-05-01 20:00:00+00:00,102.33,102.35,102.33,102.35,106414.0
KLAC,2018-05-02 13:00:00+00:00,102.17,103.77,102.16,103.12,48831.0
KLAC,2018-05-02 14:00:00+00:00,103.07,103.77,102.57,102.83,42375.0
KLAC,2018-05-02 15:00:00+00:00,102.79,103.1,102.01,102.12,30012.0
KLAC,2018-05-02 16:00:00+00:00,102.13,102.51,101.87,102.28,40279.0
KLAC,2018-05-02 17:00:00+00:00,102.36,102.63,102.16,102.47,23938.0
KLAC,2018-05-02 18:00:00+00:00,102.39,103.29,102.3,102.55,30852.0
KLAC,2018-05-02 19:00:00+00:00,102.58,102.89,102.0,102.18,97278.0
KLAC,2018-05-02 20:00:00+00:00,102.17,102.17,102.14,102.14,168401.0
KLAC,2018-05-03 13:00:00+00:00,101.47,102.42,100.91,102.42,41120.0
KLAC,2018-05-03 14:00:00+00:00,102.47,102.5,100.47,100.53,58228.0
KLAC,2018-05-03 15:00:00+00:00,100.58,101.33,100.47,101.23,57184.0
KLAC,2018-05-03 16:00:00+00:00,101.225,102.69,100.91,102.6,40358.0
KLAC,2018-05-03 17:00:00+00:00,102.67,102.96,102.17,102.66,33542.0
KLAC,2018-05-03 18:00:00+00:00,102.6,103.35,102.12,102.72,45522.0
KLAC,2018-05-03 19:00:00+00:00,102.74,103.13,102.64,102.99,136339.0
KLAC,2018-05-03 20:00:00+00:00,102.99,103.01,102.95,103.01,104435.0
KLAC,2018-05-04 13:00:00+00:00,103.42,103.88,101.85,103.6,40892.0
KLAC,2018-05-04 14:00:00+00:00,103.6,104.56,103.11,104.35,61646.0
KLAC,2018-05-04 15:00:00+00:00,104.4,105.37,104.4,105.21,62536.0
KLAC,2018-05-04 16:00:00+00:00,105.15,105.415,104.91,105.34,20487.0
KLAC,2018-05-04 17:00:00+00:00,105.26,106.22,105.25,106.12,44327.0
KLAC,2018-05-04 18:00:00+00:00,106.09,106.65,106.05,106.38,40501.0
KLAC,2018-05-04 19:00:00+00:00,106.37,106.72,106.3,106.65,129540.0
KLAC,2018-05-04 20:00:00+00:00,106.66,107.25,106.61,107.25,113202.0
KLAC,2018-05-07 13:00:00+00:00,107.0,107.08,106.47,106.68,35826.0
KLAC,2018-05-07 14:00:00+00:00,106.63,107.16,106.11,106.67,38370.0
KLAC,2018-05-07 15:00:00+00:00,106.59,106.75,106.23,106.6,36314.0
KLAC,2018-05-07 16:00:00+00:00,106.65,106.79,106.28,106.63,28395.0
KLAC,2018-05-07 17:00:00+00:00,106.64,106.84,106.43,106.79,22785.0
KLAC,2018-05-07 18:00:00+00:00,106.79,107.25,106.61,106.83,32226.0
KLAC,2018-05-07 19:00:00+00:00,106.83,106.94,106.29,106.7,117722.0
KLAC,2018-05-07 20:00:00+00:00,106.71,106.71,106.71,106.71,179196.0
KLAC,2018-05-08 13:00:00+00:00,105.48,106.5,105.41,105.85,55846.0
KLAC,2018-05-08 14:00:00+00:00,105.96,106.88,105.94,106.5,31931.0
KLAC,2018-05-08 15:00:00+00:00,106.48,107.19,106.23,107.0,21670.0
KLAC,2018-05-08 16:00:00+00:00,107.02,107.1,106.53,106.67,16248.0
KLAC,2018-05-08 17:00:00+00:00,106.72,107.12,106.34,106.34,14224.0
KLAC,2018-05-08 18:00:00+00:00,106.4,107.21,106.22,106.41,26656.0
KLAC,2018-05-08 19:00:00+00:00,106.38,106.94,106.23,106.91,63540.0
KLAC,2018-05-08 20:00:00+00:00,106.9,106.92,106.9,106.92,352808.0
KLAC,2018-05-09 13:00:00+00:00,107.36,108.05,107.1,107.6,28984.0
KLAC,2018-05-09 14:00:00+00:00,107.53,108.3,107.24,107.32,32302.0
KLAC,2018-05-09 15:00:00+00:00,107.33,108.16,107.24,108.16,27945.0
KLAC,2018-05-09 16:00:00+00:00,108.17,108.54,107.9,108.4,25164.0
KLAC,2018-05-09 17:00:00+00:00,108.41,109.04,108.4,108.96,25699.0
KLAC,2018-05-09 18:00:00+00:00,108.95,109.04,108.66,108.81,27169.0
KLAC,2018-05-09 19:00:00+00:00,108.81,109.22,108.66,109.17,88919.0
KLAC,2018-05-09 20:00:00+00:00,109.17,109.18,109.14,109.18,311481.0
KLAC,2018-05-09 22:00:00+00:00,109.17,109.17,109.17,109.17,17.0
KLAC,2018-05-10 13:00:00+00:00,109.86,109.98,109.26,109.52,15826.0
KLAC,2018-05-10 14:00:00+00:00,109.58,109.74,109.2,109.36,15041.0
