symbol,ts,open,high,low,close,volume
KMB,2018-05-01 13:00:00+00:00,102.97,103.2,102.73,103.06,19945.0
KMB,2018-05-01 14:00:00+00:00,103.02,103.13,102.18,102.29,61692.0
KMB,2018-05-01 15:00:00+00:00,102.26,102.77,102.05,102.76,30045.0
KMB,2018-05-01 16:00:00+00:00,102.77,103.14,102.71,102.96,36519.0
KMB,2018-05-01 17:00:00+00:00,102.96,103.28,102.69,103.19,35885.0
KMB,2018-05-01 18:00:00+00:00,103.18,103.46,102.92,103.44,36233.0
KMB,2018-05-01 19:00:00+00:00,103.43,103.61,103.11,103.21,60154.0
KMB,2018-05-02 13:00:00+00:00,102.78,103.04,102.08,102.15,14224.0
KMB,2018-05-02 14:00:00+00:00,102.17,102.36,101.89,102.19,42457.0
KMB,2018-05-02 15:00:00+00:00,102.11,102.17,101.67,101.79,52678.0
KMB,2018-05-02 16:00:00+00:00,101.77,102.19,101.73,101.9,54350.0
KMB,2018-05-02 17:00:00+00:00,101.89,101.93,101.33,101.64,44256.0
KMB,2018-05-02 18:00:00+00:00,101.66,101.83,101.21,101.48,37643.0
KMB,2018-05-02 19:00:00+00:00,101.46,101.57,100.77,101.11,104985.0
KMB,2018-05-03 13:00:00+00:00,101.31,102.04,101.08,101.69,17355.0
KMB,2018-05-03 14:00:00+00:00,101.73,102.42,101.63,102.01,33680.0
KMB,2018-05-03 15:00:00+00:00,102.05,102.75,101.79,102.69,31120.0
KMB,2018-05-03 16:00:00+00:00,102.75,102.9,102.28,102.84,29984.0
KMB,2018-05-03 17:00:00+00:00,102.85,103.28,102.74,103.02,30004.0
KMB,2018-05-03 18:00:00+00:00,102.99,103.01,102.35,102.48,40939.0
KMB,2018-05-03 19:00:00+00:00,102.49,102.63,102.26,102.36,71013.0
KMB,2018-05-04 13:00:00+00:00,102.48,103.72,102.31,103.72,11373.0
KMB,2018-05-04 14:00:00+00:00,103.71,104.14,103.64,103.66,32990.0
KMB,2018-05-04 15:00:00+00:00,103.69,103.96,103.55,103.7,12000.0
KMB,2018-05-04 16:00:00+00:00,103.7,103.99,103.58,103.94,13828.0
KMB,2018-05-04 17:00:00+00:00,103.96,104.01,103.67,103.71,11379.0
KMB,2018-05-04 18:00:00+00:00,103.685,104.02,103.61,103.92,18897.0
KMB,2018-05-04 19:00:00+00:00,103.9,103.97,103.5,103.74,42018.0
KMB,2018-05-07 13:00:00+00:00,103.925,104.24,103.85,103.85,5636.0
KMB,2018-05-07 14:00:00+00:00,103.875,103.875,102.74,102.91,17245.0
KMB,2018-05-07 15:00:00+00:00,102.97,103.2,102.9,103.1,15616.0
KMB,2018-05-07 16:00:00+00:00,103.1,103.24,102.94,103.17,13083.0
KMB,2018-05-07 17:00:00+00:00,103.13,103.26,103.06,103.2,16184.0
KMB,2018-05-07 18:00:00+00:00,103.22,103.55,103.17,103.18,29530.0
KMB,2018-05-07 19:00:00+00:00,103.19,103.23,102.51,103.14,66977.0
KMB,2018-05-08 13:00:00+00:00,103.13,103.59,102.76,102.84,18182.0
KMB,2018-05-08 14:00:00+00:00,102.83,103.02,102.47,102.94,19910.0
KMB,2018-05-08 15:00:00+00:00,102.92,103.01,102.63,102.63,16211.0
KMB,2018-05-08 16:00:00+00:00,102.68,102.75,102.55,102.64,19621.0
KMB,2018-05-08 17:00:00+00:00,102.66,102.66,102.25,102.29,35493.0
KMB,2018-05-08 18:00:00+00:00,102.32,102.41,101.72,101.84,61146.0
KMB,2018-05-08 19:00:00+00:00,101.86,102.08,101.76,101.83,99756.0
KMB,2018-05-09 13:00:00+00:00,102.49,103.43,102.49,103.01,11173.0
KMB,2018-05-09 14:00:00+00:00,102.96,103.01,101.83,101.87,27376.0
KMB,2018-05-09 15:00:00+00:00,101.93,102.42,101.62,101.89,23766.0
KMB,2018-05-09 16:00:00+00:00,101.92,102.8,101.83,102.68,18421.0
KMB,2018-05-09 17:00:00+00:00,102.75,103.01,102.635,102.89,24558.0
