symbol,ts,open,high,low,close,volume
KMI,2018-05-01 13:00:00+00:00,15.8,15.93,15.8,15.86,59956.0
KMI,2018-05-01 14:00:00+00:00,15.86,15.91,15.815,15.815,95944.0
KMI,2018-05-01 15:00:00+00:00,15.815,15.93,15.79,15.895,117954.0
KMI,2018-05-01 16:00:00+00:00,15.895,15.935,15.88,15.91,115677.0
KMI,2018-05-01 17:00:00+00:00,15.905,15.93,15.86,15.915,79160.0
KMI,2018-05-01 18:00:00+00:00,15.92,15.995,15.91,15.985,63418.0
KMI,2018-05-01 19:00:00+00:00,15.98,16.005,15.93,15.99,204555.0
KMI,2018-05-02 13:00:00+00:00,15.96,16.08,15.91,15.91,75239.0
KMI,2018-05-02 14:00:00+00:00,15.905,16.065,15.9,16.055,215129.0
KMI,2018-05-02 15:00:00+00:00,16.055,16.095,16.03,16.035,98583.0
KMI,2018-05-02 16:00:00+00:00,16.035,16.065,16.005,16.025,71945.0
KMI,2018-05-02 17:00:00+00:00,16.025,16.15,16.01,16.11,123229.0
KMI,2018-05-02 18:00:00+00:00,16.1,16.19,16.1,16.155,132945.0
KMI,2018-05-02 19:00:00+00:00,16.155,16.21,16.14,16.165,321684.0
KMI,2018-05-02 20:00:00+00:00,16.16,16.25,16.16,16.25,5120.0
KMI,2018-05-03 12:00:00+00:00,16.16,16.17,16.16,16.16,34990.0
KMI,2018-05-03 13:00:00+00:00,16.16,16.21,16.055,16.19,178033.0
KMI,2018-05-03 14:00:00+00:00,16.19,16.19,15.91,15.92,252506.0
KMI,2018-05-03 15:00:00+00:00,15.93,15.95,15.775,15.795,248038.0
KMI,2018-05-03 16:00:00+00:00,15.8,15.85,15.73,15.85,223337.0
KMI,2018-05-03 17:00:00+00:00,15.85,15.885,15.8,15.83,149660.0
KMI,2018-05-03 18:00:00+00:00,15.82,15.87,15.76,15.795,181715.0
KMI,2018-05-03 19:00:00+00:00,15.8,15.84,15.69,15.82,321118.0
KMI,2018-05-03 20:00:00+00:00,15.8,15.8,15.8,15.8,32397.0
KMI,2018-05-03 21:00:00+00:00,15.9,15.9,15.9,15.9,2.0
KMI,2018-05-04 13:00:00+00:00,15.79,16.015,15.75,15.89,110432.0
