symbol,ts,open,high,low,close,volume
KO,2018-05-01 11:00:00+00:00,43.2,43.2,43.2,43.2,1.0
KO,2018-05-01 13:00:00+00:00,42.98,43.0,42.63,42.69,150546.0
KO,2018-05-01 14:00:00+00:00,42.69,42.71,42.355,42.37,217693.0
KO,2018-05-01 15:00:00+00:00,42.37,42.495,42.295,42.36,112266.0
KO,2018-05-01 16:00:00+00:00,42.37,42.425,42.29,42.3,123289.0
KO,2018-05-01 17:00:00+00:00,42.3,42.36,42.185,42.33,133247.0
KO,2018-05-01 18:00:00+00:00,42.33,42.405,42.31,42.375,94712.0
KO,2018-05-01 19:00:00+00:00,42.375,42.62,42.315,42.58,281807.0
KO,2018-05-01 20:00:00+00:00,42.59,42.63,42.59,42.63,14.0
KO,2018-05-01 21:00:00+00:00,42.65,42.65,42.65,42.65,100.0
KO,2018-05-02 08:00:00+00:00,42.51,42.51,42.51,42.51,174.0
KO,2018-05-02 09:00:00+00:00,42.51,42.51,42.51,42.51,15.0
KO,2018-05-02 11:00:00+00:00,42.57,42.57,42.57,42.57,500.0
KO,2018-05-02 13:00:00+00:00,42.5,42.58,42.23,42.25,144069.0
KO,2018-05-02 14:00:00+00:00,42.25,42.37,42.12,42.19,157808.0
KO,2018-05-02 15:00:00+00:00,42.19,42.2,42.035,42.09,116892.0
KO,2018-05-02 16:00:00+00:00,42.09,42.205,42.06,42.15,134243.0
KO,2018-05-02 17:00:00+00:00,42.15,42.18,42.1,42.16,64439.0
KO,2018-05-02 18:00:00+00:00,42.17,42.29,42.045,42.07,125477.0
KO,2018-05-02 19:00:00+00:00,42.065,42.085,41.95,42.055,497005.0
KO,2018-05-02 20:00:00+00:00,42.06,42.06,42.06,42.06,18.0
KO,2018-05-03 09:00:00+00:00,42.38,42.38,42.38,42.38,4.0
KO,2018-05-03 12:00:00+00:00,42.25,42.25,42.25,42.25,24.0
KO,2018-05-03 13:00:00+00:00,42.14,42.39,41.97,42.02,148528.0
KO,2018-05-03 14:00:00+00:00,42.01,42.01,41.58,41.625,392361.0
KO,2018-05-03 15:00:00+00:00,41.63,41.765,41.53,41.7,249883.0
KO,2018-05-03 16:00:00+00:00,41.7,41.86,41.61,41.86,164295.0
KO,2018-05-03 17:00:00+00:00,41.85,41.98,41.73,41.92,176113.0
KO,2018-05-03 18:00:00+00:00,41.92,41.93,41.765,41.8,182422.0
KO,2018-05-03 19:00:00+00:00,41.805,41.905,41.75,41.88,259762.0
KO,2018-05-03 20:00:00+00:00,41.99,42.0,41.98,42.0,3530.0
KO,2018-05-04 10:00:00+00:00,41.89,41.89,41.89,41.89,1.0
KO,2018-05-04 13:00:00+00:00,41.9,42.14,41.79,42.05,105948.0
KO,2018-05-04 14:00:00+00:00,42.05,42.35,42.03,42.26,117669.0
KO,2018-05-04 15:00:00+00:00,42.26,42.295,42.17,42.23,88344.0
KO,2018-05-04 16:00:00+00:00,42.22,42.285,42.18,42.24,98846.0
KO,2018-05-04 17:00:00+00:00,42.25,42.365,42.25,42.33,57160.0
KO,2018-05-04 18:00:00+00:00,42.33,42.49,42.3,42.445,90334.0
KO,2018-05-04 19:00:00+00:00,42.45,42.485,42.3,42.36,201371.0
KO,2018-05-04 21:00:00+00:00,42.38,42.44,42.38,42.44,2035.0
KO,2018-05-07 11:00:00+00:00,42.4,42.4,42.4,42.4,72.0
KO,2018-05-07 12:00:00+00:00,42.49,42.49,42.49,42.49,6.0
KO,2018-05-07 13:00:00+00:00,42.44,42.445,42.22,42.445,73031.0
KO,2018-05-07 14:00:00+00:00,42.45,42.49,42.22,42.235,164447.0
KO,2018-05-07 15:00:00+00:00,42.24,42.27,42.1,42.12,104087.0
KO,2018-05-07 16:00:00+00:00,42.11,42.195,42.085,42.1,60536.0
KO,2018-05-07 17:00:00+00:00,42.11,42.19,42.095,42.16,46759.0
KO,2018-05-07 18:00:00+00:00,42.16,42.25,42.13,42.14,84225.0
KO,2018-05-07 19:00:00+00:00,42.14,42.14,41.97,42.13,256315.0
KO,2018-05-07 20:00:00+00:00,42.17,42.17,42.02,42.09,145.0
KO,2018-05-08 08:00:00+00:00,42.0,42.0,42.0,42.0,50.0
KO,2018-05-08 10:00:00+00:00,41.95,41.95,41.95,41.95,50.0
KO,2018-05-08 13:00:00+00:00,42.03,42.09,41.71,41.74,116882.0
KO,2018-05-08 14:00:00+00:00,41.73,41.97,41.715,41.78,235845.0
KO,2018-05-08 15:00:00+00:00,41.775,42.01,41.74,41.845,165986.0
KO,2018-05-08 16:00:00+00:00,41.845,41.925,41.82,41.86,67295.0
KO,2018-05-08 17:00:00+00:00,41.865,41.915,41.835,41.895,60292.0
KO,2018-05-08 18:00:00+00:00,41.895,41.91,41.69,41.73,166652.0
KO,2018-05-08 19:00:00+00:00,41.73,41.84,41.71,41.82,194968.0
KO,2018-05-08 20:00:00+00:00,41.88,41.88,41.88,41.88,4.0
KO,2018-05-08 21:00:00+00:00,41.77,41.77,41.77,41.77,62.0
KO,2018-05-08 23:00:00+00:00,41.81,41.81,41.81,41.81,7.0
