symbol,ts,open,high,low,close,volume
KR,2018-05-01 13:00:00+00:00,25.05,25.3,25.01,25.1,67955.0
KR,2018-05-01 14:00:00+00:00,25.09,25.09,24.765,24.83,86408.0
KR,2018-05-01 15:00:00+00:00,24.82,24.915,24.64,24.64,167730.0
KR,2018-05-01 16:00:00+00:00,24.65,24.78,24.59,24.6,185997.0
KR,2018-05-01 17:00:00+00:00,24.58,24.6,24.31,24.565,167982.0
KR,2018-05-01 18:00:00+00:00,24.57,24.76,24.55,24.745,153743.0
KR,2018-05-01 19:00:00+00:00,24.75,24.79,24.7,24.76,172316.0
KR,2018-05-01 21:00:00+00:00,24.76,24.76,24.32,24.32,201.0
KR,2018-05-02 12:00:00+00:00,24.69,24.69,24.43,24.43,300.0
KR,2018-05-02 13:00:00+00:00,24.43,24.43,23.62,23.98,291035.0
KR,2018-05-02 14:00:00+00:00,23.97,24.475,23.95,24.37,193215.0
KR,2018-05-02 15:00:00+00:00,24.365,24.48,24.28,24.33,112369.0
KR,2018-05-02 16:00:00+00:00,24.32,24.46,24.29,24.425,98041.0
KR,2018-05-02 17:00:00+00:00,24.425,24.66,24.425,24.63,107286.0
KR,2018-05-02 18:00:00+00:00,24.64,24.79,24.565,24.625,125025.0
KR,2018-05-02 19:00:00+00:00,24.63,24.69,24.47,24.55,169448.0
KR,2018-05-03 13:00:00+00:00,24.45,24.45,23.95,24.31,105237.0
KR,2018-05-03 14:00:00+00:00,24.31,24.31,23.73,23.77,245125.0
KR,2018-05-03 15:00:00+00:00,23.77,23.88,23.76,23.88,157654.0
KR,2018-05-03 16:00:00+00:00,23.89,24.07,23.83,24.07,106960.0
KR,2018-05-03 17:00:00+00:00,24.07,24.095,23.95,24.01,101610.0
KR,2018-05-03 18:00:00+00:00,24.01,24.07,23.92,23.97,118132.0
KR,2018-05-03 19:00:00+00:00,23.975,24.095,23.86,23.875,274497.0
KR,2018-05-03 20:00:00+00:00,23.87,23.87,23.87,23.87,50.0
KR,2018-05-04 13:00:00+00:00,23.8,24.24,23.78,24.145,93225.0
KR,2018-05-04 14:00:00+00:00,24.15,24.24,24.045,24.12,112752.0
KR,2018-05-04 15:00:00+00:00,24.12,24.285,24.07,24.255,86077.0
KR,2018-05-04 16:00:00+00:00,24.26,24.27,24.095,24.215,63189.0
KR,2018-05-04 17:00:00+00:00,24.215,24.29,24.195,24.26,42676.0
KR,2018-05-04 18:00:00+00:00,24.27,24.385,24.27,24.275,63570.0
KR,2018-05-04 19:00:00+00:00,24.28,24.285,24.125,24.145,110502.0
KR,2018-05-07 13:00:00+00:00,24.2,24.43,24.05,24.38,60606.0
KR,2018-05-07 14:00:00+00:00,24.38,24.485,24.22,24.22,100605.0
KR,2018-05-07 15:00:00+00:00,24.2,24.28,24.145,24.155,75307.0
KR,2018-05-07 16:00:00+00:00,24.155,24.155,24.05,24.08,65287.0
KR,2018-05-07 17:00:00+00:00,24.07,24.105,24.04,24.075,60159.0
KR,2018-05-07 18:00:00+00:00,24.065,24.16,23.95,23.955,117716.0
KR,2018-05-07 19:00:00+00:00,23.95,24.005,23.89,23.98,212723.0
KR,2018-05-08 13:00:00+00:00,24.08,24.17,23.95,24.15,55157.0
KR,2018-05-08 14:00:00+00:00,24.15,24.25,24.13,24.13,61268.0
KR,2018-05-08 15:00:00+00:00,24.12,24.15,23.99,23.99,61533.0
KR,2018-05-08 16:00:00+00:00,23.99,24.04,23.88,23.92,66110.0
KR,2018-05-08 17:00:00+00:00,23.92,24.015,23.92,24.0,50235.0
KR,2018-05-08 18:00:00+00:00,24.0,24.015,23.895,23.975,66089.0
KR,2018-05-08 19:00:00+00:00,23.975,24.135,23.94,24.09,140108.0
