symbol,ts,open,high,low,close,volume
L,2018-05-01 13:00:00+00:00,52.02,52.23,52.02,52.18,6620.0
L,2018-05-01 14:00:00+00:00,52.17,52.24,52.04,52.08,16133.0
L,2018-05-01 15:00:00+00:00,52.09,52.15,51.99,51.99,12690.0
L,2018-05-01 16:00:00+00:00,51.99,52.15,51.93,52.09,19566.0
L,2018-05-01 17:00:00+00:00,52.08,52.26,51.97,52.26,18802.0
L,2018-05-01 18:00:00+00:00,52.28,52.5,52.28,52.49,28808.0
L,2018-05-01 19:00:00+00:00,52.49,52.52,52.215,52.44,56305.0
L,2018-05-02 13:00:00+00:00,52.25,52.27,51.55,51.56,13565.0
L,2018-05-02 14:00:00+00:00,51.56,51.67,51.03,51.13,29780.0
L,2018-05-02 15:00:00+00:00,51.13,51.33,51.1,51.22,19145.0
L,2018-05-02 16:00:00+00:00,51.21,51.41,51.18,51.39,19174.0
L,2018-05-02 17:00:00+00:00,51.4,51.59,51.4,51.52,21221.0
L,2018-05-02 18:00:00+00:00,51.51,51.54,51.41,51.41,30204.0
L,2018-05-02 19:00:00+00:00,51.42,51.43,51.05,51.1,80366.0
L,2018-05-03 13:00:00+00:00,50.78,50.82,50.55,50.73,30296.0
L,2018-05-03 14:00:00+00:00,50.73,50.73,49.95,50.03,59918.0
L,2018-05-03 15:00:00+00:00,50.04,50.12,49.78,50.01,48987.0
L,2018-05-03 16:00:00+00:00,50.01,50.41,49.98,50.41,47066.0
L,2018-05-03 17:00:00+00:00,50.41,50.54,50.12,50.44,58652.0
L,2018-05-03 18:00:00+00:00,50.43,50.58,50.35,50.38,49999.0
L,2018-05-03 19:00:00+00:00,50.405,50.5,50.31,50.44,97767.0
L,2018-05-04 13:00:00+00:00,50.24,50.35,50.08,50.33,13421.0
L,2018-05-04 14:00:00+00:00,50.33,50.83,50.29,50.78,28232.0
L,2018-05-04 15:00:00+00:00,50.78,50.88,50.69,50.83,20333.0
L,2018-05-04 16:00:00+00:00,50.845,50.93,50.77,50.91,25261.0
L,2018-05-04 17:00:00+00:00,50.91,51.04,50.91,51.02,18720.0
L,2018-05-04 18:00:00+00:00,51.025,51.2,51.01,51.09,39131.0
L,2018-05-04 19:00:00+00:00,51.08,51.12,50.9,50.98,53162.0
L,2018-05-07 13:00:00+00:00,51.0,51.05,50.87,50.99,4899.0
L,2018-05-07 14:00:00+00:00,51.045,51.19,50.91,51.19,16264.0
L,2018-05-07 15:00:00+00:00,51.19,51.19,51.07,51.16,11607.0
L,2018-05-07 16:00:00+00:00,51.165,51.2,51.1,51.18,14759.0
L,2018-05-07 17:00:00+00:00,51.18,51.27,51.17,51.25,9482.0
L,2018-05-07 18:00:00+00:00,51.255,51.37,51.19,51.2,14290.0
L,2018-05-07 19:00:00+00:00,51.19,51.26,51.08,51.18,34698.0
L,2018-05-08 13:00:00+00:00,51.26,51.34,51.13,51.25,4831.0
L,2018-05-08 14:00:00+00:00,51.25,51.34,51.17,51.29,19432.0
L,2018-05-08 15:00:00+00:00,51.27,51.43,51.09,51.09,25273.0
L,2018-05-08 16:00:00+00:00,51.07,51.42,51.02,51.05,28358.0
L,2018-05-08 17:00:00+00:00,51.05,51.14,51.05,51.06,18322.0
L,2018-05-08 18:00:00+00:00,51.07,51.13,50.87,50.98,38354.0
L,2018-05-08 19:00:00+00:00,50.99,51.27,50.94,51.24,78599.0
L,2018-05-09 13:00:00+00:00,51.56,51.66,51.4,51.43,4712.0
L,2018-05-09 14:00:00+00:00,51.37,51.5,51.28,51.28,18193.0
L,2018-05-09 15:00:00+00:00,51.29,51.37,51.21,51.33,12679.0
L,2018-05-09 16:00:00+00:00,51.33,51.54,51.33,51.47,16257.0
L,2018-05-09 17:00:00+00:00,51.48,51.66,51.47,51.63,21828.0
L,2018-05-09 18:00:00+00:00,51.65,51.68,51.56,51.59,22814.0
L,2018-05-09 19:00:00+00:00,51.59,51.63,51.48,51.61,52710.0
L,2018-05-10 13:00:00+00:00,51.55,51.6,51.42,51.55,4923.0
L,2018-05-10 14:00:00+00:00,51.56,51.73,51.47,51.66,8491.0
L,2018-05-10 15:00:00+00:00,51.68,51.86,51.68,51.8,52008.0
L,2018-05-10 16:00:00+00:00,51.8,51.89,51.79,51.89,21888.0
L,2018-05-10 17:00:00+00:00,51.9,51.92,51.7,51.75,13362.0
L,2018-05-10 18:00:00+00:00,51.75,51.87,51.69,51.86,11967.0
L,2018-05-10 19:00:00+00:00,51.865,51.89,51.79,51.86,35057.0
