symbol,ts,open,high,low,close,volume
LEN,2018-05-01 13:00:00+00:00,52.81,53.36,52.58,53.21,32511.0
LEN,2018-05-01 14:00:00+00:00,53.21,53.21,52.63,52.63,84614.0
LEN,2018-05-01 15:00:00+00:00,52.62,53.3,52.47,53.04,105969.0
LEN,2018-05-01 16:00:00+00:00,53.04,53.53,53.02,53.46,127365.0
LEN,2018-05-01 17:00:00+00:00,53.455,54.13,53.39,54.04,174069.0
LEN,2018-05-01 18:00:00+00:00,54.045,54.515,53.985,54.27,163209.0
LEN,2018-05-01 19:00:00+00:00,54.27,54.43,53.84,53.91,267378.0
LEN,2018-05-02 13:00:00+00:00,53.83,53.89,53.13,53.13,32544.0
LEN,2018-05-02 14:00:00+00:00,53.145,54.02,53.145,54.01,68908.0
LEN,2018-05-02 15:00:00+00:00,54.02,54.03,53.54,53.59,43988.0
LEN,2018-05-02 16:00:00+00:00,53.58,53.8,53.57,53.68,29274.0
LEN,2018-05-02 17:00:00+00:00,53.69,53.99,53.62,53.8,34296.0
LEN,2018-05-02 18:00:00+00:00,53.79,54.29,53.73,53.74,60331.0
LEN,2018-05-02 19:00:00+00:00,53.73,53.74,53.16,53.24,141042.0
LEN,2018-05-03 13:00:00+00:00,53.26,53.59,53.04,53.59,27391.0
LEN,2018-05-03 14:00:00+00:00,53.6,53.6,52.64,52.87,68759.0
LEN,2018-05-03 15:00:00+00:00,52.87,53.37,52.73,53.11,80820.0
LEN,2018-05-03 16:00:00+00:00,53.11,53.39,52.76,53.39,55031.0
LEN,2018-05-03 17:00:00+00:00,53.39,53.61,53.06,53.51,60702.0
LEN,2018-05-03 18:00:00+00:00,53.5,53.65,53.33,53.47,54155.0
LEN,2018-05-03 19:00:00+00:00,53.49,53.75,53.45,53.61,107639.0
LEN,2018-05-04 13:00:00+00:00,53.41,53.97,52.9,53.925,42337.0
LEN,2018-05-04 14:00:00+00:00,53.91,54.33,53.745,54.17,71441.0
LEN,2018-05-04 15:00:00+00:00,54.17,54.47,53.97,54.34,63350.0
LEN,2018-05-04 16:00:00+00:00,54.33,54.55,54.23,54.3,37411.0
LEN,2018-05-04 17:00:00+00:00,54.31,54.65,54.21,54.64,44219.0
LEN,2018-05-04 18:00:00+00:00,54.65,54.9,54.48,54.52,128466.0
LEN,2018-05-04 19:00:00+00:00,54.52,54.63,54.385,54.43,143669.0
LEN,2018-05-07 13:00:00+00:00,54.6,54.73,54.25,54.63,15948.0
LEN,2018-05-07 14:00:00+00:00,54.62,54.76,54.03,54.18,44315.0
LEN,2018-05-07 15:00:00+00:00,54.17,54.38,54.14,54.3,36134.0
LEN,2018-05-07 16:00:00+00:00,54.31,54.31,54.13,54.26,25450.0
LEN,2018-05-07 17:00:00+00:00,54.26,54.4,54.2,54.33,21799.0
LEN,2018-05-07 18:00:00+00:00,54.29,54.46,54.19,54.2,25613.0
LEN,2018-05-07 19:00:00+00:00,54.2,54.31,54.07,54.31,62951.0
LEN,2018-05-08 13:00:00+00:00,54.31,54.61,54.19,54.52,22773.0
LEN,2018-05-08 14:00:00+00:00,54.5,54.67,54.34,54.38,28353.0
LEN,2018-05-08 15:00:00+00:00,54.37,54.46,54.2,54.27,43395.0
LEN,2018-05-08 16:00:00+00:00,54.25,54.28,53.96,54.08,30387.0
LEN,2018-05-08 17:00:00+00:00,54.13,54.38,54.02,54.31,33082.0
LEN,2018-05-08 18:00:00+00:00,54.34,54.49,53.94,54.12,63119.0
LEN,2018-05-08 19:00:00+00:00,54.12,54.49,54.08,54.46,70670.0
LEN,2018-05-09 13:00:00+00:00,55.37,55.38,53.74,53.89,24483.0
LEN,2018-05-09 14:00:00+00:00,53.85,53.85,53.04,53.2,69456.0
LEN,2018-05-09 15:00:00+00:00,53.21,53.59,53.09,53.37,41519.0
LEN,2018-05-09 16:00:00+00:00,53.4,54.13,53.4,54.09,31608.0
LEN,2018-05-09 17:00:00+00:00,54.12,54.29,54.04,54.25,33661.0
LEN,2018-05-09 18:00:00+00:00,54.24,54.24,54.09,54.09,25954.0
LEN,2018-05-09 19:00:00+00:00,54.08,54.08,53.52,53.61,92058.0
LEN,2018-05-10 13:00:00+00:00,53.97,54.51,53.97,54.31,22221.0
LEN,2018-05-10 14:00:00+00:00,54.35,54.35,53.83,53.99,49262.0
LEN,2018-05-10 15:00:00+00:00,53.99,54.08,53.73,54.03,27971.0
LEN,2018-05-10 16:00:00+00:00,54.04,54.35,54.04,54.24,24280.0
LEN,2018-05-10 17:00:00+00:00,54.24,54.24,54.0,54.09,32426.0
LEN,2018-05-10 18:00:00+00:00,54.09,54.26,53.97,54.26,64001.0
LEN,2018-05-10 19:00:00+00:00,54.27,54.29,54.05,54.18,89968.0
LEN,2018-05-11 13:00:00+00:00,54.28,54.85,54.23,54.64,19434.0
LEN,2018-05-11 14:00:00+00:00,54.64,55.12,54.64,54.83,51248.0
LEN,2018-05-11 15:00:00+00:00,54.83,54.84,54.48,54.56,17653.0
LEN,2018-05-11 16:00:00+00:00,54.54,54.63,54.45,54.56,23283.0
LEN,2018-05-11 17:00:00+00:00,54.545,54.57,54.25,54.36,30540.0
LEN,2018-05-11 18:00:00+00:00,54.34,54.38,54.2,54.37,24237.0
LEN,2018-05-11 19:00:00+00:00,54.36,54.5,54.22,54.295,61242.0
LEN,2018-05-14 13:00:00+00:00,54.47,54.66,54.21,54.25,10200.0
LEN,2018-05-14 14:00:00+00:00,54.28,54.51,54.05,54.41,27974.0
LEN,2018-05-14 15:00:00+00:00,54.4,54.58,54.36,54.51,33901.0
LEN,2018-05-14 16:00:00+00:00,54.5,54.7,54.49,54.55,23570.0
LEN,2018-05-14 17:00:00+00:00,54.51,54.63,54.42,54.47,26391.0
LEN,2018-05-14 18:00:00+00:00,54.46,54.59,54.43,54.46,31395.0
LEN,2018-05-14 19:00:00+00:00,54.47,54.47,54.17,54.28,77395.0
LEN,2018-05-15 13:00:00+00:00,53.84,53.91,52.58,52.58,84262.0
LEN,2018-05-15 14:00:00+00:00,52.59,53.16,52.56,53.05,147773.0
LEN,2018-05-15 15:00:00+00:00,53.03,53.1,52.67,52.67,77405.0
LEN,2018-05-15 16:00:00+00:00,52.69,52.69,52.27,52.27,74853.0
LEN,2018-05-15 17:00:00+00:00,52.26,52.26,51.73,51.73,62638.0
LEN,2018-05-15 18:00:00+00:00,51.725,51.78,51.29,51.33,130535.0
LEN,2018-05-15 19:00:00+00:00,51.33,51.38,50.87,51.21,255187.0
LEN,2018-05-15 20:00:00+00:00,51.4,51.4,51.4,51.4,1.0
LEN,2018-05-15 21:00:00+00:00,51.4,51.4,51.4,51.4,95.0
LEN,2018-05-16 13:00:00+00:00,51.01,51.56,50.95,51.18,76709.0
LEN,2018-05-16 14:00:00+00:00,51.19,51.335,50.11,50.13,181183.0
LEN,2018-05-16 15:00:00+00:00,50.12,51.0,50.0,50.88,174293.0
LEN,2018-05-16 16:00:00+00:00,50.88,51.33,50.81,51.02,115313.0
LEN,2018-05-16 17:00:00+00:00,51.02,51.14,50.845,51.07,85322.0
LEN,2018-05-16 18:00:00+00:00,51.07,51.095,50.805,50.99,114943.0
LEN,2018-05-16 19:00:00+00:00,50.99,51.05,50.79,50.97,174621.0
LEN,2018-05-17 13:00:00+00:00,50.99,51.49,50.95,51.42,29908.0
LEN,2018-05-17 14:00:00+00:00,51.41,51.64,51.31,51.48,69582.0
LEN,2018-05-17 15:00:00+00:00,51.5,51.53,51.04,51.16,40560.0
LEN,2018-05-17 16:00:00+00:00,51.14,51.315,50.97,51.25,34523.0
LEN,2018-05-17 17:00:00+00:00,51.24,51.395,51.03,51.03,31092.0
LEN,2018-05-17 18:00:00+00:00,51.025,51.39,50.95,51.29,44470.0
LEN,2018-05-17 19:00:00+00:00,51.27,51.325,51.12,51.29,81998.0
LEN,2018-05-18 13:00:00+00:00,51.3,51.47,51.1,51.26,15561.0
LEN,2018-05-18 14:00:00+00:00,51.25,51.8,51.08,51.655,56953.0
LEN,2018-05-18 15:00:00+00:00,51.655,52.15,51.6,51.91,57952.0
LEN,2018-05-18 16:00:00+00:00,51.9,52.06,51.71,52.02,31461.0
LEN,2018-05-18 17:00:00+00:00,52.02,52.15,51.84,51.96,30975.0
LEN,2018-05-18 18:00:00+00:00,51.96,52.37,51.71,52.29,67521.0
LEN,2018-05-18 19:00:00+00:00,52.28,52.3,52.03,52.03,116818.0
LEN,2018-05-21 13:00:00+00:00,52.29,53.03,52.15,52.38,65960.0
LEN,2018-05-21 14:00:00+00:00,52.4,52.73,52.22,52.37,95111.0
LEN,2018-05-21 15:00:00+00:00,52.38,52.415,52.02,52.37,86310.0
LEN,2018-05-21 16:00:00+00:00,52.4,52.56,52.38,52.42,49857.0
LEN,2018-05-21 17:00:00+00:00,52.44,52.46,52.18,52.27,32524.0
LEN,2018-05-21 18:00:00+00:00,52.25,52.58,52.22,52.4,69486.0
LEN,2018-05-21 19:00:00+00:00,52.4,52.4,52.2,52.26,102146.0
LEN,2018-05-22 13:00:00+00:00,51.42,51.5,50.75,51.22,61324.0
LEN,2018-05-22 14:00:00+00:00,51.27,51.8,50.77,51.13,77573.0
LEN,2018-05-22 15:00:00+00:00,51.13,51.56,51.13,51.56,51904.0
LEN,2018-05-22 16:00:00+00:00,51.58,51.645,51.31,51.31,29919.0
LEN,2018-05-22 17:00:00+00:00,51.33,51.44,51.33,51.39,24709.0
LEN,2018-05-22 18:00:00+00:00,51.38,51.39,51.12,51.12,43299.0
LEN,2018-05-22 19:00:00+00:00,51.11,51.16,50.85,50.87,167362.0
LEN,2018-05-23 13:00:00+00:00,50.9,51.33,50.27,50.9,65782.0
LEN,2018-05-23 14:00:00+00:00,50.91,51.38,50.77,51.16,86158.0
LEN,2018-05-23 15:00:00+00:00,51.14,51.51,51.1,51.1,78295.0
LEN,2018-05-23 16:00:00+00:00,51.11,51.13,50.87,50.98,48251.0
LEN,2018-05-23 17:00:00+00:00,50.98,50.98,50.79,50.88,58135.0
LEN,2018-05-23 18:00:00+00:00,50.885,51.72,50.84,51.33,102371.0
LEN,2018-05-23 19:00:00+00:00,51.33,51.78,51.33,51.73,183577.0
LEN,2018-05-24 13:00:00+00:00,51.7,52.105,51.25,51.36,33971.0
LEN,2018-05-24 14:00:00+00:00,51.39,51.52,50.97,51.51,45334.0
LEN,2018-05-24 15:00:00+00:00,51.52,51.88,51.49,51.65,35429.0
LEN,2018-05-24 16:00:00+00:00,51.68,51.69,51.39,51.52,14047.0
LEN,2018-05-24 17:00:00+00:00,51.5,51.64,51.45,51.51,24329.0
LEN,2018-05-24 18:00:00+00:00,51.53,51.65,51.46,51.48,36988.0
LEN,2018-05-24 19:00:00+00:00,51.48,51.585,51.29,51.46,95843.0
LEN,2018-05-24 21:00:00+00:00,52.25,52.72,52.21,52.61,6029.0
LEN,2018-05-24 22:00:00+00:00,52.72,52.72,52.5,52.55,348.0
LEN,2018-05-24 23:00:00+00:00,52.55,52.55,52.55,52.55,15.0
LEN,2018-05-25 11:00:00+00:00,52.3,52.33,52.01,52.01,3105.0
LEN,2018-05-25 13:00:00+00:00,52.1,52.43,51.71,52.38,51282.0
LEN,2018-05-25 14:00:00+00:00,52.39,53.6,52.35,53.28,129796.0
LEN,2018-05-25 15:00:00+00:00,53.28,53.5,53.08,53.385,53231.0
LEN,2018-05-25 16:00:00+00:00,53.39,53.75,53.2,53.6,68028.0
LEN,2018-05-25 17:00:00+00:00,53.6,53.6,53.35,53.5,39845.0
LEN,2018-05-25 18:00:00+00:00,53.495,53.7,53.37,53.46,80193.0
LEN,2018-05-25 19:00:00+00:00,53.465,53.475,53.27,53.4,122010.0
LEN,2018-05-29 13:00:00+00:00,53.06,54.18,52.97,53.89,87305.0
LEN,2018-05-29 14:00:00+00:00,53.95,54.03,53.6,53.71,84549.0
LEN,2018-05-29 15:00:00+00:00,53.75,54.04,53.48,53.61,76317.0
LEN,2018-05-29 16:00:00+00:00,53.6,53.605,53.12,53.57,50077.0
LEN,2018-05-29 17:00:00+00:00,53.55,53.55,53.19,53.2,56070.0
LEN,2018-05-29 18:00:00+00:00,53.19,53.34,52.98,53.15,58520.0
LEN,2018-05-29 19:00:00+00:00,53.15,53.395,53.03,53.29,124697.0
