symbol,ts,open,high,low,close,volume
LH,2018-05-01 12:00:00+00:00,173.44,173.44,173.44,173.44,50.0
LH,2018-05-01 13:00:00+00:00,172.65,173.93,172.17,173.05,14207.0
LH,2018-05-01 14:00:00+00:00,173.02,173.02,170.6,170.77,19829.0
LH,2018-05-01 15:00:00+00:00,170.65,171.31,170.47,170.69,13595.0
LH,2018-05-01 16:00:00+00:00,170.79,171.13,170.54,170.8,6181.0
LH,2018-05-01 17:00:00+00:00,170.76,171.01,169.83,171.01,6304.0
LH,2018-05-01 18:00:00+00:00,171.03,171.37,170.74,171.37,8945.0
LH,2018-05-01 19:00:00+00:00,171.37,171.46,170.2,170.89,51904.0
LH,2018-05-02 13:00:00+00:00,170.52,170.87,170.11,170.86,4739.0
LH,2018-05-02 14:00:00+00:00,170.79,171.28,170.76,171.18,10184.0
LH,2018-05-02 15:00:00+00:00,171.3,171.67,170.54,170.81,8004.0
LH,2018-05-02 16:00:00+00:00,170.78,171.22,170.58,170.62,7845.0
LH,2018-05-02 17:00:00+00:00,170.64,171.23,170.64,171.18,6476.0
LH,2018-05-02 18:00:00+00:00,171.24,171.64,171.14,171.18,13379.0
LH,2018-05-02 19:00:00+00:00,171.15,171.19,170.46,170.94,37313.0
LH,2018-05-03 13:00:00+00:00,170.15,170.25,168.85,169.25,3948.0
LH,2018-05-03 14:00:00+00:00,169.25,169.68,166.92,167.45,10070.0
LH,2018-05-03 15:00:00+00:00,167.49,168.29,167.25,168.09,14885.0
LH,2018-05-03 16:00:00+00:00,168.1,169.05,167.18,169.05,11126.0
LH,2018-05-03 17:00:00+00:00,169.08,169.69,168.62,169.43,7933.0
LH,2018-05-03 18:00:00+00:00,169.48,169.8,169.13,169.23,11072.0
LH,2018-05-03 19:00:00+00:00,169.43,169.66,169.17,169.64,23343.0
LH,2018-05-04 13:00:00+00:00,169.04,169.04,167.425,168.04,5900.0
LH,2018-05-04 14:00:00+00:00,168.03,169.475,167.95,169.22,12310.0
LH,2018-05-04 15:00:00+00:00,169.17,169.88,168.99,169.71,6557.0
