symbol,ts,open,high,low,close,volume
LHX,2019-07-01 13:00:00+00:00,189.25,189.8,184.82,184.82,7890.0
LHX,2019-07-01 14:00:00+00:00,184.9,187.58,184.2,186.73,20929.0
LHX,2019-07-01 15:00:00+00:00,186.66,186.92,182.94,183.34,47800.0
LHX,2019-07-01 16:00:00+00:00,183.3,185.65,182.61,184.27,56585.0
LHX,2019-07-01 17:00:00+00:00,184.34,184.5,181.44,182.09,60304.0
LHX,2019-07-01 18:00:00+00:00,182.11,182.7,181.16,181.18,64995.0
LHX,2019-07-01 19:00:00+00:00,181.15,181.55,178.62,178.67,221428.0
LHX,2019-07-01 20:00:00+00:00,176.16,179.0,176.16,179.0,6698.0
LHX,2019-07-02 12:00:00+00:00,179.22,179.5,179.22,179.5,203.0
LHX,2019-07-02 13:00:00+00:00,180.1,186.64,180.0,184.09,97131.0
LHX,2019-07-02 14:00:00+00:00,184.09,185.5,184.03,184.9,107575.0
LHX,2019-07-02 15:00:00+00:00,184.87,185.25,183.32,184.05,51759.0
LHX,2019-07-02 16:00:00+00:00,184.04,184.32,183.66,184.05,44311.0
LHX,2019-07-02 17:00:00+00:00,184.01,184.77,183.75,184.68,42425.0
LHX,2019-07-02 18:00:00+00:00,184.68,185.93,184.55,185.14,71120.0
LHX,2019-07-02 19:00:00+00:00,185.14,185.8,184.51,185.66,129786.0
LHX,2019-07-02 21:00:00+00:00,186.74,186.74,186.74,186.74,3.0
LHX,2019-07-03 13:00:00+00:00,186.0,186.0,180.6,184.38,31205.0
LHX,2019-07-03 14:00:00+00:00,184.19,184.96,183.51,184.9,49262.0
LHX,2019-07-03 15:00:00+00:00,184.92,185.16,184.39,184.79,44863.0
LHX,2019-07-03 16:00:00+00:00,184.79,184.87,183.42,184.12,81415.0
LHX,2019-07-03 18:00:00+00:00,184.75,184.75,184.75,184.75,50.0
LHX,2019-07-05 13:00:00+00:00,184.3,185.23,182.3,182.34,11876.0
LHX,2019-07-05 14:00:00+00:00,182.34,183.48,181.7,182.54,22363.0
LHX,2019-07-05 15:00:00+00:00,182.67,184.31,182.33,184.11,19193.0
LHX,2019-07-05 16:00:00+00:00,184.14,184.85,184.06,184.47,22718.0
LHX,2019-07-05 17:00:00+00:00,184.42,184.8,184.42,184.6,13816.0
LHX,2019-07-05 18:00:00+00:00,184.61,184.8,184.48,184.66,15779.0
LHX,2019-07-05 19:00:00+00:00,184.685,184.97,184.51,184.94,52233.0
LHX,2019-07-08 13:00:00+00:00,185.1,185.1,183.06,183.66,7844.0
LHX,2019-07-08 14:00:00+00:00,183.79,185.2,183.79,184.845,25220.0
LHX,2019-07-08 15:00:00+00:00,184.89,185.25,184.68,185.01,28879.0
LHX,2019-07-08 16:00:00+00:00,185.05,185.12,184.49,184.84,19979.0
LHX,2019-07-08 17:00:00+00:00,184.85,185.08,184.58,184.85,18716.0
LHX,2019-07-08 18:00:00+00:00,184.82,184.86,183.91,184.4,22219.0
LHX,2019-07-08 19:00:00+00:00,184.41,184.79,184.16,184.72,49345.0
LHX,2019-07-08 23:00:00+00:00,184.75,184.75,184.75,184.75,60.0
LHX,2019-07-09 13:00:00+00:00,185.5,189.19,185.5,187.86,30190.0
LHX,2019-07-09 14:00:00+00:00,187.94,188.76,187.5,188.31,40459.0
LHX,2019-07-09 15:00:00+00:00,188.24,189.83,187.85,189.7,36106.0
LHX,2019-07-09 16:00:00+00:00,189.7,190.97,189.49,189.79,36088.0
LHX,2019-07-09 17:00:00+00:00,189.79,191.08,189.76,190.76,33761.0
LHX,2019-07-09 18:00:00+00:00,190.71,190.73,189.72,190.13,37444.0
LHX,2019-07-09 19:00:00+00:00,190.19,191.32,189.98,191.27,63630.0
LHX,2019-07-09 20:00:00+00:00,191.26,191.26,191.26,191.26,5.0
LHX,2019-07-10 12:00:00+00:00,193.7,193.7,193.7,193.7,13.0
LHX,2019-07-10 13:00:00+00:00,193.92,193.92,190.72,191.77,17725.0
LHX,2019-07-10 14:00:00+00:00,191.64,192.69,191.43,192.51,38578.0
LHX,2019-07-10 15:00:00+00:00,192.49,192.55,191.73,192.31,28445.0
LHX,2019-07-10 16:00:00+00:00,192.32,192.54,192.16,192.46,27267.0
LHX,2019-07-10 17:00:00+00:00,192.49,192.84,192.48,192.79,32255.0
LHX,2019-07-10 18:00:00+00:00,192.8,192.92,191.97,192.23,29215.0
LHX,2019-07-10 19:00:00+00:00,192.24,192.69,192.21,192.61,60910.0
LHX,2019-07-11 13:00:00+00:00,191.45,194.5,191.22,194.16,20383.0
LHX,2019-07-11 14:00:00+00:00,193.96,194.99,193.82,194.57,50779.0
LHX,2019-07-11 15:00:00+00:00,194.53,195.71,194.5,195.24,35399.0
LHX,2019-07-11 16:00:00+00:00,195.23,195.67,194.86,195.6,24476.0
LHX,2019-07-11 17:00:00+00:00,195.58,195.63,194.55,194.6,39004.0
LHX,2019-07-11 18:00:00+00:00,194.62,194.82,194.03,194.07,30883.0
LHX,2019-07-11 19:00:00+00:00,194.1,194.5,193.7,194.44,69968.0
LHX,2019-07-11 21:00:00+00:00,194.04,194.04,194.04,194.04,5.0
LHX,2019-07-11 22:00:00+00:00,195.98,195.98,195.98,195.98,50.0
LHX,2019-07-12 13:00:00+00:00,195.0,197.22,195.0,196.03,28241.0
LHX,2019-07-12 14:00:00+00:00,196.04,196.77,195.45,196.14,48252.0
LHX,2019-07-12 15:00:00+00:00,196.09,197.06,195.89,197.06,30155.0
LHX,2019-07-12 16:00:00+00:00,197.1,197.12,195.99,196.02,20802.0
