symbol,ts,open,high,low,close,volume
LIN,2018-10-31 13:00:00+00:00,161.5,165.25,161.31,163.23,58206.0
LIN,2018-10-31 14:00:00+00:00,163.25,164.37,163.25,163.88,130545.0
LIN,2018-10-31 15:00:00+00:00,163.895,164.125,163.61,163.81,96847.0
LIN,2018-10-31 16:00:00+00:00,163.81,164.26,163.2,164.06,63871.0
LIN,2018-10-31 17:00:00+00:00,164.09,164.86,163.995,164.12,54909.0
LIN,2018-10-31 18:00:00+00:00,164.2,165.07,164.2,165.07,66733.0
LIN,2018-10-31 19:00:00+00:00,165.1,165.59,163.64,165.0,229165.0
LIN,2018-10-31 20:00:00+00:00,165.11,165.2,164.2,164.2,4879.0
LIN,2018-11-01 08:00:00+00:00,164.51,165.36,164.51,165.36,51.0
LIN,2018-11-01 10:00:00+00:00,166.44,166.44,166.21,166.21,5000.0
LIN,2018-11-01 11:00:00+00:00,166.03,166.07,165.61,165.61,4034.0
LIN,2018-11-01 12:00:00+00:00,165.41,165.41,164.42,164.42,1495.0
LIN,2018-11-01 13:00:00+00:00,164.61,165.48,164.38,164.44,70746.0
LIN,2018-11-01 14:00:00+00:00,164.4,164.62,163.86,164.3,58034.0
LIN,2018-11-01 15:00:00+00:00,164.32,164.39,163.79,163.8,76280.0
LIN,2018-11-01 16:00:00+00:00,163.84,163.84,162.66,163.36,26599.0
LIN,2018-11-01 17:00:00+00:00,163.36,163.36,162.52,162.52,36200.0
LIN,2018-11-01 18:00:00+00:00,162.54,163.02,162.1,162.8,38223.0
LIN,2018-11-01 19:00:00+00:00,162.79,162.82,161.94,162.03,104369.0
LIN,2018-11-02 09:00:00+00:00,159.78,159.8,158.89,159.46,1292.0
LIN,2018-11-02 10:00:00+00:00,159.4,159.58,159.4,159.58,1400.0
LIN,2018-11-02 11:00:00+00:00,161.1,161.1,161.1,161.1,100.0
LIN,2018-11-02 12:00:00+00:00,160.95,161.46,160.95,161.46,1000.0
LIN,2018-11-02 13:00:00+00:00,160.89,161.81,160.58,161.53,40476.0
