symbol,ts,open,high,low,close,volume
LITE,2018-05-01 13:00:00+00:00,50.5,51.15,50.3,50.65,73470.0
LITE,2018-05-01 14:00:00+00:00,50.65,51.15,50.35,50.85,63598.0
LITE,2018-05-01 15:00:00+00:00,50.75,52.05,50.65,51.75,105220.0
LITE,2018-05-01 16:00:00+00:00,51.75,52.05,51.65,51.75,59870.0
LITE,2018-05-01 17:00:00+00:00,51.75,51.9,51.175,51.9,52597.0
LITE,2018-05-01 18:00:00+00:00,51.9,52.55,51.9,52.3,61375.0
LITE,2018-05-01 19:00:00+00:00,52.35,52.925,52.075,52.65,168933.0
LITE,2018-05-01 20:00:00+00:00,52.65,54.0,52.55,54.0,67905.0
LITE,2018-05-01 21:00:00+00:00,53.2,53.85,53.0,53.85,546.0
LITE,2018-05-01 22:00:00+00:00,54.0,54.0,54.0,54.0,150.0
LITE,2018-05-01 23:00:00+00:00,53.9,53.9,53.9,53.9,40.0
LITE,2018-05-02 12:00:00+00:00,54.0,58.9,54.0,58.4,68017.0
LITE,2018-05-02 13:00:00+00:00,58.45,61.75,56.9,59.0,403580.0
LITE,2018-05-02 14:00:00+00:00,59.0,60.4,58.9,59.15,213990.0
LITE,2018-05-02 15:00:00+00:00,59.1,59.5,58.25,58.7,121150.0
LITE,2018-05-02 16:00:00+00:00,58.6,59.1,57.45,58.25,97106.0
LITE,2018-05-02 17:00:00+00:00,58.15,58.25,57.175,57.9,101620.0
LITE,2018-05-02 18:00:00+00:00,57.9,59.6,57.85,58.4,109652.0
LITE,2018-05-02 19:00:00+00:00,58.45,59.0,57.875,58.45,231227.0
LITE,2018-05-02 20:00:00+00:00,58.5,58.5,58.5,58.5,59021.0
LITE,2018-05-03 13:00:00+00:00,57.75,58.35,57.2,58.1,57331.0
LITE,2018-05-03 14:00:00+00:00,58.1,58.15,57.2,58.025,118860.0
LITE,2018-05-03 15:00:00+00:00,58.0,58.4,57.7,58.3,40953.0
LITE,2018-05-03 16:00:00+00:00,58.3,58.5,58.05,58.4,32421.0
LITE,2018-05-03 17:00:00+00:00,58.4,58.65,58.25,58.45,32711.0
LITE,2018-05-03 18:00:00+00:00,58.4,59.0,58.375,58.95,51303.0
