symbol,ts,open,high,low,close,volume
LLY,2018-05-01 13:00:00+00:00,80.78,80.89,80.48,80.49,40589.0
LLY,2018-05-01 14:00:00+00:00,80.51,80.53,79.54,79.54,167888.0
LLY,2018-05-01 15:00:00+00:00,79.545,79.64,78.98,78.98,241948.0
LLY,2018-05-01 16:00:00+00:00,78.98,79.31,78.98,79.16,124996.0
LLY,2018-05-01 17:00:00+00:00,79.135,79.31,78.69,79.17,118139.0
LLY,2018-05-01 18:00:00+00:00,79.17,79.305,79.02,79.08,103701.0
LLY,2018-05-01 19:00:00+00:00,79.09,79.21,78.74,79.07,283634.0
LLY,2018-05-02 13:00:00+00:00,78.68,79.16,78.46,78.97,45422.0
LLY,2018-05-02 14:00:00+00:00,78.94,79.2,78.645,78.79,96182.0
LLY,2018-05-02 15:00:00+00:00,78.79,79.2,78.77,78.92,79948.0
LLY,2018-05-02 16:00:00+00:00,78.91,79.05,78.77,78.86,80718.0
LLY,2018-05-02 17:00:00+00:00,78.86,79.21,78.86,79.13,75666.0
LLY,2018-05-02 18:00:00+00:00,79.14,79.38,79.13,79.19,180525.0
LLY,2018-05-02 19:00:00+00:00,79.2,79.35,78.67,78.81,299406.0
LLY,2018-05-03 11:00:00+00:00,77.99,77.99,77.99,77.99,25.0
LLY,2018-05-03 13:00:00+00:00,78.52,78.65,78.25,78.33,27646.0
LLY,2018-05-03 14:00:00+00:00,78.32,78.32,77.44,77.87,135232.0
LLY,2018-05-03 15:00:00+00:00,77.86,78.3,77.86,78.18,80940.0
LLY,2018-05-03 16:00:00+00:00,78.21,78.42,77.81,78.42,67005.0
LLY,2018-05-03 17:00:00+00:00,78.44,78.69,78.23,78.23,73660.0
LLY,2018-05-03 18:00:00+00:00,78.24,78.6,78.12,78.17,75195.0
LLY,2018-05-03 19:00:00+00:00,78.19,78.3,77.87,78.03,216935.0
LLY,2018-05-04 13:00:00+00:00,77.5,77.64,77.09,77.24,38088.0
LLY,2018-05-04 14:00:00+00:00,77.24,77.74,77.23,77.59,76886.0
LLY,2018-05-04 15:00:00+00:00,77.59,77.97,77.44,77.84,96108.0
LLY,2018-05-04 16:00:00+00:00,77.84,78.02,77.83,77.94,82939.0
LLY,2018-05-04 17:00:00+00:00,77.94,78.18,77.94,78.18,61723.0
LLY,2018-05-04 18:00:00+00:00,78.17,78.59,78.16,78.48,62778.0
LLY,2018-05-04 19:00:00+00:00,78.485,78.61,78.17,78.4,169797.0
LLY,2018-05-07 13:00:00+00:00,78.31,79.27,78.31,79.23,34413.0
LLY,2018-05-07 14:00:00+00:00,79.14,79.25,78.47,78.49,44960.0
LLY,2018-05-07 15:00:00+00:00,78.49,78.49,78.23,78.38,45414.0
LLY,2018-05-07 16:00:00+00:00,78.38,78.6,78.37,78.39,39318.0
LLY,2018-05-07 17:00:00+00:00,78.38,78.78,78.36,78.78,41791.0
LLY,2018-05-07 18:00:00+00:00,78.78,78.79,78.49,78.52,58009.0
LLY,2018-05-07 19:00:00+00:00,78.54,78.69,78.245,78.62,126062.0
LLY,2018-05-08 13:00:00+00:00,78.45,78.72,78.17,78.72,40842.0
LLY,2018-05-08 14:00:00+00:00,78.74,78.88,78.51,78.76,65157.0
LLY,2018-05-08 15:00:00+00:00,78.76,78.89,78.56,78.69,74224.0
LLY,2018-05-08 16:00:00+00:00,78.7,78.75,78.5,78.6,51906.0
LLY,2018-05-08 17:00:00+00:00,78.59,78.8,78.58,78.64,48350.0
LLY,2018-05-08 18:00:00+00:00,78.64,78.73,78.42,78.61,115588.0
LLY,2018-05-08 19:00:00+00:00,78.6,78.86,78.57,78.86,89243.0
LLY,2018-05-09 13:00:00+00:00,78.86,79.065,78.59,78.69,26976.0
LLY,2018-05-09 14:00:00+00:00,78.71,78.83,78.45,78.59,89351.0
LLY,2018-05-09 15:00:00+00:00,78.6,78.985,78.58,78.84,62940.0
LLY,2018-05-09 16:00:00+00:00,78.85,79.47,78.84,79.47,45123.0
LLY,2018-05-09 17:00:00+00:00,79.48,79.64,79.41,79.61,26724.0
LLY,2018-05-09 18:00:00+00:00,79.61,79.62,79.3,79.4,55631.0
LLY,2018-05-09 19:00:00+00:00,79.39,79.48,79.12,79.24,106019.0
LLY,2018-05-09 20:00:00+00:00,79.43,79.43,79.43,79.43,251.0
LLY,2018-05-10 12:00:00+00:00,79.29,79.29,79.29,79.29,178.0
LLY,2018-05-10 13:00:00+00:00,79.53,80.23,79.44,80.095,24591.0
LLY,2018-05-10 14:00:00+00:00,80.12,80.38,80.02,80.28,41377.0
LLY,2018-05-10 15:00:00+00:00,80.27,80.66,80.26,80.63,33845.0
LLY,2018-05-10 16:00:00+00:00,80.63,81.11,80.63,80.96,50181.0
LLY,2018-05-10 17:00:00+00:00,80.97,81.17,80.87,80.94,65663.0
LLY,2018-05-10 18:00:00+00:00,80.95,80.95,80.47,80.76,48414.0
LLY,2018-05-10 19:00:00+00:00,80.77,80.96,80.54,80.86,98260.0
LLY,2018-05-10 20:00:00+00:00,80.75,81.02,80.75,81.02,397.0
LLY,2018-05-11 13:00:00+00:00,81.1,82.15,81.02,81.86,38074.0
LLY,2018-05-11 14:00:00+00:00,81.84,81.93,81.59,81.79,78322.0
LLY,2018-05-11 15:00:00+00:00,81.795,81.91,81.67,81.86,72698.0
LLY,2018-05-11 16:00:00+00:00,81.84,81.9,81.52,81.53,80980.0
LLY,2018-05-11 17:00:00+00:00,81.54,81.62,81.34,81.45,49899.0
LLY,2018-05-11 18:00:00+00:00,81.45,82.03,81.04,82.03,106462.0
LLY,2018-05-11 19:00:00+00:00,82.01,82.44,82.01,82.43,155182.0
LLY,2018-05-11 20:00:00+00:00,82.5,82.5,82.5,82.5,3.0
LLY,2018-05-11 21:00:00+00:00,82.41,82.41,82.01,82.01,200.0
LLY,2018-05-14 13:00:00+00:00,82.55,82.96,82.52,82.87,34650.0
LLY,2018-05-14 14:00:00+00:00,82.87,83.22,82.76,83.02,61393.0
LLY,2018-05-14 15:00:00+00:00,83.0,83.03,82.63,83.01,56566.0
LLY,2018-05-14 16:00:00+00:00,83.02,83.31,82.85,82.865,42939.0
LLY,2018-05-14 17:00:00+00:00,82.85,83.0,82.82,82.91,133045.0
LLY,2018-05-14 18:00:00+00:00,82.91,83.01,82.71,83.0,150967.0
LLY,2018-05-14 19:00:00+00:00,83.01,83.14,82.78,83.07,217283.0
LLY,2018-05-14 23:00:00+00:00,82.55,82.55,82.55,82.55,25.0
LLY,2018-05-15 12:00:00+00:00,82.8,82.8,82.8,82.8,25.0
LLY,2018-05-15 13:00:00+00:00,82.87,82.91,82.28,82.46,42497.0
LLY,2018-05-15 14:00:00+00:00,82.47,82.94,82.46,82.76,148807.0
LLY,2018-05-15 15:00:00+00:00,82.77,82.85,82.485,82.49,111214.0
LLY,2018-05-15 16:00:00+00:00,82.505,82.68,82.27,82.55,83516.0
LLY,2018-05-15 17:00:00+00:00,82.55,82.56,82.25,82.25,75650.0
LLY,2018-05-15 18:00:00+00:00,82.26,82.58,82.25,82.3,95591.0
LLY,2018-05-15 19:00:00+00:00,82.275,82.33,81.83,82.2,193305.0
LLY,2018-05-16 13:00:00+00:00,81.79,81.89,81.67,81.81,20738.0
LLY,2018-05-16 14:00:00+00:00,81.81,81.83,81.18,81.41,76526.0
LLY,2018-05-16 15:00:00+00:00,81.4,81.72,81.26,81.36,63893.0
LLY,2018-05-16 16:00:00+00:00,81.36,81.88,81.35,81.67,41284.0
LLY,2018-05-16 17:00:00+00:00,81.67,81.69,81.41,81.6,43335.0
LLY,2018-05-16 18:00:00+00:00,81.605,81.7,81.33,81.34,50914.0
LLY,2018-05-16 19:00:00+00:00,81.33,81.33,80.96,81.2,156965.0
LLY,2018-05-17 13:00:00+00:00,81.19,81.49,81.05,81.26,36914.0
LLY,2018-05-17 14:00:00+00:00,81.27,81.76,81.14,81.72,62311.0
LLY,2018-05-17 15:00:00+00:00,81.74,81.84,81.58,81.66,52639.0
LLY,2018-05-17 16:00:00+00:00,81.67,81.74,81.54,81.58,42596.0
LLY,2018-05-17 17:00:00+00:00,81.57,81.755,81.46,81.51,43653.0
LLY,2018-05-17 18:00:00+00:00,81.5,81.68,81.44,81.58,66981.0
LLY,2018-05-17 19:00:00+00:00,81.57,81.71,81.49,81.66,135004.0
LLY,2018-05-18 13:00:00+00:00,81.51,81.94,81.49,81.94,17327.0
LLY,2018-05-18 14:00:00+00:00,81.96,82.06,81.64,81.93,43652.0
LLY,2018-05-18 15:00:00+00:00,81.94,82.22,81.89,82.18,35623.0
LLY,2018-05-18 16:00:00+00:00,82.18,82.29,82.01,82.1,37608.0
LLY,2018-05-18 17:00:00+00:00,82.09,82.1,81.98,82.09,26046.0
LLY,2018-05-18 18:00:00+00:00,82.09,82.23,82.09,82.11,30098.0
LLY,2018-05-18 19:00:00+00:00,82.11,82.16,81.95,82.05,108545.0
LLY,2018-05-18 21:00:00+00:00,82.07,82.07,82.07,82.07,4.0
LLY,2018-05-21 13:00:00+00:00,82.23,82.44,82.01,82.07,41909.0
LLY,2018-05-21 14:00:00+00:00,82.08,82.54,82.02,82.36,45613.0
LLY,2018-05-21 15:00:00+00:00,82.37,82.39,81.91,82.04,40311.0
LLY,2018-05-21 16:00:00+00:00,82.06,82.29,82.03,82.09,32582.0
LLY,2018-05-21 17:00:00+00:00,82.08,82.1,81.95,81.98,37577.0
LLY,2018-05-21 18:00:00+00:00,81.98,81.99,81.79,81.89,40526.0
LLY,2018-05-21 19:00:00+00:00,81.89,81.91,81.67,81.82,94229.0
LLY,2018-05-22 13:00:00+00:00,81.82,82.76,81.82,82.56,28173.0
LLY,2018-05-22 14:00:00+00:00,82.56,82.89,82.4,82.54,60808.0
LLY,2018-05-22 15:00:00+00:00,82.54,82.67,82.39,82.41,56894.0
LLY,2018-05-22 16:00:00+00:00,82.42,82.55,82.33,82.53,38452.0
LLY,2018-05-22 17:00:00+00:00,82.54,82.67,82.41,82.45,45603.0
LLY,2018-05-22 18:00:00+00:00,82.44,82.52,82.28,82.3,54159.0
LLY,2018-05-22 19:00:00+00:00,82.29,82.39,82.12,82.24,98053.0
LLY,2018-05-23 13:00:00+00:00,82.22,82.69,82.15,82.69,30583.0
LLY,2018-05-23 14:00:00+00:00,82.7,82.91,82.52,82.68,40230.0
LLY,2018-05-23 15:00:00+00:00,82.67,82.76,82.55,82.61,52755.0
LLY,2018-05-23 16:00:00+00:00,82.64,82.74,82.4,82.55,42100.0
LLY,2018-05-23 17:00:00+00:00,82.55,82.55,82.39,82.54,31689.0
LLY,2018-05-23 18:00:00+00:00,82.54,82.85,82.51,82.66,49985.0
LLY,2018-05-23 19:00:00+00:00,82.65,82.75,82.48,82.66,99401.0
LLY,2018-05-24 13:00:00+00:00,82.64,82.78,82.18,82.3,27402.0
LLY,2018-05-24 14:00:00+00:00,82.29,82.43,82.16,82.16,60685.0
LLY,2018-05-24 15:00:00+00:00,82.15,82.55,82.1,82.46,57623.0
LLY,2018-05-24 16:00:00+00:00,82.46,82.51,82.35,82.4,42233.0
