symbol,ts,open,high,low,close,volume
LNT,2018-05-01 13:00:00+00:00,42.98,43.01,42.81,42.86,10122.0
LNT,2018-05-01 14:00:00+00:00,42.87,43.005,42.84,42.975,32836.0
LNT,2018-05-01 15:00:00+00:00,43.0,43.07,42.95,42.98,16159.0
LNT,2018-05-01 16:00:00+00:00,42.97,42.97,42.85,42.89,12683.0
LNT,2018-05-01 17:00:00+00:00,42.89,42.99,42.82,42.98,9966.0
LNT,2018-05-01 18:00:00+00:00,42.99,43.0,42.87,42.89,23542.0
LNT,2018-05-01 19:00:00+00:00,42.885,42.9,42.785,42.83,42867.0
LNT,2018-05-02 13:00:00+00:00,42.95,42.99,42.67,42.67,16084.0
LNT,2018-05-02 14:00:00+00:00,42.69,43.17,42.645,43.17,47544.0
LNT,2018-05-02 15:00:00+00:00,43.16,43.18,42.71,42.72,39026.0
LNT,2018-05-02 16:00:00+00:00,42.73,42.87,42.71,42.84,26659.0
LNT,2018-05-02 17:00:00+00:00,42.84,42.97,42.8,42.93,30835.0
LNT,2018-05-02 18:00:00+00:00,42.91,43.06,42.9,42.94,49288.0
LNT,2018-05-02 19:00:00+00:00,42.94,42.94,42.72,42.87,72357.0
LNT,2018-05-03 13:00:00+00:00,42.69,42.69,42.07,42.67,27041.0
LNT,2018-05-03 14:00:00+00:00,42.67,42.67,42.34,42.67,65793.0
LNT,2018-05-03 15:00:00+00:00,42.69,43.11,42.69,43.05,39134.0
LNT,2018-05-03 16:00:00+00:00,43.06,43.41,42.97,43.3,47376.0
LNT,2018-05-03 17:00:00+00:00,43.28,43.46,43.01,43.45,26465.0
LNT,2018-05-03 18:00:00+00:00,43.44,43.44,43.08,43.12,38779.0
LNT,2018-05-03 19:00:00+00:00,43.13,43.32,43.09,43.24,70333.0
LNT,2018-05-04 13:00:00+00:00,43.24,43.34,43.09,43.12,22834.0
LNT,2018-05-04 14:00:00+00:00,43.12,43.3,43.12,43.22,43285.0
LNT,2018-05-04 15:00:00+00:00,43.18,43.3,43.06,43.25,33245.0
LNT,2018-05-04 16:00:00+00:00,43.26,43.39,43.26,43.35,16483.0
LNT,2018-05-04 17:00:00+00:00,43.34,43.45,43.27,43.27,21758.0
LNT,2018-05-04 18:00:00+00:00,43.26,43.41,43.18,43.28,37802.0
LNT,2018-05-04 19:00:00+00:00,43.28,43.395,43.19,43.26,74505.0
LNT,2018-05-07 13:00:00+00:00,43.27,43.27,43.03,43.12,15042.0
LNT,2018-05-07 14:00:00+00:00,43.12,43.14,42.88,42.91,32244.0
LNT,2018-05-07 15:00:00+00:00,42.88,42.96,42.84,42.92,28069.0
LNT,2018-05-07 16:00:00+00:00,42.95,43.04,42.935,42.985,20053.0
LNT,2018-05-07 17:00:00+00:00,42.985,43.06,42.93,43.06,15556.0
