symbol,ts,open,high,low,close,volume
LRCX,2018-05-01 08:00:00+00:00,184.99,184.99,184.99,184.99,150.0
LRCX,2018-05-01 09:00:00+00:00,184.99,184.99,184.99,184.99,100.0
LRCX,2018-05-01 10:00:00+00:00,184.99,184.99,184.99,184.99,144.0
LRCX,2018-05-01 11:00:00+00:00,184.99,184.99,184.99,184.99,606.0
LRCX,2018-05-01 13:00:00+00:00,184.4,187.35,183.88,187.1,121099.0
LRCX,2018-05-01 14:00:00+00:00,187.15,187.84,185.8,186.72,133991.0
LRCX,2018-05-01 15:00:00+00:00,186.66,188.65,186.18,187.67,105810.0
LRCX,2018-05-01 16:00:00+00:00,187.74,188.47,186.64,187.55,90519.0
LRCX,2018-05-01 17:00:00+00:00,187.55,189.6,187.17,189.58,104140.0
LRCX,2018-05-01 18:00:00+00:00,189.61,189.98,188.89,188.98,111978.0
LRCX,2018-05-01 19:00:00+00:00,188.97,190.55,188.65,190.36,284442.0
LRCX,2018-05-01 20:00:00+00:00,190.36,192.4,190.34,192.0,87107.0
LRCX,2018-05-01 21:00:00+00:00,191.5,191.5,190.0,190.0,350.0
LRCX,2018-05-01 22:00:00+00:00,190.39,190.39,190.39,190.39,13.0
LRCX,2018-05-02 11:00:00+00:00,190.5,190.5,190.5,190.5,100.0
LRCX,2018-05-02 12:00:00+00:00,189.4,189.4,189.4,189.4,50.0
LRCX,2018-05-02 13:00:00+00:00,189.99,191.35,188.18,189.57,137392.0
LRCX,2018-05-02 14:00:00+00:00,189.42,190.88,189.28,190.33,84371.0
LRCX,2018-05-02 15:00:00+00:00,190.27,190.75,189.05,189.82,73201.0
LRCX,2018-05-02 16:00:00+00:00,189.78,190.93,189.42,190.75,40564.0
LRCX,2018-05-02 17:00:00+00:00,190.81,191.34,190.35,190.48,42665.0
LRCX,2018-05-02 18:00:00+00:00,190.38,191.9,190.25,190.8,110398.0
LRCX,2018-05-02 19:00:00+00:00,190.86,191.23,189.27,189.53,223749.0
LRCX,2018-05-02 20:00:00+00:00,189.52,190.0,189.5,189.5,107336.0
LRCX,2018-05-03 09:00:00+00:00,194.08,194.08,194.08,194.08,20.0
LRCX,2018-05-03 10:00:00+00:00,189.52,189.52,189.52,189.52,150.0
LRCX,2018-05-03 11:00:00+00:00,189.2,189.2,189.04,189.04,44.0
LRCX,2018-05-03 12:00:00+00:00,188.61,188.61,188.03,188.03,182.0
LRCX,2018-05-03 13:00:00+00:00,188.03,189.67,187.28,189.47,103771.0
LRCX,2018-05-03 14:00:00+00:00,189.41,189.56,185.55,186.07,164518.0
LRCX,2018-05-03 15:00:00+00:00,186.13,187.47,185.67,187.08,110540.0
LRCX,2018-05-03 16:00:00+00:00,187.19,189.68,186.34,189.44,95514.0
LRCX,2018-05-03 17:00:00+00:00,189.52,190.15,188.61,189.56,70937.0
LRCX,2018-05-03 18:00:00+00:00,189.5,190.55,188.7,189.22,84335.0
