symbol,ts,open,high,low,close,volume
LYB,2018-05-01 13:00:00+00:00,105.7,105.7,104.74,105.25,27267.0
LYB,2018-05-01 14:00:00+00:00,105.22,105.34,103.94,103.95,39721.0
LYB,2018-05-01 15:00:00+00:00,103.92,104.37,103.75,103.97,22019.0
LYB,2018-05-01 16:00:00+00:00,104.0,104.29,103.6,103.63,31336.0
LYB,2018-05-01 17:00:00+00:00,103.62,103.75,103.27,103.41,45722.0
LYB,2018-05-01 18:00:00+00:00,103.41,103.51,103.07,103.25,78970.0
LYB,2018-05-01 19:00:00+00:00,103.28,103.85,103.14,103.78,137254.0
LYB,2018-05-02 13:00:00+00:00,103.84,105.51,103.84,105.44,50397.0
LYB,2018-05-02 14:00:00+00:00,105.46,105.58,104.6,104.6,57345.0
LYB,2018-05-02 15:00:00+00:00,104.62,104.97,103.72,103.97,46246.0
LYB,2018-05-02 16:00:00+00:00,103.93,104.4,103.79,104.34,44585.0
LYB,2018-05-02 17:00:00+00:00,104.4,104.58,104.285,104.51,32040.0
LYB,2018-05-02 18:00:00+00:00,104.53,105.08,104.44,104.97,57460.0
LYB,2018-05-02 19:00:00+00:00,104.95,105.1,104.37,104.74,149242.0
LYB,2018-05-03 13:00:00+00:00,104.79,104.88,104.11,104.55,43283.0
LYB,2018-05-03 14:00:00+00:00,104.54,104.56,102.675,103.01,77015.0
LYB,2018-05-03 15:00:00+00:00,102.98,103.69,102.75,103.64,51285.0
LYB,2018-05-03 16:00:00+00:00,103.64,104.48,103.15,104.37,54388.0
LYB,2018-05-03 17:00:00+00:00,104.36,104.53,103.81,104.11,43025.0
LYB,2018-05-03 18:00:00+00:00,104.13,104.64,104.02,104.3,49816.0
LYB,2018-05-03 19:00:00+00:00,104.31,104.45,103.8,103.94,130305.0
LYB,2018-05-04 13:00:00+00:00,103.67,104.12,103.3,103.33,20620.0
LYB,2018-05-04 14:00:00+00:00,103.32,103.62,102.46,103.34,54398.0
LYB,2018-05-04 15:00:00+00:00,103.37,103.99,103.31,103.85,44124.0
LYB,2018-05-04 16:00:00+00:00,103.83,104.0,103.61,103.84,44711.0
LYB,2018-05-04 17:00:00+00:00,103.88,104.08,103.73,103.95,45066.0
LYB,2018-05-04 18:00:00+00:00,103.93,104.73,103.92,104.57,56317.0
LYB,2018-05-04 19:00:00+00:00,104.56,104.98,104.54,104.8,138784.0
LYB,2018-05-07 11:00:00+00:00,104.7,104.7,104.7,104.7,30.0
LYB,2018-05-07 13:00:00+00:00,104.805,106.07,104.805,105.66,23080.0
LYB,2018-05-07 14:00:00+00:00,105.7,105.89,105.12,105.5,35487.0
LYB,2018-05-07 15:00:00+00:00,105.5,105.58,105.1,105.32,41695.0
LYB,2018-05-07 16:00:00+00:00,105.33,105.4,105.22,105.31,30952.0
LYB,2018-05-07 17:00:00+00:00,105.3,105.33,104.95,105.0,39453.0
LYB,2018-05-07 18:00:00+00:00,105.0,105.28,104.54,104.59,57713.0
LYB,2018-05-07 19:00:00+00:00,104.56,104.71,104.16,104.58,105919.0
LYB,2018-05-08 13:00:00+00:00,104.19,104.5,103.94,104.38,30798.0
LYB,2018-05-08 14:00:00+00:00,104.37,104.62,103.96,104.39,50613.0
LYB,2018-05-08 15:00:00+00:00,104.4,104.47,103.49,104.26,43907.0
LYB,2018-05-08 16:00:00+00:00,104.25,104.35,103.58,103.89,37787.0
LYB,2018-05-08 17:00:00+00:00,103.86,104.22,103.86,104.01,41242.0
LYB,2018-05-08 18:00:00+00:00,104.05,104.51,103.47,103.86,68342.0
LYB,2018-05-08 19:00:00+00:00,103.88,104.55,103.83,104.55,80630.0
LYB,2018-05-09 13:00:00+00:00,105.24,108.71,105.24,108.34,100325.0
LYB,2018-05-09 14:00:00+00:00,108.3,108.88,107.85,108.53,60713.0
LYB,2018-05-09 15:00:00+00:00,108.53,109.65,108.21,109.55,91624.0
LYB,2018-05-09 16:00:00+00:00,109.49,110.29,109.48,109.66,71303.0
LYB,2018-05-09 17:00:00+00:00,109.66,110.39,109.66,110.175,54242.0
LYB,2018-05-09 18:00:00+00:00,110.16,110.26,109.5,109.86,84946.0
LYB,2018-05-09 19:00:00+00:00,109.84,110.01,109.67,109.91,104791.0
LYB,2018-05-10 13:00:00+00:00,109.82,111.35,109.79,111.35,25648.0
LYB,2018-05-10 14:00:00+00:00,111.32,111.77,110.45,111.68,84602.0
LYB,2018-05-10 15:00:00+00:00,111.72,112.92,111.54,112.64,84073.0
LYB,2018-05-10 16:00:00+00:00,112.64,113.51,112.64,112.81,91264.0
LYB,2018-05-10 17:00:00+00:00,112.81,112.91,112.23,112.38,56012.0
LYB,2018-05-10 18:00:00+00:00,112.34,112.49,111.85,112.38,84988.0
LYB,2018-05-10 19:00:00+00:00,112.38,112.54,112.08,112.41,122594.0
LYB,2018-05-11 13:00:00+00:00,112.71,112.91,112.0,112.45,11739.0
LYB,2018-05-11 14:00:00+00:00,112.41,113.105,112.27,113.05,31934.0
LYB,2018-05-11 15:00:00+00:00,113.07,113.53,112.89,113.05,36199.0
LYB,2018-05-11 16:00:00+00:00,113.04,113.2,112.64,112.64,27087.0
LYB,2018-05-11 17:00:00+00:00,112.64,112.87,112.37,112.8,19798.0
LYB,2018-05-11 18:00:00+00:00,112.77,113.02,112.64,112.78,28073.0
LYB,2018-05-11 19:00:00+00:00,112.75,112.79,112.45,112.55,54149.0
LYB,2018-05-14 13:00:00+00:00,113.08,113.27,112.38,112.38,12744.0
LYB,2018-05-14 14:00:00+00:00,112.42,112.44,111.63,111.67,60904.0
LYB,2018-05-14 15:00:00+00:00,111.61,112.14,111.56,111.97,22694.0
LYB,2018-05-14 16:00:00+00:00,112.01,112.13,111.86,111.86,24134.0
LYB,2018-05-14 17:00:00+00:00,111.85,112.0,111.62,111.92,29700.0
LYB,2018-05-14 18:00:00+00:00,111.91,112.07,111.61,112.07,27509.0
LYB,2018-05-14 19:00:00+00:00,112.07,112.18,111.77,111.96,67115.0
LYB,2018-05-15 13:00:00+00:00,111.63,111.85,111.16,111.2,15773.0
LYB,2018-05-15 14:00:00+00:00,111.34,112.315,111.26,112.19,51584.0
LYB,2018-05-15 15:00:00+00:00,112.21,112.35,111.87,111.87,22675.0
LYB,2018-05-15 16:00:00+00:00,111.92,112.37,111.76,112.24,18694.0
LYB,2018-05-15 17:00:00+00:00,112.24,112.29,111.83,111.84,26132.0
LYB,2018-05-15 18:00:00+00:00,111.88,112.49,111.87,111.9,63767.0
LYB,2018-05-15 19:00:00+00:00,111.9,112.25,111.88,112.19,59221.0
LYB,2018-05-16 12:00:00+00:00,112.85,112.85,112.68,112.68,100.0
LYB,2018-05-16 13:00:00+00:00,113.94,114.88,113.77,114.7,21301.0
LYB,2018-05-16 14:00:00+00:00,114.65,116.38,114.39,116.16,70463.0
LYB,2018-05-16 15:00:00+00:00,116.13,116.36,115.58,115.89,33330.0
LYB,2018-05-16 16:00:00+00:00,115.92,116.24,115.75,115.8,45248.0
LYB,2018-05-16 17:00:00+00:00,115.8,115.8,115.15,115.42,50869.0
LYB,2018-05-16 18:00:00+00:00,115.4,115.67,115.08,115.61,56061.0
LYB,2018-05-16 19:00:00+00:00,115.6,115.63,114.99,115.31,140910.0
LYB,2018-05-17 13:00:00+00:00,115.05,115.73,114.96,115.57,27822.0
LYB,2018-05-17 14:00:00+00:00,115.61,115.99,115.36,115.42,48309.0
LYB,2018-05-17 15:00:00+00:00,115.43,115.52,115.07,115.18,36208.0
LYB,2018-05-17 16:00:00+00:00,115.18,115.61,115.17,115.57,25653.0
LYB,2018-05-17 17:00:00+00:00,115.55,115.89,115.49,115.57,30852.0
LYB,2018-05-17 18:00:00+00:00,115.59,116.1,115.23,116.1,38819.0
LYB,2018-05-17 19:00:00+00:00,116.11,116.29,115.86,116.19,100839.0
LYB,2018-05-18 13:00:00+00:00,116.37,116.74,116.03,116.38,12078.0
LYB,2018-05-18 14:00:00+00:00,116.33,116.82,115.91,116.36,30635.0
LYB,2018-05-18 15:00:00+00:00,116.38,116.7,116.32,116.6,21264.0
LYB,2018-05-18 16:00:00+00:00,116.62,116.77,116.42,116.61,27112.0
LYB,2018-05-18 17:00:00+00:00,116.6,116.84,116.53,116.72,25206.0
LYB,2018-05-18 18:00:00+00:00,116.68,116.73,116.45,116.47,37108.0
LYB,2018-05-18 19:00:00+00:00,116.49,116.49,116.19,116.21,71833.0
LYB,2018-05-21 13:00:00+00:00,117.27,117.65,116.37,116.37,19937.0
LYB,2018-05-21 14:00:00+00:00,116.38,117.34,116.29,116.85,32432.0
LYB,2018-05-21 15:00:00+00:00,116.87,117.0,116.49,116.64,22826.0
LYB,2018-05-21 16:00:00+00:00,116.64,116.91,116.43,116.69,26070.0
LYB,2018-05-21 17:00:00+00:00,116.74,117.44,116.69,117.44,22263.0
LYB,2018-05-21 18:00:00+00:00,117.43,117.68,117.21,117.68,33593.0
LYB,2018-05-21 19:00:00+00:00,117.65,117.71,117.37,117.55,75939.0
LYB,2018-05-22 13:00:00+00:00,117.77,118.07,117.3,117.63,18286.0
LYB,2018-05-22 14:00:00+00:00,117.61,118.13,117.46,117.88,37994.0
LYB,2018-05-22 15:00:00+00:00,117.9,118.78,117.9,118.45,32281.0
LYB,2018-05-22 16:00:00+00:00,118.45,118.45,117.67,117.69,20688.0
LYB,2018-05-22 17:00:00+00:00,117.68,117.745,117.35,117.56,15658.0
LYB,2018-05-22 18:00:00+00:00,117.54,117.6,116.84,116.85,27084.0
LYB,2018-05-22 19:00:00+00:00,116.82,116.86,116.05,116.17,122653.0
LYB,2018-05-22 20:00:00+00:00,116.07,116.07,116.07,116.07,8.0
LYB,2018-05-23 13:00:00+00:00,115.55,115.8,114.63,115.09,36318.0
LYB,2018-05-23 14:00:00+00:00,115.07,115.17,113.39,113.53,56459.0
LYB,2018-05-23 15:00:00+00:00,113.46,114.28,113.17,114.28,36874.0
LYB,2018-05-23 16:00:00+00:00,114.29,114.53,114.23,114.43,33909.0
LYB,2018-05-23 17:00:00+00:00,114.48,114.66,114.3,114.53,24880.0
LYB,2018-05-23 18:00:00+00:00,114.54,115.22,114.5,115.04,30480.0
LYB,2018-05-23 19:00:00+00:00,115.1,115.7,115.1,115.65,68176.0
LYB,2018-05-24 12:00:00+00:00,115.66,115.66,115.66,115.66,35.0
LYB,2018-05-24 13:00:00+00:00,115.5,119.34,115.5,117.74,73908.0
LYB,2018-05-24 14:00:00+00:00,117.75,118.62,116.93,117.07,71250.0
LYB,2018-05-24 15:00:00+00:00,117.005,117.61,116.92,117.32,43123.0
LYB,2018-05-24 16:00:00+00:00,117.35,117.38,117.01,117.21,30107.0
LYB,2018-05-24 17:00:00+00:00,117.22,117.51,117.13,117.28,28727.0
LYB,2018-05-24 18:00:00+00:00,117.28,117.3,116.88,117.03,35132.0
LYB,2018-05-24 19:00:00+00:00,117.01,117.23,116.81,117.05,127548.0
LYB,2018-05-24 20:00:00+00:00,117.13,117.13,117.13,117.13,300.0
LYB,2018-05-25 13:00:00+00:00,115.17,116.22,114.0,114.45,45979.0
LYB,2018-05-25 14:00:00+00:00,114.41,114.79,114.25,114.7,32697.0
LYB,2018-05-25 15:00:00+00:00,114.69,114.995,113.71,113.77,70447.0
LYB,2018-05-25 16:00:00+00:00,113.75,113.75,113.05,113.27,56437.0
LYB,2018-05-25 17:00:00+00:00,113.28,113.56,113.05,113.47,37821.0
LYB,2018-05-25 18:00:00+00:00,113.46,113.63,113.16,113.26,40371.0
LYB,2018-05-25 19:00:00+00:00,113.24,113.83,113.14,113.77,137427.0
LYB,2018-05-29 13:00:00+00:00,112.73,114.03,112.67,114.03,26113.0
LYB,2018-05-29 14:00:00+00:00,114.07,114.46,113.12,113.23,61741.0
LYB,2018-05-29 15:00:00+00:00,113.13,113.13,111.88,112.01,43751.0
LYB,2018-05-29 16:00:00+00:00,112.02,112.03,111.07,111.92,50449.0
LYB,2018-05-29 17:00:00+00:00,111.89,111.94,111.39,111.41,29954.0
LYB,2018-05-29 18:00:00+00:00,111.37,111.63,111.11,111.19,44410.0
LYB,2018-05-29 19:00:00+00:00,111.18,111.55,110.99,111.44,105769.0
LYB,2018-05-30 13:00:00+00:00,111.98,112.46,111.76,112.39,13822.0
