symbol,ts,open,high,low,close,volume
LYV,2018-05-01 13:00:00+00:00,39.34,39.54,39.05,39.08,7302.0
LYV,2018-05-01 14:00:00+00:00,39.085,39.26,38.91,39.16,18538.0
LYV,2018-05-01 15:00:00+00:00,39.14,39.32,39.04,39.25,32683.0
LYV,2018-05-01 16:00:00+00:00,39.255,39.29,39.17,39.22,25982.0
LYV,2018-05-01 17:00:00+00:00,39.22,39.395,39.2,39.36,24295.0
LYV,2018-05-01 18:00:00+00:00,39.36,39.66,39.35,39.66,20084.0
LYV,2018-05-01 19:00:00+00:00,39.635,39.77,39.55,39.72,45080.0
LYV,2018-05-02 13:00:00+00:00,39.63,40.02,39.63,39.87,5620.0
LYV,2018-05-02 14:00:00+00:00,39.84,40.2,39.74,40.18,20367.0
LYV,2018-05-02 15:00:00+00:00,40.19,40.25,39.98,40.08,21100.0
LYV,2018-05-02 16:00:00+00:00,40.07,40.11,40.04,40.07,15312.0
LYV,2018-05-02 17:00:00+00:00,40.07,40.16,40.02,40.08,20514.0
LYV,2018-05-02 18:00:00+00:00,40.08,40.415,40.08,40.4,33191.0
LYV,2018-05-02 19:00:00+00:00,40.395,40.415,40.09,40.09,55771.0
LYV,2018-05-03 13:00:00+00:00,40.07,40.26,39.97,40.23,9477.0
LYV,2018-05-03 14:00:00+00:00,40.22,40.29,39.63,39.68,33537.0
LYV,2018-05-03 15:00:00+00:00,39.69,39.9,39.55,39.8,32061.0
LYV,2018-05-03 16:00:00+00:00,39.83,40.28,39.77,40.23,30485.0
LYV,2018-05-03 17:00:00+00:00,40.23,40.25,40.08,40.19,29576.0
LYV,2018-05-03 18:00:00+00:00,40.19,40.33,40.07,40.25,33629.0
LYV,2018-05-03 19:00:00+00:00,40.26,40.46,40.21,40.42,81946.0
LYV,2018-05-04 11:00:00+00:00,42.15,42.22,42.15,42.22,107.0
LYV,2018-05-04 12:00:00+00:00,42.56,42.65,42.56,42.62,662.0
LYV,2018-05-04 13:00:00+00:00,42.5,46.29,42.5,44.76,116743.0
LYV,2018-05-04 14:00:00+00:00,44.78,45.4,44.38,44.95,176324.0
LYV,2018-05-04 15:00:00+00:00,44.92,45.31,44.83,44.9,85585.0
LYV,2018-05-04 16:00:00+00:00,44.91,45.17,44.605,45.02,106277.0
LYV,2018-05-04 17:00:00+00:00,45.04,45.16,44.99,45.11,68414.0
LYV,2018-05-04 18:00:00+00:00,45.11,45.42,45.1,45.36,93420.0
LYV,2018-05-04 19:00:00+00:00,45.36,45.8,45.35,45.5,196098.0
LYV,2018-05-07 13:00:00+00:00,45.76,45.85,44.65,44.96,34889.0
LYV,2018-05-07 14:00:00+00:00,44.95,45.055,44.65,44.74,101329.0
LYV,2018-05-07 15:00:00+00:00,44.71,44.89,44.62,44.85,55161.0
LYV,2018-05-07 16:00:00+00:00,44.84,45.0,44.82,45.0,44771.0
LYV,2018-05-07 17:00:00+00:00,45.01,45.22,44.97,45.13,57386.0
LYV,2018-05-07 18:00:00+00:00,45.12,45.31,45.05,45.14,49599.0
LYV,2018-05-07 19:00:00+00:00,45.13,45.2,44.98,45.05,100941.0
LYV,2018-05-07 20:00:00+00:00,44.51,44.51,44.51,44.51,63.0
LYV,2018-05-08 13:00:00+00:00,44.97,44.98,44.27,44.32,23740.0
LYV,2018-05-08 14:00:00+00:00,44.31,44.39,43.89,44.02,64314.0
LYV,2018-05-08 15:00:00+00:00,44.0,44.06,43.48,43.49,62682.0
LYV,2018-05-08 16:00:00+00:00,43.47,43.48,43.15,43.35,57758.0
LYV,2018-05-08 17:00:00+00:00,43.35,43.49,43.32,43.37,46399.0
LYV,2018-05-08 18:00:00+00:00,43.37,43.44,43.1,43.2,58073.0
LYV,2018-05-08 19:00:00+00:00,43.195,43.195,43.0,43.05,86121.0
LYV,2018-05-08 20:00:00+00:00,43.0,43.0,43.0,43.0,14.0
LYV,2018-05-09 13:00:00+00:00,42.8,42.99,42.61,42.78,14493.0
LYV,2018-05-09 14:00:00+00:00,42.76,42.76,42.24,42.28,50359.0
LYV,2018-05-09 15:00:00+00:00,42.3,42.48,42.23,42.48,27941.0
LYV,2018-05-09 16:00:00+00:00,42.51,42.665,42.38,42.64,34460.0
LYV,2018-05-09 17:00:00+00:00,42.64,42.67,42.49,42.64,32487.0
LYV,2018-05-09 18:00:00+00:00,42.63,42.94,42.56,42.89,71397.0
LYV,2018-05-09 19:00:00+00:00,42.905,42.93,42.74,42.87,69688.0
LYV,2018-05-10 13:00:00+00:00,42.98,43.05,42.79,43.01,12357.0
LYV,2018-05-10 14:00:00+00:00,42.985,43.16,42.8,43.11,32848.0
LYV,2018-05-10 15:00:00+00:00,43.12,43.15,42.88,43.06,28879.0
LYV,2018-05-10 16:00:00+00:00,43.05,43.11,42.99,43.06,16703.0
LYV,2018-05-10 17:00:00+00:00,43.07,43.08,42.86,42.96,14213.0
LYV,2018-05-10 18:00:00+00:00,42.97,42.99,42.71,42.84,29915.0
LYV,2018-05-10 19:00:00+00:00,42.86,42.955,42.725,42.79,71844.0
