symbol,ts,open,high,low,close,volume
MA,2018-05-01 08:00:00+00:00,178.45,178.45,178.45,178.45,500.0
MA,2018-05-01 11:00:00+00:00,178.5,178.5,178.5,178.5,50.0
MA,2018-05-01 12:00:00+00:00,178.79,178.79,178.79,178.79,116.0
MA,2018-05-01 13:00:00+00:00,178.6,178.6,177.5,177.63,37930.0
MA,2018-05-01 14:00:00+00:00,177.62,178.71,177.01,178.39,80097.0
MA,2018-05-01 15:00:00+00:00,178.39,178.39,177.38,177.38,42358.0
MA,2018-05-01 16:00:00+00:00,177.44,177.82,177.06,177.35,43105.0
MA,2018-05-01 17:00:00+00:00,177.35,178.35,176.92,178.27,41729.0
MA,2018-05-01 18:00:00+00:00,178.3,180.03,178.29,179.98,97815.0
MA,2018-05-01 19:00:00+00:00,180.0,180.33,179.58,180.22,193581.0
MA,2018-05-01 20:00:00+00:00,180.26,181.0,180.26,181.0,1454.0
MA,2018-05-01 21:00:00+00:00,182.49,182.49,182.4,182.4,44.0
MA,2018-05-01 22:00:00+00:00,181.7,181.7,181.7,181.7,70.0
MA,2018-05-01 23:00:00+00:00,181.7,182.44,181.7,182.35,860.0
MA,2018-05-02 08:00:00+00:00,182.55,182.55,182.1,182.1,291.0
MA,2018-05-02 09:00:00+00:00,182.45,182.48,182.0,182.0,470.0
MA,2018-05-02 10:00:00+00:00,182.24,182.73,182.24,182.73,100.0
MA,2018-05-02 11:00:00+00:00,183.87,183.87,183.0,183.1,2732.0
MA,2018-05-02 12:00:00+00:00,182.95,189.3,182.95,188.45,57427.0
MA,2018-05-02 13:00:00+00:00,188.45,189.26,183.235,185.83,271409.0
MA,2018-05-02 14:00:00+00:00,185.73,186.21,184.08,185.66,161554.0
MA,2018-05-02 15:00:00+00:00,185.68,185.69,184.74,185.51,94206.0
MA,2018-05-02 16:00:00+00:00,185.54,186.6,185.16,186.37,77934.0
MA,2018-05-02 17:00:00+00:00,186.4,187.46,186.4,187.22,59131.0
MA,2018-05-02 18:00:00+00:00,187.34,188.14,184.29,185.5,139466.0
MA,2018-05-02 19:00:00+00:00,185.57,186.62,185.14,185.68,254654.0
MA,2018-05-02 20:00:00+00:00,185.69,185.69,185.0,185.0,138.0
MA,2018-05-02 21:00:00+00:00,185.13,185.5,185.13,185.5,58.0
MA,2018-05-03 09:00:00+00:00,185.12,185.12,185.12,185.12,2.0
MA,2018-05-03 11:00:00+00:00,186.23,186.23,186.23,186.23,50.0
MA,2018-05-03 12:00:00+00:00,185.44,185.44,185.44,185.44,266.0
MA,2018-05-03 13:00:00+00:00,185.2,186.105,183.95,185.79,69107.0
MA,2018-05-03 14:00:00+00:00,185.74,185.81,184.72,185.23,105247.0
MA,2018-05-03 15:00:00+00:00,185.18,185.9,184.84,185.75,86542.0
MA,2018-05-03 16:00:00+00:00,185.74,187.12,185.21,187.05,83600.0
MA,2018-05-03 17:00:00+00:00,187.1,187.89,186.25,187.43,101460.0
MA,2018-05-03 18:00:00+00:00,187.48,187.86,186.26,186.52,108999.0
MA,2018-05-03 19:00:00+00:00,186.53,187.19,186.17,186.47,201499.0
MA,2018-05-03 20:00:00+00:00,187.18,187.19,187.18,187.19,11.0
MA,2018-05-04 08:00:00+00:00,187.99,187.99,187.99,187.99,1.0
MA,2018-05-04 09:00:00+00:00,186.99,186.99,186.99,186.99,2.0
MA,2018-05-04 10:00:00+00:00,187.88,187.88,185.84,185.84,14.0
MA,2018-05-04 12:00:00+00:00,186.05,186.05,186.0,186.01,280.0
MA,2018-05-04 13:00:00+00:00,186.48,186.48,185.13,185.85,38619.0
MA,2018-05-04 14:00:00+00:00,185.79,188.0,185.37,187.71,134540.0
MA,2018-05-04 15:00:00+00:00,187.71,188.28,187.37,187.88,82685.0
MA,2018-05-04 16:00:00+00:00,187.89,188.06,187.35,187.37,73904.0
MA,2018-05-04 17:00:00+00:00,187.43,188.04,187.22,188.04,50147.0
MA,2018-05-04 18:00:00+00:00,188.04,188.71,187.94,188.05,88454.0
MA,2018-05-04 19:00:00+00:00,188.08,188.78,187.76,188.19,185113.0
MA,2018-05-04 20:00:00+00:00,188.16,188.16,188.16,188.16,7.0
MA,2018-05-04 21:00:00+00:00,188.16,188.16,188.16,188.16,93.0
MA,2018-05-07 08:00:00+00:00,189.95,189.95,189.81,189.81,9.0
MA,2018-05-07 09:00:00+00:00,189.81,189.81,188.69,188.69,535.0
MA,2018-05-07 10:00:00+00:00,188.7,188.7,187.75,187.81,1103.0
MA,2018-05-07 11:00:00+00:00,187.95,188.1,187.95,187.95,1180.0
MA,2018-05-07 12:00:00+00:00,188.75,188.75,188.74,188.74,224.0
MA,2018-05-07 13:00:00+00:00,188.9,189.06,187.71,188.64,52925.0
MA,2018-05-07 14:00:00+00:00,188.62,188.86,187.89,188.44,37432.0
MA,2018-05-07 15:00:00+00:00,188.47,188.88,187.94,188.87,49384.0
MA,2018-05-07 16:00:00+00:00,188.85,188.96,188.52,188.63,50603.0
MA,2018-05-07 17:00:00+00:00,188.63,189.39,188.59,189.24,45232.0
MA,2018-05-07 18:00:00+00:00,189.22,189.51,188.64,188.81,62352.0
MA,2018-05-07 19:00:00+00:00,188.8,189.14,188.04,189.1,189015.0
MA,2018-05-08 08:00:00+00:00,190.8,190.8,189.0,189.0,87.0
MA,2018-05-08 09:00:00+00:00,188.5,188.5,188.5,188.5,50.0
MA,2018-05-08 12:00:00+00:00,188.37,188.37,188.3,188.3,200.0
MA,2018-05-08 13:00:00+00:00,188.4,188.97,188.08,188.56,33815.0
MA,2018-05-08 14:00:00+00:00,188.56,189.35,188.42,188.89,37790.0
MA,2018-05-08 15:00:00+00:00,188.85,189.43,188.41,188.63,50170.0
MA,2018-05-08 16:00:00+00:00,188.6,189.15,188.43,188.92,36395.0
MA,2018-05-08 17:00:00+00:00,188.9,189.365,188.9,188.96,36510.0
MA,2018-05-08 18:00:00+00:00,189.03,189.78,188.51,189.04,41396.0
MA,2018-05-08 19:00:00+00:00,189.02,190.65,188.83,190.55,113403.0
MA,2018-05-08 20:00:00+00:00,190.48,190.48,190.48,190.48,54.0
MA,2018-05-08 23:00:00+00:00,190.53,190.53,190.53,190.53,600.0
MA,2018-05-09 11:00:00+00:00,191.16,191.16,191.16,191.16,50.0
MA,2018-05-09 12:00:00+00:00,191.0,191.0,191.0,191.0,5.0
MA,2018-05-09 13:00:00+00:00,190.7,190.75,189.02,189.67,59795.0
MA,2018-05-09 14:00:00+00:00,189.69,190.68,189.68,189.85,76340.0
MA,2018-05-09 15:00:00+00:00,189.86,190.44,189.77,190.15,31490.0
MA,2018-05-09 16:00:00+00:00,190.21,191.62,190.07,191.38,27689.0
MA,2018-05-09 17:00:00+00:00,191.43,191.68,190.94,191.13,38490.0
