symbol,ts,open,high,low,close,volume
MAR,2018-05-01 13:00:00+00:00,136.32,136.85,135.95,136.53,40210.0
MAR,2018-05-01 14:00:00+00:00,136.53,136.65,136.0,136.01,52740.0
MAR,2018-05-01 15:00:00+00:00,135.98,136.57,135.79,135.99,30661.0
MAR,2018-05-01 16:00:00+00:00,135.98,136.21,135.83,135.91,29344.0
MAR,2018-05-01 17:00:00+00:00,135.93,137.01,135.49,137.01,53966.0
MAR,2018-05-01 18:00:00+00:00,136.98,137.36,136.81,137.21,29813.0
MAR,2018-05-01 19:00:00+00:00,137.22,137.8,136.82,137.6,136684.0
MAR,2018-05-01 20:00:00+00:00,137.6,137.81,137.6,137.81,91264.0
MAR,2018-05-01 21:00:00+00:00,137.6,137.6,137.6,137.6,298.0
MAR,2018-05-02 13:00:00+00:00,137.13,137.67,136.06,136.08,52098.0
MAR,2018-05-02 14:00:00+00:00,136.09,137.42,136.08,136.51,68131.0
MAR,2018-05-02 15:00:00+00:00,136.51,136.51,135.02,135.06,66993.0
MAR,2018-05-02 16:00:00+00:00,135.05,135.75,134.98,135.72,43612.0
MAR,2018-05-02 17:00:00+00:00,135.73,136.07,135.46,135.58,42368.0
MAR,2018-05-02 18:00:00+00:00,135.55,136.11,134.9,134.94,91481.0
MAR,2018-05-02 19:00:00+00:00,134.96,135.09,134.01,134.18,229376.0
MAR,2018-05-02 20:00:00+00:00,134.16,134.16,134.14,134.16,116177.0
MAR,2018-05-02 21:00:00+00:00,134.0,134.0,133.99,134.0,100.0
MAR,2018-05-03 12:00:00+00:00,132.68,132.68,132.54,132.54,15.0
MAR,2018-05-03 13:00:00+00:00,133.4,134.78,130.73,133.13,149927.0
MAR,2018-05-03 14:00:00+00:00,133.16,134.2,132.2,132.5,131171.0
MAR,2018-05-03 15:00:00+00:00,132.52,133.6,132.36,133.49,86127.0
MAR,2018-05-03 16:00:00+00:00,133.5,134.6,132.76,134.55,61165.0
MAR,2018-05-03 17:00:00+00:00,134.51,135.19,134.11,134.58,55025.0
MAR,2018-05-03 18:00:00+00:00,134.55,134.86,133.91,134.01,91186.0
MAR,2018-05-03 19:00:00+00:00,134.04,134.92,134.04,134.64,121476.0
MAR,2018-05-03 20:00:00+00:00,134.64,134.67,134.64,134.67,102807.0
MAR,2018-05-04 13:00:00+00:00,133.92,134.56,133.19,134.54,49440.0
MAR,2018-05-04 14:00:00+00:00,134.48,135.61,134.42,135.34,116005.0
MAR,2018-05-04 15:00:00+00:00,135.33,136.45,135.33,136.22,73650.0
MAR,2018-05-04 16:00:00+00:00,136.18,136.39,135.71,136.39,91511.0
MAR,2018-05-04 17:00:00+00:00,136.42,136.66,136.23,136.64,63134.0
MAR,2018-05-04 18:00:00+00:00,136.64,137.06,136.57,136.61,60528.0
MAR,2018-05-04 19:00:00+00:00,136.61,136.89,135.61,135.84,258638.0
MAR,2018-05-04 20:00:00+00:00,135.85,136.13,135.85,136.13,264541.0
MAR,2018-05-07 13:00:00+00:00,136.51,136.98,135.9,136.85,44389.0
MAR,2018-05-07 14:00:00+00:00,136.91,137.11,136.55,136.87,51199.0
MAR,2018-05-07 15:00:00+00:00,136.85,137.24,136.6,136.84,45272.0
MAR,2018-05-07 16:00:00+00:00,136.87,136.94,136.38,136.38,48925.0
MAR,2018-05-07 17:00:00+00:00,136.38,136.5,136.22,136.38,57499.0
MAR,2018-05-07 18:00:00+00:00,136.36,136.72,136.11,136.16,82945.0
MAR,2018-05-07 19:00:00+00:00,136.15,136.67,136.0,136.64,265345.0
MAR,2018-05-07 20:00:00+00:00,136.64,136.64,136.64,136.64,240687.0
MAR,2018-05-07 21:00:00+00:00,136.82,136.82,136.82,136.82,4.0
MAR,2018-05-07 22:00:00+00:00,136.75,136.75,136.7,136.7,403.0
MAR,2018-05-08 13:00:00+00:00,136.53,137.32,136.04,137.02,39249.0
MAR,2018-05-08 14:00:00+00:00,137.09,137.68,137.05,137.5,52980.0
MAR,2018-05-08 15:00:00+00:00,137.52,138.91,137.42,138.52,71418.0
MAR,2018-05-08 16:00:00+00:00,138.56,138.61,137.68,137.99,46427.0
MAR,2018-05-08 17:00:00+00:00,138.03,139.16,137.98,138.56,76293.0
MAR,2018-05-08 18:00:00+00:00,138.67,139.13,138.25,138.75,108320.0
MAR,2018-05-08 19:00:00+00:00,138.75,139.44,138.61,139.33,246284.0
MAR,2018-05-08 20:00:00+00:00,139.31,141.0,136.55,138.0,122942.0
MAR,2018-05-08 21:00:00+00:00,138.04,138.07,137.75,137.75,3500.0
MAR,2018-05-09 12:00:00+00:00,137.75,138.0,137.75,137.85,255.0
MAR,2018-05-09 13:00:00+00:00,138.2,139.105,134.29,135.55,215106.0
MAR,2018-05-09 14:00:00+00:00,135.5,137.28,135.0,136.27,195914.0
MAR,2018-05-09 15:00:00+00:00,136.27,137.28,135.97,137.25,113108.0
MAR,2018-05-09 16:00:00+00:00,137.29,138.69,136.96,138.69,113299.0
MAR,2018-05-09 17:00:00+00:00,138.65,138.94,138.14,138.57,93372.0
MAR,2018-05-09 18:00:00+00:00,138.61,138.95,138.16,138.33,84219.0
MAR,2018-05-09 19:00:00+00:00,138.32,138.72,137.54,137.87,229538.0
MAR,2018-05-09 20:00:00+00:00,137.9,138.0,137.86,137.86,219727.0
MAR,2018-05-10 13:00:00+00:00,138.25,138.545,137.48,137.82,59572.0
MAR,2018-05-10 14:00:00+00:00,137.89,138.61,137.84,138.5,51403.0
MAR,2018-05-10 15:00:00+00:00,138.47,138.87,138.37,138.8,68297.0
MAR,2018-05-10 16:00:00+00:00,138.78,138.96,138.5,138.57,49771.0
MAR,2018-05-10 17:00:00+00:00,138.6,138.83,138.25,138.39,53937.0
MAR,2018-05-10 18:00:00+00:00,138.41,138.51,138.22,138.35,76448.0
MAR,2018-05-10 19:00:00+00:00,138.38,138.66,138.24,138.59,197783.0
MAR,2018-05-10 20:00:00+00:00,138.56,138.57,138.53,138.53,204376.0
MAR,2018-05-11 13:00:00+00:00,138.79,138.92,138.18,138.92,41535.0
MAR,2018-05-11 14:00:00+00:00,138.92,139.9,138.84,139.09,75531.0
MAR,2018-05-11 15:00:00+00:00,139.05,139.56,138.94,139.35,40352.0
MAR,2018-05-11 16:00:00+00:00,139.33,139.47,138.99,139.44,34576.0
MAR,2018-05-11 17:00:00+00:00,139.42,139.55,139.32,139.51,33250.0
MAR,2018-05-11 18:00:00+00:00,139.49,139.97,139.39,139.76,58282.0
MAR,2018-05-11 19:00:00+00:00,139.77,140.11,139.72,139.82,138954.0
MAR,2018-05-11 20:00:00+00:00,139.82,139.82,139.82,139.82,243158.0
MAR,2018-05-14 13:00:00+00:00,139.86,140.0,138.96,139.46,50904.0
MAR,2018-05-14 14:00:00+00:00,139.44,139.93,139.25,139.33,58259.0
MAR,2018-05-14 15:00:00+00:00,139.32,139.84,139.32,139.54,51754.0
MAR,2018-05-14 16:00:00+00:00,139.49,140.25,139.48,139.94,42377.0
MAR,2018-05-14 17:00:00+00:00,139.93,139.94,139.38,139.64,39047.0
MAR,2018-05-14 18:00:00+00:00,139.6,139.68,139.29,139.62,42865.0
MAR,2018-05-14 19:00:00+00:00,139.59,139.69,139.19,139.33,119812.0
MAR,2018-05-14 20:00:00+00:00,139.35,139.35,139.3,139.3,327260.0
MAR,2018-05-15 12:00:00+00:00,139.35,139.35,138.62,138.62,34.0
MAR,2018-05-15 13:00:00+00:00,138.62,139.13,137.87,138.53,59282.0
MAR,2018-05-15 14:00:00+00:00,138.51,138.76,138.35,138.42,54813.0
MAR,2018-05-15 15:00:00+00:00,138.44,139.14,138.44,138.72,35300.0
MAR,2018-05-15 16:00:00+00:00,138.72,138.89,138.34,138.63,36633.0
MAR,2018-05-15 17:00:00+00:00,138.6,138.69,138.35,138.44,35374.0
MAR,2018-05-15 18:00:00+00:00,138.43,139.0,138.43,138.86,61881.0
MAR,2018-05-15 19:00:00+00:00,138.86,138.96,138.5,138.87,154625.0
MAR,2018-05-15 20:00:00+00:00,138.86,138.86,138.85,138.85,130821.0
MAR,2018-05-16 13:00:00+00:00,139.23,139.28,138.61,139.2,48391.0
MAR,2018-05-16 14:00:00+00:00,139.17,139.51,138.67,139.39,53090.0
MAR,2018-05-16 15:00:00+00:00,139.33,139.56,138.83,139.45,39757.0
MAR,2018-05-16 16:00:00+00:00,139.5,140.73,139.44,140.45,54093.0
MAR,2018-05-16 17:00:00+00:00,140.46,140.65,140.35,140.61,39055.0
MAR,2018-05-16 18:00:00+00:00,140.62,141.61,140.58,141.38,78160.0
MAR,2018-05-16 19:00:00+00:00,141.38,141.38,140.42,140.45,150376.0
MAR,2018-05-16 20:00:00+00:00,140.44,140.48,140.43,140.48,101276.0
MAR,2018-05-17 13:00:00+00:00,139.96,140.01,139.21,139.54,36307.0
MAR,2018-05-17 14:00:00+00:00,139.64,139.81,139.34,139.75,38405.0
MAR,2018-05-17 15:00:00+00:00,139.77,139.91,139.42,139.5,33856.0
MAR,2018-05-17 16:00:00+00:00,139.53,139.7,138.98,139.13,25623.0
MAR,2018-05-17 17:00:00+00:00,139.15,139.38,138.45,138.45,37031.0
MAR,2018-05-17 18:00:00+00:00,138.43,138.87,138.05,138.87,38782.0
MAR,2018-05-17 19:00:00+00:00,138.89,139.14,138.17,138.29,243810.0
MAR,2018-05-17 20:00:00+00:00,138.29,138.31,138.29,138.31,170202.0
MAR,2018-05-18 13:00:00+00:00,139.47,139.47,138.0,138.11,114916.0
MAR,2018-05-18 14:00:00+00:00,138.06,138.48,137.73,138.32,45923.0
MAR,2018-05-18 15:00:00+00:00,138.32,138.75,138.25,138.64,29478.0
MAR,2018-05-18 16:00:00+00:00,138.6,138.68,138.19,138.47,34982.0
MAR,2018-05-18 17:00:00+00:00,138.47,138.9,138.33,138.85,34186.0
MAR,2018-05-18 18:00:00+00:00,138.84,139.01,138.77,138.9,32989.0
MAR,2018-05-18 19:00:00+00:00,138.89,138.94,138.47,138.52,154446.0
MAR,2018-05-18 20:00:00+00:00,138.52,138.63,138.52,138.63,100183.0
MAR,2018-05-21 13:00:00+00:00,139.09,139.84,138.55,139.295,39607.0
MAR,2018-05-21 14:00:00+00:00,139.33,139.53,138.95,138.98,36833.0
MAR,2018-05-21 15:00:00+00:00,138.99,139.08,137.98,138.31,28950.0
MAR,2018-05-21 16:00:00+00:00,138.34,138.84,138.25,138.8,20251.0
MAR,2018-05-21 17:00:00+00:00,138.82,139.07,138.61,138.62,17269.0
MAR,2018-05-21 18:00:00+00:00,138.64,138.65,138.28,138.55,27788.0
MAR,2018-05-21 19:00:00+00:00,138.54,138.94,138.38,138.8,95486.0
MAR,2018-05-21 20:00:00+00:00,138.8,138.8,138.8,138.8,164191.0
MAR,2018-05-22 13:00:00+00:00,139.27,139.44,138.44,138.64,39052.0
MAR,2018-05-22 14:00:00+00:00,138.59,138.7,137.53,138.11,40482.0
MAR,2018-05-22 15:00:00+00:00,138.09,138.34,138.03,138.2,26162.0
MAR,2018-05-22 16:00:00+00:00,138.185,138.45,138.06,138.08,20944.0
MAR,2018-05-22 17:00:00+00:00,138.08,138.35,137.99,138.04,22250.0
MAR,2018-05-22 18:00:00+00:00,138.0,138.15,137.93,138.01,32733.0
MAR,2018-05-22 19:00:00+00:00,138.02,138.15,137.64,137.82,161974.0
MAR,2018-05-22 20:00:00+00:00,137.79,138.04,137.78,138.04,91435.0
MAR,2018-05-23 13:00:00+00:00,136.83,137.71,136.69,137.43,22303.0
